#Text:Aitareyāraṇyaka
#Edition:DCS version



1.1.1.1	om
1.1.1.2	atha mahāvratam
1.1.1.3	indro vai vṛtraṃ hatvā mahān abhavad yan mahān abhavat tan mahāvratam abhavat tan mahāvratasya mahāvratatvam
1.1.1.4	dve etasyāhna ājye kuryād iti haika āhur ekam iti tv eva sthitam
1.1.1.5	pra vo devāyāgnaya iti rāddhikāmaḥ
1.1.1.6	viśo viśo vo atithim iti puṣṭikāmaḥ
1.1.1.7	puṣṭir vai viśaḥ puṣṭimān bhavatīti
1.1.1.8	atithim iti padaṃ bhavati naitat kuryād ity āhur īśvaro 'tithir eva caritoḥ
1.1.1.9	tad u ha smāha kuryād eva
1.1.1.10	yo vai bhavati yaḥ śreṣṭhatām aśnute sa vā atithir bhavati
1.1.1.11	na vā asantam ātithyāyādriyante
1.1.1.12	tasmād u kāmam evaitat kuryāt
1.1.1.13	sa yady etat kuryād āganma vṛtrahantamam ity etaṃ tṛcaṃ prathamaṃ kuryāt
1.1.1.14	etad vā ahar īpsantaḥ saṃvatsaram āsate ta āgacchanti
1.1.1.15	ta ete 'nuṣṭupśīrṣāṇas trayas tṛcā bhavanti brahma vai gāyatrī vāg anuṣṭub brahmaṇaiva tad vācaṃ saṃdadhāti
1.1.1.16	abodhy agniḥ samidhā janānām iti kīrtikāmaḥ
1.1.1.17	hotājaniṣṭa cetana iti prajāpaśukāmaḥ
1.1.2.1	agniṃ naro dīdhitibhir araṇyor ity annādyakāmaḥ
1.1.2.2	agnir vā annādaḥ
1.1.2.3	cirataram iva vā itareṣv ājyeṣv agnim āgacchanty atheha mukhata evāgnim āgacchanti mukhato 'nnādyam aśnute mukhataḥ pāpmānam apaghnate
1.1.2.4	hastacyutī janayanteti jātavad etasmād vā ahno yajamāno jāyate tasmāj jātavat
1.1.2.5	tāni catvāri chandāṃsi bhavanti catuṣpādā vai paśavaḥ paśūnām avaruddhyai
1.1.2.6	tāni trīṇi chandāṃsi bhavanti trayo vā ime trivṛto lokā eṣām eva lokānām abhijityai
1.1.2.7	te dve chandasī bhavataḥ pratiṣṭhāyā eva
1.1.2.8	dvipratiṣṭho vai puruṣaś catuṣpādāḥ paśavo yajamānam eva tad dvipratiṣṭhaṃ catuṣpātsu paśuṣu pratiṣṭhāpayati
1.1.2.9	tāḥ parāgvacanena pañcaviṃśatir bhavanti pañcaviṃśo 'yaṃ puruṣo daśa hastyā aṅgulayo daśa pādyā dvā ūrū dvau bāhū ātmaiva pañcaviṃśas tam imam ātmānaṃ pañcaviṃśaṃ saṃskurute
