#Text:Kāṭhakāraṇyaka
#Edition:Witzel 2004 (DCS version)
#Notes:The original section name “2.5-7” was abbreviated to “2.5”, to keep the key format consistent.



2.1.1	yuñjate mana ity āhavanīye juhoti
2.1.2	manasā vai prajāpatir yajñam atanuta tato vācā tataḥ karmaṇā
2.1.3	manasaivaitad yajamāno yajñaṃ vitatya tato vācā tataḥ karmaṇā karoti
2.1.4	devasya vas savituḥ prasava ity abhrīr ādatte
2.1.5	savitṛprasūta evainā devatābhir ādatte
2.1.6	catasra ādatte
2.1.7	catasro vai diśaḥ
2.1.8	digbhyaḥ pravargyas saṃbhriyate
2.1.9	digbhya eva pravargyaṃ saṃbharati
2.1.10	vānaspatyā bhavanti
2.1.11	vanaspatibhir vai pravargyas saṃbhriyate
2.1.12	vanaspatibhir eva pravargyaṃ saṃbharati
2.1.13	uttiṣṭha brahmaṇaspata ity uttiṣṭhati
2.1.14	bṛhaspatir vai brahmaṇaspatiḥ
2.1.15	bṛhaspatir eva bhūtvottiṣṭhati
2.1.16	upa prayantu marutas sudānava iti
2.1.17	sudānavo vai maruta āraṇyāḥ
2.1.18	araṇye pravargyas saṃbhriyate
2.1.19	araṇya evāraṇyaṃ karoti
2.1.20	praitu brahmaṇaspatir iti pratitiṣṭhati
2.1.21	bṛhaspatir vai brahmaṇaspatiḥ
2.1.22	bṛhaspatir eva bhūtvā pratitiṣṭhati
2.1.23	ā devy etu sūnṛteti
2.1.24	vāg vai devī sūnṛtā
2.1.25	vācā pravargyas saṃbhriyate
2.1.26	vācaiva pravargyaṃ saṃbharati
2.1.27	aśchā vīraṃ naryaṃ paṅktirādhasam iti
2.1.28	yajño vai vīro naryaḥ paṅktirādhāḥ
2.1.29	devebhya eva yajñaṃ saṃbharati
2.1.30	devī dyāvāpṛthivī devayajane 'nu me maṃsāthām itīme vai mahāvīrāt saṃbhriyamāṇād abibhītām
2.1.31	tejasā nā uddhakṣyatīti
2.1.32	sa bṛhaspatir abravīt
2.1.33	yuvayor bhāgadheyam iti
2.1.34	tata enam anvamanyatām
2.1.35	ṛtasyardhyāsam adya makhasya śira iti saṃbharati
2.1.36	yajñasyaiva śiras saṃbharati
2.1.37	trir harati
2.1.38	triṣatyā hi devāḥ
2.1.39	samantam abhrīḥ pariśrayati rakṣasām parāṇuttyai
2.1.40	prajāpater vai prajās sisṛkṣamāṇasya tasya tejo yajñiyam apākrāmat
2.1.41	tad imām prāviśat
2.1.42	tad varāho bhūtvānvavindat
2.1.43	ityaty agra āsīr iti
2.1.44	yad varāhavihatam bhavaty asyā eva tejo yajñiyaṃ saṃbharati
2.1.45	devīr vamriyo 'sya bhūtasya prathamajā iti
2.1.46	vamriyo vā asya bhūtasya prathamajāḥ
2.1.47	tā vā etad vidur yatrāsyā jīvaṃ yajñiyaṃ
2.1.48	yad valmīkavāpanāṃ saṃbharaty asyā eva jīvaṃ yajñiyaṃ saṃbharati / indro vai yad vṛtram ahaṃs tasyaujo vīryam apākrāmat
2.1.49	tad oṣadhīḥ prāviśat
2.1.50	te pūtīkā abhavan
2.1.51	indrasyaujo 'sīti
2.1.52	yat pūtīkānāṃ saṃbharatīndrasyaivaujo vīryaṃ saṃbharati
2.1.53	prajāpates tanūr asīty ajāṃ duhanti
2.1.54	prajāpater vā eṣā priyā tanūr yad ajā
2.1.55	yad ajāṃ duhanti prajāpater eva priyāṃ tanvaṃ saṃbharati
2.1.56	madhu tvā madhunā karotv ity apa upasṛjati
2.1.57	madhu vā etan madhunā saṃyauti
2.1.58	madhavyo bhavati
2.1.59	makhasya śiro 'sīti piṇḍam upādatte
2.1.60	yajño vai makhaḥ
2.1.61	yajñasyaiva śiraḥ karoti
2.1.62	yajñasya pade stha ity avabādhate
2.1.63	yajñasyaiva pade karoti
2.1.64	gāyatro 'sīti prathamam ādhim ādadhāti
2.1.65	tejo vai brahma gāyatrī
2.1.66	teja eva brahma yajamāne dadhāti
2.1.67	traiṣṭubho 'sīti dvitīyam ādhim ādadhāti
2.1.68	ojo vai vīryaṃ triṣṭup
2.1.69	oja eva vīryaṃ yajamāne dadhāti
2.1.70	jāgato 'sīti tṛtīyam ādhim ādadhāti
2.1.71	paśavo vai jagatī
2.1.72	paśūn eva yajamāne dadhāti
2.1.73	makho 'sīti makham evainaṃ karoti
2.1.74	makhasya rāsnāsīti rāsnāṃ karoti
2.1.75	yajño vai makhaḥ
2.1.76	yajñāyaivainaṃ karoti
2.1.77	prādeśamātro bhavati
2.1.78	etāvad vai mukham
2.1.79	mukhaṃ devānām agniḥ
2.1.80	mukhena saṃmita upariṣṭātpātro bhavati devatānāṃ tṛptyai
2.1.81	tṛpyati prajayā paśubhiḥ upainaṃ somapītho namati ya evaṃ veda
2.1.82	sūryasya harasā śrāyety ātape nidadhāti
2.1.83	amuṣyaivainam ādityasya tejasā tapati
2.1.84	pūrvaṃ pūrvaṃ sādayati
2.1.85	imān eva lokān rohati
2.1.86	vṛṣṇo niṣpad asi prājāpatyam ity aśvaśakāni vyāharati
2.1.87	prājāpatyo vā aśvaḥ
2.1.88	rūpeṇaivainaṃ samardhayati
2.1.89	devānāṃ tvā patnīr vṛṣṇo aśvasya niṣpadā dhūpayantv ity aśvaśakair dhūpayati
2.1.90	prājāpatyo vā aśvaḥ
2.1.91	yajñaḥ prajāpatiḥ sayonitvāya
2.1.92	arciṣe tvā śociṣe tvā harase tveti śamīśākhā abhyādadhāti
2.1.93	tejo vā agniḥ
2.1.94	tejaḥ śamīśākhāḥ
2.1.95	tejasy eva tejo dadhāti
2.1.96	mitrasya carṣaṇīdhṛta ity upatiṣṭhate
2.1.97	mitrāyaivainaṃ karoti
2.1.98	devas tvā savitodvapatv iti sāvitrodvapati prasūtyai
2.1.99	avyathamānaḥ pṛthivyām āśā diśa āpṛṇeti
2.1.100	tasmād agnis sarvā diśo vibhāti
2.1.101	uttiṣṭha bṛhan bhavordhvas tiṣṭha dhruvas tvam iti dṛṃhaty evainam
2.1.102	idam aham amum āmuṣyāyaṇam amuṣyāḥ putraṃ tejasā brahmavarcasena samardhayāmīti
2.1.103	brāhmaṇaṃ tejo vai brahma gāyatrī
2.1.104	tejasaivainaṃ brahmavarcasena samardhayati
2.1.105	yady abhicared idam aham amum āmuṣyāyaṇam amuṣyāḥ putraṃ tejasā brahmavarcasena vyardhayāmīti
2.1.106	tejo vai brahma gāyatrī
2.1.107	tejasā brahmavarcasena vyardhayatīdam aham amum āmuṣyāyaṇam amuṣyāḥ putram ojasā vīryeṇa samardhayāmīti
2.1.108	rājanyam ojo vai vīryaṃ triṣṭup
2.1.109	ojasaivainaṃ vīryeṇa samardhayati
2.1.110	yady abhicared idam aham amum āmuṣyāyaṇam amuṣyāḥ putram ojasā vīryeṇa vyardhayāmīti
2.1.111	ojo vai vīryaṃ triṣṭup
2.1.112	ojasaivainaṃ vīryeṇa vyardhayati
2.1.113	idam aham amum āmuṣyāyaṇam amuṣyāḥ putram ūrjā paśubhis samardhayāmīti vaiśyam
2.1.114	paśavo vai jagatī
2.1.115	ūrjaivainam paśubhis samardhayati
2.1.116	yady abhicared idam aham amum āmuṣyāyaṇam amuṣyāḥ putram ūrjā paśubhir vyardhayāmīti
2.1.117	paśavo vai jagatī
2.1.118	ūrjaivainam paśubhir vyardhayati
2.1.119	idam aham māṃ tejasā brahmavarcasenaujasā vīryeṇa prajayā paśubhir annādyena samardhayāmīty ātmā vai brahmavarcasī
2.1.120	ātmānam eva tat tejasā brahmavarcasenaujasā vīryeṇa prajayā paśubhir annādyena samardhayati
2.1.121	ṛjave tvā sādhave tvā sukṣityai tveti yathāyajur aparamaparaṃ sādayati
2.1.122	imān eva lokān pratyavarohati
2.1.123	sūryasya tvā cakṣuṣānvīkṣa ity avekṣate
2.1.124	yad vā idam manuṣyāṇāṃ cakṣuṣā prekṣeta pradahec cakṣur andhāḥ prajā jāyeran
2.1.125	sūryasyaivainaṃ cakṣuṣānvīkṣate
2.1.126	śchṛṇattu tvā vāg iti payasāśchṛṇatti
2.1.127	vāg vai gāyatrī
2.1.128	vācaivainam āśchṛṇatti
2.1.129	śchṛṇattu tvorg iti annaṃ vā ūrk
2.1.130	annādyenaivainam āśchṛṇatti
2.1.131	śchṛṇattu tvā paya iti paśavo vai payaḥ
2.1.132	paśubhir evainam āśchṛṇatti
2.1.133	śchṛṇattu tvā rasaḥ chṛṇattu tvā haviḥ chṛṇattu tvā somaḥ chṛṇattu tvā yajñaḥ chṛṇattu tvā brahma chṛṇattu tvā prajāpatir iti yathāyajuḥ
2.2.1	brahman pravargyeṇa pracariṣyāma ity adhvaryur brahmāṇam āmantrayate
2.2.2	brahmaṇi vā etarhi yajñaḥ
2.2.3	tasmād enam āha yajuryuktam iti
2.2.4	brahmā yajuṣo vā eṣa ratho yad yajñaḥ
2.2.5	tam adhvaryur adhvare yunakti
2.2.6	tad adhvaryor adhvaryutvam
2.2.7	adhvaryur enam praṇayati
