1.1.1.1	Oṃ.
1.1.1.2	Now the Mahāvrata (rite).
1.1.1.3	Indra, having killed Vṛtra, became great. What he became great, that became Mahāvrata. That is the greatness of Mahāvrata rite.
1.1.1.4	Some say one should perform two Ājyās on this day, but it is established as one.
1.1.1.5	"For those who desire prosperity, the verse is: 'We offer to you, O Agni, the god.'"
1.1.1.6	"O guests, guests, you are the guest." For one who desires prosperity.
1.1.1.7	"Prosperity is the guest; one becomes prosperous."
1.1.1.8	"Guest" is a word. They say, "One should not do this." The guest is the lord of the house.
1.1.1.9	But he said, "One should do it."
1.1.1.10	"He who becomes and attains supremacy, he becomes the guest.
1.1.1.11	Or they do not honour one who is not present.
1.1.1.12	Therefore one should do this only if one wishes.
1.1.1.13	If one were to do this, one should do this verse first: "We have come to the best slayer of Vritra."
1.1.1.14	They who desire this day stay for a year and they come.
1.1.1.15	These three verses have the anuṣṭubh as the first verse. The Gāyatrī is Brahman, the anuṣṭup is speech. Thus he unites speech with Brahman.
1.1.1.16	"He who knows Agni, the illuminator of men," for one who desires fame."
1.1.1.17	"The Hotr was born, the knower," for one desiring offspring and cattle."
1.1.2.1	"Men have kindled Agni with kindling woods," for one desirous of food.
1.1.2.2	Agni is the eater of food.
1.1.2.3	The other oblations come to Agni only after a long time, but here they come to Agni directly from the mouth. One obtains food from the mouth, one removes sin from the mouth.
1.1.2.4	They are born from the hand. This day is like a birth. The sacrificer is born from this day. Therefore it is like a birth.
1.1.2.5	Those four are the four kinds of desire. Animals have four feet; for the securing of animals.
1.1.2.6	Those three are the three kinds of desire. These three worlds are threefold; for the conquest of these worlds.
1.1.2.7	Those two are the two kinds of desire. For stability.
1.1.2.8	The man is two-footed, the animals are four-footed. He thus establishes the sacrificer in the two-footed and the animals in the four-footed.
1.1.2.9	They are twenty-five in number by the statement of the Parāgveda. This man is twenty-five, ten fingers of the hands, ten of the feet, two thighs, two arms, and the self itself is twenty-five. He makes this twenty-five self.
1.1.2.10	Now this is the twenty-fifth day, and the Stoma of this day is twenty-five. Thus he attains the even by the even. Therefore there are two sets of twenty-five.
1.1.2.11	They are three times with the first, three times with the last, and once with the middle. The Viraj is not deficient in thirty syllables.
1.1.2.12	If the semen is diminished, the vital airs are diminished, and the food is diminished. For the purpose of obtaining these desires.
1.1.2.13	He who knows this obtains these desires.
1.1.2.14	They meet together, the Brihatī and the Virāj, the prosperity of this day. And the Anushtubh, for the Anushtubhs are the seats of the Ajyas.
1.1.3.1	They say one should perform the Gāyatrī Prauga. The Gāyatrī is indeed brilliance and splendor. One becomes brilliant and resplendent.
1.1.3.2	They say one should perform an Uṣṇīṣa Prauga. The Uṣṇīsa is indeed life. One becomes long-lived.
1.1.3.3	They say, one should perform an Anushtubha Prauga. The Anushtubha is indeed the nobility. For the attainment of nobility.
1.1.3.4	They say one should perform the Barhaspatya Prauga, for prosperity is the Brihatī, and one becomes prosperous.
1.1.3.5	They say one should perform a Paṅkti Prauga, for food is the Paṅkti, and one becomes wealthy in food.
1.1.3.6	They say, one should perform a Trishtubha Prauga, for the Trishtup is valour, and one becomes valiant.
1.1.3.7	They say one should perform the Jāgata (Sāman). The animals are Jāgata. One becomes possessed of animals.
1.1.3.8	One should perform the Gāyatrī (Sāman) itself. The Gāyatrī is Brahman. This is the Brahmanical day. One attains Brahman through Brahman.
1.1.3.9	One should also perform the Mādhuchchanda (Sāman)
1.1.3.10	The Madhu is indeed the honey of the sages, it is the honey of the verses that they compose. That is the honey of verses, the honey of verses.
1.1.3.11	And indeed, honey is food. All is honey. All desires are honey. When he recites the Madhuccandas verse, it is for the attainment of all desires.
1.1.3.12	He who knows this attains all desires.
1.1.3.13	That is a one-day (rite). It is rich in form. On this day many things are done for protection. It is indeed for peace. Peace is indeed the one-day (ritual). It is indeed for the peace and the establishment. At least they establish themselves in the peace and the established.
1.1.3.14	He who knows thus, and for whom the Hotr recites this, knowing thus,
1.1.4.1	"O Wind, come! These Soma-offerings are seen. They are free from danger." This is the day free from danger for the sacrificer and the gods.
1.1.4.2	He who knows this, and for whom the Hotr recites this knowing thus, becomes free from danger on this day.
1.1.4.3	"O Indra-Wind, these pressed (Soma-juices) are seen. Come to the prepared (offering)." What is prepared is well-prepared.
1.1.4.4	The Hotr who knows this, and for whom the Hotr recites this, goes to the world of Indra and Vayu.
1.1.4.5	He invokes Mitra, the pure-minded, the wise, the golden-coloured. The wise one is speech, the golden-colour one is speech.
1.1.4.6	He places speech in him. He who knows this, for whom the Hota recites this,
1.1.4.7	"O Asvins, the givers of food!" Food is the same as "food" (iṣa). For the securing of food.
1.1.4.8	"Come, O Asvins, to the offering of the Rudras!" The Asvins come to the sacrifice of him who knows this and of those for whom the Hotṛ recites this, knowing this.
1.1.4.9	"O Indra, come, O Indra, with the variegated rays! O Indra, come, impelled by the mind! O Indra, having come, come!" He recites "come, come."
1.1.4.10	Indra indeed goes to the sacrifice for him who knows this, and for those for whom the Hotṛ recites this, knowing this.
1.1.4.11	"The Oṃ-syllables, the holders of the people, all the gods have come." The All-gods indeed go to the invocation for him who knows thus, and for those whose Hotṛ recites thus, knowing this.
1.1.4.12-14	"He says, 'The giver's son is the giver of gifts.' He means to say, 'The giver of gifts is the giver of the giver of gifts." The gods give him that desire for which he recites this, and he who knows this, and for whom the Hotr recites this knowing thus.
1.1.4.15	He who knows this, and the Hotr who knows this, recites this, places that speech in him.
1.1.4.16	When he says, 'Having found the sacrifice', he means to say, 'May the sacrifice be carried'.
1.1.4.17	By the words of the Veda, they are twenty-one. This man is twenty-one. There are ten fingers on the hands and ten on the feet, and the self is twenty-one, he makes this self twenty-one.
1.1.4.18	They are thrice the first and thrice the last, making twenty-five. The Self is twenty-five, Prajapati is twenty-five. There are ten fingers, ten toes, two thighs, two arms, the Self is twenty- five. He makes this twenty-five Self.
1.1.4.19	Now this is the twenty-fifth day, and the twenty-fifth is the Stoma of this day. Thus he attains the even by the even. Therefore there are two sets of twenty-five. They become.
1.2.1.1	"O Vasu, come to your chariot, this Soma has been pressed." These are the introductory verses of the Marutvatiya Stotra.
1.2.1.2	The one-day (rite) is indeed the most prosperous. On this day many things are done for protection. It is indeed for protection. The one-day rite is indeed the foundation. It is indeed in the foundation that they finally find a footing.
1.2.1.3	He who knows this and whose Hotr recites this knowing thus, finds a footing.
1.2.1.4	Indra, come hither! Come hither! Let us praise with the Śacis. Those who are worthy of praise. The Upavasatha day is the Upavasatha. The form of this day is the form of the Upavastha.
1.2.1.5	Let the Brahmanaspati go forth. The hero. The form of the Uparavasa day is the form that is like a hero.
1.2.1.6	Arise, O Brahmanaspati, for great valour. The form of Uparavasa is the form that has great valour.
1.2.1.7	"Now indeed, the Brahman-Lord speaks the hymn-worthy hymn." The hymn-worthy hymn is the hymn of this day. This is the form of this day.
1.2.1.8	"Agni is the leader, the slayer of Vritra." The slayer of Vritran is Indra's form. This is the Indra-day, this is the form of that day.
1.2.1.9	Thou, O Soma, art the most wise of the wise; thou, O Bull, art the most powerful of the powerful. The form of Indra is that of a bull. This is the Indra day, this is the form of this day.
