1.1.1	Prajāpati is the year;
1.1.2	the Mahāvrata is his body;
1.1.3	therefore one should not recite it for another, lest one place in that other the body of all beings.
1.1.4	Again, the Mahāvrata is the body of Indra;
1.1.5	therefore one should not recite it for another, lest one place in that other the body of Indra.
1.1.6	Again, the Mahāvrata is the body of the man, composed of Ṛc, Yajus, and Sāman verses, whom they make ready;
1.1.7	therefore one should not recite it for another, lest one place in that other the body of all the metres.
1.1.8	One may, however, recite it (for another) as Hotr priest of Sattrins
1.1.9	or for one's father or teacher. For in that case the recitation is really for himself,
1.1.10	and by his own self he perfects the sacrifice.
1.1.11	The Stoma of the Mahāvrata is of twenty-five parts.
1.1.12	Twenty-four, indeed, are the half-months of the year, so that the year is made up.
1.1.13	Again, Prajāpati, the year, is of twenty-five parts.
1.1.14	Twenty-four parts are placed at the beginning, and the end is the twenty-fifth.
1.1.15	A bull is to be offered to Indra and a goat to Prajāpati.
1.1.16	That day, indeed, is Indra's;
1.1.17	Indra is Prajāpati.
1.1.18	(The goat) is the symbol of Prajāpati.
1.1.19	Again, among animals the bull is the symbol of Indra.
1.2.1	The Ājya Śastra of the Mahāvrata is the twelve-verse hymn, 'The guest of every man.'
1.2.2	Twelve, indeed, are the months in the year; so the year is made up.
1.2.3	In this hymn there are two metres, Gāyatrī and Anustubh.
1.2.4	In the recitation one adds the twenty-five-verse hymn 'Agni, from fire-sticks, men with devotion.'
1.2.5	For the Stoma is of twenty-five parts,
1.2.6	and the Śastra is perfect in form when it corresponds with the Stoma.
1.2.7	In this hymn there are two metres, Virāj and Triṣṭubh.
1.2.8	These make up four (metres).
1.2.9	This all, indeed, is fourfold, so that all this is made up.
1.2.10	The Prauga Śastra is in Triṣṭubh.
1.2.11	The Triṣṭubh is the metre of Indra,
1.2.12	and so he is united with his own metre.
1.2.13	The (TṚca), ' Were not they, who were magnified by praise,' is addressed to Vāyu, and contains the words 'great' and 'magnify,'
1.2.14	It contains the word 'great,' for this day is described as 'great' (Mahāvrata).
1.2.15	The following TṚca, 'As far as the strength of the body, as far as might,' is addressed to Indra and Vāyu, because (of the expression) 'As far as men peṚceiving with vision.'
1.2.16	'The fair eye of you two, Varuṇa,' is (the TṚca) addressed to Mitra and Varuṇa, because (of the expression) 'The sun goes extending (the light) of the two gods.'
1.2.17	'Who will hear, who of those who merit worship,' is (the TṚca) addressed to the Aśvins, because (of the expression) 'Whom the daughter of the sun chose.'
1.2.18	'How, what priest's (sacrifice) has the great one magnified,' is (the TṚca) addressed to Indra, and contains the words 'great' and 'magnify.'
1.2.19	It contains the word 'great,' for this day is described as 'great,'
1.2.20	'Who is of you a protector, Vasus, who of you a guardian,' is (the TṚca) addressed to the All-gods, because of the expression 'Varuṇa, Mitra, from the stronger moṛtal.'
1.2.21	'May this Sarasvatī, glad,' is (the TṚca) addressed to Sarasvatī, because of the expression 'He has opened the doors of Ṛta, happy one.'
1.2.22	This is the Prauga Śastra of Vāmadeva, arranged in TṚcas in Triṣṭubhs, and containing the word 'Ka.'
1.2.23	Prajāpati, indeed, is Vāmadeva; in Prajāpati so do they obtain all desires.
1.2.24	Others say the (Śastra of the) morning pressing should not be in Triṣṭubhs.
1.2.25	Otherwise it confuses the (parts of the service) which have fixed metres.
1.2.26	(The Śastra) should be that of the one-day rite.
1.2.27	The one-day rite is Brahman;
1.2.28	this day is Brahman;
1.2.29	so Brahman is perfected by Brahman.
1.3.1	'Thee as a car for help' is the strophe of the Marutvatīya Śastra.
1.3.2	'This juice pressed, Vasu,' is the antistrophe.
1.3.3	This is the regular scheme for the one-day rite.
1.3.4	The Brāhmaṇa as to it has already been set forth.
1.3.5	After reciting first the (hymn of) VaŚukra, 'Fair has been the singer's onset,' he inserts a Nivid in the Triṣṭubh (hymn), 'Great, hero-like, controlling men, is Indra.'
1.3.6	Now (the reason) that he recites the VaŚukra hymn first is
1.3.7	that Indra is VaŚukra,
1.3.8	and (the reason for reciting) 'Great, hero-like, controlling men, is Indra,' is that it contains the word 'great,'
1.3.9	for this day is described as 'great.'
1.4.1	Then he offers the oblations of ghee.
1.4.2	Thus he wins success
1.4.3	for the calming of the sacrifice and the healing of the sacrificers.
1.4.4	There are eight (oblations).
1.4.5	By these, indeed, the gods obtained all success;
1.4.6	thus also do sacrificers by means of them obtain all success.
1.4.7	Then he mutters the mutterings accompanying the Pārimads.
1.4.8	They are Pārimads (those which boil around). The waters indeed are Pārimads,
1.4.9	for by the waters all this is boiled around,
1.4.10	and so they are the Pārimads.
1.4.11	Now the hymn is food.
1.4.12	The waters indeed come first before the coming of food,
1.4.13	and the waters are the Pārimads.
1.4.14	Again, the Pārimads are the nails, teeth, body, and hair.
1.4.15	Therefore are they to be employed, for they are bringers of good fortune.
1.4.16	There are twenty-five and the conclusion.
1.4.17	The Aṅgirasa (Sāman) serves as a support;
1.4.18	of that it is a symbol.
1.4.19	(Then comes the) Bhūtechad (Sāman);
1.4.20	(in reciting it he feels) 'I have reached Indra's dear abode.'
1.4.21	Then the Krośa and Anukrośa (they use) —
1.4.22	(thereby) have they won;
1.4.23	then the Payas (Sāman) —
1.4.24	(thereby) have they won;
1.4.25	then the Arka and Arkapuṣpa (Sāmans).
1.4.26	Arka is Agni here;
1.4.27	Arkapuṣpa is Āditya.
1.4.28	If the Sāman singers sing a round according to these (Sāmans), then they say to the Hotr priest, 'Mutter after us.'
1.4.29	If they sing, he should mutter after them;
1.4.30	if they sing thus, or even if they do not sing, he should mutter all the same.
1.5.1	These are the seven divine metres;
1.5.2	therefore he should mutter after the (Sāman singers).
1.5.3	Again, Indra's indeed is this day,
1.5.4	for Indra are the mutterings;
1.5.5	therefore he should mutter after them.
1.5.6	Then standing there he adores the fire in each of its members, saying 'Honour, Honour.'
1.5.7	For the gods are not above receiving honour.
1.5.8	He should honour the parts of the fire when it is kindled, if it is on the high altar.
1.5.9	Then standing there he adores the sun.
1.5.10	Some say he should make an opening in the shed;
1.5.11	but he should only perform his adoration in the direction (of the sun).
1.5.12	For being concealed in this highest hymn, before the highest, he utters the benedictions. 'The great hath united with the great' — 
1.5.13	Agni indeed is great, the earth is great,
1.5.14	for these two have united;
1.5.15	'The god hath united with the goddess' —
1.5.16	Vāyu is the god, the atmosphere the goddess,
1.5.17	for these two have united;
1.5.18	'The Brahman hath united with the Brāhmaṇī' —
1.5.19	the sun is the Brahman, the heaven the Brāhmaṇī,
1.5.20	for these two have united.
1.5.21	So does he unite these worlds for him who will chant this hymn.
1.6.1	Viśvāmitra, indeed, went to the dear home of Indra by reason of recitation and the performance of vows.
1.6.2	To him said Indra, 'Viśvāmitra, choose a boon.'
1.6.3	Viśvāmitra said, 'Let me know thee.'
1.6.4	'(Choose) again.'
1.6.5	'Thee only.'
1.6.6	'(Choose) a third time.'
1.6.7	'Thee only.'
1.6.8	To him said Indra, 'I am the great (m.) and the great (f.);
1.6.9	the god and the goddess;
1.6.10	the Brahman and the Brāhmaṇī.'
1.6.11	Viśvāmitra was still fain to know more.
1.6.12	To him said Indra, 'I am that which I have said, but what is more, he that performs no penance may be even such as I am.'
1.6.13	Then indeed did Indra proclaim the Vyāhṛtis. They sufficed for him.
1.6.14	Then (the Hotr), after gathering to himself the plank of the swing, draws in his breath thrice, after thrice breathing out.
1.7.1	The (plank of the swing) is of Udumbara wood.
1.7.2	Strength and proper food are the Udumbara, so that strength and proper food are won.
1.7.3	Then, after touching it with his breast, putting his right side over it, he mutters, 'Thou art the sun. Let the Vasus mount thee with the Gayatrl metre. They are thy mounters.'
1.7.4	So he says, and 'After them I mount for royal sway.'
1.7.5	This, indeed, do they count royal sway.
1.7.6	Then, putting his left side over (the swing), he mutters, 'Let the Rudras mount thee with the Triṣṭubh metre. They are thy mounters.'
1.7.7	So he says, and 'After them I mount for self-rule.'
1.7.8	Self-rule, indeed, is, as it were, something more than royal sway.
1.7.9	Then, putting his right side over, he mutters, 'Let the Ādityas mount thee with the Jagatī metre. They are thy mounters.'
1.7.10	So he says, and 'After them I mount for universal sway.'
1.7.11	Universal sway, indeed, is, as it were, something more than self-rule.
1.7.12	Then, putting his left side over, he mutters, 'Let the All-gods mount thee with the Anustubh metre. They are thy mounters.'
1.7.13	So he says, and 'After them I mount for the fulfilling of desire.'
1.7.14	The fulfilling of desire is the best of all.
1.7.15	Then, having slipped along over (the plank), he brings down his feet towards the east and rests them on the ground.
1.7.16	He is thus higher than this world.
1.7.17	(The reason) why he places (his feet so) is that he thus rests on this world as a secure resting-place.
1.7.18	Then he breathes forth thrice and draws in breath thrice.
1.7.19	Then, making a lap over the south and north (sides of the plank), he strokes the plank of the swing from west to east with the span of the right (hand),
1.7.20	saying, 'Prajāpati mount thee, Vāyu swing thee.'
1.7.21	Prajāpati indeed mounts it, Vāyu swings it, as alive.
1.7.22	Then he breathes forth and draws in breath thrice.
1.7.23	Then, holding both hands to the east, he mutters.
1.8.1	'May speech with breath, I with breath, eye with mind, I with mind, Prajāpati with cattle, I with cattle (be united).' So he prays.
1.8.2	'Thou art a fair-winged bird' —
1.8.3	breath has fair wings;
1.8.4	'I shall proclaim this speech' — he speaks being minded to proclaim this speech; 'which will effect much, I who am minded to effect much' —
1.8.5	for this speech is going to effect much,
1.8.6	and much (will he effect) who gains the Śastra of this day;
1.8.7	'which will effect more than much, I who am minded to effect more than much' — for this speech is going to effect more than much, and more than much (will he effect) who gains the Śastra of this day;
1.8.8	'which will go to heaven, I that am minded to go to heaven' — for this speech is going to go to heaven, and to heaven (will he go) who gains the Śastra of this day;
1.8.9	'I that am minded to bear these sacrificers to heaven,' so let him say;
1.8.10	but (for a sacrificer) whom he hates, let him say, 'Not N. N., not N. N.'
1.8.11	So many, indeed, as he enumerates and shakes forth from this divine chariot, he casts forth.
1.8.12	The two (following) are not for him to enjoy;
1.8.13	so he oveṚcomes him (breath);
1.8.14	so, having oveṚcome him, he places him in his body.
1.8.15	Vāyu, indeed, becoming breath recites this hymn.
1.8.16	So he oveṚcomes him;
1.8.17	so, having oveṚcome him, he places him in his body.
1.8.18	Yoked indeed to his teacher is he who gains the Śastra of this day. Being yoked to his teacher, his breath is liable to be taken away.
1.8.19	So he oveṚcomes him;
1.8.20	so, having oveṚcome him, he places him in his body.
1.8.21	For such a divinity there is no pieṚcing by poisoned (arrow), nor sword, nor axe, nor anything else.
1.8.22	He who reviles him who knows this becomes worse;
1.8.23	not so he who knows this.
1.8.24	There is no pieṚcing one who knows.
2.1.1	He begins the hymn with the word 'him.'
2.1.2	The word 'him' is breath; by breath he begins the hymn.
2.1.3	Again, the word 'him' is strength and sap; so he places in the hymn strength and sap.
2.1.4	Again, the word 'him' is immoṛtality; so he places immoṛtality in himself.
2.1.5	The Rājana is (the Sāman of) the Pṛṣṭha (Stotra).
2.1.6	The Rājana is manifestly the Sāman;
2.1.7	so he unites (the hymn) with its own Sāman.
2.1.8	It consists of verses not specially marked.
2.1.9	Prajāpati, indeed, is not specially marked.
2.1.10	That is the symbol of Prajāpati.
2.1.11	Some say it should consist of verses with 'Ka' in them, for Ka is Prajāpati and that is a symbol of Prajāpati.
2.1.12	Who indeed is Prajāpati?
2.1.13	That is the symbol of Prajāpati.
2.1.14	Then he recites inaudibly the silent recitation.
2.1.15	Speech indeed is this day, mind the silent recitation;
2.1.16	so with mind he perfects speech.
2.1.17	'That was mightiest in the worlds' is the strophe TṚca. 
2.1.18	' Waxing with strength, of great might,' has the word 'wax,' and so has the word 'great,'
2.1.19	for the day is described as 'great.'
2.1.20	The body is of twenty-five parts.
2.1.21	He recites (the hymn) with the addition of the nada (verses).
2.1.22	The body indeed is of twenty-five parts, offspring and cattle are additions,
2.1.23	so he increases the body by children, cattle, servants, and food, (in using) the nada verses.
2.1.24	He puts the Triṣṭubh Pādas first, then the Pādas of the nada verses.
2.1.25	Having joined the first Pāda of the nada verses with the first Triṣṭubh Pāda, he pauses;
2.1.26	having joined the second with the second Triṣṭubh (Pāda), he utters the syllable om.
2.1.27	Having joined the third with the third Triṣṭubh (Pāda), he pauses;
2.1.28	Having joined the fourth with the fourth Triṣṭubh (Pāda), he utters the syllable om.
2.1.29	He recites thrice the first (verse) thus varied, and the others which follow are simiḍārly varied.
2.1.30	He omits the second half-verse of the third verse of the hymn and the second of the nada.
2.1.31	This is the opening of the mouth; by that he utters speech. By the mouth indeed he utters speech.
2.1.32	He recites these two (half-verses) before the Dvipadās. Thus his Stotra verse is not separated by a break. After reciting the body (verses), he recites the sūdadohas (verse) 'of the milk-yielder,'
2.1.33	Food indeed is the sūdadohas (verse). By food these joints are united.
2.1.34	Again, immoṛtality is the sūdadohas (verse); so he places immoṛtality in the body.
2.1.35	Again, the sūdadohas (verse) is the form of the Āhāva call.
2.1.36	So just as wood may be joined by a string or a piece of leather, the sūdadohas verse joins all the Vedas.
2.2.1	Then he recites the head (verses).
2.2.2	They consist of three TṚcas.
2.2.3	Three indeed are the bones of his head; them by these he unites.
2.2.4	These he unites by those.
2.2.5	These three again are each threefold, and so make up nine verses.
2.2.6	Nine indeed are the breaths in the head.
2.2.7	They have the word 'hymn' in them.
2.2.8	This is the symbol of this day.
2.3.1	Then he recites the neck (verses).
2.3.2	They are three verses.
2.3.3	Three indeed are the joints of the neck.
2.3.4	These he unites by those.
2.3.5	The last is an Uṣṇih.
2.3.6	It is the shoulder, laṛge and expansive.
2.4.1	Then he recites the collarbone (verse).
2.4.2	It is a Triṣṭubh.
2.4.3	Therefore the collarbone is the strongest.
2.4.4	The (verse) 'Indra, the mighty arms of thee, strong one,' is suitable to the arms.
2.4.5	Then he recites the strophe and antistrophe of the Rathantara.
2.4.6	The Brāhmaṇa for them has been set forth already.
2.4.7	Then he recites the Dhāyyā (verse).
2.4.8	This is the Dhāyyā,
2.4.9	for it is placed in all beings.
2.4.10	It indeed is placed on the right side,
2.4.11	therefore a woman lies on a man's right side.
2.4.12	Then he recites the Pragātha of the Rathantara.
2.4.13	The Brāhmaṇa for it has been set forth already.
2.4.14	The hymn is 'Who alone of moṛtals deserves oblation.' He recites it by Pādas.
2.4.15-16	Taking out the second verse of it, he puts in as second (verse) the second (verse) of the hymn, 'All my other friends have come.'
2.4.17	Thus he interweaves the two sides to prevent them separating.
2.4.18	Therefore he performs all actions by (the use of) both sides.
2.5.1	Then he recites the hand (verses).
2.5.2	They indeed are three.
2.5.3	These are the joints of his hand.
2.5.4	These he unites by those.
2.5.5	The first is in an excessive metre. This is the thumb.
2.5.6	So the thumb approaches all the fingers.
2.5.7	The right side has the Rathantara,
2.5.8	the left the Bṛhat,
2.5.9	and the Brāhmaṇa for it has been set forth.
2.5.10	These two sides, with Bṛhat and Bathantara, are of twenty-four parts.
2.5.11	Twenty-four are the half-months of the year, so that the year is made up.
2.6.1	Then he recites the Caturuttara (verses). They are the spine.
2.6.2	They are twenty-one verses.
2.6.3	Twenty-one indeed are the joints of the spine.
2.6.4	These he unites by those.
2.6.5	They make up seven TṚcas.
2.6.6	Seven indeed are the metres, so that all the metres are made up.
2.6.7	They have the word 'hymn.'
2.6.8	That is the symbol of this day.
2.7.1	Then he recites the (sets of) eighty verses.
2.7.2	He recites them in correspondence with the Stotra verses, Gāyatrī (corresponding to) Gayatra, Uṣṇih and Bṛhati (sets) to Bṛhad and Rathantara.
2.7.3	The Gāyatrī (set) is the right side, the Uṣṇih the left, the Bṛhati the middle.
2.7.4	In the middle indeed of the body is food deposited.
2.7.5	Between the two Triṣṭubhs there is a Triṣṭubh in a Nivid.
2.7.6	They belong to Viśvāmitra, are corresponding, and have the word 'hymn.'
2.7.7	For Viśvāmitra was the seer of that (hymn).
2.7.8	The strophes contain the word 'great,' and they have the word 'magnify.'
2.7.9	It (the hymn) has the word 'magnified' and the word 'great.'
2.7.10	It has the word 'great,' for this day is described as 'great.'
2.8.1	'Great Indra, who by might,' and 'is magnified by Vatsa's lauds': with this verse he commences the Gāyatrī (set of) eighty (verses). It (the verse) contains both the words 'great' and 'magnify.'
2.8.2	It (the litany) has the words 'great' and 'magnified.'
2.8.3	It has the word 'great,' for this day is described as 'great.'
2.9.1	'What joys thou didst bring, Indra,' and 'his praises magnify, great one' : with this verse he begins the Bṛhati (set of) eighty (verses). It (the verse) contains both the words 'great' and 'magnify.'
2.9.2	It (the hymn) has the words 'great' and 'magnify.' 
2.9.3	It has the word ' great,' for this day is described as ' great.'
2.9.4	'May this delightful (Soma) for thee 'and 'Hither, with thy bay steeds, Indra,' are the two hymns.
2.9.5	(The reason) why he recites them at the end is that he may commence the Uṣṇih (set of) eighty verses (after concluding) with perfect Bṛhatis.
2.10.1	'Indra in the poured libations,' and 'He gains the power that magnifies; for he is great': with this verse he begins the Uṣṇih (set of) eighty verses. It (the verse) contains both the words 'great' and 'magnify.'
2.10.2	It (the hymn) has the words 'great' and 'magnify.'
2.10.3	It has the word 'great,' for this day is described as ' great.'
2.10.4	These sets of eighty (verses) recited together make up 720.
2.10.5	720 indeed are the days and nights of the year. Thus by these (sets of) eighty he obtains the days and nights of the year.
2.10.6	Some make into Uṣṇihs the Gāyatrīs by means of the ends of the Sāmans;
2.10.7	others, again, add (to make the Uṣṇihs) (sets of) four syllables.
2.10.8	From the Bṛhati (set of) eighty (verses) he takes out eighty (sets of) fovir syllables; from the Kakubh Pragiithas twenty-four (sets of) four syllables; these 104 sets of four syllables he inserts in the 104 Gayatrls. So the Gāyatrīs are turned into Uṣṇihs.
2.10.9	So the Gāyatrīs are turned into Uṣṇihs.
2.10.10	But one need not be concerned with this.
2.10.11	The (result) is here brought about.
2.10.12-13	'Sing to Indra the Sāman': (the reason) why he recites this last is that he may commence the vasa (hymn), (after concluding) with perfect Uṣṇihs.
2.11.1	Then he recites the vasa (hymn).
2.11.2	The belly is the vasa hymn.
2.11.3	With it, when made ready, whatever is outside it would come into immediate proximity.
2.11.4	Thus it matures what is within the belly.
2.11.5	Therefore many deities and many metres are recited in the vasa (hymn).
2.11.6	Therefore much variegated food is deposited in the belly.
2.11.7	Then (he recites) the two half-verses which were taken out.
2.11.8	Then (he recites) the sūdadohas (verse).
2.11.9	It is then left out (afterwards). 
2.11.10	Here it has been recited twenty-four times.
2.12.1	Then he recites the Dvipadās.
2.12.2	Metre indeed is a support, so that the Dvipadās serve as a support.
2.13.1	Then he recites the hymn to Indra and Agni, reciting it as in Gāyatrī.
2.13.2	Indra and Agni are supports, so that support is obtained.
2.14.1	Then he recites the Āvapana.
