1.1.1	Prajapati is the year.
1.1.2	This is his self, namely the Mahavrata.
1.1.3	Therefore one should not recite it for another, lest one should place one's own self in another of all beings.
1.1.4	And this is Indra's self, namely the Mahāvrata.
1.1.5	One should not recite it to another, lest one place Indra's self in another.
1.1.6	Now, indeed, that person which they make out of the Rg, Yajus, and Sama, his self is this Great Vrata.
1.1.7	Therefore one should not recite it for another, lest one should place one's own self in the other.
1.1.8	But the Hotri may recite it for the sacrificers.
1.1.9	Or for his father, or for his teacher, or for himself. That is proper for him.
1.1.10	He himself makes that sacrifice prosper.
1.1.11	Its Stoma is twenty-five.
1.1.12	Twenty-four indeed are the half-months of the year; for the attainment of the year.
1.1.13	And indeed Prajapati is the twenty-five year.
1.1.14	And the twenty-four has been made before; this is its course, that it is twenty-five.
1.2.3	In that (Agni) there are two metres, the Gāyatrī and the Anushtubh.
1.2.4	He praises the hymn consisting of twenty-five verses beginning with "Agni, men with rays, on the kindling wood".
1.2.5	For the Stoma is twenty-five.
1.2.6	That indeed is the perfect instrument when it is accomplished by the Stoma.
1.2.7	In that (Agni), there are two metres: the Viraj and the Tristubh.
1.2.8	And those four are accomplished.
1.2.9	And this fourfold (universe) is all his, for the attainment of all.
1.2.10	The Prauga is in Tristubh.
1.2.11	This is Indra's metre, namely the Tristubh. He thus makes him prosper with his own metre.
1.2.12	"O Indra, by whom, by whom, O Indra, by whom art thou worshipped?"
1.2.13	The Vayu hymn is great and prosperous.
1.2.14	The day is great, for this day is great.
1.2.15	Therefore the third verse is for Indra-Vayu, as far as the strength of the body, as far as power, as far as man, looking with the eye. In this form.
1.2.16	The verse "May your eye, O Varuna, be well-directed" is for Mitra-Varuna. The sun moves towards the gods. In this form.
1.2.17	Who is the hearer? Which one of the sacrificers? The Asvin (rite) is the one whom the daughter of the Sun chooses. In this form.
1.2.18	How did the great one grow? Of which Hotri? The Indra (rite) is great, growing.
1.2.19	Great, because this day is great.
1.2.20	Who is the protector? Which Vasus? Who is the protector? The Vaishvadev (rite) is more powerful than Varuna, Mitra, and Death. In this form.
1.2.21	"May Sarasvati be pleased with us." This is the Sarasvati-verse. "O auspicious one, through this form, do thou turn away from the door of truth."
1.2.22	This is indeed the Kadva verse, the Tristubh verse, the Vamadevya Prauga.
1.2.23	Prajapati is indeed Vamadeva. In him they obtain all desires.
1.3.2	This is the song of Vasu, sung by the blind one, the follower.
1.3.3	This alone is always sung in one day.
1.3.4	Its Brāhmaṇa has been recited.
1.3.5	Having praised Vasu first, "May my praise be true, O Jariṭa, with force," then Indra, the great one, praises him in the Tristubh metre, "Like a man, like a warrior."
1.3.6	The reason why he praises Vasu first,
1.3.7	Indra indeed is Vasu-kr.
1.3.8	And as to why it is said, 'The great Indra, like a man, the leader of men,' it is because of greatness.
1.3.9	For this day is great.
1.4.1	Then he offers these oblations of ghee.
1.4.2	He thus makes it a means of well-being.
1.4.3	For the peace of the sacrifice and for the healing of the sacrificers.
1.4.4	They are eight in number.
1.4.5	By these (verses) the gods attained all the worlds.
1.4.6	In the same way the sacrificer attains all the worlds by these (verses).
1.4.7	Then he recites these verses of Parimādas.
1.4.8	Parimādas are indeed the waters.
1.4.9	For everything here is filled with water.
1.4.10	And indeed Parimādas are
1.4.11	This is the praise of food.
1.4.12	The waters are the source of food, they come first.
1.4.13	The waters are the limit.
1.4.14	And indeed the limit is the nails, teeth, skin, and hair.
1.4.15	Therefore the rites are successful, for they are endowed with prosperity.
1.4.16	The twenty-five is the final verse.
1.4.17	The Angirasa is for stability.
1.4.18	That is the form.
1.4.19	The Sama is the Bhutat Chhanda.
1.4.20	He approached the beloved abode of Indra.
1.4.21	A Krośa and an Anukrośa.
1.4.22	The Araṭsus.
1.4.23	Even their milk.
1.4.24	The Arațsus.
1.4.25	The Arka and the Arka-flower.
1.4.26	This Agni is the Arka.
1.4.27	This Aditya is the Arka-flower
1.4.28	When the Sāman-singers sing in turn among them, then they say to the Hotr, "Recite after (us)."
1.4.29	If they were to sing, then he would recite after (them).
1.5.7	For the gods do not exceed in paying homage.
1.5.8	One should attend to these parts of the fire only if it is the northern Veda.
1.5.9	Then, standing here itself, one attends to the sun.
1.5.10	Some say that they should make the sky the hall.
1.5.11	But one should attend to it by means of the country.
1.5.12	Now this (Agni) is hidden in the highest praise, he speaks of the highest blessing, 'The great one has placed himself with the great one.'
1.5.13	Agni is the great one, this earth is the great one.
1.5.14	For these two have placed themselves together.
1.5.15	'The god has placed himself with his goddess,' he says.
1.5.16	Vayu is the god, the sky is the goddess.
1.5.17	For these have placed themselves together,
1.5.18	'Brahma has placed himself with Brahmani,' he says.
1.5.19	This sun is Brahma, this heaven is the Brahmani.
1.5.20	For these two have created it.
1.5.21	He thus establishes these worlds. This eulogy will be sung.
1.6.1	Vishvamitra indeed approached Indra's beloved abode by means of his weapon and observance of vows.
1.6.2	Indra then said to him, "Vishvamitra, choose a boon."
1.6.3	He said, "I should know you."
1.6.4	"The second."
1.6.5	"You."
1.6.6	"The third."
1.6.7	"You."
1.6.8	Then Indra said to him, "I am great and great am I.
1.6.9	I am a god and a goddess am I.
1.6.10	Brahma and Brahmani am I."
1.6.11	Then indeed, Visvamitra became curious.
1.6.12	Indra said to him, "This is what I am, what I have said, and what the sage has said. What is more, I am that. What is that? I am."
1.6.13	Indra spoke the Vyahrtis. They became the Upanishads.
1.6.14	Then, having placed the Prangkha wood-piece, he recited three times, and sprinkled three times.
1.7.1	It is made of Udumbara wood.
1.7.2	Udumbara is food and nourishment; for the attainment of food and nourishment.
1.7.3	Then, touching it with his chest and taking the right part of his body, he murmurs: "You are the sun, you are the Vasus. May the Gayatri metre ascend you. Those are your ascendants." Thus he says.
1.7.4	I ascend them for the kingdom."
1.7.5	Indeed, this kingdom is seen to be here.
1.7.6	Then, taking the northern part of himself, he recites, "May Rudras ascend you with the Tristubh metre. They are the ascenders." Thus he says.
1.7.7	"I ascend them for self-sovereignty."
1.7.8	Self-sovereignty is indeed higher than the kingdom.
1.7.9	Then, taking the right side of himself, he recites: "May the Adityas ascend you with the Jāgata metre. They are the ascenders." He says this.
1.7.10	"I ascend them for sovereignty."
1.7.11	Sovereignty is indeed higher than self-sovereignty.
1.7.12	Then, taking the northern part of himself, he recites (the verse), "May all the gods, with the Anushtubh metre, ascend you. They are your ascenders." He says this indeed.
1.7.13	"I ascend them, for the sake of desire."
1.7.14	Indeed, the desire is the most desirable of all.
1.7.15	Then, having moved forward, having placed the feet facing east, he places them on the ground.
1.7.16	He who is raised up is indeed higher than this world.
1.7.17	When he establishes it, he establishes himself in this world, in the state of stability, without falling.
1.7.18	Then three times he recites, "I am the one who is raised up, I am the one who has been raised up."
1.7.19	Then, having placed the upper plank in a north-south direction, he touches the western end of the upper plank with his right hand.
1.7.20	"May Prajapati ascend, may Vayu shake."
1.7.21	Prajapati indeed ascends, Vayu shakes, what is living.
1.7.22	Then he recites three times, "May I be united with the three."
1.7.23	Then, holding his hands towards the east, he recites:
1.8.1	"May speech be united with breath, may I be united with breath; may sight be united with mind, may I be unite with mind; may Prajapati be united with animals, may I be unites with animals." He is indeed speaking a benediction.
1.8.2	"You are the bird Garuda."
1.8.3	Breath indeed is the bird Garuda.
1.8.4	"He speaks this speech, saying, 'I shall speak this speech.' He speaks this speech, thinking, 'I shall do much.' This speech does much.
1.8.5	This speech does much. This speech does much."
1.8.6	He who attains the weapon of this day does much.
1.8.7	"He who is going to perform the Bahorbhūya sacrifice, he who is going to do the Bahorbhüya sacrifice, he is going to do Bahorbhūyâ sacrifice. This speech is going to do a Bahorbhūyā sacrifice. He who obtains the Bahorbhûya sacrifice, he does the Bahorbhůya sacrifice."
1.8.8	"She is going to heaven, he is going to heaven." The speech of this (day) is going to heaven. He who attains the rite of this day goes to heaven.
1.8.9	One should say, "He is going to heaven to these sacrificers."
1.8.10	One should say of him whom one hates, "Not him, not him."
1.8.11	He (the Adhvaryu) shakes it as many times as he counts from this divine chariot. He shakes it out.
1.8.12	They do not become fit for enjoyment.
1.8.13	He thus frightens him.
1.8.14	He thus makes him enter himself.
1.8.15	This is the wind, having become the breath, he praises this hymn.
1.8.16	He thus terrifies him.
1.8.17	He thus makes it his own by overcoming it.
1.8.18	He who obtains the weapon on this day is fit to be a teacher. If the teacher is fit, the lord of the teacher is the vital breath. If he is not conquered,
1.8.19	he overcomes it.
1.8.20	He thus makes it his by overcoming it.
1.8.21	For this deity there is no obstacle, whether by a poisoned arrow, a sword, an axe, or by anything else.
1.8.22	He who reviles one who knows this becomes worse.
1.8.23	He who knows this does not become worse.
1.8.24	There is no obstacle for one who knows this, there is no obstacle for him who knows this.
2.1.1	The praise is accepted by the word "hiṃkāra".
2.1.2	Prāṇa is the Hiṃkāra. By Prāṇa he attains the Uktha.
2.1.3	Hiṃkāra is indeed strength and juice. He thus places strength and juice in this Uktha.
2.1.4	Moreover, Hiṃkāra is immortality. He thus places immortality in himself.
2.1.5	The Rājanam is the Prstha.
2.1.6	This is indeed the direct Sāman, namely, the Rājanam.
