#Text:Śāṅkhāyanāraṇyaka
#Edition:DCS version



1.1.1	prajāpatir vai saṃvatsaraḥ
1.1.2	tasyaiṣa ātmā yan mahāvratam
1.1.3	tasmād enat parasmai na śaṃsen net sarveṣāṃ bhūtānām ātmānaṃ parasmin dadhānīti
1.1.4	atho indrasyaiṣa ātmā yan mahāvratam
1.1.5	tasmād enat parasmai na śaṃsen ned indrasyātmānaṃ parasmin dadhānīti
1.1.6	atho yam evaitam ṛṅmayaṃ yajurmayaṃ sāmamayaṃ puruṣaṃ saṃskurvanti tasyaiṣa ātmā yan mahāvratam
1.1.7	tasmād enat parasmai na śaṃsen net sarveṣāṃ chandasām ātmānaṃ parasmin dadhānīti
1.1.8	kāmaṃ tu sattriṇāṃ hotā śaṃset
1.1.9	pitre vācāryāya vātmane haivāsya tacchastaṃ bhavati
1.1.10	ātmanaiva tad yajñaṃ samardhayati
1.1.11	tasya pañcaviṃśaḥ stomaḥ
1.1.12	caturviṃśatir vai saṃvatsarasyārdhamāsāḥ saṃvatsarasyaivāptyai
1.1.13	atho prajāpatir vai saṃvatsaraḥ pañcaviṃśaḥ
1.1.14	atho caturviṃśo vai purastāt kṛto bhavati tasyaiṣa gatir yat pañcaviṃśaḥ
1.1.15	aindraśca ṛṣabhaḥ prājāpatyaścāja upālabhyau
1.1.16	aindraṃ vā etad ahaḥ
1.1.17	indra u vai prajāpatiḥ
1.1.18	tat prājāpatyaṃ rūpam
1.1.19	atho etad eva paśuṣvaindraṃ rūpaṃ yad ṛṣabhaḥ
1.2.1	tasya viśo viśo vo atithim iti dvādaśarcam ājyam
1.2.2	dvādaśa vai māsāḥ saṃvatsaraḥ saṃvatsarasyaivāptyai
1.2.3	tasmin vai dve chandasī bhavato gāyatryaścānuṣṭubhaśca
1.2.4	agniṃ naro dīdhitibhiraraṇyor ityetat pañcaviṃśatyṛcam upasaṃśaṃsati
1.2.5	pañcaviṃśo hi stomaḥ
1.2.6	tad vai śastraṃ samṛddhaṃ yat stomena sampadyate
1.2.7	tasmin vai dve chandasī bhavato virājaśca triṣṭubhaśca
1.2.8	tāni catvāri sampadyante
1.2.9	catuṣṭayaṃ vā idaṃ sarvam asyaiva sarvasyāptyai
1.2.10	traiṣṭubhaḥ praugaḥ
1.2.11	indrasyaivaitacchando yat triṣṭup
1.2.12	tad enaṃ svena chandasā samardhayati
1.2.13	kuvid aṅga namasā ye vṛdhāsa iti vāyavyaṃ mahadvad vṛdhavat
1.2.14	mahadvat mahadvaddhyetad ahaḥ
1.2.15	ata evottaraṃ tṛcam aindravāyavaṃ yāvat taras tanvo yāvadoja iti yāvannaraścakṣasā dīdhyānā ityetena rūpeṇa
1.2.16	ud vāṃ cakṣurvaruṇa supratīkam iti maitrāvaruṇaṃ devayoreti sūryas tatanvān ityetena rūpeṇa
1.2.17	ka u śravat katamo yajñiyānām ityāśvinaṃ yaṃ sūryasya duhitāvṛṇītetyetena rūpeṇa
1.2.18	kathā mahāṁ avṛdhat kasya hotur ityaindraṃ mahadvad vṛdhavat
1.2.19	mahadvat mahadvaddhyetad ahaḥ
1.2.20	ko vastrātā vasavaḥ ko varūteti vaiśvadevaṃ sahīyaso varuṇa mitra martād ityetena rūpeṇa
1.2.21	uta syā naḥ sarasvatī juṣāṇeti sārasvataṃ dvārāv ṛtasya subhage vyāvar ityetena rūpeṇa
1.2.22	eṣa vā u kadvāṃstraiṣṭubhas tṛcakﾱpto vāmadevyaḥ praugaḥ
1.2.23	prajāpatir vai vāmadevaḥ prajāpatāveva tat sarvān kāmān ṛdhnuvanti
1.2.24	tad āhur na traiṣṭubhaṃ prātaḥsavanaṃ syāt
1.2.25	mohayati kﾱptachandasaḥ
1.2.26	yajñamukham aikāhikam eva syāt
1.2.27	brahma vā ekāhaḥ
1.2.28	brahmaitad ahaḥ
1.2.29	brahmaṇaiva tad brahma samardhayati
1.3.1	ā tvā rathaṃ yathotaya iti marutvatīyasya pratipat
1.3.2	idaṃ vaso sutam andha ityanucaraḥ
1.3.3	eṣa eva nitya ekāhātānaḥ
1.3.4	tasyoktaṃ brāhmaṇam
1.3.5	asat su me jaritaḥ sābhivega iti vāsukraṃ pūrvaṃ śastvā mahān indro nṛvad ā carṣaṇiprā ityetasmiṃstraiṣṭubhe nividaṃ dadhāti
1.3.6	tad yad vāsukraṃ pūrvaṃ śaṃsati
1.3.7	indra u vai vasukraḥ
1.3.8	atha yan mahān indro nṛvad ā carṣaṇiprā iti mahadvat
1.3.9	mahadvaddhyetad ahaḥ
1.4.1	athaitā ājyāhutīr juhoti
1.4.2	svastyayanam eva tat kurute
1.4.3	yajñasyaiva śāntyai yajamānānāṃ ca bhiṣajyāyai
1.4.4	tā vā aṣṭau bhavanti
1.4.5	etābhir vai devāḥ sarvā aṣṭīr āśnuvata
1.4.6	tatho evaitad yajamānā etābhir eva sarvā aṣṭīr aśnuvate
1.4.7	athaitān pārimadāñjapāñ japati
1.4.8	parimādaḥ āpo vai parimādaḥ
1.4.9	adbhir hīdaṃ sarvaṃ parimattam
1.4.10	atha vai parimādaḥ
1.4.11	annam etad uktham
1.4.12	āpo vā annasyāyataḥ pūrvā āyanti
1.4.13	āpaḥ parimādaḥ
1.4.14	atha vai parimādo yan nakhāni dantās tanūr lomānīti
1.4.15	tasmāt kṛtyāḥ saṃpadvatyo hi bhavanti
1.4.16	pañcaviṃśatir nidhanam
1.4.17	āṅgirasaṃ pratiṣṭhāyai
1.4.18	tad rūpam
1.4.19	bhūtacchandāṃ sāma
1.4.20	priyam indrasya dhāmopajagāmeti
1.4.21	krośānukrośe
1.4.22	arātsuḥ
1.4.23	apyeṣāṃ payaḥ
1.4.24	arātsuḥ
1.4.25	arkaṃ cārkapuṣpaṃ ca
1.4.26	ayaṃ vā agnir arkaḥ
1.4.27	asāvādityo 'rkapuṣpam
1.4.28	teṣu yadā paryāyaṃ sāmagāḥ stuvate atha hotāram āhur anujapeti
1.4.29	te yadi stuvīran athānujapet
1.4.30	yadi caivaṃ stuvīran yadi na stuvīran anveva japet
1.5.1	tāni vā etāni sapta devacchandāṃsi bhavanti
1.5.2	tasmād enān anujapet
1.5.3	atho aindraṃ vā etad ahaḥ
1.5.4	aindrā japāḥ
1.5.5	tasmād enān anujapet
1.5.6	athātraiva tiṣṭhann agniṃ yathāṅgam upatiṣṭhate namo nama iti
1.5.7	nahi namaskāram ati devāḥ
1.5.8	samiddhasyaivaitān bhāgān upatiṣṭheta yadyuttaravedau bhavati
1.5.9	athātraiva tiṣṭhann ādityam upatiṣṭhate
1.5.10	ākāśaṃ śālāyai kuryur iti haika āhuḥ
1.5.11	deśena tvevopatiṣṭheta
1.5.12	tirohito ha vā eṣa etasmin parama ukthe parama āśiṣo vadati saṃ mahān mahatyādadhād iti
1.5.13	agnir vai mahān iyaṃ pṛthivī mahatī
1.5.14	etau hi samadhattām
1.5.15	saṃ devo devyādadhād iti
1.5.16	vāyur vai devo 'ntarikṣaṃ devī
1.5.17	etau hi samadhattām
1.5.18	saṃ brahma brāhmaṇyādadhād iti
1.5.19	asāv ādityo brahmāsau dyaur brāhmaṇī
1.5.20	etau hi samadhattām
1.5.21	tad imāṃllokān saṃdadhāti etad ukthaṃ śaṃsiṣyate
1.6.1	viśvāmitro ha vā indrasya priyaṃ dhāmopajagāma śastreṇa ca vratacaryayā
1.6.2	taṃ hendra uvāca viśvāmitra varaṃ vṛṇīṣveti
1.6.3	sa hovāca viśvāmitras tvām eva vijānīyām iti
1.6.4	dvitīyam iti
1.6.5	tvām eveti
1.6.6	tṛtīyam iti
1.6.7	tvām eveti
1.6.8	taṃ hendra uvāca mahāṃśca mahatī cāsmi
1.6.9	devaśca devī cāsmi
1.6.10	brahma ca brāhmaṇī cāsmīti
1.6.11	tata u ha viśvāmitro vijijñāsām eva cakre
