#Text:Aitareyabrāhmaṇa
#Edition:DCS version
#Notes:Few manual changes (e.g. space before vigraha)
#Todo:Sentence split!


1.1.1	agnir vai devānām avamo viṣṇuḥ paramas tadantareṇa sarvā anyā devatāḥ
1.1.2	āgnāvaiṣṇavam puroḍāśaṃ nirvapanti dīkṣaṇīyam ekādaśakapālam
1.1.3	sarvābhya evainaṃ tad devatābhyo 'nantarāyaṃ nirvapanti
1.1.4	agnir vai sarvā devatā viṣṇuḥ sarvā devatāḥ
1.1.5	ete vai yajñasyāntye tanvau yad agniś ca viṣṇuś ca tad yad āgnāvaiṣṇavam puroḍāśaṃ nirvapanty antata eva tad devān ṛdhnuvanti
1.1.6	tad āhur yad ekādaśakapālaḥ puroḍāśo dvāv agnāviṣṇū kainayos tatra kḷptiḥ kā vibhaktir iti
1.1.7	aṣṭākapāla āgneyo 'ṣṭākṣarā vai gāyatrī gāyatram agneś chandas trikapālo vaiṣṇavas trir hīdaṃ viṣṇur vyakramata sainayos tatra kḷptiḥ sā vibhaktiḥ
1.1.8	ghṛte caruṃ nirvapeta yo 'pratiṣṭhito manyeta
1.1.9	asyāṃ vāva sa na pratitiṣṭhati yo na pratitiṣṭhati
1.1.10	tad yad ghṛtaṃ tat striyai payo ye taṇḍulās te puṃsas tan mithunam mithunenaivainaṃ tat prajayā paśubhiḥ prajanayati prajātyai
1.1.11	prajāyate prajayā paśubhir ya evaṃ veda
1.1.12	ārabdhayajño vā eṣa ārabdhadevato yo darśapūrṇamāsābhyāṃ yajata āmāvāsyena vā haviṣeṣṭvā paurṇamāsena vā tasminn eva haviṣi tasmin barhiṣi dīkṣetaiṣo ekā dīkṣā
1.1.13	saptadaśa sāmidhenīr anubrūyāt
1.1.14	saptadaśo vai prajāpatir dvādaśa māsāḥ pañcartavo hemantaśiśirayoḥ samāsena tāvān saṃvatsaraḥ saṃvatsaraḥ prajāpatiḥ
1.1.15	prajāpatyāyatanābhir evābhī rādhnoti ya evaṃ veda
1.2.1	yajño vai devebhya udakrāmat tam iṣṭibhiḥ praiṣam aicchan yad iṣṭibhiḥ praiṣam aicchaṃs tad iṣṭīnām iṣṭitvaṃ tam anvavindan
1.2.2	anuvittayajño rādhnoti ya evaṃ veda
1.2.3	āhūtayo vai nāmaitā yad āhutaya etābhir vai devān yajamāno hvayati tad āhutīnām āhutitvam
1.2.4	ūtayaḥ khalu vai tā nāma yābhir devā yajamānasya havam āyanti ye vai panthāno yāḥ srutayas tā vā ūtayas ta u evaitat svargayāṇā yajamānasya bhavanti
1.2.5	tad āhur yad anyo juhoty atha yo 'nu cāha yajati ca kasmāt taṃ hotety ācakṣata iti
1.2.6	yad vāva sa tatra yathābhājanaṃ devatā amum āvahāmum āvahety āvāhayati tad eva hotur hotṛtvam
1.2.7	hotā bhavati hotety enamācakṣate ya evaṃ veda
1.3.1	punar vā etam ṛtvijo garbhaṃ kurvanti yaṃ dīkṣayanti
1.3.2	adbhir abhiṣiñcanti
1.3.3	reto vā āpaḥ saretasam evainaṃ tat kṛtvā dīkṣayanti
1.3.4	navanītenābhyañjanti
1.3.5	ājyaṃ vai devānāṃ surabhi ghṛtam manuṣyāṇām āyutam pitṝṇāṃ navanītaṃ garbhāṇāṃ tad yan navanītenābhyañjanti svenaivainaṃ tad bhāgadheyena samardhayanti
1.3.6	āñjanty enam
1.3.7	tejo vā etad akṣyor yad āñjanaṃ satejasam evainaṃ tat kṛtvā dīkṣayanti
1.3.8	ekaviṃśatyā darbhapiñjūlaiḥ pāvayanti
1.3.9	śuddham evainaṃ tat pūtaṃ dīkṣayanti
1.3.10	dīkṣitavimitam prapādayanti
1.3.11	yonir vā eṣā dīkṣitasya yad dīkṣitavimitaṃ yonim evainaṃ tat svām prapādayanti
1.3.12	tasmād dhruvād yoner āste ca carati ca
1.3.13	tasmād dhruvād yoner garbhā dhīyante ca pra ca jāyante
1.3.14	tasmād dīkṣitaṃ nānyatra dīkṣitavimitād ādityo 'bhyudiyād vābhyastamiyād vāpi vābhyāśrāvayeyuḥ
1.3.15	vāsasā prorṇuvanti
1.3.16	ulbaṃ vā etad dīkṣitasya yad vāsa ulbenaivainaṃ tat prorṇuvanti
1.3.17	kṛṣṇājinam uttaram bhavati
1.3.18	uttaraṃ vā ulbāj jarāyu jarāyuṇaivainaṃ tat prorṇuvanti
1.3.19	muṣṭī kurute
1.3.20	muṣṭī vai kṛtvā garbho 'ntaḥ śete muṣṭī kṛtvā kumāro jāyate tadyan muṣṭī kurute yajñaṃ caiva tat sarvāś ca devatā muṣṭyoḥ kurute
1.3.21	tad āhur na pūrvadīkṣiṇaḥ saṃsavo 'sti parigṛhīto vā etasya yajñaḥ parigṛhītā devatā naitasyārtir asty aparadīkṣiṇa eva yathā tatheti
1.3.22	unmucya kṛṣṇājinam avabhṛtham abhyavaiti tasmān muktā garbhā jarāyor jāyante
1.3.23	sahaiva vāsasābhyavaiti tasmāt sahaivolbena kumāro jāyate
1.4.1	tvam agne saprathā asi soma yās te mayobhuva ity ājyabhāgayoḥ puronuvākye anubrūyād yaḥ pūrvam anījānaḥ syāt tasmai
1.4.2	tvayā yajñaṃ vi tanvata iti yajñam evāsmā etad vitanoti
1.4.3	agniḥ pratnena manmanā soma gīrbhiṣ ṭvā vayam iti yaḥ pūrvam ījānaḥ syāt tasmai
1.4.4	pratnam iti pūrvaṃ karmābhivadati
1.4.5	tattan nādṛtyam
1.4.6	agnir vṛtrāṇi jaṅghanat tvaṃ somāsi satpatir iti vārtraghnāv eva kuryāt
1.4.7	vṛtraṃ vā eṣa hanti yaṃ yajña upanamati tasmād vārtraghnāv eva kartavyau
1.4.8	agnir mukham prathamo devatānām agniś ca viṣṇo tapa uttamam maha ity āgnāvaiṣṇavasya haviṣo yājyānuvākye bhavataḥ
1.4.9	āgnāvaiṣṇavyau rūpasamṛddhe etad vai yajñasya samṛddhaṃ yad rūpasamṛddhaṃ yat karma kriyamāṇam ṛg abhivadati
1.4.10	agniś ca ha vai viṣṇuś ca devānāṃ dīkṣāpālau tau dīkṣāyā īśāte tad yad āgnāvaiṣṇavaṃ havir bhavati yau dīkṣāyā īśāte tau prītau dīkṣām prayacchatāṃ yau dīkṣayitārau tau dīkṣayetām iti
1.4.11	triṣṭubhau bhavataḥ sendriyatvāya
1.5.1	gāyatryau sviṣṭakṛtaḥ saṃyājye kurvīta tejaskāmo brahmavarcasakāmaḥ
1.5.2	tejo vai brahmavarcasaṃ gāyatrī
1.5.3	tejasvī brahmavarcasī bhavati ya evaṃ vidvān gāyatryau kurute
1.5.4	uṣṇihāv āyuṣkāmaḥ kurvīta
1.5.5	āyur vā uṣṇik
1.5.6	sarvam āyur eti ya evaṃ vidvān uṣṇihau kurute
1.5.7	anuṣṭubhau svargakāmaḥ kurvīta
1.5.8	dvayor vā anuṣṭubhoś catuḥṣaṣṭir akṣarāṇi traya ima ūrdhvā ekaviṃśā lokā ekaviṃśatyaikaviṃśatyaivemāṃllokān rohati svarga eva loke catuḥṣaṣṭitamena pratitiṣṭhati
1.5.9	pratitiṣṭhati ya evaṃ vidvān anuṣṭubhau kurute
1.5.10	bṛhatyau śrīkāmo yaśaskāmaḥ kurvīta
1.5.11	śrīr vai yaśaś chandasām bṛhatī
1.5.12	śriyam eva yaśa ātman dhatte ya evaṃ vidvān bṛhatyau kurute
1.5.13	paṅktī yajñakāmaḥ kurvīta
1.5.14	pāṅkto vai yajñaḥ
1.5.15	upainaṃ yajño namati ya evaṃ vidvān paṅktī kurute
1.5.16	triṣṭubhau vīryakāmaḥ kurvīta
1.5.17	ojo vā indriyaṃ vīryaṃ triṣṭubhau
1.5.18	ojasvīndriyavān vīryavān bhavati ya evaṃ vidvāṃs triṣṭubhau kurute
1.5.19	jagatyau paśukāmaḥ kurvīta
1.5.20	jāgatā vai paśavaḥ
1.5.21	paśumān bhavati ya evaṃ vidvāñ jagatyau kurute
1.5.22	virājāv annādyakāmaḥ kurvīta
1.5.23	annaṃ vai virāṭ
1.5.24	tasmād yasyaiveha bhūyiṣṭham annam bhavati sa eva bhūyiṣṭhaṃ loke virājati tad virājo virāṭtvam
1.5.25	vi sveṣu rājati śreṣṭhaḥ svānām bhavati ya evaṃ veda
1.6.1	atho pañcavīryaṃ vā etacchando yad virāṭ
1.6.2	yat tripadā tenoṣṇihāgāyatryau yad asyā ekādaśākṣarāṇi padāni tena triṣṭub yat trayastriṃśadakṣarā tenānuṣṭum na vā ekenākṣareṇa chandāṃsi viyanti na dvābhyāṃ yad virāṭ tat pañcamam
1.6.3	sarveṣāṃ chandasāṃ vīryam avarunddhe sarveṣāṃ chandasāṃ vīryam aśnute sarveṣāṃ chandasāṃ sāyujyaṃ sarūpatāṃ salokatām aśnute 'nnādo 'nnapatir bhavaty aśnute prajayānnādyaṃ ya evaṃ vidvān virājau kurute
1.6.4	tasmād virājāv eva kartavye
1.6.5	preddho agna imo agna ity ete
1.6.6	ṛtaṃ vāva dīkṣā satyam dīkṣā tasmād dīkṣitena satyam eva vaditavyam
1.6.7	atho khalv āhuḥ ko 'rhati manuṣyaḥ sarvaṃ satyaṃ vadituṃ satyasaṃhitā vai devā anṛtasaṃhitā manuṣyā iti
1.6.8	vicakṣaṇavatīṃ vācam vadet
1.6.9	cakṣur vai vicakṣaṇaṃ vi hy enena paśyatīti
1.6.10	etaddha vai manuṣyeṣu satyaṃ nihitaṃ yac cakṣuḥ
1.6.11	tasmād ācakṣāṇam āhur adrāg iti sa yady adarśam ity āhāthāsya śraddadhati yady u vai svayam paśyati na bahūnāṃ canānyeṣāṃ śraddadhāti
1.6.12	tasmād vicakṣaṇavatīm eva vācaṃ vadet satyottarā haivāsya vāg uditā bhavati bhavati
1.7.1	svargaṃ vā etena lokam upa prayanti yat prāyaṇīyas tat prāyaṇīyasya prāyaṇīyatvam
1.7.2	prāṇo vai prāyaṇīya udāna udayanīyaḥ samāno hotā bhavati samānau hi prāṇodānau prāṇānāṃ kḷptyai prāṇānām pratiprajñātyai
1.7.3	yajño vai devebhya udakrāmat te devā na kiṃcanāśaknuvan kartuṃ na prājānaṃs te 'bruvann aditiṃ tvayemaṃ yajñam prajānāmeti sā tathety abravīt sā vai vo varaṃ vṛṇā iti vṛṇīṣveti saitam eva varam avṛṇīta matprāyaṇā yajñāḥ santu madudayanā iti tatheti tasmād ādityaś caruḥ prāyaṇīyo bhavaty āditya udayanīyo varavṛto hy asyāḥ
