#Text:Kāṭhakasaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



6.1.1	prajāpatir vā idam āsīt
6.1.2	tasmād agnir adhyasṛjyata
6.1.3	so 'sya mūrdhna ūrdhva udadravat
6.1.4	tasya yal lohitam āsīt tad apāmṛṣṭa
6.1.5	tad bhūmyāṃ nyamārṭ
6.1.6	tata udumbaro 'jāyata
6.1.7	tasmāt sa lohitaṃ pacyate
6.1.8	sa prāṅ prādravat
6.1.9	taṃ svā vāg aiṭṭa juhudhīti
6.1.10	sa itaḥ paryamṛṣṭa
6.1.11	tat svāhety ajuhot
6.1.12	tasmād eṣaivam āhutiḥ
6.1.13	svā hy enaṃ vāg aiṭṭa
6.1.14	tasmān na lalāṭe lomāsti na pāṇyoḥ
6.1.15	tasmād aratnimātrī srug bhavati
6.1.16	cakṣur vāva sa tat svam ajuhot
6.1.17	amum evādityam
6.1.18	agnau jyotir jyotir agnā iti
6.1.19	jyotir eva jyotiṣy ajuhot
6.1.20	brahmājuhot satyam ajuhot
6.1.21	amum eva tad ādityam ajuhot
6.1.22	eṣa hy evāgnihotram
6.1.23	śvaś śvo vasīyān bhavati yasyaivam agnihotraṃ hūyate
6.1.24	na vai purāhorātre āstām
6.1.25	te etayāhutyobhe sahāsṛjyetām
6.1.26	yat sāyaṃ juhoti
6.1.27	tena bhrātṛvyāya parācīṃ vivāsayati
6.1.28	yat prātaḥ
6.1.29	tenātmane pratīcīm
6.1.30	agner vai guptyā agnihotraṃ hūyate
6.1.31	yat sāyaṃ juhoti tenainaṃ rātryai ramayati
6.1.32	yat prātas tenāhne
6.1.33	eṣā vā agnā āhutiḥ prathamā hutā yad agnihotram
6.1.34	tasmād agnau sarvā āhutayo hūyante
6.1.35	athaiṣaivāgnihotram ucyate
6.1.36	agnihotraṃ ha vai nāma
6.1.37	nāsmād anyas samāneṣu vasīyān bhavati yasyaivam agnihotraṃ hūyate
6.2.1	sa nāramata
6.2.2	sa prādravat
6.2.3	tasminn ajuhot
6.2.4	tasyā āhutyāḥ puruṣo 'jāyata
6.2.5	sa nāramata
6.2.6	sa prādravat
6.2.7	tasminn ajuhot
6.2.8	tasyā āhutyā aśvo 'jāyata
6.2.9	tasmāt puruṣaś cāśvaś ca naktaṃ pratyañcau na su vijñāyete iva
6.2.10	sa nāramata
6.2.11	sa prādravat
6.2.12	tasminn ajuhot
6.2.13	tasyā āhutyā gaur ajāyatāvir ajāyatājājāyata yavo 'jāyata vrīhir ajāyata
6.2.14	etābhyo vai saptabhya āhutibhyas sapteme grāmyāḥ paśavo 'sṛjyanta
6.2.15	sa nāramata
6.2.16	sa prādravat
6.2.17	tasminn ajuhot
6.2.18	tasyā āhutyā vasanto 'jāyata grīṣmo 'jāyata varṣā ajāyanta śarad ajāyata hemanto 'jāyata
6.2.19	sa trayodaśyām āhutyām udyatāyām abibhet
6.2.20	taṃ pratyaṅṅ upāpadyata
6.2.21	taṃ pāṇitaḥ prāviśat
6.2.22	tasmāt pāṇyor loma nāsti
6.2.23	agnidhānaṃ hy etat
6.2.24	tasmāddhastābhyām agnir mathyamāno jāyate
6.2.25	tasmāddhanyamāno hastau pratigṛhṇāti
6.2.26	agnā eva tat trāṇam icchate
6.2.27	agniṃ vai paśavo 'nūpatiṣṭhante
6.2.28	paśūn agniḥ
6.2.29	prainaṃ paśavo viśanti
6.2.30	pra paśūn viśati ya evaṃ veda
6.2.31	tām āhutim apsu prāsiñcat
6.2.32	tataś śiśiram ajāyata
6.2.33	tasmāt tat krūratamam
6.2.34	nahi taddhutān nāhutād ajāyata
6.2.35	sāhutir apo dagdhum upākramata
6.2.36	tata āpo 'gnaye vajro 'bhavan
6.2.37	tasmāt prokṣann agniṃ na prāpayet
6.2.38	yat prāpayeddhatena yajeta
6.2.39	tām āhutim oṣadhīṣu nyadadhāt
6.2.40	tasmād oṣadhayo 'nabhyaktā rebhante
6.2.41	oṣadhibhyo 'dhi paśavaḥ
6.2.42	paśubhyo adhi prajāḥ
6.2.43	tad etacchiśira ājyaṃ śyāyaty agnaye
6.2.44	tasmācchiśire kakṣa upādutyaḥ
6.2.45	priyam eva dhāmāgnaye prādāt
6.2.46	so 'smā annādyaṃ prayacchati
6.2.47	annādo bhavati ya evaṃ veda
6.3.1	samāne vai yonā āstāṃ sūryaś cāgniś ca
6.3.2	tatas sūrya ūrdhva udadravat
6.3.3	tasya retaḥ parāpatat
6.3.4	tad agnir yoninopāgṛhṇāt
6.3.5	ayasā tad akrūḍayat
6.3.6	tat krūḍyamānaṃ gavi nyadadhāt
6.3.7	tad idaṃ payaḥ
6.3.8	tasmād atrapv ayaspātraṃ pratidhuk krūḍayati
6.3.9	yat payasāgnihotraṃ juhoti
6.3.10	amum eva tad ādityaṃ juhoti
6.3.11	eṣa hy evāgnihotram
6.3.12	anaḍuho vai payas taṇḍulāḥ
6.3.13	asā ādityo 'naḍvān
6.3.14	yad yavāgvāgnihotraṃ juhoti
6.3.15	amum eva tad ādityaṃ juhoti
6.3.16	eṣa hy evāgnihotram
6.3.17	cakravṛttam anyad acakravṛttam anyat
6.3.18	yac cakravṛttaṃ tad asuryam
6.3.19	yad acakravṛttaṃ tad devapātram
6.3.20	tasmād acakravṛttām agnihotratapanīṃ kurvīta
6.3.21	na kṣīreṇa pratiṣiñcet
6.3.22	nodakena
6.3.23	yat kṣīreṇa pratiṣiñced apratiṣiktaṃ syāt
6.3.24	yad udakena śamayet
6.3.25	dohane saṃsrāvam ucchiṣya tenodakamiśreṇa pratiṣiñcet
6.3.26	tan na kṣīreṇa pratiṣiktaṃ bhavati
6.3.27	nodakena
6.3.28	skannaṃ vāva tat pari ced ākaroti
6.3.29	yā sthāly agnihotratapanī tayā duhyāt
6.3.30	iyaṃ vai sā
6.3.31	na vā imām iha nehātiskandati
6.3.32	anayaivopasīdati
6.3.33	tad asyāskannaṃ bhavati
6.3.34	adbhiḥ pratiṣiñcati
6.3.35	āpo hi pratiṣecanāya tasthire
6.3.36	tac chāntaṃ mithunam āpaś ca payaś ca
6.3.37	yadi duhyamānāvabhindyād anyayā sthālyā duhyāt
6.3.38	saiva tatra prāyaścittiḥ
6.3.39	yady adhiśrīyamāṇaṃ yady adhiśritaṃ skanded anyām abhiduhyādhiśrityonnīya juhuyāt
6.3.40	saiva tatra prāyaścittiḥ
6.3.41	yady unnīyamānaṃ yady unnītaṃ yadi pura upasannam ahute skandet punar avanīyānyām abhiduhyādhiśrityonnīya juhuyāt
6.3.42	saiva tatra prāyaścittiḥ
6.3.43	yatra skandet tad apo ninayet
6.3.44	āpo vai yajñasya niṣkṛtiḥ
6.3.45	adbhir evainaṃ niṣkaroti
6.3.46	pratiṣiktam anyad apratiṣiktam anyat
6.3.47	pratiṣiktaṃ paśukāmasyāpratiṣiktaṃ brahmavarcasakāmasya
6.3.48	gharmo vā eṣa pravṛjyate yad agnihotram
6.3.49	yad apratiṣiktena juhoti
6.3.50	brahmavarcasī bhavati
6.3.51	yadi payo na vinded ājyena juhuyāt
6.3.52	taddhy apratiṣekyam apaśavyam
6.3.53	īśvaram asyāśāntaṃ śucā paśūn nirdahaḥ
6.3.54	pratiṣiktaṃ paśukāmasya
6.3.55	tac chāntaṃ mithunam āpaś ca payaś ca
6.3.56	yadi payo na vinded yavāgvā juhuyāt
6.3.57	taddhi pratiṣekyaṃ śāntaṃ mithunaṃ paśavyam āpaś ca taṇḍulāś ca
6.4.1	agnihotre vai jāyampatī vyabhicarete
6.4.2	yat prācīnam udvāsayet patiḥ pūrvaḥ pramīyeta
6.4.3	yat pratīcīnam udvāsayej jāyā pūrvā pramīyeta
6.4.4	saṃpraty udīcīnam udvāsayet
6.4.5	sam evaṃ jīryataḥ pūrṇam agra unnayet
6.4.6	atha saṃmitam atha saṃmitam atha saṃmitatamam uttamam
6.4.7	anujyeṣṭham evāsya putrā ṛdhnuvanti
6.4.8	saṃmitam agra unnayet
6.4.9	atha bhūyo 'tha bhūyo 'tha pūrṇam uttamaṃ bhūyaḥ
6.4.10	bhūya evānnādyam abhyutkrāmati
6.4.11	kaniṣṭhas tv asya putrāṇām ardhuko bhavati
6.4.12	sarvān samāvad unnayed yaḥ kāmayeta
6.4.13	sarve me putrās samāvadṛdhnuyur iti
6.4.14	sarveṣāṃ vai pitā putrāṇām ṛddhiṃ kāmayate
6.4.15	sarva eva samāvadṛdhnuvanti
6.4.16	nānyo 'nyam atikrāmati
6.4.17	catur unnayati
6.4.18	catuṣpada evāsmai paśūn na ...
6.4.19	dvipada evāsmai paśūn yacchati
6.4.20	paśūn me yaccheti
6.4.21	paścād upasādayet
6.4.22	paśavo vai gārhapatyaḥ paśavaḥ payaḥ
6.4.23	paśūnām evaiṣā yatiḥ
6.4.24	na paścād upasādayet
6.4.25	havir vā etad yad agnihotram
6.4.26	yajamāno haviḥ
6.4.27	havirbhūtam eva yajamānam apanudate
6.4.28	uttarād upasādayet
6.4.29	apūtaṃ vā etad yad agnihotram
6.4.30	agniḥ pavitram
6.4.31	yat samayāgniṃ harati
6.4.32	tenaivainat punāti
6.4.33	anu vā eṣa etad dhyāyati yat paścādhiśritya puro juhoti
6.4.34	yat samayāgniṃ harati
6.4.35	tenaivainaṃ prīṇāty ananudhyāyinaṃ karoti
6.4.36	asmād vai gārhapatyād asau pūrvo 'gnir asṛjyata
6.4.37	ayaṃ vāva prajāpatiḥ
6.4.38	asau pūrvo 'gniḥ
6.4.39	tad ayam ita ādāya prāṅ anūddrutyājuhot
6.4.40	tasmād agnihotraṃ paścādhiśritya puro juhvati
6.4.41	pura evānyāni havīṃṣi śṛtāni kurvanti puro juhvati
6.5.1	idhmo vā eṣo 'gnihotrasya yat samit
6.5.2	yat samidham ādadhāti
6.5.3	idhmam evaitam agnihotrasya karoti
6.5.4	rudra oṣadhīr viṣeṇālimpat
6.5.5	tāḥ paśavo nāliśanta
6.5.6	tābhyo devāḥ prāyaścittim aicchan
6.5.7	sa prajāpatir abravīt
6.5.8	vāryaṃ vṛṇai
6.5.9	ahaṃ va etās svadayiṣyāmīti
6.5.10	sa etāṃ samidham avṛṇīta
6.5.11	tasmād ekā
6.5.12	eko hi prajāpatiḥ
6.5.13	tā agninopāsṛjat
6.5.14	tā agnir asvadayat
6.5.15	etasyāṃ vā āhitāyām agnihotriṇe vīrudhas svadanti
6.5.16	svaditam asyānnaṃ bhavati ya evaṃ veda
6.5.17	bahur dvīkaroti
6.5.18	ubhe āhutī samiddhe juhavānīti
6.5.19	ekaiva kāryā
6.5.20	sakṛddhy eva sarvasmai yajñāya samidhyate
6.5.21	āyur me yaccha
6.5.22	varco me yaccha
6.5.23	prajāṃ me yaccheti
6.5.24	pura upasādayet
6.5.25	sṛṣṭir vā etad yad agnihotram
6.5.26	yan nopasādayet parācīḥ prajā iyuḥ
6.5.27	yad upasādayati
6.5.28	tasmād idaṃ prajā yatāḥ
6.5.29	tasmād upatiṣṭhante
6.5.30	agnau jyotiḥ
6.5.31	jyotir agnā iti
6.5.32	sāyam agnihotraṃ juhuyāt
6.5.33	garbhiṇyā vācā garbhaṃ dadhāti
6.5.34	mithunayā vācā garbhaṃ dadhāti
6.5.35	sūryo jyotiḥ
6.5.36	jyotis sūrya iti
6.5.37	prātaḥ
6.5.38	taṃ garbhiṇyā vācā mithunayā prajanayati
6.5.39	yan niruktaṃ cāniruktaṃ ca tan mithunam
6.5.40	yad yajuṣā ca manasā ca tan mithunam
6.5.41	tad ajāmi
6.5.42	āhutyor āgneyī sāyamāhutiḥ
6.5.43	saurī prātaḥ
6.5.44	agniḥ pravāpayitā
6.5.45	sūryaḥ prajanayitā
6.5.46	amnas sūrye nimrukte sāyam agnihotraṃ juhuyāt
6.5.47	upodayaṃ sūryasya prātaḥ
6.5.48	agnir eva pravāpayitvā sūryaṃ rātryai garbhaṃ dadhāti
6.5.49	taṃ garbhiṇyā vācā mithunayā prātaḥ prajanayati
6.5.50	etaṃ vai prajāyamānaṃ prajā anuprajāyante
6.5.51	pra prajayā pra paśubhir jāyate yasyaivam agnihotraṃ hūyate
6.5.52	eṣā vā agnihotrasya sthāṇuḥ
6.5.53	yā pūrvāhutis tām atihāya juhuyāt
6.5.54	tam eva parivṛṇakti
6.5.55	abhikrāmaṃ sāyaṃ hotavyam
6.5.56	garbham eva dadhāti
6.5.57	pratikrāmaṃ prātaḥ
6.5.58	praiva janayati
6.5.59	tad āhuḥ
6.5.60	abhikrāmam eva hotavyam
6.5.61	abhikrāntena hi yajñasyardhnoti
6.5.62	yaj juhoti tad devānām
6.5.63	yad uddiśati tena rudraṃ śamayati
6.5.64	yan nimārṣṭi tat pitṝṇām
6.5.65	yat prāśnāti tan manuṣyāṇām
6.5.66	tasmād agnihotraṃ vaiśvadevam ucyate
6.6.1	praiyamedhā vai nāma brāhmaṇā āsan
6.6.2	te sarvam aviduḥ
6.6.3	tat sahaivāviduḥ
6.6.4	te 'gnihotra eva na samarādhayan
6.6.5	teṣāṃ sakṛd eko 'gnihotram ajuhod dvir ekas trir ekaḥ
6.6.6	teṣāṃ yas sakṛd ajuhot tam itarā apṛcchatām
6.6.7	kasmai tvaṃ juhoṣīti
6.6.8	ekadhaivedam iti
6.6.9	abravīt
6.6.10	prajāpatiḥ prajāpataya evāhaṃ juhomīti
6.6.11	teṣāṃ yo dvir ajuhot tam itarā apṛcchatām
6.6.12	kasmai tvaṃ juhoṣīti
6.6.13	agnaye caiva sāyaṃ prajāpataye ceti
6.6.14	abravīt
6.6.15	sūryāya ca prātaḥ prajāpataye ceti
6.6.16	teṣām yas trir ajuhot tam itarā apṛcchatām
6.6.17	kasmai tvaṃ juhoṣīti
6.6.18	agnaye sūryāya prajāpataye iti
6.6.19	abravīt
6.6.20	tebhya eva sāyaṃ juhomi
6.6.21	tebhyaḥ prātar iti
6.6.22	teṣāṃ yo dvir ajuhot sa ārdhnot
6.6.23	sa bhūyiṣṭho 'bhavat
6.6.24	prajayātītarau śriyākrāmat
6.6.25	tasya prajām itarayoḥ praje sajātatvam upaitām
6.6.26	tasmād dve hotavye yajuṣā ca manasā ca
6.6.27	yām eva sa ṛddhim ārdhnot tām ṛdhnoti
6.6.28	yadi sāyam ahute 'gnihotre pūrvo 'gnir anugacched agnihotram adhiśrityonnīyāgninā pūrveṇoddrutyāgnihotreṇānūddravet
6.6.29	āhutyaivainaṃ cyāvayati
6.6.30	yo brāhmaṇo bahuvit syāt sa uddharet
6.6.31	sarveṇaivainaṃ brahmaṇoddharati
6.6.32	yat purā dhanam adāyī syāt tad dadyāt
6.6.33	acyutenaivainaṃ cyāvayati
6.6.34	yadi prātar ahute 'gnihotre 'paro 'gnir anugacched anugamayitvā pūrvaṃ mathitvāparam uddhṛtya juhuyāt
6.6.35	saiva tatra prāyaścittiḥ
