#Text:Maitrāyaṇīsaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



1.1.1.1	iṣe tvā subhūtāya
1.1.1.2	vāyavaḥ stha
1.1.1.3	devo vaḥ savitā prārpayatu śreṣṭhatamāya karmaṇe
1.1.1.4	āpyāyadhvam aghnyā devebhyā indrāya bhāgam
1.1.1.5	mā vaḥ stena īśata māghaśaṃso dhruvā asmin gopatau syāta bahvīḥ
1.1.1.6	yajamānasya paśūn pāhi
1.1.2.1	goṣad asi pratyuṣṭaṃ rakṣaḥ pratyuṣṭārātiḥ
1.1.2.2	preyam agād dhiṣaṇā barhir accha manunā kṛtā svadhayā vitaṣṭā / tayāvahante kavayaḥ purastāt
1.1.2.3	devānāṃ pariṣūtam asi viṣṇoḥ stupo 'tisṛṣṭo gavāṃ bhāgo devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ barhir devasadanaṃ dāmi
1.1.2.4	atas tvaṃ barhiḥ śatavalśaṃ viroha sahasravalśā vi vayaṃ ruhema
1.1.2.5	ayupitā yonir adityā rāsnāsīndrāṇyāḥ saṃnahanaṃ pūṣā te granthiṃ grathnātu sa te mā sthād indrasya tvā bāhubhyām udyacche bṛhaspater mūrdhnāharāmy urv antarikṣaṃ vīhy adityās tvā pṛṣṭhe sādayāmi
1.1.3.1	śundhadhvaṃ daivyāya karmaṇe vasūnāṃ pavitram asi śatadhāraṃ sahasradhāram achidratanu
1.1.3.2	dyaur asi pṛthivy asi mātariśvano gharmaḥ
1.1.3.3	viśvahotur dhāmant sīda
1.1.3.4	poṣāya tvādityā rāsnāsi kām adhukṣaḥ sā viśvāyur astv asau kām adhukṣaḥ sā viśvabhūr astv asau kām adhukṣaḥ sā viśvakarmāstv asau hutaḥ stoko huto drapso 'gne pāhi vipruṣaḥ supacā devebhyo havyaṃ pacāgnaye tvā bṛhate nākāya svāhā dyāvāpṛthivībhyām indrāya tvā bhāgaṃ somenātanacmi viṣṇo havyaṃ rakṣasvāpo jāgṛta
1.1.4.1	veṣāya vāṃ karmaṇe vāṃ sukṛtāya vāṃ devīr āpo 'greguvo 'greṇīyo 'gre 'sya yajñasya pretāgraṃ yajñaṃ nayatāgraṃ yajñapatiṃ yuṣmān indro 'vṛṇīta vṛtratūrye yūyam indram avṛṇīdhvaṃ vṛtratūrye prokṣitāḥ stha saṃsīdantāṃ daivīr viśo vānaspatyāsi varṣavṛddham asy urv antarikṣaṃ vīhi pratyuṣṭaṃ rakṣaḥ pratyuṣṭārātir dhūr asi dhvara dhvarantaṃ yo asmān dhvarād yaṃ vayaṃ dhvarāma taṃ dhvara
1.1.5.1	devānām asi vahnitamaṃ sasnitamaṃ papritamaṃ juṣṭatamaṃ devahūtamam / ahrutam asi havirdhānam / dṛṃhasva / mā hvār / viṣṇoḥ kramo 'si / uru vātāya / mitrasya vaś cakṣuṣā prekṣe / devasya vaḥ savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām / yacchantu pañca / gopīthāya vo nārātaye / agnaye vo juṣṭān nirvapāmy amuṣmai vo juṣṭān / idaṃ devānām idam u naḥ saha / dṛṃhantāṃ duryāḥ / svāhā dyāvāpṛthivībhyāṃ / nir varuṇasya pāśād amukṣi svar abhivyakśaṃ / jyotir vaiśvānaram urv antarikṣaṃ vīhy adityā va upasthe sādayāmi
1.1.6.1	devo vaḥ savitotpunātv achidreṇa pavitreṇa / vasoḥ sūryasya raśmibhiḥ
1.1.6.2	agnaye vo juṣṭān prokṣāmy amuṣmai vo juṣṭān / yad vo 'śuddha ālebhe taṃ śundhadhvam / adityās tvag asy avadhūtaṃ rakṣo / avadhūtārātiḥ / adityās tvag asi / prati tvādityās tvag vettu / pṛthugrāvāsi vānaspatyaḥ / prati tvādityās tvag vettv / agner jihvāsi vāco visarjanam / āyuṣe vo bṛhadgrāvāsi vānaspatyaḥ / devebhyo havyaṃ śamīṣva suśami śamīṣva / kuṭarur asi madhujihvaḥ / tvayā vayaṃ saṃghātaṃ saṃghātaṃ jeṣma / iṣam āvada / ūrjam āvada / rāyaspoṣam āvada
1.1.7.1	varṣavṛddham asi / prati tvā varṣavṛddhaṃ vettu / parāpūtaṃ rakṣaḥ / parāpūtārātiḥ / praviddho rakṣasāṃ bhāgaḥ / adityās tvag asi / avadhūtaṃ rakṣo 'vadhūtārātiḥ / adityās tvag asi / prati tvādityās tvag vettu / dhiṣaṇāsi pārvatī / prati tvādityās tvag vettu / dhiṣaṇāsi pārvatī / prati tvā pārvatī vettu / adityāḥ skambho 'si / dhānyam asi / dhinuhi devān / prāṇāya tvāpānāya tvā vyānāya tvā dīrghām anu prasṛtiṃ saṃspṛśethām / āyuṣe vaḥ / mitrasya vaś cakṣuṣāvekṣe / devo vaḥ savitā hiraṇyapāṇir upagṛhṇātu
1.1.8.1	nirdagdhaṃ rakṣo nirdagdhārātiḥ / samudraṃ mā dhāk / dhruvam asi / pṛthivīṃ dṛṃha / apāgne 'gnim āmādaṃ jahi / niḥ kravyādaṃ nudasva / agne devayajanaṃ vaha / dharuṇam asi / antarikṣaṃ dṛṃha / dhartram asi / divaṃ dṛṃha / dharmāsi / viśvā viśvāni dṛṃha / cid asi / paricid asi / viśvāsu dikṣu sīda / sajātān asmai yajamānāya pariveśaya / sajātā imaṃ yajamānaṃ pariviśantu / vasūnāṃ rudrāṇām ādityānāṃ bhṛgūṇām aṅgirasāṃ gharmasya tapasā tapyadhvam
1.1.8.2	yāni gharme kapālāny upacinvanti vedhasaḥ / pūṣṇas tāny api vrata indravāyū vimuñcatām
1.1.9.1	devasya vaḥ savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ saṃvapāmi
1.1.9.2	devo vaḥ savitotpunātv achidreṇa pavitreṇa / vasoḥ sūryasya raśmibhiḥ
1.1.9.3	sam āpā oṣadhībhir gacchantāṃ sam oṣadhayo rasena / saṃ revatīr jagatīḥ śivāḥ śivābhiḥ samasṛkṣatāpaḥ
1.1.9.4	sīdantu viśo / janayatyai tvā / gharmo 'si viśvāyuḥ / gharma gharme śrayasva / uru prathasva / uru te yajñapatiḥ prathatām / saṃ te tanvā tanvaḥ pṛcyantām
1.1.9.5	pari vājapatiḥ kavir agnir havyāny akramīt / dadhad ratnāni dāśuṣe
1.1.9.6	devas tvā savitā śrapayatu varṣiṣṭhe adhi nāke pṛthivyāḥ / agne brahma gṛhṇīṣva
