#Text:Sāmavidhānabrāhmaṇa
#Edition:Sharma 1980; DCS version
#Data entry:H. Falk



1.1.1	brahmā ha vā idam agra āsīt
1.1.2	padārthavivṛttiḥ
1.1.3	tasya tejo raso 'tyaricyata / sa brahmā samabhavat
1.1.4	sa tūṣṇīṃ manasādhyāyat / tasya yan mana āsīt sa prajāpatir abhavat
1.1.5	tasmāt prājāpatyāṃ manasā juhvati / mano hi prajāpatiḥ
1.1.6	tasya dyauḥ śira āsīd uro 'ntarikṣaṃ madhyaṃ samudraḥ pṛthivī pādau
1.1.7	sa vā idaṃ viśvaṃ bhūtam asṛjata / tasya sāmopajīvanaṃ prāyacchat
1.1.8	upajīvanīyo bhavati ya evaṃ veda
1.1.9	tad yo 'sau kruṣṭatama iva sāmnaḥ svaras taṃ devā upajīvanti
1.1.10	yo 'vareṣāṃ prathamas taṃ manuṣyāḥ yo dvitīyas taṃ gandharvāpsaraso yas tṛtīyas taṃ paśavo yaś caturthas taṃ pitaro ye cāṇḍeṣu śerate yaḥ pañcamas tam asurarakṣāṃsi yo 'ntyas tam oṣadhayo vanaspatayo yac cānyaj jagat / tasmād āhuḥ sāmaivānnam iti / sāma hy eṣām upajīvanaṃ prāyacchet
1.1.11	upajīvanīyo bhavati ya evaṃ veda
1.1.12	tasya ha vā etasya sāmna ṛg evāsthīni svaro māṃsāni stobhā lomāni
1.1.13	yo ha vai sāmnaḥ svaṃ yaḥ suvarṇaṃ veda svaṃ ca ha vai sāmnaḥ suvarṇaṃ ca bhavati svaro vāva sāmnaḥ svaṃ tad eva suvarṇam
1.1.14	yo ha vai sāmnaḥ pratiṣṭhāṃ veda prati ha tiṣṭhaty asmiṃś ca loke 'muṣmiṃś ca / vāg vāva sāmnaḥ pratiṣṭhā / yad etad vāg ity ṛg eva sā / ṛci sāma pratiṣṭhitam
