1.1.1	Agni is the lowest of the gods, Vishnu is the highest, and between them are all the other gods.
1.1.2	They offer a cake on eleven potsherds to Agni-Vishnu for the consecration.
1.1.3	They offer it to him between the two gods.
1.1.4	Agni is all the gods, Vishnu also is all the gods.
1.1.5	These are the last two forms of the sacrifice, Agni and Vishnu. In that they offer an oblation to Agni-Vishnu, they prosper the gods at the end.
1.1.6	They say, "If the oblation is in eleven potsherds, and there are two Agni-Vishnus, how is the distribution made?"
1.1.7	The Agniya (cake) is on eight potsherds. The Gayatri has eight syllables. The metre of Agni is the Gayatri. The Visnuya (cake) on three potsherds. Three times indeed did Vishnu stride. There was a division of the army there. That is the division.
1.1.8	One should offer a cake on ghee for one who thinks he is not established.
1.1.9	He indeed is not established in this (world) who is not established.
1.1.10	Whatever is ghee, that is the woman; whatever are the grains, that is the man. That is a pair. By means of a pair he thus generates him with offspring and cattle for propagation.
1.1.11	He who knows this is born with offspring and cattle.
1.1.12	Now, he who performs the Darsha-Purnamāsa sacrifices is one who has begun a sacrifice and has begun a deity. Having performed the offering of the New Moon or the Full Moon, one should consecrate oneself in that very offering, on that very sacrificial grass. This is the single consecration.
1.1.13	One should recite seventeen Sāmidhenī verses.
1.1.14	Prajapati is seventeenfold, twelve months, five seasons, the winter and the summer being combined. So long is the year, so long is Prajapati.
1.1.15	He who knows this, indeed, prospers by means of the abodes of Prajapati.
1.2.1	Sacrifice went away from the gods. He desired to send it by means of Iṣṭis. When he desired to send it through Iṣṭis, that is why Iṣṭis are called Iṣṭis; they found him.
1.2.2	One who knows this finds success.
1.2.3	These are called the Ahuti (oblations) because they are offered. By means of these, the sacrificer invites the gods. That is why they are called Ahuti.
1.2.4	These are called the Utayis (inviting) because by means of them the gods come to the sacrificer's call. Those are the paths, those are the streams. They are the Utayis. They become the path to heaven for the sacrificer.
1.2.5	They say, "When one offers and another recites the Yajus, why is the one who recites called the Hotṛ?"
1.2.6	"When he brings the deities to that place according to their respective shares, saying 'Bring this one, bring that one,' that is the Hotṛ's Hotṛhood."
1.2.7	One becomes a Hotṛ, and is called a Hotṛ, by one who knows this.
1.3.1	The priests again make the embryo of him whom they initiate.
1.3.2	They sprinkle him with water.
1.3.3	Water is semen; having made him have semen, they initiate him.
1.3.4	They anoint him with fresh butter.
1.3.5	The ghee is the fragrance of the gods, the butter of men, the oil of the ancestors, the fresh butter of the embryos. When they anoint with fresh butter, they make him prosper with his own share.
1.3.6	They anoint him.
1.3.7	The anointing is the lustre of the eyes. Having made him lustrous, they initiate him.
1.3.8	They purify him with twenty-one darbha-blades.
1.3.9	They consecrate him as pure.
1.3.10	They make him walk the distance of a consecrated person.
1.3.11	This is the womb of the consecrated person, the distance of a consecrate person; they make him walk his own womb.
1.3.12	Therefore he dwells and moves from that firm womb.
1.3.13	Therefore from that firm womb, embryos are conceived and born.
1.3.14	Therefore the consecrated one should not be brought near any other than the consecrated one, nor should the sun rise or set, nor should he be brought near.
1.3.15	They sprinkle with a garment.
1.3.16	The garment is the embryo of the consecrated one; they sprinkle him with the embryo.
1.3.17	The upper garment is made of black antelope skin.
1.3.18	The upper garment is the embryo, the placenta is the placenta.
1.3.19	He makes a fist.
1.3.20	Having made a fist, the embryo lies within. Having made a fist, a child is born. When he makes a fist, he makes the sacrifice and all the deities.
1.3.21	They say, "There is no consecration before the sacrifice. The sacrifice of him who has been consecrated is taken up, and the deities are taken up. There is no distress for him who has been initiated. It is as it is."
1.3.22	He releases the black antelope skin and enters the Avabhṛtha. From that the embryos are released from the womb and are born.
1.3.23	He goes forth with the garment; therefore the child is born with the caul.
1.4.1	One should recite the Puronuvākyā for the Ajyabhāga offerings, "You, O Agni, are the one with brilliance, O Soma, those of yours who are bountiful," for one who has not performed the sacrifice before.
1.4.2	"With you, they spread out the sacrifice," he spreads out the sacrifice for him.
1.4.3	Agni, with the ancient hymn, O Soma, we praise thee. He who would offer first, to him.
1.4.4	"The word "ancient" is used to indicate the earlier rite."
1.4.5	One should not pay attention to that.
1.4.6	One should perform the Vartraghna rites with the verses "Agni has shattered the foes...", "O Soma, thou art the lord of truth..."
1.4.7	He who approaches the sacrifice is slain by Vritra. Therefore, they should be performed in the Agni-Vritra-slaying rite.
1.4.8	"The Agni-Vishnu rite has the following two verses: "Agni is the first deity, the mouth; Agni and Vishnu are the supreme and highest heat."
1.4.9	The Agni-Visņu offerings are the most prosperous. Prosperity is the most prosperous in a sacrifice. When a rite is being performed, if a verse is recited,
1.4.10	Agni and Vishnu are the guardians of the consecration of the gods. They rule over the consecration. When there is an oblation to Agni and Vishnu, it is because they rule over the consecration, and they are pleased, and they bestow the consecration. They are the consecrators, and they consecrate.
1.4.11	They are in the Tristubh metre, for the sake of having the senses.
1.5.1	One desiring brilliance and brahmic glory should perform the Gāyatrī and Svishtakṛt offerings.
1.5.2	Gāyatrī is indeed brilliance and brahmic splendor.
1.5.3	One becomes brilliant and brahmic by performing the Gāyatrīs, knowing this.
1.5.4	One desiring longevity should perform the Uṣṇīṣa offerings.
1.5.5	Uṣṇīṣ is indeed longevity.
1.5.6	One who knows this attains the full span of life by performing the Uṣṇīṣa and Anuṣṭubh verses.
1.5.7	One desiring heaven should perform the Anuṣṭubha verses.
1.5.8	There are sixty-four syllables in two Anuṣṭubhas, three are the higher ones, twenty-one are the worlds. One ascends these worlds by twenty-one. One attains the heaven by the sixty-fourth. One stands firm in the world.
1.5.9	He who knowing thus, makes the Anushtubh verses, prospers.
1.5.10	One desiring prosperity and fame should make the Brihatis.
1.5.11	Brihatis are the prosperity and fame of the metres.
1.5.12	He who knowing thus, make the Brihaty verses, attains prosperity and fame in himself.
1.5.13	One desiring the sacrifice should make the Pankti verses.
1.5.14	The sacrifice is fivefold.
1.5.15	The sacrifice bows to him who, knowing this, performs the Pankti.
1.5.16	One desiring strength should perform the Tristubh.
1.5.17	The Tristubh is strength, energy, and virility.
1.5.18	He who, knowing this performs the Tristubh becomes strong, energetic, and virile.
1.5.19	One desiring cattle should perform the Jagati.
1.5.20	Cattle are indeed Jagati.
1.5.21	He who knows this and performs the Jagati verses becomes a possessor of cattle.
1.5.22	One desiring food should perform the Viraja verses.
1.5.23	Food is Viraja.
1.5.24	Therefore, he who has the most food here shines the most in the world. That is the Viraja's Viraja-ness.
1.5.25	He shines among his own and becomes the best of his own, he who knows this.
1.6.1	Now, the Viraj is indeed the five-fold energy of the Chanda.
1.6.2	The three feet of it are the Tristubh, the eleven syllables of its feet are the Jagati, and the thirty-three syllables are the Anushtubh. The Chanda do not proceed with one syllable or two syllables. The Viraj is the fifth.
1.6.3	He obtains the strength of all the metres, he attains the strength of all metres, he attains union, similarity and the same world as all the metres. He becomes the lord of food, the lord of food. He attains offspring and food. He who knowing thus performs the Viraj rites.
1.6.4	Therefore the Viraj rites should be performed.
