6.1.1	Prajapati was this (universe).
6.1.2	From him Agni was generated.
6.1.3	It flowed upwards from his head.
6.1.4	What was the blood of that (Agni), that was scraped off.
6.1.5	That was placed on the earth.
6.1.6	From that the Udumbara was born.
6.1.7	Therefore it is cooked with blood.
6.1.8	It ran eastwards.
6.1.9-15	His own speech said to him, "Offer!" He touched it from here. He offered it with "Svāhā." Therefore this is the offering. His own speech said to it, "Offer!" Therefore there is no hair on the forehead or on the hands. Therefore the ladle is the size of an arm-span.
6.1.16-22	He offered that to the eye itself. To the sun itself. "In the fire, light, light in the fire." He offered light to light. Brahma offered, truth offered. He offered that to the sun itself. For this is indeed the Agnihotra.
6.1.23	He who offers the Agnihotra thus, becomes better and better every day.
6.1.24	Before the day and night came into existence,
6.1.25	they were created together by this offering.
6.1.26	When one offers in the evening,
6.1.27	one sends one's rival away.
6.1.28	When one makes the offering in the morning,
6.1.29	one sends oneself back.
6.1.30	The Agnihotra is offered for the protection of Agni.
6.1.31	By what he offers in the evening, he delights him with the night.
6.1.32	By what he offers in morning, with the day.
6.1.33	This is the first offering to Agni, namely, the Agnihotra.
6.1.34	Therefore all offerings are offered in Agni.
6.1.35	Now this is called Agnihotra.
6.1.36	Agnihotra indeed is the name.
6.1.37	There is no one else among the equals who is more powerful than he for whom the Agnihotra is offered in this way.
6.2.1	He did not like it.
6.2.2	He ran away.
6.2.3	He offered it in that (fire).
6.2.4	From that offering a man was born.
6.2.5	He did like it.
6.2.6	It ran away.
6.2.7	It offered it in that.
6.2.8	From that offering, a horse was born.
6.2.9	Therefore, the man and the horse, when going in the opposite direction at night, are not easily recognized.
6.2.10	He did not like it.
6.2.11	He ran away.
6.2.12	He offered a sacrifice to him.
6.2.13	From that oblation, a cow was born, a goat was born, a sheep was born, barley was born, and rice was born.
6.2.14	From these seven oblations, these seven domestic animals were created.
6.2.15	He did not like it.
6.2.16	He ran away.
6.2.17	He offered oblations to him.
6.2.18	From that oblation, Spring was born, Summer was born, the Rains were born, Autumn was born, Winter was born,
6.2.19	When the thirteenth oblation was about to be offered, he was afraid.
6.2.20	He approached the west.
6.2.21	He entered through the hand.
6.2.22	Therefore there is no hair on the hands.
6.2.23	This is the place of Agni.
6.2.24	Therefore Agni is generated by churning with the hands.
6.2.25	Therefore when being churned, it takes the hands.
6.2.26	He indeed desires Agni's protection.
6.2.27	Cattle indeed stand near Agni.
6.2.28	Agni is cattle.
6.2.29	Cattle enter him.
6.2.30	He who knows this enters cattle.
6.2.31	He poured that oblation into water.
6.2.32	From that the cold was born.
6.2.33	That is the most cruel.
6.2.34	For it was not born from the burnt or the unburnt.
6.2.35	The oblation approached the waters to burn them.
6.2.36	Then the waters became the thunderbolt to Agni.
6.2.37	Therefore one should not sprinkle Agni.
6.2.38	If one sprinkles, one would worship with the dead.
6.2.39	He placed that oblation in the plants.
6.2.40	Therefore plants grow without being sprinkled.
6.2.41	Animals are superior to plants.
6.2.42	Human beings are superior to animals.
6.2.43	This is the cold ghee that shines for Agni.
