1.1.1.1	For you, O Agni, for the well-being.
1.1.1.2	You are the Vāyu deities.
1.1.1.3	May the god Savitar impel you to the best deed.
1.1.1.4	Nourish yourselves, O blameless ones, for the gods, for Indra's share.
1.1.1.5	May no thief injure you, may no evil-speaking one. Be many firm ones in this protector of cattle.
1.1.1.6	Protect the animals of the sacrificer.
1.1.2.1	You are the seat of cows, the Rakshas is repelled, the hostility is repelled.
1.1.2.2	The mind has gone to the grass, made by Manu, established by its own nature, by it the poets have struck in front.
1.1.2.3	You are the portion of the gods, the portion of Vishnu, the portion of the cows, the portion of Agni, the portion of Soma, the portion of Indra, the portion of Varuna, the portion of Yama, the portion of Mitra, the portion of Aryaman, the portion of Sarasvati, the portion of Pusan, the portion of Savitr, the portion of Brhaspati, the portion of Parjanya, the portion of Dhruva, the portion of Anala, the portion of Vayu, the portion of Nirriti, the portion of Bhava, the portion for the gods, the share of the gods, you are the portion of heaven, the portion of earth, the portion of heaven and earth, the portion for heaven and earth, you are the share of heaven and earth.
1.1.2.4	From here, O Barhi, grow with a hundred shoots, may we grow with a thousand shoots.
1.1.2.5	May the womb of Aditi be your womb, the girdle of Indra's wife, Pūṣan may bind your knot. May it not remain with you. I lift you up with Indra's arms, I bring you down with Brihaspati's head. May you be on the path of the sky. I place you on Aditi's back.
1.1.3.1	Purify yourselves for the divine rite. You are the purifier of the Vasus, with a hundred streams, with a thousand streams, with an unpierced body.
1.1.3.2	You are heaven, you are earth, you are the heat of the sun, the lord of all.
1.1.3.3	You have settled in the abode of the universal Hotri.
1.1.3.4	For nourishment thee, O Aditya, thou art the stalk. What thou hast cleansed, that be all-life. What thou hast cleanse, that be all existence. What thou hast cleaned, that be all creation. The offered drop, the offered spark, O Agni, guard me from the stains. The well-cooked offering for the gods. For thee, O Agni, the great, the heavenly, hail! To heaven and earth thee. For thee, Indra, I offer the portion with Soma. O Vishnu, guard the offering. Be awake, be watchful.
