1.1.1	Brahma indeed was here at first.
1.1.2	The meaning of the words is explained.
1.1.3	His lustre and essence overflowed, and he became Brahma.
1.1.4	He meditated silently with his mind. What was his mind became Prajapati.
1.1.5	Therefore they offer silently with the mind to Prajapati, for the mind is Prajapati.
1.1.6	His head was heaven, his chest the atmosphere, his middle the ocean, and his feet the earth.
1.1.7	He created this entire universe. He gave the Sama Veda as a means of livelihood.
1.1.8	One who knows this becomes one who is to be supported.
1.1.9	The sound of the Sama Veda is like the best of sounds. The gods support it.
1.1.10	The first of the lower worlds is for men, the second for Gandharvas and Apsarases, the third for animals, the fourth for the Pitrs who dwell in the Ancestral Regions, the fifth for Asuras and Rakshasas, the last for plants and trees. Whatever else there is in the world, they say that it is food, for this is their means of subsistence.
1.1.11	He who knows this, becomes one who is to be supported.
1.1.12	Now, of this Sama, the verses are the bones, the tone is the flesh, and the praises are the hair.
1.1.13	He who knows the true nature of the Sama, and the gold, indeed, has the true nature and the gold of the Sama. The tone is the true nature of Sama, and that itself is the gold.
1.1.14	He who knows the support of the Sama Veda, indeed, stands firm in this world and the other world. The Sama Veda is indeed the support of the Veda. What is called the Veda is indeed the Sama Veda.
1.1.15	When he sings the Gayatra in the Brihatī, the Bṛhat in the Jagatī, and the Jagatī in the Tristubh, then he attains equality. Therefore it is said to be Sama. The metres are equal in this (Sama). Because of equality. That is the nature of Sama.
1.1.16	The first is the Prajapati, the second is the Brahmana, the third is the Vaishvadeva, the fourth is the Aditya, the fifth is the Sadhya, the sixth is the Agni, the seventh is the Vayu, the eighth is the Soma, the ninth is the Mandra, the tenth is the Mitravaruna, the eleventh is the Ati-svara.
1.1.17	The gods approached Prajapati and said, "How can we go to the heavenly world?" He gave them these sacrificial rites, saying, "By these you will go to the world." They went to the heavenly world by them.
1.1.18	He who knows this goes to the heavenly world.
1.1.19	Those who are not pure, those who desire sensual pleasures, they said, “How can we go to the heavenly world?” To them he gave this study of the Vedas and austerities, saying, “By these you will go to the heavenly worlds.” By these they went to the heavenly worlds.
1.1.20	He who knows this goes to the heavenly world. He who knows this goes.
1.2.1	Now, we shall explain the three Kṛcchra penances.
1.2.2	Having eaten the sacrificial food in the morning, one should not eat for three nights.
1.2.3	Then for another three days, one should eat at night.
1.2.4	Then for three more days, one should not beg from anyone.
1.2.5	Then for the next three days, one fasts.
1.2.6	One should stand during the day and sit at night, desiring to be quick.
1.2.7	He should speak the truth. He should not converse with the unrighteous. He should always use the Raurava and Yaudhajayas. He should perform the ritual of sprinkling water. He should recite the Aphiṣṭīya verses.
1.2.8	Then the water offering. Salutations to the one who is the source of delusion, the one who is deluded, the one who deludes, the one who shakes, the one who burns, the one who revives, the one who has the crescent moon, salutations to the one with the staff, the one with the rope, the one with good fortune, the one with peace, the one who brings peace, salutations to Brahma, the one who saves, the one who protects well, the one who provides great protection, the one who gives protection, the one with lotus-like eyes, salutations to him. Salutations again and again to the one who has a good form, the one who possesses a great form, the one with a middle form, the one possessing the supreme form, the one engaged in celibacy, salutations again and again. This is the same as the worship of the sun, and these are the oblations offered in ghee. At the end of twelve nights, having cooked a pot of rice, one should offer oblations to those deities: "Salutations to Agni, salutations to Soma, salutations to Agni and Soma, salutations Indra and Agni, salutations Indra, salutations to all the gods, salutations to Brahmā, salutations to Prajāpati, salutations to Svishtakṛt Agni." Then the offering to the Brahmins.
1.2.9	This is the Ati-kriyâ-kriyâ.
1.2.10	One should eat as much as one takes at a time.
1.2.11	The third is the water-eater. This is the Atiâti-kriyâ.
1.2.12	Having performed the first, one becomes pure, clean, and fit for ritual acts. Having performed the second, one is freed from whatever sin one may have committed except the great sins. Having performed the third, one is freed of all sins.
1.2.13	Then, having performed these three austerities, one becomes purified in all the Vedas, known to all the gods, and one who knows this and one who knows thus.
1.3.1	Now, then, about the study of one's own sacred texts:
1.3.2	Having spoken the truth, one should commence. Having performed three Kṛcchra rites at the end, one becomes pure. Having established the fire, or having resorted to water or the sun, having spread Kuśa grass, sitting on the Kuśa grass facing east or north, holding a handful of Kuśa grass with the right hand,
1.3.3	First, one should chant the Trivṛt (Stoma) nine times.
1.3.4	One who always recites this attains the Agnihotra.
1.3.5	"The Pavamāna oblations are offered to Indra with the verse, "O Indra, the Soma flows for you."
1.3.6	The Darsha and Pūrnamāsa sacrifices are performed with the verses, "O Suvarma, O Suvarmaya," according to this same procedure."
1.3.7	One should eat the food left over by servants and guests, and at the proper time one should take a wife. One should also give water to guests, even if only a little. One should always use these words: "I am Indra, just as you are." One should also use these words: "May you be protected by Suvarma." On a festival day, one should always offer the Agnihotra without interruption. Then the Darśa and Pūrṇamāsa sacrifices are performed.
1.3.8	Having established the fire at the end of the ritual, having thrice washed the rice, barley, and grains, one should offer oblations: "Svāhā to Agni, Svāhā to Soma, the purifier, Svāhā Varuna, the healer, Svāhā Prajapatī, Svāhā Brahma, Svāhā Agni, the well-done."
1.3.9	Now, the Pancharatrikas eat rice and barley. The Agnihotra is prescribed at the end. The rites for the Kamyas are not prohibited. "One obtains the Caturmasyas by reciting the four-verse hymn, "Indra, you are the one who makes us prosper." The animal sacrifice is performed with the verse, "He who sends forth."
1.3.10	The animal sacrifice is performed by reciting the verses, "We worship Indra, the protector," and "He who sends."
1.3.11	With the vow of drinking milk, he sings to Indra in the manner of the Brihatī verse. With the four-verse Sāman, he sings the Sāman verses.
1.4.1	Now, the rules for the Sapta-ratra-vrata. Some observe the vow of eating almsfood or milk. One should enter the village only for the purpose of alms, and not for any other purpose except for reciting one's own sacred texts. One should lie down on the ground, and not go near water. At the end, the rules for Agnihotra and other rites are mentioned, and the performance of rites for desired objectives is not prohibited.
1.4.2	One who recites the ten verses beginning with "Eṅkhayantīr" and then recites the Rathantara and Vamadevya verses in succession, attains the Agniṣṭoma sacrifice.
1.4.3	"O Agni, the sacrifices, the sacrifices, yours are the fires" with the four-verse (hymn) he goes beyond the Agnistoma. "O Agni, I bow to your strength" with the ten-verse (hymns) he goes beyond Stotra. "Purifying, O Soma, you hold" with the verse he goes beyond the Sodashin. "Pouring out the pressed (Soma) that has been purified" with the verse (he goes beyond) the Atiratra.
1.4.4	"He who is on the vow of milk, with this rite, the three voices rise up" with the verse, he goes beyond the Vajapeya.
1.4.5	"For a month, with this rite, they worship Indra, the giver of wealth, as he is described. The one who has attained the tenth day of the month should perform the sacrifice."
1.4.6	"In the fourth month, eating and offering oblations, one should purify oneself. The one who performs the twelve-day sacrifice should do so."
1.4.7	He who performs the Gavāmayana sacrifice with these hymns for a year, attains the Gavāmayani sacrifice.
1.4.8	The Rajana and Rauhina hymns are for Tapasci.
1.4.9	Soma, the progenitor of thoughts, flows by this rite. By the four-fold verse, one attains the Cāturmāsya rites of Soma.
1.4.10	Eating village food at the eighth time for a year, reciting the Pra Tu Drave verse ten times, one attains the Naimisha rite for twelve years.
1.4.11	One who recites the four verses beginning with "Agneya" in the prescribed manner for four years attains a life of a hundred years.
1.4.12	One who recites all the verses attains a life of one thousand years. One who fasts attains a life of ten thousand years by reciting the Sahasra-samhita or the Sahasra Prsthopatapa.
1.4.13	The first three verses are Savitri, Gayatri, and Maha-namani. The name of this collection is "Amrita". By this collection, the gods attained immortality.
1.4.14	He who knows this attains immortality.
1.4.15	This is your praise. The first and the best, you, O man, are the former of the great ones. The young, the wise, the giver of honey, the flowing, the Soma, the giver of sweetness, the giver of good form, the giver of delight, the giver of the Madhucchada metre. This is the Madhucchadā metre. By this metre the gods attained heaven.
1.4.16	He who knows this attains heaven.
1.4.17	The king of you all, the class of you all, and the offerings of ghee, and the divine vows, this is called the Rudra Samhita. One who recites this pleases Rudra.
1.4.18	"This is Vishnu, the Prakshya, the Prakshi of Vishnu, speaking like a sage. This is the last verse in the Purusha Vrata. This is called the Vaishnavi Samhita. One reciting this pleases Vishnu."
1.4.19	The verse beginning with "Adardah" and ending with "Suhaste" is the first and sixth. This is called the Vighnesa Samhita. By reciting this, one pleases Vighnesa.
1.4.20	O Indra, come with your gentle steeds. Come to us in all places. The leader of the army. The filter. These are the verses of Skanda. One who recites this pleases Skanda.
1.4.21	Or, "Agni, the lord of the house, has settled down from the beginning, for they have praised the three-backed one." The two verses are called "Pitrya" (Pitṛ-related). One who recites these verses pleases the Pitṛs.
1.4.22	Standing in water up to the mouth, one should recite the Akya mantra three times seven times. This is the extent of all speech. By this, one attains all desires.
1.4.23	He who knows this and he who knows this.
1.5.1	Now, then, of the expiations.
1.5.2	In the absence of a teacher, mantras become powerful, endowed with austerity, and purifying.
1.5.3	If he has committed a sin, he should perform the expiation.
1.5.4	The practice of the Sama hymns is one hundred and ten.
1.5.5	Having spoken Kaha, one should sing this: "I have done the work of Dadhikravan."
1.5.6	Having spoken Parusha, one should say this: "Vishnu has wandered."
1.5.7	Having spoken Brahmana, three times.
1.5.8	Having propitiated the elders of his family, such as his brother, maternal uncle, and father’s brother, and having fasted for one night, he should recite the verse “O Soma, I am your friend” twenty-one times.
1.5.9	He should fast for three nights for his preceptor, mother, and father, but not for anyone else.
1.5.10	One who has taught without being authorized to do so should fast for seven nights and always recite the verse "The cows are pure, the universal sustainers."
1.5.11	One who has performed a sacrifice without being authorized to perform it should give away his sacrificial fees and eat after a month, reciting the verse "The Kaniyas."
1.5.12	When seeing something unclean, one should recite the verse "Those paths are below, in the sky." Similarly, when smelling something unclean.
1.5.13	If one eats what is not fit to be eaten or eats impure food, one becomes free from excrement. One should observe a fast for three nights at least. One should recite the hymn "We praise Indra, the pure one" at the beginning, repeating it a thousand times.
1.5.14	Even if one commits many offenses, one becomes purified by reciting the three Anashnaparyaṇas.
