1.1.1	Brahma and Subrahma were indeed in the beginning.
1.1.2	Then Subrahma departed.
1.1.3	Then the gods took Brahma with the sacrifice.
1.1.4	Agni is Brahma, that Aditya is Subrahma.
1.1.5	The gods sought the union of the sacrifice.
1.1.6	This is indeed the union of the sacrfice, where this heap of ashes is.
1.1.7	Therefore, standing on the heap of earth, Subrahmanya calls out to Subrahmanya.
1.1.8	He says "Subrahmanya" three times, like calling out to a woman.
1.1.9	The gods are indeed three times.
1.1.10	"O Indra, come!"
1.1.11	When he says "O Indra, come!", this is his actual name. He calls him by that name.
1.1.12	Come, O Hari!
1.1.13	Hari is the name of Indra's two horses, by them he carries all this.
1.1.14	Of Medhatithi, the sheep.
1.1.15	Medhatithi was carried off by a sheep.
1.1.16	Of Vrusanasva, the ass.
1.1.17	Vrusanasva had a daughter named Menaka, whom Indra desired.
1.1.18	Of Gauravaskandin.
1.1.19	Having become a deer, he drinks the king from the forest.
1.1.20	"To Ahalya, the husband."
1.1.21	Ahalya, the wife of Maitreya, had a lover.
1.1.22	"To the Brahman Koushika."
1.1.23	Kaushika, the Brahman, approached her.
1.1.24	"To Gautama, the speaker."
1.1.25	The gods and the Asuras were engaged in a battle. Gautama was resting in between them. Indra approached him and said, "You should act as our spy." He replied, "I am not willing." Then he said, "I will act in your form." He said, "As you think." Whatever Gautama said, he acted in the form of Gautama. This is why it is said, "Gautama."
1.1.26	"Thus, O Maghavan, come to the Sutiya."
1.1.27	Just as one would say, "I am the cook for you all," so he said to the gods, "Come to the Sutiyas."
1.1.28	"The gods are the Brahmanas."
1.1.29	The gods are indeed the gods. But these human gods are the Brahmins who are obedient and listen.
1.1.30	The oblations are the share of the gods, the Dakṣiṇās are the share of human beings. By oblations he pleases the gods, by Dakṣiṇā the human beings. He pleases the Brahmanas who listen and recite.
1.2.1	Then when Subrahmaṇya calls out to Subrahmaṇyā, at that time the Asuras and Rakṣas tried to destroy the sacrifice of the gods.
1.2.2	The gods cried out, "Brahma! Subrahma!"
1.2.3	Then Aditya, as Parjanya, the leader, advanced against them and struck them with rain, lightning, and thunder.
1.2.4	They say that the female is the most excellent, the male is the second, and the neuter is the third.
1.2.5	One should say that everything is so.
1.2.6	When Parjanya went forth as the cloud in front, that is the male; when it rains and when it thunders, that is the female; when it is lightning, that is the neuter. Therefore one should say that everything exists.
1.2.7	They say that the Rk is the Subrahmaṇya, the Yajus is the Sama. One should say that it is all. The name of this is like the Rk, Subrahmaṇyā. Therefore, the Rk is a mantra. Thus, this becomes a statement. Therefore, those who perform the Sama perform it as others do with the Sāmas. Therefore, the Sama. Therefore, one should say that it all.
1.2.8	Then, having called out to Subrahmaṇyā, he makes the sacrificer recite (the verse) for the removal of Rakṣas.
1.2.9	"He says, 'May the earth be your foot.' He says, 'May heaven be your foot.' The demons and Raksases that are in heaven, he strikes them down with that. He says, 'The directions be your foot.' Those demons and Raksasas that are in the directions, he strikes them with that. He then says, 'The supreme region of Brahman be your fifth foot.' The supreme region of Brahman is indeed the fifth foot. He then says this, 'May you milk the nourishment and strength.' He milks the nourishment and strength for him. He then says 'May you obtain the food and nourishment.' He obtains the food and nourishment for him.
1.2.10	This is the name of the Brahmanical hymn, and this is the hymn of the Brahmanical student. Therefore, when the morning recitation is performed and the sacrifice is concluded, the Brahmanical student invites the Brahmanical student to recite the Brahmanical hymn.
1.2.11	He who gives the Brahmanical hymn to the Brahmanical student who is united with it, attains the Brahman and the Brahmanical student (himself).
1.2.12	He who knows this, prospers his sacrifice with Brahman and prosperity.
1.2.13	Now they say that this is the atonement for what is known and what is not known. Therefore one should do this with one who knows, not with one who does not know.
1.3.1	The morning pressing has one metre. Therefore a man takes another with one foot and stands with another.
1.3.2	The Pavamāna (hymn) has three Gāyatrī verses; hence the three lower Prāṇas.
1.3.3	There are two Gāyatrī Sāmans; hence one does it with the lower Prāṇa.
1.3.4	There are also two Brhatī Sāmans; therefore with the upper Prāṇa. 
1.3.5	There is one Trisṭubh Sāman; therefore there is only one navel.
1.3.6	The Prāṇas are like the support.
1.3.7	Now, as for the subsequent (verses), they are the (verses) of the back.
1.3.8	The (verses) of Brihatī (metre) are one Gāyatrī (verse). Therefore, the shoulders are of Brihatī metre, and the hips are of Brihaty metre. They approach the back.
1.3.9	Now, as for the (verses) subsequent to that, they are the (verse) of the Pavamāna (Stotra).
1.3.10	The breath is Gāyatrī, the ear is Uṣṇīka, the Kakubha, the speech is Anushtup, the eye is Jagatī.
1.3.11	What is not nourishment is nourishment.
1.3.12	Two Gāyatrī verses are the two Sāmans. Therefore, he makes two things with Prāṇa: he breathes in and he breathes out. One metre, Kakub and Uṣṇih. Two Sāmans are there. Therefore, the hearing organ, though one, hears in two ways. Two Anushtup verses are the two Samans. Therefore, he does two things with speech: he speaks truth and falsehood. One verse is the Jagatī verse. Therefore, the two eyes, though one, see two things. He does not see what comes from behind.
1.3.13	Now, what is above that, is the Yajñāyajñiya.
1.3.14	He who knows this becomes the head of his own people.
1.3.15	Other limbs are like below, and the head is like above. Other people are like below him, and he is like above his own people. He who knows this becomes head of his own.
1.3.16	They say, "The sacrifice was born, and then it was born." This one is born, this one is born with the umbilical cord intact, this one is the one who knows the priestly duties, he who recites this Veda. When one recites this Veda, then they listen to him, saying, "He is reciting." That is how one is born.
1.3.17	The Gāyatrī with fewer syllables at the morning pressing is for the propagation of offspring, for offspring are born as it were from less.
1.3.18	The Gāyatrī verse with fewer syllables at midday pressing is for the prosperity of offspring, for they are born as itwere from less.
1.3.19	At the evening pressing the Gāyatrīverse with fewer syllables is for the prosperity in the world of the sacrificer, for the sacrificer is in the middle of the sacrifice.
1.3.20	The Gāyatrī verse is deficient in syllables, because the Prāṇa and Apāna are deficient in utterance.
1.3.21	The Yajñāyajñīya verse is deficient in the number of syllables, because the Utsṛṣṭi (the release) of the Prāṇas is deficient.
1.3.22	If one were to pour out the full (vessel), if one were to go away, if one were to fall into misfortune, or if one were not to go away, it would leak out.
1.3.23	They say, "These are the Utsṛṣṭis of the Savanas and the Prāṇs."
1.4.1	"O Adhvaryu!" he says. "O Udgātṛ, do not recite the Prātaranuvāka to the Hotṛ without informing me."
1.4.2	The Adhvaryu says:
1.4.3	"He goes when called. He approaches the Havirdhāna (shed) through the eastern door.
1.4.4	Sitting towards the north, facing the northern wheel of the southern Havirdhāna, he sings the Viśvarūpa hymn.
1.4.5	The Stotra is the Kshatra, the Sastra is the Vit. He makes him go to the Kshatra with the Vis, with the power of the Kshatra. And for the beginning of the Stotra and Sastra, for non-falling, for continuity.
1.4.6	Now Glava Maitreyā said, "I will declare the sin of the day at dawn." He sat down in the assembly on the day of fasting and sang the Visvarupa hymn while facing north.
