#Text:Śatapathabrāhmaṇa
#Edition:Weber
#Notes:Sentence splits: 3, 4.1-4 (O. Hellwig), 7 (S. Sellmer), 8 (K. Amano), 9 (O. Hellwig); text and sentence splits from DCS: 10. Following the conventions used for other texts, we assign a separate line id to each sentence.
#Todo:Insert 4.5ff. From the DCS. ŚBM: 5, 14: sentence splits needed. 6.1.1-6.7.1: sentence splits needed. 6.7.2ff. can be taken from the DCS.


3.1.1.1.1	devayajanaṃ joṣayante
3.1.1.1.2	sa yad eva varṣiṣṭhaṃ syāt taj joṣayeran yad anyad bhūmer nābhiśayīta
3.1.1.1.3	ato vai devā divam upodakrāman
3.1.1.1.4	devān vā eṣa upotkrāmati yo dīkṣate
3.1.1.1.5	sa sadeve devayajane yajate
3.1.1.1.6	sa yaddhānyad bhūmer abhiśayītāvaratara iva heṣṭvā syāt
3.1.1.1.7	tasmād yad eva varṣiṣṭhaṃ syāt taj joṣayeran
3.1.1.2.1	tad varṣma sat samaṃ syāt
3.1.1.2.2	samaṃ sad avibhraṃśi syāt
3.1.1.2.3	avibhraṃśi sat prākpravaṇaṃ syāt
3.1.1.2.4	prācī hi devānāṃ dik
3.1.1.2.5	atho udakpravaṇam
3.1.1.2.6	udīcī hi manuṣyāṇāṃ dik
3.1.1.2.7	dakṣiṇataḥ pratyucchritam iva syāt
3.1.1.2.8	eṣā vai dik pitṝṇāṃ
3.1.1.2.9	sa yad dakṣiṇāpravaṇaṃ syāt kṣipre ha yajamāno 'muṃ lokam iyāt
3.1.1.2.10	tatho ha yajamāno jyog jīvati
3.1.1.2.11	tasmād dakṣiṇataḥ pratyucchritam iva syāt
3.1.1.3.1	na purastād devayajanamātram atiricyeta
3.1.1.3.2	dviṣantaṃ hāsya tad bhrātṛvyam abhyatiricyate
3.1.1.3.3	kāmaṃ ha dakṣiṇataḥ syād evam uttarataḥ
3.1.1.3.4	etaddha tv eva samṛddhaṃ devayajanaṃ yasya devayajanamātram paścāt pariśiṣyate
3.1.1.3.5	kṣipre haivainam uttarā devayajyopanamati
3.1.1.3.6	iti nu devayajanasya
3.1.1.4.1	tad u hovāca yājñavalkyo vārṣṇyāya devayajanaṃ joṣayitum aima
3.1.1.4.2	tat sātyayajño 'bravīt sarvā vā iyam pṛthivī devī
3.1.1.4.3	devayajanaṃ yatra vā asyai kva ca yajuṣaiva parigṛhya yājayed iti
3.1.1.5.1	ṛtvijo haiva devayajanam
3.1.1.5.2	ye brāhmaṇāḥ śuśruvāṃso 'nūcānā vidvāṃso yājayanti saivāhvalaitan nediṣṭhamām iva manyāmaha iti
3.1.1.6.1	tacchālo vā vimitaṃ vā prācīnavaṃśam minvanti
3.1.1.6.2	prācī hi devānāṃ dik
3.1.1.6.3	purastād vai devāḥ pratyañco manuṣyān upāvṛttāḥ
3.1.1.6.4	tasmāt tebhyaḥ prāṅ tiṣṭhañ juhoti
3.1.1.7.1	tasmād u ha na pratīcīnaśirāḥ śayīta ned devān abhiprasārya śayā iti
3.1.1.7.2	yā dakṣiṇā dik sā pitṝṇām
3.1.1.7.3	yā pratīcī sā sarpāṇām
3.1.1.7.4	yato devā uccakramuḥ saiṣāhīnā
3.1.1.7.5	yodīcī dik sā manuṣyāṇām
3.1.1.7.6	tasmān mānuṣa udīcīnavaṃśām eva śālāṃ vā vimitaṃ vā minvanti
3.1.1.7.7	udīcī hi manuṣyāṇāṃ dik
3.1.1.7.8	dīkṣitasyaiva prācīnavaṃśā nādīkṣitasya
3.1.1.8.1	tāṃ vā etām pariśrayanti ned abhivarṣād iti
3.1.1.8.2	nv eva varṣā
3.1.1.8.3	devān vā eṣa upāvartate yo dīkṣate
3.1.1.8.4	sa devatānām eko bhavati
3.1.1.8.5	tira iva vai devā manuṣyebhyaḥ
3.1.1.8.6	tira ivaitad yat pariśritam
3.1.1.8.7	tasmāt pariśrayanti
