#Text:Baudhāyanadharmasūtra
#Edition:Hultzsch
#Notes:DCS version



1.1.1	upadiṣṭo dharmaḥ prativedam
1.1.2	tasyānu vyākhyāsyāmaḥ
1.1.3	smārto dvitīyaḥ
1.1.4	tṛtīyaḥ śiṣṭāgamaḥ
1.1.5	śiṣṭāḥ khalu vigatamatsarā nirahaṃkārāḥ kumbhīdhānyā alolupā dambhadarpalobhamohakrodhavivarjitāḥ
1.1.6	dharmeṇādhigato yeṣāṃ vedaḥ saparibṛṃhaṇaḥ / śiṣṭās tadanumānajñāḥ śrutipratyakṣahetavaḥ / iti
1.1.7	tadabhāve daśāvarā pariṣat
1.1.8	athāpyudāharanti / cāturvaidyaṃ vikalpī ca aṅgavid dharmapāṭhakaḥ / āśramasthās trayo viprāḥ parṣad eṣā daśāvarā
1.1.9	pañca vā syus trayo vā syur eko vā syād aninditaḥ / prativaktā tu dharmasya netare tu sahasraśaḥ
1.1.10	yathā dārumayo hastī yathā carmamayo mṛgaḥ / brāhmaṇaś cānadhīyānas trayas te nāmadhārakāḥ
1.1.11	yad vadanti tamomūḍhā mūrkhā dharmam ajānataḥ / tat pāpaṃ śatadhā bhūtvā vaktṝn samadhigacchati
1.1.12	bahudvārasya dharmasya sūkṣmā duranugā gatiḥ / tasmān na vācyo hy ekena bahujñenāpi saṃśaye
1.1.13	dharmaśāstrarathārūḍhā vedakhaḍgadharā dvijāḥ / krīḍārtham api yad brūyuḥ sa dharmaḥ paramaḥ smṛtaḥ
1.1.14	yathāśmani sthitaṃ toyaṃ mārutārkaḥ praṇāśayet / tadvat kartari yat pāpaṃ jalavat sampralīyate
1.1.15	śarīraṃ balam āyuś ca vayaḥ kālaṃ ca karma ca / samīkṣya dharmavid buddhyā prāyaścittāni nirdiśet
1.1.16	avratānām amantrāṇāṃ jātimātropajīvinām / sahasraśaḥ sametānāṃ pariṣattvaṃ na vidyate / iti
1.2.1	pañcadhā vipratipattir dakṣiṇatas tathottarataḥ
1.2.2	yāni dakṣiṇatas tāni vyākhyāsyāmaḥ
1.2.3	yathaitad anupetena saha bhojanaṃ striyā saha bhojanaṃ paryuṣitabhojanaṃ mātulapitṛsvasṛduhitṛgamanam iti
1.2.4	athottarata ūrṇāvikrayaḥ sīdhupānam ubhayato dadbhir vyavahāra āyudhīyakaṃ samudrasaṃyānam iti
1.2.5	itarad itarasmin kurvan duṣyatītarad itarasmin
1.2.6	tatra tatra deśaprāmāṇyam eva syāt
1.2.7	mithyaitad iti gautamaḥ
1.2.8	ubhayaṃ caiva / nādriyeta śiṣṭasmṛtivirodhadarśanāt
1.2.9	prāg ādarśāt pratyak kanakhalād dakṣiṇenahimavantam udak pāriyātram etad āryāvartam / tasmin ya ācāraḥ sa pramāṇam
1.2.10	gaṅgāyamunayor antaram ity eke
1.2.11	athāpy atra bhāllavino gāthām udāharanti
1.2.12	paścāt sindhur vidharaṇī sūryasyodayanaṃ puraḥ / yāvat kṛṣṇā vidhāvanti tāvaddhi brahmavarcasam
1.2.13	avantayo 'ṅgamagadhāḥ surāṣṭrā dakṣiṇāpathāḥ / upāvṛtsindhusauvīrā ete saṃkīrṇayonayaḥ
1.2.14	āraṭṭān kāraskarān puṇḍrān sauvīrān vaṅgān kaliṅgānprānūnān iti ca gatvā punastomena yajeta sarvapṛṣṭhayā vā
1.2.15	athāpy udāharanti / padbhyāṃ sa kurute pāpaṃ yaḥ kaliṅgān prapadyate / ṛṣayo niṣkṛtiṃ tasya prāhur vaiśvānaraṃ haviḥ
1.2.16	bahūnām api doṣāṇāṃ kṛtānāṃ doṣanirṇaye / pavitreṣṭiṃ praśaṃsanti sā hi pāvanamuttamam
1.2.17	athāpy udāharanti / vaiśvānarīṃ vrātapatīṃ pavitreṣṭiṃ tathaiva ca / ṛtāvṛtau prayuñjānaḥ pāpebhyo vipramucyate / pāpebhyo vipramucyata iti
1.3.1	aṣṭācatvāriṃśad varṣāṇi paurāṇaṃ vedabrahmacaryam
1.3.2	caturviṃśatiṃ dvādaśa vā prativedam
1.3.3	saṃvatsarāvamaṃ vā pratikāṇḍam
1.3.4	grahaṇāntaṃ vā jīvitasyāsthiratvāt
1.3.5	kṛṣṇakeśo 'gnīn ādadhīteti śrutiḥ
1.3.6	nāsya karma niyacchanti kiṃcid ā mauñjibandhanāt / vṛttyā śūdrasamo hy eṣa yāvad vedena jāyate iti
1.3.7	garbhādiḥ saṃkhyā varṣāṇām / tadaṣṭameṣu brāhmaṇamupanayīta
1.3.8	tryadhikeṣu rājanyam
1.3.9	tasmād ekādhikeṣu vaiśyam
1.3.10	vasanto grīṣmaḥ śarad ity ṛtavo varṇānupūrvyeṇa
1.3.11	gāyatrītriṣṭubjagatībhir yathākramam
1.3.12	ā ṣoḍaśād ā dvāviṃśād ā caturviṃśād anātyaya eṣāṃ krameṇa
1.3.13	mauñjī dhanurjyā śāṇīti mekhalāḥ
1.3.14	kṛṣṇarurubastājināny ajināni
1.3.15	mūrdhalalāṭanāsāgrapramāṇā yājñikasya vṛkṣasya daṇḍāḥ
1.3.16	bhavatpūrvāṃ bhikṣāmadhyāṃ yācñāntāṃ bhikṣāṃ caretsaptākṣarāṃ kṣāṃ ca hiṃ ca na vardhayet
1.3.17	bhavatpūrvāṃ brāhmaṇo bhikṣeta bhavanmadhyāṃ rājanyo bhavadantāṃ vaiśyaḥ sarveṣu varṇeṣu
1.3.18	te brāhmaṇādyāḥ svakarmasthāḥ
1.3.19	sadāraṇyāt samidha āhṛtyādadhyāt
1.3.20	satyavādī hrīmān anahaṃkāraḥ
1.3.21	pūrvotthāyī jaghanyasaṃveśī
1.3.22	sarvatrāpratihataguruvākyo 'nyatra pātakāt
1.3.23	yāvadarthasaṃbhāṣī strībhiḥ
1.3.24	nṛttagītavāditragandhamālyopānacchattradhāraṇāñjanābhyañjanavarjī
1.3.25	dakṣiṇaṃ dakṣiṇena savyaṃ savyena copasaṃgṛhṇīyāt
1.3.26	dīrgham āyuḥ svargaṃ cepsan kāmam anyasmai sādhuvṛttāya guruṇānujñātaḥ
1.3.27	asāv ahaṃ bho iti śrotre saṃspṛśya manaḥsamādhānārtham
1.3.28	adhastāj jānvor ā padbhyām
1.3.29	nāsīno nāsīnāya na śayāno na śayānāya nāprayato nāprayatāya
1.3.30	śaktiviṣaye muhūrtam api nāprayataḥ syāt
1.3.31	samiddhāry udakumbhapuṣpānnahasto nābhivādayed yaccānyad apy evaṃyuktam
1.3.32	na samavāye 'bhivādayed atyantaśaḥ
1.3.33	bhrātṛpatnīnāṃ yuvatīnāṃ ca gurupatnīnāṃ jātavīryaḥ
1.3.34	nauśilāphalakakuñjaraprāsādakaṭeṣu cakravatsu cādoṣaṃ sahāsanam
1.3.35	prasādhanotsādanasnāpanocchiṣṭabhojanānīti guroḥ
1.3.36	ucchiṣṭavarjanaṃ tatputre 'nūcāne vā
1.3.37	prasādhanotsādanasnāpanavarjanaṃ ca tatpatnyām
1.3.38	dhāvantam anudhāved gacchantam anugacchet tiṣṭhantamanutiṣṭhet
1.3.39	nāpsu ślāghamānaḥ snāyāt
1.3.40	daṇḍa iva plavet
1.3.41	abrāhmaṇād adhyayanam āpadi
1.3.42	śuśrūṣānuvrajyā ca yāvadadhyayanam
1.3.43	tayos tad eva pāvanam
1.3.44	bhrātṛputraśiṣyeṣu caivam
1.3.45	ṛtvijśvaśurapitṛvyamātulānāṃ tu yavīyasāṃ pratyutthāyābhibhāṣaṇam
1.3.46	pratyabhivāda iti kātyaḥ
1.3.47	śiśāv āṅgirase darśanāt
1.4.1	dharmārthau yatra na syātāṃ śuśrūṣā vāpi tadvidhā / vidyayā saha martavyaṃ na cainām ūṣare vapet
1.4.2	agnir iva kakṣaṃ dahati brahma pṛṣṭam anādṛtam / tasmād vai śakyaṃ na brūyād brahma mānam akurvatām iti
1.4.3	evāsmai vaco vedayante
1.4.4	brahma vai mṛtyave prajāḥ prāyacchat tasmai brahmacāriṇameva na prāyacchat so 'bravīd astu mahyam apy etasmin bhāga iti yām eva rātriṃ samidhaṃ nāharātā iti
1.4.5	tasmād brahmacārī yāṃ rātriṃ samidhaṃ nāharaty āyuṣa eva tām avadāya vasati tasmād brahmacārī samidham āharen ned āyuṣo 'vadāya vasānīti
1.4.6	dīrghasattraṃ vā eṣa upaiti yo brahmacaryam upaiti sa yāmupayan samidham ādadhāti sā prāyaṇīyātha yāṃ snāsyansodayanīyātha yā antareṇa sattryā evāsya tāḥ
1.4.7	brāhmaṇo vai brahmacaryam upayan caturdhā bhūtāni praviśaty agniṃ padā mṛtyuṃ padācāryaṃ padātmany evāsya caturthaḥ pādaḥ pariśiṣyate / sa yad agnau samidham ādadhāti ya evāsyāgnau pādas tameva tena parikrīṇāti taṃ saṃskṛtyātman dhatte sa enam āviśati / atha yad ātmānaṃ daridrīkṛtyāhrīr bhūtvā bhikṣate brahmacaryaṃ carati ya evāsya mṛtyau pādas tam eva tena parikrīṇāti taṃ saṃskṛtyātman dhatte sa enam āviśati / atha yad ācāryavacaḥ karoti ya evāsyācārye pādas tameva tena parikrīṇāti taṃ saṃskṛtyātman dhatte sa enam āviśati / atha yat svādhyāyam adhīte ya evāsyātmani pādas tameva tena parikrīṇāti taṃ saṃskṛtyātman dhatte sa enam āviśati / na ha vai snātvā bhikṣeta api ha vai snātvā bhikṣāṃ caraty api jñātīnām aśanāyāpi pitṝṇām anyābhyaḥ kriyābhyaḥ / sa yad anyāṃ bhikṣitavyāṃ na vindetāpi svāmevācāryajāyāṃ bhikṣetātho svāṃ mātaram / nainaṃ saptamy abhikṣitātīyāt
1.4.8	bhaikṣasyācaraṇe doṣaḥ pāvakasyāsamindhane / saptarātram akṛtvaitad avakīrṇivrataṃ caret
1.4.9	tam evaṃ vidvāṃsam evaṃ carantaṃ sarve vedā āviśanti
1.4.10	yathā ha vā agniḥ samiddho rocata evaṃ ha vā eṣa snātvā rocate ya evaṃ vidvān brahmacaryaṃ caratīti brāhmaṇam iti brāhmaṇam
1.5.1	atha snātakasya
1.5.2	antarvāsa uttarīyam
1.5.3	vaiṇavaṃ daṇḍaṃ dhārayet
1.5.4	sodakaṃ ca kamaṇḍalum
1.5.5	dviyajñopavītī
1.5.6	uṣṇīṣam ajinam uttarīyam upānahau chattraṃ copāsanaṃ darśapūrṇamāsau
1.5.7	parvasu ca keśaśmaśrulomanakhavāpanam
1.5.8	tasya vṛttiḥ
1.5.9	brāhmaṇarājanyavaiśyarathakāreṣv āmaṃ lipseta
1.5.10	bhaikṣaṃ vā
1.5.11	vāgyatas tiṣṭhet
1.5.12	sarvāṇi cāsya devapitṛsaṃyuktāni pākayajñasaṃsthāni bhūtikarmāni kurvīteti
1.5.13	etena vidhinā prajāpateḥ parameṣṭhinaḥ paramaṛṣayaḥ paramāṃ kāṣṭhāṃ gacchantīti baudhāyanaḥ
1.6.1	atha kamaṇḍalucaryām upadiśanti
1.6.2	chāgasya dakṣiṇe karṇe pāṇau viprasya dakṣiṇe / apsu caiva kuśastambe pāvakaḥ paripaṭhyate
1.6.3	tasmācchaucaṃ kṛtvā pāṇinā parimṛjīta paryagnikaraṇaṃ hi tat uddīpyasva jātaveda iti punardāhād viśiṣyate
1.6.4	tatrāpi kiṃcit saṃspṛṣṭaṃ manasi manyeta kuśairvā tṛṇair vā prajvālya pradakṣiṇaṃ paridahanam / ata ūrdhvaṃ śvavāyasaprabhṛtyupahatānām agnivarṇa ityupadiśanti
1.6.5	mūtrapurīṣalohitaretaḥprabhṛtyupahatānām utsargaḥ
1.6.6	bhagne kamaṇḍalau vyāhṛtibhiḥ śataṃ juhuyāj japed vā
1.6.7	bhūmir bhūmim agān mātā mātaram apyagāt bhūyāsma putraiḥ paśubhir yo no dveṣṭi sa bhidyatām iti / kapālāni saṃhṛtyāpsu prakṣipya sāvitrīṃ daśāvarāṃ kṛtvā punar evānyaṃ gṛhṇīyāt
1.6.8	varuṇam āśritya etat te varuṇa punar eva mām om iti akṣaraṃ dhyāyet
1.6.9	śūdrād gṛhya śataṃ kuryād vaiśyād ardhaśataṃ smṛtam / kṣatriyāt pañcaviṃśat tu brāhmaṇād daśa kīrtitāḥ
1.6.10	astamita āditya udakaṃ gṛhṇīyān na gṛhṇīyād iti mīmāṃsante brahmavādinaḥ
1.6.11	gṛhṇīyād ity etad aparam
1.6.12	yāvad udakaṃ gṛhṇīyāt tāvat prāṇam āyacchet
1.6.13	agnir ha vai hy udakaṃ gṛhṇāti
1.6.14	kamaṇḍalūdakenābhiṣiktapāṇipādo yāvad ārdraṃ tāvadaśuciḥ pareṣām ātmānam eva pūtam karoti nānyat karma kurvīteti vijñāyate
1.6.15	api vā pratiśaucam ā maṇibandhācchucir iti baudhāyanaḥ
1.6.16	athāpy udāharanti
1.7.1	kamaṇḍalur dvijātīnāṃ śaucārthaṃ vihitaḥ purā / brahmaṇā munimukhyaiś ca tasmāt taṃ dhārayet sadā / tataḥ śaucaṃ tataḥ pānaṃ saṃdhyopāsanam eva ca
1.7.2	nirviśaṅkena kartavyaṃ yadīcchecchreya ātmanaḥ / kuryācchuddhena manasā na cittaṃ dūṣayed budhaḥ / saha kamaṇḍalunotpannaḥ svayaṃbhūs tasmāt kamaṇḍalunā caret
1.7.3	mūtrapurīṣe kurvan dakṣiṇe haste gṛhṇāti savya ācamanīyam etat sidhyati sādhūnām
1.7.4	yathā hi somasaṃyogāc camaso medhya ucyate / apāṃ tathaiva saṃyogān nityo medhyaḥ kamaṇḍaluḥ
1.7.5	pitṛdevāgnikāryeṣu tasmāt taṃ parivarjayet
1.7.6	tasmād vinā kamaṇḍalunā nādhvānaṃ vrajen na sīmantaṃ na gṛhād gṛham
1.7.7	padam api na gacched iṣumātrād ity eke
1.7.8	yad icched dharmasaṃtatim iti baudhāyanaḥ
1.7.9	ṛgvidheneti vāg vadati ṛgvidheneti vāg vadati
1.8.1	athātaḥ śaucādhiṣṭhānam
1.8.2	adbhiḥ śudhyanti gātrāṇi buddhir jñānena śudhyati / ahiṃsayā ca bhūtātmā manaḥ satyena śudhyati / iti
1.8.3	manaḥśuddhir antaḥśaucam
1.8.4	bahiḥśaucaṃ vyākhyāsyāmaḥ
1.8.5	kauśaṃ sautraṃ vā tristrivṛd yajñopavītam
1.8.6	ā nābheḥ
1.8.7	dakṣiṇaṃ bāhum uddhṛtya savyam avadhāya śiro 'vadadhyāt
1.8.8	viparītaṃ pitṛbhyaḥ
1.8.9	kaṇṭhe 'vasaktaṃ nivītam
1.8.10	adho 'vasaktaṃ adhovītam
1.8.11	prāṅmukha udaṅmukho vāsīnaḥ śaucam ārabheta śucau deśe dakṣiṇam bāhuṃ jānvantarā kṛtvā prakṣālya pādau pāṇī cāmaṇibandhāt
1.8.12	pādaprakṣālanoccheṣaṇena nācāmet
1.8.13	yady ācāmed bhūmau srāvayitvācāmet
1.8.14	brāhmeṇa tīrthenācāmet
1.8.15	aṅguṣṭhamūlaṃ brāhmaṃ tīrtham
1.8.16	aṅguṣṭhāgraṃ pitryam aṅgulyagraṃ daivam aṅgulimūlam ārṣam
1.8.17	nāṅgulībhir na sabudbudābhir na saphenābhir noṣṇābhirna kṣārābhir na lavaṇābhir na kaluṣābhir na vivarṇābhir na durgandharasābhiḥ
1.8.18	na hasan na jalpan na tiṣṭhan na vilokayan na prahvo na praṇato na muktaśikho na prāvṛtakaṇṭho na veṣṭitaśirā na tvaramāṇo nāyajñopavītī na prasāritapādo na baddhakakṣyo na bahirjānuḥ śabdam akurvan
1.8.19	trir apo hṛdayaṃgamāḥ pibet
1.8.20	triḥ parimṛjet
1.8.21	dvir ity eke
1.8.22	sakṛd ubhayaṃ śūdrasya striyāś ca
1.8.23	athāpy udāharanti / gatābhir hṛdayaṃ vipraḥ kaṇṭhyābhiḥ kṣatriyaḥ śuciḥ / vaiśyo 'dbhiḥ prāśitābhiḥ syāt strīśūdrau spṛśya cāntataḥ / iti
1.8.24	dantavad dantasakteṣu dantavat teṣu dhāraṇāt / srasteṣu teṣu nācāmet teṣāṃ saṃsrāvavacchuciḥ / iti
1.8.25	athāpy udāharanti / dantavad dantalagneṣu yaccāpyantar mukhe bhavet / ācāntasyāvaśiṣṭaṃ syān nigirann eva tacchuciḥ / iti
1.8.26	khāny adbhiḥ saṃspṛśya pādau nābhiṃ śiraḥ savyaṃ pāṇimantataḥ
1.8.27	taijasaṃ ced ādāyocchiṣṭī syāt tadudasyācamyādāsyann adbhiḥ prokṣet
1.8.28	atha ced annenocchiṣṭī syāt tad udasyācamyādāsyann adbhiḥ prokṣet
1.8.29	atha ced adbhir ucchiṣṭī syāt tad udasyācamyādāsyann adbhiḥ prokṣet
1.8.30	etad eva viparītam amatre
1.8.31	vānaspatye vikalpaḥ
1.8.32	taijasānām ucchiṣṭānāṃ gośakṛnmṛdbhasmabhiḥ parimārjanamanyatamena vā
1.8.33	tāmrarajatasuvarṇānām amlaiḥ
1.8.34	amatrāṇāṃ dahanam
1.8.35	dāravāṇāṃ takṣaṇam
1.8.36	vaiṇavānāṃ gomayena
1.8.37	phalamayānāṃ govālarajjvā
1.8.38	kṛṣṇājinānāṃ bilvataṇḍulaiḥ
1.8.39	kutapānām ariṣṭaiḥ
1.8.40	aurṇānām ādityena
1.8.41	kṣaumāṇāṃ gaurasarṣapakalkena
1.8.42	mṛdā celānām
1.8.43	celavac carmaṇām
1.8.44	taijasavad upalamaṇīnām
1.8.45	dāruvad asthnām
1.8.46	kṣaumavacchaṅkhaśṛṅgaśuktidantānām
1.8.47	payasā vā
1.8.48	cakṣurghrāṇānukūlyād vā mūtrapurīṣāsṛjśukrakuṇapaspṛṣṭānāṃ pūrvoktānām anyatamenatriḥsaptakṛtvaḥ parimārjanam
1.8.49	ataijasānām evaṃbhūtānām utsargaḥ
1.8.50	vacanād yajñe camasapātrānām
1.8.51	na somenocchiṣṭā bhavantīti śrutiḥ
1.8.52	kālo 'gnir manasaḥ śuddhir udakādyupalepanam / avijñātaṃ ca bhūtāṇāṃ ṣaḍvidhaṃ śaucam ucyate
1.8.53	athāpy udāharanti / kālaṃ deśaṃ tathātmānaṃ dravyaṃ dravyaprayojanam / upapattim avasthāṃ ca vijñāya śaucaṃ śaucajñaḥ kuśalo dharmepsuḥ samācaret
1.9.1	nityaṃ śuddhaḥ kāruhastaḥ paṇyaṃ yac ca prasāritam / brahmacārigataṃ bhaikṣaṃ nityaṃ medhyam iti śrutiḥ
1.9.2	vatsaḥ prasnavane medhyaḥ śakuniḥ phalaśātane / striyaś ca ratisaṃsarge śvā mṛgagrahaṇe śuciḥ
1.9.3	ākarāḥ śucayaḥ sarve varjayitvā surākaram / adūṣyāḥ saṃtatā dhārā vātodbhūtāś ca reṇavaḥ
1.9.4	amedhyeṣu ca ye vṛkṣā uptāḥ puṣpaphalopagāḥ / teṣām api na duṣyanti puṣpāṇi ca phalāni ca
1.9.5	caityavṛkṣaṃ citiṃ yūpaṃ caṇḍālaṃ vedavikrayam / etāni brāhmaṇaḥ spṛṣṭvā sacelo jalam āviśet
1.9.6	ātmaśayyāsanaṃ vastraṃ jāyāpatyaṃ kamaṇḍaluḥ / śucīny ātmana etāni pareṣām aśucīni tu
