#Text:Gautamadharmasūtrapariśiṣṭa
#Edition:Aiyangar 1948
#Data entry:Oliver Hellwig



2.1.1	athāto dharmaśeṣān vyākhyāsyāmaḥ
2.1.2	antyapakṣisthāvaratā doṣair manovākkāyakarmabhir jīvo 'yaṃ bhavayoniśateṣu prayāti
2.1.3	paradravyāṇi manasā dhyāyaṃstathāniṣṭāni cintayan vitathābhiniveśī jāyate 'ntyāsu yoniṣu
2.1.4	piśuno 'nṛtavādī paruṣo 'nibaddhapralāpī mṛgapakṣiṣu jāyate
2.1.5	adattādānanirataḥ paradārago hiṃsakaś cāvidhānena sthāvareṣv abhijāyate
2.1.6	śaucavānātmajñastapasvī vijitendriyo dāntaḥ karmakṛd vedavidyāvit sāttviko devayonitāṃ yāti
2.1.7	viṣayeṣvārambhī vyagro 'satkāryanirato rājaso manuṣyeṣu mṛto janmādhigacchati
2.1.8	nidrāluḥ krūrakṛllubdho nāstiko yācakaḥ pramādavān bhinnavṛtto bhavet tāmasas tiryagjantuṣu
2.1.9	rajasā tamasā cāviṣṭaścakravadbhrāmyate 'sau
2.1.10	ihāgnihotriṇaḥ svargaṃ gacchanti
2.1.11	ye ca dānaparā satyavrataparāyaṇā dambharahitāḥ samyak smārtakarmānuṣṭhānaparā dayākṣāntyanasūyāśaucānāyāsamaṅgalākārpaṇyāspṛhair yuktāstathā sagatyāgino 'rcirahaḥśuklapakṣottarāyaṇasurasadmasūryavaidyuteṣu muktimārgeṣu viśrāmya taiḥ prasthāpitāḥ paramapadaṃ prāpnuvanti
2.1.12	punarāvṛttisteṣāmiha na vidyate
2.1.13	dhūmaniśākṛṣṇapakṣadakṣiṇāyanapitṛlokacandramo 'bhimāninīrdevatāḥ prāpya punareva vāyuvṛṣṭijalabhūmīḥ prāpya vrīhyādyannarūpeṇa śukratvam avāpya yajñadānatapoyuktā saṃsāriṇo yoniṃ vrajanti
2.1.14	arcirādidhūmādimārgadvayaṃ yaḥ pramatto na vijānāty asau bhujaṅgaḥ śalabhaḥ kṛmiḥ kīṭo vā bhavet
2.2.1	athavā vedam abhyasan nyastakarmā vane vasan mitabhugayācitāśī ca parāṃ siddhim avāpnuyāt
2.2.2	apratigraheṇopārjitadhanaḥ satyavādī śrāddhānuṣṭhānanirata ātmatattvajñānaniṣṭho 'tithipriyo gṛhastho muktiṃ prāpnuyāt
