1.1.1	The Dharma has been taught in the Vedas.
1.1.2	We shall explain it in accordance with that.
1.1.3	The second is Smriti.
1.1.4	The third is the tradition of the learned.
1.1.5	The learned are those who are free from envy, ego, greed, avarice, and are devoid of deceit, pride, greed, delusion, and anger.
1.1.6	Those who have acquired the Veda along with its supplements through Dharma, and those who know it through inference from them, are the witnesses of the Veda.
1.1.7	In its absence, a group of ten is the minimum.
1.1.8	They also quote: The four Vedas, the option, the knower of the limbs, the reciter of Dharma, the three Brahmins in the stages of life - this is the group of ten.
1.1.9	Five may be, three may be, one may be, but not the other thousand, if he is faultless. The speaker of Dharma is the only one, not the others.
1.1.10	Just as an elephant made of wood, just as a deer made of skin, and a brahmin who does not study - these three are only names.
1.1.11	Whatever the ignorant and deluded say, not knowing Dharma, that sin, having become a hundredfold, reaches the speakers.
1.1.12	The path of Dharma, which has many doors, is subtle and difficult to follow. Therefore, even the very learned should not speak about it, when there is doubt.
1.1.13	The twice-born, mounted on the chariot of Dharma-shastras, holding the sword of the Vedas, even if they speak for fun, that is considered the highest Dharma.
1.1.14	Just as water held in a stone is destroyed by wind and sun, so also the sin committed against the doer perishes like water.
1.1.15	Having examined the body, strength, life, age, time, and action, a person knowledgeable in Dharma should prescribe expiations with intelligence.
1.1.16	Those who are not observing vows, do not know mantras, and subsist only on their caste, even if they gather in thousands, do not constitute a congregation."
1.2.1	There are five kinds of disagreement, some to the right and some to the left.
1.2.2	We will explain those that are to the right.
1.2.3	As for the eating with one who is not related, eating with a woman, eating stale food, and having intercourse with one’s maternal uncle’s daughter or sister’s daughter.
1.2.4	Then, above that, selling wool, drinking liquor, dealing with those who have two sets of teeth, dealing with those in the profession of arms, and going to sea.
1.2.5	One who does something that is prohibited in one place, does something that is permitted in another place.
1.2.3	As for the eating with one who is not related, eating with a woman, eating stale food, and having intercourse with one’s maternal uncle’s daughter or sister’s daughter.
1.2.4	Then, above that, selling wool, drinking liquor, dealing with those who have two sets of teeth, dealing with those in the profession of arms, and going to sea.
1.2.5	One who does something that is prohibited in one place, does something that is permitted in another place.
1.2.6	In this case, the authority of the country would be the only criterion.
1.2.7	Gautama says that this is wrong.
1.2.8	Both should be ignored, because they are contrary to the Smṛtis of the good.
1.2.9	The Aryāvarta is the land between the Himalayas in the north, the Vindhyas in the south, the eastern ocean in the east and the western ocean in the west. The conduct of the people in this land is authoritative.
1.2.10	Some say that the land between the Ganges and the Yamuna is the Aryāvarta.
1.2.11	Now the Bhallāvins recite a verse here:
1.2.12	"The Sindhu is behind, the Vidharani is in front of the rising of the sun, as long as the black ones run, so long is the Brahmic lustre."
1.2.13	The Avantis, Angas, Magadhas, Surāṣṭras, Dakṣiṇāpatha, Sindhu and Sauvīras are of mixed origin.
1.2.6	In this case, the authority of the country would be the only criterion.
1.2.7	Gautama says that this is wrong.
1.2.8	Both should be ignored, because they are contrary to the Smṛtis of the good.
1.2.9	The Aryāvarta is the land between the Himalayas in the north, the Vindhyas in the south, the eastern ocean in the east and the western ocean in the west. The conduct of the people in this land is authoritative.
1.2.10	Some say that the land between the Ganges and the Yamuna is the Aryāvarta.
1.2.14	Having gone to the Āraṭṭas, Kāraskaras, Puṇḍras, Sauvīras, Vaṅgas, Kaliṅgas, and Prānus, one should again perform the sacrifice with the Stoma. One should perform with all the Prsthas.
1.2.15	They also say: "He who commits a sin by going to the Kaliṅgas, the sages have said that the offering to Vaisvānara is the atonement."
1.2.11	Now the Bhallāvins recite a verse here:
1.2.12	"The Sindhu is behind, the Vidharani is in front of the rising of the sun, as long as the black ones run, so long is the Brahmic lustre."
