1.1.1	Now the duties of the castes and stages of life.
1.1.2	The four castes, Brahmana, Kshatriya, Vaishya and Shudra, are born from the mouth, arms, thighs and feet respectively.
1.1.3	The Veda says, "Brahmana was his mouth."
1.1.4	The sacraments beginning with impregnation are prescribed for the first three castes.
1.1.5	Those twice-born have authority in the Vedas.
1.1.6	Therefore, the six duties of a Brahmin are studying, teaching, sacrificing, officiating at sacrifices, giving and receiving gifts.
1.1.7	The duties of a Kshatriya and a Vaishya are sacrificing, studying and giving.
1.1.8	The duties for a Kshatriya are protecting the subjects, punishing the wicked and fighting.
1.1.9	The duties are cattle-rearing, agriculture and trade for a Vaishya.
1.1.10	The duties prescribed for a Shudra are serving the twice-born and agriculture.
1.1.11	The four stages of life are prescribed for the Brāhmaṇa, the first three for the Kṣatriya, and the last two for the Vaiśya.
1.1.12	The four stages of life for the Brāhmanas are the student, the householder, the forest-dweller, and the recluse.
1.2.1	The student, having been initiated, wears a girdle, a sacred thread, and carries a staff and a garment. Having bathed, he performs the Tarpaṇa rite, the Brahma-yajña, and worships at sunrise and sunset, and offers oblations in the fire. He approaches his teacher's feet and pays his respects regularly. He studies by observing vows.
1.2.1	The student, having been initiated, wears a girdle, a sacred thread, and carries a staff and a garment. Having bathed, he performs the Tarpaṇa rite, the Brahma-yajña, and worships at sunrise and sunset, and offers oblations in the fire. He approaches his teacher's feet and pays his respects regularly. He studies by observing vows.
1.2.2	When the teacher is seated, he should sit; when he is lying down, he should lie down. When the teacher is going, he should follow him. When the teacher sits or lies down, he should sit or lie down near him.
1.2.3	He should not do anything that is not mentioned.
1.2.4	Even if not mentioned, he should perform the duties of studying.
1.2.5	He should avoid hot water bath, brushing of teeth, anointing, applying of unguents, offering of incense and flowers, sitting on a couch, sleeping during the day, emission of semen, looking at women, touching them, sexual intercourse, lust, anger, greed, delusion, pride, jealousy, violence, etc. and always be attentive to the instructions of his teacher and perform acts that are pleasing and beneficial to him.
1.2.6	He should be free from hatred, agreeable in speech and mind, and speak the truth that is pleasing.
1.2.5	He should avoid hot water bath, brushing of teeth, anointing, applying of unguents, offering of incense and flowers, sitting on a couch, sleeping during the day, emission of semen, looking at women, touching them, sexual intercourse, lust, anger, greed, delusion, pride, jealousy, violence, etc. and always be attentive to the instructions of his teacher and perform acts that are pleasing and beneficial to him.
1.2.6	He should be free from hatred, agreeable in speech and mind, and speak the truth that is pleasing.
1.2.7	Even when in distress, one should not speak untruth or unpleasant words.
1.2.8	One should avoid eating meat, fish, and other non-vegetarian foods, and instead, after receiving permission from the guru, one should eat almsfood obtained by begging.
1.2.9	One should not disclose the names of gurus, elders, and those who have undergone initiation.
1.2.10	If the guru is absent, one should perform the duties as if they were being performed by the guru's son.
1.3.1	Brahmacharya is of four kinds: Gāyatra, Brāhma, Prājāpatya and Naisthika.
1.3.2	One who studies the Gāyatrī for three nights after the Upanayana ceremony, without eating salt or anything salty, and completes the Savitravrata, is called a Vratachari here.
1.2.7	Even when in distress, one should not speak untruth or unpleasant words.
1.2.8	One should avoid eating meat, fish, and other non-vegetarian foods, and instead, after receiving permission from the guru, one should eat almsfood obtained by begging.
1.2.9	One should not disclose the names of gurus, elders, and those who have undergone initiation.
1.2.10	If the guru is absent, one should perform the duties as if they were being performed by the guru's son.
1.3.3	After the Brahmacarya vow, one should live in the house of a householder who is not accused or fallen, and practice begging and following the Vedic vow. After living in the teacher's house for twelve or twenty years, and studying the Vedas, the two Vedas, or one Veda along with the Sutras, one should follow the householder life.
1.3.1	Brahmacharya is of four kinds: Gāyatra, Brāhma, Prājāpatya and Naisthika.
1.3.2	One who studies the Gāyatrī for three nights after the Upanayana ceremony, without eating salt or anything salty, and completes the Savitravrata, is called a Vratachari here.
1.3.4	Having bathed, he should perform the daily rites and be devoted to the study of the Vedas and their auxiliary subjects. Having contemplated on the meaning of the Vedas and Vedangas, he should take a wife.
1.3.5	The sages say that one should not remain in the Prajapati stage for more than three years.
1.3.3	After the Brahmacarya vow, one should live in the house of a householder who is not accused or fallen, and practice begging and following the Vedic vow. After living in the teacher's house for twelve or twenty years, and studying the Vedas, the two Vedas, or one Veda along with the Sutras, one should follow the householder life.
