#Author:Keśava
#Text:Kauśikasūtrapaddhati
#Comments:Kauśikasūtra
#Data entry:Arlo Griffiths
#Notes:Markup complete.
#Todo:final formatting! “'” is used for marking quotations and avagraha.


1.1.1.[1]	athaśabda ānantaryārthaḥ /
1.1.1.[2]	saṃhitādhyayanānantaraṃ vidheradhikāraḥ /
1.1.1.[3]	saṃhitāvidhiṃ vakṣyāmaḥ /
1.1.1.[4]	śāntikapauṣṭikābhicārikādbhutādīni karmāṇi saṃhitāvidhāv uktāni /
1.1.1.[5]	trividhāni karmāṇi /
1.1.1.[6]	vidhikarmāṇy avidhikarmāṇy ucchrayakarmāṇi /
1.1.1.[7]	tripramāṇako vidhiḥ /
1.1.1.[8]	pratyakṣam anumānaṃ śabdaṃ ceti //
1.1.2.[1]	sa vidhir vedapratyayaḥ /
1.1.2.[2]	gopathabrāhmaṇapramāṇakaḥ //
1.1.3.[1]	āmnāyaśabdena kimu cyate /
1.1.3.[2]	tatrāha mantrabrāhmaṇam āmnāyaśabdenocyate //
1.1.4.[1]	yathā saṃhitāvidheḥ karmoktaṃ tathaivaṃliṅgā mantrā api bhavanti /
1.1.4.[2]	yathā vātājjāta iti śaṅkhaṃ badhnāti //
1.1.5.[1]	anyārthā api mantrā bhavanti /
1.1.5.[2]	yathā 'agniṃ brūmo utāmṛtāsuḥ śivāsta ityabhyākhyātāya prayacchati' //
1.1.6.[1]	'brahma ha vā idam agra āsīt' ityādi pūrvabrāhmaṇam /
1.1.6.[2]	evaṃrūpā api mantrā bhavanti /
1.1.6.[3]	yathā 'virāḍ vā idam agra āsīt' ityādyarthavādārthā api mantrā bhavanti //
1.1.7.[1]	saṃhitāvidhau yannāmnāyate tat sarvaṃ svaśākhānyāyena paramparayā sampradāyena kartavyam /
1.1.7.[2]	tathā coktaṃ bhaṭṭapādaiḥ - nyāyena sampradāyena yānti karmāṇi mīmāṃsakā iti /
1.1.7.[3]	tathā nadīvālukayā vedikaraṇaṃ śāntikakarmasu śāntavṛkṣakāṣṭhena vedimānaṃ ca /
1.1.7.[4]	tathā mīmāṃsāyāṃ smṛtipāde smṛtyācārāṇāṃ pramāṇam uktam //
1.1.8.[1]	ācārasampradāyaviṣaye vismṛtāni brāhmaṇāni /
1.1.8.[2]	śiṣyaiḥ sampradāyo rakṣitaḥ /
1.1.8.[3]	upavarṣācāryeṇoktaṃ mīmāṃsāyāṃ smṛtipāde kalpasūtrādhikaraṇe /
1.1.8.[4]	nakṣatrakalpo vaitānastṛtīyaḥ saṃhitāvidhiḥ /
1.1.8.[5]	caturtho'ṅgirasāṃ kalpaḥ śāntikalpastu pañcamaḥ //
1.1.8.[6]	iti /
1.1.8.[7]	'ete kalpā vedatulyā hi' iti bhagavatopavarṣācāryeṇa pratipāditam /
1.1.8.[8]	anye kalpāḥ smṛtitulyāḥ //
1.1.9-10.[1]	pākatantramājyatantraṃ ca yajñaśabdenocyate /
1.1.9-10.[2]	taṃ vyākhyāsyāmaḥ /
1.1.9-10.[3]	devānāṃ yajñaḥ śāntikapauṣṭikādi /
1.1.9-10.[4]	pitṝṇāṃ pitṛmedhapiṇḍapitṛyajñādi //
1.1.11.[1]	prāṅmukhaḥ sarvakarmāṇi karoti /
1.1.11.[2]	nityanaimittikakāmyāni karmāṇi /
1.1.11.[3]	upāṃśu ca /
1.1.11.[4]	ekapuruṣāntaraṃ dvitīyaḥ puruṣaḥ śṛṇoti śabdaṃ tadupāṃśvityucyate //
1.1.12-13.[1]	yajñopavītī bhūtvā nityaṃ naimittikaṃ kāmyaṃ ca karma kuryāt /
1.1.12-13.[2]	apasavyaṃ kṛtvā pitṛkarma kuryāt piṇḍapitṛyajñādi //
1.1.14-15.[1]	prāṅmukho vodaṅmukho vā devakarmāṇi sarvāṇi kuryāt /
1.1.14-15.[2]	dakṣiṇāmukhaḥ pitṛkarmāṇi kuryāt /
1.1.14-15.[3]	kecit dakṣiṇapūrvamantardeśamabhimukhaḥ pitṛkarma kuryāt //
1.1.16-17.[1]	prāgudagvā karmasamāptirdaivakarmasu /
1.1.16-17.[2]	dakṣiṇā pratyagvā samāptiḥ pitṛkarmasu /
1.1.16-17.[3]	kecit-prāgudagantarāle samāptiḥ //
1.1.18-19.[1]	ācamanaprokṣaṇādiṣu pitṝṇāṃ sakṛt karma kuryāt /
1.1.18-19.[2]	devānāṃ caturvā trirvā sarvaṃ karma kuryāt /
1.1.18-19.[3]	nirvapaṇaparistaraṇājyagrahaṇādi karma //
1.1.20.[1]	yathāpaṭhitaṃ vā karma kuryāt /
1.1.20.[2]	yathā 'pari tvāgne puraṃ vayam iti triḥ paryagni karoti' //
1.1.21-22.[1]	pradakṣiṇaṃ devānāṃ karma kuryāt /
1.1.21-22.[2]	apradakṣiṇaṃ pitṛkarma //
1.1.23-24.[1]	devānāṃ havirdīyate svāhākāreṇa vaṣaṭkāreṇa vā /
1.1.23-24.[2]	'svāhāntābhiḥ pratyṛcaṃ homāḥ' sarvatra /
1.1.23-24.[3]	svadhākāreṇa namaskāreṇa pitṝṇāṃ dīyate //
1.1.25-26.[1]	samūlaṃ barhiḥ pitṝṇām /
1.1.25-26.[2]	lūnaṃ devānāṃ barhiḥ /
1.1.25-26.[3]	sakṛdācchinnaṃ pitṝṇāṃ barhiḥ /
1.1.25-26.[4]	upaharaṇam /
1.1.25-26.[5]	'uttarato'gnerupasādayatīdhmamuttaraṃ barhiḥ'
1.1.27.[1]	'pra yaccha parśum' ityādi 'ahiṃsantaḥ' ityantena //
1.1.28.[1]	'oṣadhīrdāntu parvan' ityādiśeṣeṇa barhir lūtvā tūṣṇīm āhṛtyottarato'gner upasādayati /
1.1.28.[2]	āvasathyāgneruttarato barhirupasādayati /
1.1.28.[3]	kecid vratopāyanāntaṃ kṛtvā barhirlavanaṃ kurvanti /
1.1.28.[4]	karmaṇāṃ dvyahakālatvāt //
1.1.29.[1]	agniṃ pṛṣṭhato na vaseta /
1.1.29.[2]	nāpradakṣiṇaṃ kuryāt //
1.1.30.[1]	antarā madhye na gacchet /
1.1.30.[2]	agnau yajñapātreṣu brāhmaṇeṣu vyavāyaṃ na kuryāt //
1.1.31.[1]	homakarmakāle dakṣiṇaṃ jānu prapātya tato homaḥ kāryaḥ //
1.1.32-33.[1]	sāṅkhyāyanīye brāhmaṇe uktaṃ 'dve paurṇamāsyau dve amāvāsye' iti /
1.1.32-33.[2]	paurṇamāsī pratipaditi /
1.1.32-33.[3]	amāvāsyā pratipaditi /
1.1.32-33.[4]	pūrvopoṣyottarā yājyā /
1.1.32-33.[5]	kecit pūrvā caturdaśī manyante /
1.1.32-33.[6]	keciccaturdaśīmiśrā paurṇamāsyamāvāsyeti /
1.1.32-33.[7]	tithibhede caturdaśīmiśropoṣyā pratipanmiśrā yājyā //
1.1.34.[1]	tithibhede mukhyā paurṇamāsī /
1.1.34.[2]	bhede yā pūrvā sopoṣyā /
1.1.34.[3]	upavāsaṃ karoti /
1.1.34.[4]	upavāso vede bhaktamaśanam /
1.1.34.[5]	yena yāgaṃ karoti tannāśnāti yajamānaḥ //
1.1.35.[1]	etānyupavasathe nāśnīyāt /
1.1.35.[2]	etāni dravyāṇi prasiddhāni /
1.1.35.[3]	vratopāyanāntaṃ kṛtvā tato vratagrahaṇaṃ karoti /
1.1.35.[4]	brahmacaryādi karoti /
1.1.35.[5]	trividhāni karmāṇi /
1.1.35.[6]	vidhikarmāṇyavidhikarmāṇyucchrayakarmāṇi /
1.1.35.[7]	medhājananādi piṇḍapitṛyajñāntaṃ vidhikarmatvam /
1.1.35.[8]	anadhyāyakaṇḍikā ca /
1.1.35.[9]	madhuparkādīndramahāntam avidhikarmatvam /
1.1.35.[10]	yatra sūktaviniyogaṃ kṛtvā punarṛcāṃ viniyogastatrocchrayakarmatvaṃ yathā 'uduttamam' iti /
1.1.35.[11]	paribhāṣā prathame'dhyāye sarvārthā vidhikarmārthā'vidhikarmārthā ca /
1.1.35.[12]	pariśiṣṭānāṃ paribhāṣātvam /
1.1.35.[13]	pañcakalpānāṃ vidhikarmatvam /
1.1.35.[14]	adbhuteṣu dvitīyā paribhāṣā /
1.1.35.[15]	kulaṃ vā grāmo vā janapado vā tatra rājā bhūmipatir vidvāṃsaṃ bhūgvaṅgirasaṃ vṛṇīyāt ityādi tatroktam /
1.1.35.[16]	kauśikoktānāṃ karmaṇāṃ viduṣāṃ hitārthāyānuṣṭhānapaddhatiḥ kriyate //
1.1.35.[17]	'avyasaśca' barhirlavanavedyuttaravedyagnipratiṣṭhāpanāntaṃ kṛtvā
1.1.36-39.[1]	'mamāgne varcaḥ' iti samidha ādhāya 'vratena tvaṃ vratapate' ityṛcā bhaktaṃ juhoti /
1.1.36-39.[2]	etat kṛtvā tato dvitīye'hanīdaṃ karoti //
1.1.40-41.[1]	'karmaṇe vām' iti mantreṇa hastaprakṣālanam /
1.1.40-41.[2]	apareṇāgner darbhān āstīrya teṣūttaram ānaḍuhaṃ rohitaṃ carma stṛṇāti /
1.1.40-41.[3]	pavitre kurute darbhāv apracchinnaprāntau /
1.1.40-41.[4]	prakṣālyānulomam anumārṣṭi 'viṣṇor manasā pūte sthaḥ' iti mantreṇa //
1.2.1.[1]	sāyamprātarhomavaiśvadevapiṇḍapitṛyajñādi uddhṛte'gnau kāryāṇi /
