#Author:Devapāla
#Text:Kāṭhagṛhyasūtrabhāṣya
#Comments:Kāṭhakagṛhyasūtra
#Edition:Kashmir Series of Texts and Studies, No. XLIX (1923)
#Data entry:Oliver Hellwig
#Notes:Currently covers only the first half of the mūla text.



1.1.[1]	vrataśabdo yamaniyamavācakaḥ /
1.1.[2]	tatra prasaktipratiṣedhātmakā yamāḥ amāṃsabhakṣaṇādayaḥ /
1.1.[3]	niyamāstu aprāptyaṅgaparipūrakā bhaikṣavṛttyādiviṣayāḥ /
1.1.[4]	‘ahiṃsāsatyāsteyabrahmacaryāparigrahāḥ’ yamāḥ /
1.1.[5]	‘śaucasantoṣatapaḥsvādhyāyeśvarapraṇidhānāni’ niyamāḥ /
1.1.[6]	iti tu yamā niyamāśca tairuktāste'pi yathāsaṃbhavamiha nirdhāryante /
1.1.[7]	upanayanādārabhya ā vedādhyayanaparisamāptevratacaraṇaśīlo bhavet // 1 //
1.2.[1]	syādityanuṣaṅgaḥ /
1.2.[2]	uttaratrāpi yojyamevaitat /
1.2.[3]	mṛgasyedaṃ mārgaṃ sāmānyaśabdenāpyeṇasyeti viśeṣo vakṣyamāṇatvāt /
1.2.[4]	vaste ācchādayatīti vāsaḥ paridhānam /
1.2.[5]	tacca mṛgacarma, mārgaṃ vāso yasyeti mārgavāsāḥ syāt // 2 //
1.3.[1]	hantirhiṃsākarmā /
1.3.[2]	samyak kṣureṇa natu kartaryādinā apasāritāḥ keśā yasya muṇḍitaśirā ityarthaḥ, tena muṇḍanena vakṣyamāṇena paunaruktyamityāhuḥ /
1.3.[3]	athavā saṃhatā ekarūpāḥ keśā yasya saḥ /
1.3.[4]	etaduktaṃ bhavati ‘muṇḍo jaṭilo śikhī vā’ iti vakṣyati, tatraikasya traivarṇikasya brahmacāriṇaḥ kālabhedena vikalpanivṛttyarthaṃ niyamābhidhānametat ekarūpā evaikaikena keśāḥ kartavyāḥ, jaṭī cenna muṇḍī śikhī veti /
1.3.[5]	evaṃ muṇḍādiṣu // 3 //
1.4.[1]	bhikṣāṇāṃ samūho bhaikṣam /
1.4.[2]	ācāryastu ‘upanīya tu yaḥ śiṣyam’ ityādilakṣaṇaḥ /
1.4.[3]	bhaikṣeṇaiva brahmacāriṇā śarīraṃ saṃdhāraṇīyamiti niyamaḥ /
1.4.[4]	ācāryādhīnā cāsya vṛttiḥ sthitirūpā śarīrapoṣaṇarūpā ca syāt /
