#Text:Bhāradvājagṛhyasūtra
#Edition:Salomons (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
1.1.2	sa purastādeva saṃbhārān upakalpayate pālāśam idhmaṃ khādiram audumbaraṃ vaikaṅkataṃ vā
1.1.3	etadvṛkṣīyām eva darvīṃ karoti tvagbilāṃ mūladaṇḍāratnīm
1.1.4	caturaṅgulaṃ bilaṃ karoti
1.1.5	sādayācārikaṃ karmeti vijñāyate
1.1.6	garbhāṣṭameṣu brāhmaṇam upanayīta garbhaikādaśeṣu rājanyaṃ garbhadvādaśeṣu vaiśyam
1.1.7	garbhanavameṣu brāhmaṇam ity aparam
1.1.8	vāsāṃsi samāmanantyaiṇeyaṃ brāhmaṇo vasīta rauravaṃ rājanyo bastājinaṃ vaiśyaḥ
1.1.9	yad ajinaṃ dhārayed brahmavarcavṛd vāso dhārayet kṣatraṃ vardhayet
1.1.10	ubhayaṃ dhāryam ubhayor vṛddhyā iti vijñāyate
1.1.11	vasante brāhmaṇam upanayīta grīṣme hemante vā rājanyaṃ śaradi vaiśyaṃ varṣāsu rathakāraṃ śiśire vā sarvān
1.1.12	āpūryamāṇapakṣe puṇye nakṣatre viśeṣeṇa puṃnāmadheya āśitasya kumārasya keśān vāpayitvā snātamalaṃkṛtam ahataṃ vāsaḥ paridhāpya prācīnapravaṇa udīcīnapravaṇe same vā deśe sthaṇḍilam uddhatyāvokṣyāgniṃ mathitvā laukikaṃ vāhṛtya nyupyopasamādadhāti
1.2.1	prāgagrair darbhair agniṃ paristṛṇāty api vodagagrāḥ paścāt purastācca bhavanti
1.2.2	dakṣiṇaḥ pakṣa upariṣṭādbhavaty adhastād uttaraḥ
1.2.3	dakṣiṇenāgniṃ brahmāyatane darbhān saṃstīrya mayi gṛhṇāmy agre agnim iti dvābhyām ātmanyagniṃ dhyātvottareṇāgniṃ pātrebhyaḥ saṃstīrya yathārthaṃ dravyāṇi prayunakty aśmānam ahataṃ vāso 'jinaṃ mauñjīṃ mekhalāṃ trivṛtaṃ brāhmaṇasya maurvīṃ rājanyasya sautrīṃ vaiśyasya bailvaṃ pālāśaṃ vā daṇḍaṃ brāhmaṇasya naiyagrodhaṃ rājanyasyaudumbaraṃ vaiśyasya
1.2.4	ekaviṃśatidārum idhmaṃ saṃnahyaty āhutiparimāṇaṃ vā
1.2.5	tasmiñchamyāḥ paridhīn upasaṃnahyati
1.2.6	darvīṃ kūrcamājyasthālīṃ praṇītāpraṇayanaṃ prokṣaṇīpātram upaveṣaṃ yena cārthaḥ sakṛd eva sarvāṇi yathopapādaṃ vā
1.2.7	etasmin kāle brahmā yajñopavītaṃ kṛtvāpa ācamyāpareṇāgnim atikramya dakṣiṇato brahmāyatanāt tṛṇaṃ nirasyāpa upaspṛśyāgnim abhimukha upaviśati
1.2.8	apareṇāgniṃ prāṅmukha upaviśya samāv apracchinnāgrau darbhau prādeśamātrau pavitre kṛtvānyena nakhācchittvādbhir anumṛjya
1.3.1	pavitrāntarhite pātre 'pa ānīyopabilaṃ pātraṃ pūrayitvodagagrābhyāṃ pavitrābhyāṃ trir utpūya samaṃ prāṇair dhārayamāṇo 'viṣiñcan harati
1.3.2	uttareṇāgniṃ praṇītāḥ sādayitvā darbhair apidadhāti
1.3.3	praṇītāvat prokṣaṇīḥ saṃskṛtya bilavantyuttānāni kṛtvā viṣāyedhmaṃ triḥ sarvābhiḥ prokṣati
1.3.4	darvīṃ niṣṭapya saṃmṛjya punar niṣṭapya nidadhāti
1.3.5	saṃmārgān abhyukṣyāgnāvādadhāti
1.3.6	pavitrāntarhitāyām ājyasthālyām ājyaṃ nirupyottareṇāgnim aṅgārān nirūhya teṣvadhiśrityāvadyotya darbhataruṇābhyāṃ pratyasya triḥ paryagnikṛtvodagudvāsyāṅgārān pratyūhyodagagrābhyāṃ pavitrābhyāṃ punarāhāraṃ trir utpūya pavitre agnāvādhāya śamyābhiḥ paridadhāti
