#Text:Gobhilagṛhyasūtra
#Edition:Knauer (DCS version)



1.1.1	athāto gṛhyakarmāṇy upadekṣyāmaḥ
1.1.2	yajñopavītinācāntodakena kṛtyam
1.1.3	udagayane pūrvapakṣe puṇye 'hani prāg āvartanād ahnaḥ kālaṃ vidyāt
1.1.4	yathādeśaṃ ca
1.1.5	sarvāṇy evānvāhāryavanti
1.1.6	apavarge 'bhirūpabhojanaṃ yathāśakti
1.1.7	brahmacārī vedam adhītyāntyāṃ samidham abhyādhāsyan
1.1.8	jāyāyā vā pāṇiṃ jighṛkṣan
1.1.9	anuguptā apo 'pāhṛtya prāgudakpravaṇaṃ deśaṃ samaṃ vā parisamuhyopalipya madhyataḥ prācīṃ lekhām ullikhyodīcīṃ ca saṃhatāṃ paścān madhye prācīs tisra ullikhyābhyukṣet
1.1.10	lakṣaṇāvṛd eṣā sarvatra
1.1.11	bhūr bhuvaḥ svar ity abhimukham agniṃ praṇayanti
1.1.12	prete vā gṛhapatau parameṣṭhikaraṇam
1.1.13	tathā tithinakṣatraparvasamavāye
1.1.14	darśe vā paurṇamāse vāgnisamādhānaṃ kurvīta
1.1.15	vaiśyakulād vāmbarīṣād vāgnim āhṛtyābhyādadhyāt
1.1.16	api vā bahuyājina evāgārād brāhmaṇasya vā rājanyasya vā vaiśyasya vā
1.1.17	api vānyaṃ mathitvābhyādadhyāt
1.1.18	puṇyas tv evānardhuko bhavatīti
1.1.19	yathā kāmayeta tathā kuryāt
1.1.20	sa yad evāntyāṃ samidham abhyādadhāti jāyāyā vā pāṇiṃ jighṛkṣan juhoti tam abhisaṃyacchet
1.1.21	sa evāsya gṛhyo 'gnir bhavati
1.1.22	tena caivāsya prātarāhutir hutā bhavatīti
1.1.23	sāyamāhutyupakrama evāta ūrdhvaṃ gṛhye 'gnau homo vidhīyate
1.1.24	purā prāduṣkaraṇavelāyāḥ sāyaṃprātar anuguptā apa āharet paricaraṇīyāḥ
1.1.25	api vā sāyam
1.1.26	api vā kumbhād vā maṇikād vā gṛhṇīyāt
1.1.27	purāstamayād agniṃ prāduṣkṛtyāstam ite sāyamāhutiṃ juhuyāt
1.1.28	purodayāt prātaḥ prāduṣkṛtyodite 'nudite vā prātarāhutiṃ juhuyāt
1.2.1	yajñopavītaṃ kurute sūtraṃ vastraṃ vāpi vā kuśarajjum eva
1.2.2	dakṣiṇaṃ bāhum uddhṛtya śiro 'vadhāya savye 'ṃse pratiṣṭhāpayati dakṣiṇaṃ kakṣam anvavalambaṃ bhavaty evaṃ yajñopavītī bhavati
1.2.3	savyaṃ bāhum uddhṛtya śiro 'vadhāya dakṣiṇe 'ṃse pratiṣṭhāpayati savyaṃ kakṣam anvavalambaṃ bhavaty evaṃ prācīnāvītī bhavati
1.2.4	pitṛyajñe tv eva prācīnāvītī bhavati
1.2.5	udag agner utsṛpya prakṣālya pāṇī pādau copaviśya trir ācāmed dviḥ parimṛjīta
1.2.6	pādāv abhyukṣya śiro 'bhyukṣet
1.2.7	indriyāṇy adbhiḥ saṃspṛśet
1.2.8	akṣiṇī nāsike karṇāv iti
1.2.9	yad yan mīmāṃsyaṃ syāt tat tad adbhiḥ saṃspṛśet
1.2.10	tatraitad āhuḥ
1.2.11	nopaspṛśed vrajan
1.2.12	na tiṣṭhan
1.2.13	na hasan
1.2.14	na vilokayan
1.2.15	nāpraṇataḥ
1.2.16	nāṅgulībhiḥ
1.2.17	nātīrthena
1.2.18	na saśabdam
1.2.19	nānavekṣitam
1.2.20	na bāhyāṃsaḥ
1.2.21	nāntarīyaikadeśasya kalpayitvottarīyatām
1.2.22	noṣṇābhiḥ
1.2.23	na saphenābhiḥ
1.2.24	na ca sopānatkaḥ kvacit
1.2.25	kāsaktikaḥ
1.2.26	gale baddhaḥ
1.2.27	caraṇau na prasārya ca
1.2.28	antataḥ pratyupaspṛśya śucir bhavati
1.2.29	hṛdayaspṛśas tv evāpa ācāmet
1.2.30	ucchiṣṭo haivāto 'nyathā bhavatīti
1.2.31	atha pratyupasparśanāni
1.2.32	suptvā bhuktvā kṣutvā snātvā pītvā viparidhāya ca rathyām ākramya śmaśānaṃ cācāntaḥ punar ācāmet
1.3.1	agnim upasamādhāya parisamuhya dakṣiṇajānvakto dakṣiṇenāgnim adite 'numanyasvety udakāñjaliṃ prasiñcet
1.3.2	anumate 'numanyasveti paścāt
1.3.3	sarasvaty anumanyasvety uttarataḥ
1.3.4	deva savitaḥ prasuveti pradakṣiṇam agniṃ paryukṣet sakṛd vā trir vā
1.3.5	paryukṣaṇāntān vyatiharann abhiparyukṣan homīyam
1.3.6	atha haviṣyasyānnasyāgnau juhuyāt kṛtasya vākṛtasya vā
1.3.7	akṛtaṃ cet prakṣālya juhuyāt prodakaṃ kṛtvā
1.3.8	atha yadi dadhi payo yavāgūṃ vā kaṃsena vā carusthālyā vā sruveṇa vaiva
1.3.9	agnaye svāheti pūrvāṃ tūṣṇīm uttarāṃ madhye cāparājitāyāṃ ca diśīti sāyam
1.3.10	atha prātaḥ sūryāya svāheti pūrvāṃ tūṣṇīm evottarāṃ madhye caivāparājitāyāṃ caiva diśi
1.3.11	samidham ādhāyānuparyukṣya tathaivodakāñjalīn prasiñced anvamaṃsthā iti mantraviśeṣaḥ
1.3.12	pradakṣiṇam agnim parikramyāpāṃ śeṣaṃ ninīya pūrayitvā camasaṃ pratiṣṭhāpya yathārtham
1.3.13	evam ata ūrdhvaṃ gṛhye 'gnau juhuyād vā hāvayed vājīvitāvabhṛthāt
1.3.14	athāpy udāharanti
1.3.15	kāmam gṛhye 'gnau patnī juhuyāt sāyamprātarhomau gṛhāḥ patnī gṛhya eṣo 'gnir bhavatīti
1.3.16	niṣṭhite sāyamāśaprātarāśe bhūtam iti pravācayet
1.3.17	ṛte bhagayā vācā śucir bhūtvā
1.3.18	pratijapaty oṃ ity uccais tasmai namas tan mākhyā ity upāṃśu
1.4.1	atha vāgyato balīn haret
1.4.2	bhāṣetānnasaṃsiddhim atithibhiḥ kāmaṃ sambhāṣeta
1.4.3	atha haviṣyasyānnasyoddhṛtya haviṣyair vyañjanair upasicyāgnau juhuyāt tūṣṇīṃ pāṇinaiva
1.4.4	prājāpatyā pūrvāhutir bhavati sauviṣṭakṛty uttarā
1.4.5	atha balīn hared bāhyato vāntar vā subhūmiṃ kṛtvā
1.4.6	sakṛd apo ninīya caturdhā baliṃ nidadhyāt sakṛd antataḥ pariṣiñcet
1.4.7	ekaikam vānunidhānam ubhayataḥ pariṣiñcet
1.4.8	sa yat prathamam nidadhāti sa pārthivo balir bhavaty atha yad dvitīyam sa vāyavyo yat tṛtīyam sa vaiśvadevo yac caturthaṃ sa prājāpatyaḥ
1.4.9	athāparān balīn hared udadhānasya madhyamasya dvārasyābdaivataḥ prathamo balir bhavaty oṣadhivanaspatibhyo dvitīya ākāśāya tṛtīyaḥ
1.4.10	athāparam baliṃ haret śayanam vādhivarcaṃ vā sa kāmāya vā balir bhavati manyave vā
1.4.11	atha sastūpaṃ sa rakṣojanebhyaḥ
1.4.12	athaitad baliśeṣam adbhir abhyāsicyāvasalavi dakṣiṇā ninayet tat pitṛbhyo bhavati
1.4.13	āsīna eva 'gnau juhuyāt
