#Text:Hiraṇyakeśigṛhyasūtra
#Edition:Kirste (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
1.1.2	saptavarṣaṃ brāhmaṇamupanayīta
1.1.3	ekādaśavarṣaṃ rājanyaṃ dvādaśavarṣaṃ vaiśyam
1.1.4	vasante brāhmaṇaṃ grīṣme rājanyaṃ śaradi vaiśyam
1.1.5	āpūryamāṇapakṣe puṇye nakṣatre viśeṣeṇa puṃnāmadheye
1.1.6	yugmānbrāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanamṛddhimiti vācayitvā
1.1.7	āśitasya kumārasya keśānvāpayitvā snātamalaṃkṛtam
1.1.8	ahataṃ vāsaḥ paridhāya
1.1.9	prācīnapravaṇa udīcīnapravaṇe prāgudakpravaṇe same vā deśa uddhatyāvokṣya
1.1.10	agniṃ mathitvā laukikaṃ vāhṛtya nyupyopasamādadhāti
1.1.11	prāgagrairdarbhairagniṃ paristṛṇāti
1.1.12	api vodagagrāḥ paścātpurastācca bhavanti
1.1.13	dakṣiṇānuttarānkarotyuttarānadharān yadi prāgudagagrāḥ
1.1.14	dakṣiṇenāgniṃ brahmāyatane darbhānsaṃstīrya
1.1.15	mayi gṛhṇāmi yo no agnir iti dvābhyām ātmannagniṃ gṛhītvā
1.1.16	uttareṇāgniṃ darbhān saṃstīrya yathārthaṃ dravyāṇi prayunakti
1.1.17	aśmānam ahataṃ vāso 'jinaṃ mauñjīṃ mekhalāṃ trivṛtāṃ brāhmaṇasya jyāṃ rājanyasyāvīsūtraṃ vaiśyasya bailvaṃ pālāśaṃ vā daṇḍaṃ brāhmaṇasya naiyyagrodhaṃ rājanyasyaudumbaraṃ vaiśyasya
1.1.18	ekaviṃśatidārum idhmaṃ saṃnahyatyāhutiparimāṇaṃ vā
1.1.19	tasmiñchamyāḥ paridhīn idhma upasaṃnahyati
1.1.20	darvīṃ kūrcam ājyasthālīṃ praṇītāpraṇayanaṃ yena cārthaḥ
1.1.21	sakṛdeva sarvāṇi yathopapadaṃ vā
1.1.22	etasmin kāle brahmā yajñopavītaṃ kṛtvāpa ācamyāpareṇāgniṃ dakṣiṇātikramya brahmasadanāt tṛṇaṃ nirasyāpa upaspṛśyāgnim abhimukha upaviśati
1.1.23	samāvapracchinnāgrau darbhau prādeśamātrau pavitre kṛtvānyena nakhāc chittvādbhir anumṛjya pavitrāntarhite pātre 'pa ānīyopabilaṃ pūrayitvodagagrābhyāṃ pavitrābhyāṃ trir utpūyottareṇāgniṃ darbheṣu sādayitvā darbhair apidadhāti
1.1.24	tiraḥpavitraṃ prokṣaṇīḥ saṃskṛtya yathā purastād bilavantyuttānāni kṛtvā viṣāyedhmaṃ triḥ sarvābhiḥ prokṣati
1.1.25	darvīṃ niṣṭapya saṃmṛjya punarniṣṭapya nidadhāti
1.1.26	saṃmārgānabhyukṣyāgnāvādadhāti
1.1.27	ājyaṃ vilāpya pavitrāntarhitāyām ājyasthālyām ājyaṃ nirūpyodīco 'ṅgārān nirūhya teṣvadhiśrityāvadyotya darbhataruṇābhyāṃ pratyasya triḥ paryagni kṛtvodagudvāsyāṅgārān pratyūhyodagagrābhyāṃ pavitrābhyāṃ punarāhāram ājyaṃ trirutpūya pavitre 'gnāvādhāya
1.2.1	śamyābhiḥ paridadhāti
1.2.2	apareṇāgnimudīcīnakumbāṃ madhyamāṃ nidadhāti
1.2.3	dakṣiṇenāgniṃ saṃspṛṣṭāṃ madhyamayā prācīnakumbām
1.2.4	uttareṇāgniṃ saṃspṛṣṭāṃ madhyamayā prācīnakumbām
