#Text:Kauśikasūtra
#Edition:Bloomfield (DCS version)



1.1.1	atha vidhiṃ vakṣyāmaḥ
1.1.2	sa punar āmnāyapratyayaḥ
1.1.3	āmnāyaḥ punar mantrāś ca brāhmaṇāni ca
1.1.4	tad yathābrāhmaṇaṃ vidhir evaṃ karmaliṅgā mantrāḥ
1.1.5	tathānyārthaḥ
1.1.6	tathā brāhmaṇaliṅgā mantrāḥ
1.1.7	tadabhāve saṃpradāyaḥ
1.1.8	pramuktatvād brāhmaṇānām
1.1.9	yajñaṃ vyākhyāsyāmaḥ
1.1.10	devānāṃ pitṝṇāṃ ca
1.1.11	prāṅmukha upāṃśu karoti
1.1.12	yajñopavītī devānām
1.1.13	prācīnavītī pitṝṇām
1.1.14	prāg udag vā devānām
1.1.15	dakṣiṇā pitṝṇām
1.1.16	prāgudagapavargaṃ devānām
1.1.17	dakṣiṇāpratyagapavargaṃ pitṝṇām
1.1.18	sakṛt karma pitṝṇām
1.1.19	tryavarārdhaṃ devānām
1.1.20	yathādiṣṭaṃ vā
1.1.21	abhidakṣiṇam ācāro devānām
1.1.22	prasavyaṃ pitṝṇām
1.1.23	svāhākāravaṣaṭkārapradānā devāḥ
1.1.24	svadhākāranamaskārapradānā pitaraḥ
1.1.25	upamūlalūnaṃ barhiḥ pitṝṇām
1.1.26	parvasu devānām
1.1.27	pra yaccha parśum iti darbhāhārāya dātraṃ prayacchati
1.1.28	oṣadhīr dāntu parvan ityupari parvaṇāṃ lūtvā tūṣṇīm āhṛtyottarato 'gner upasādayati
1.1.29	nāgniṃ viparyāvarteta
1.1.30	nāntarā yajñāṅgāni vyaveyāt
1.1.31	dakṣiṇaṃ jānu prabhujya juhoti
1.1.32	yā pūrvā paurṇamāsī sānumatir yottarā sā rākā
1.1.33	yā pūrvāmāvāsyā sā sinīvālī yottarā sā kuhūḥ
1.1.34	adyopavasatha ityupavatsyadbhaktam aśnāti
1.1.35	madhulavaṇamāṃsamāṣavarjam
1.1.36	mamāgne varcaḥ iti samidha ādhāya vratam upaiti
1.1.37	vratena tvāṃ vratapate iti vā
1.1.38	brahmacārī vratī
1.1.39	adhaḥ śayīta
1.1.40	prātarhute 'gnau karmaṇe vāṃ veṣāya vāṃ sukṛtāya vām iti pāṇī prakṣālyāpareṇāgner darbhān āstīrya teṣūttaram ānaḍuhaṃ rohitaṃ carma prāggrīvam uttaraloma prastīrya pavitre kurute
1.1.41	darbhāvaprachinnāntau prakṣālyānulomam anumārṣṭi viṣṇor manasā pūte sthaḥ iti
1.2.1	tvaṃ bhūmim aty eṣy ojasā tvaṃ vedyāṃ sīdasi cārur adhvare tvāṃ pavitram ṛṣayo bharantas tvaṃ punīhi duritāny asmat iti pavitre antardhāya havir nirvapati devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ juṣṭaṃ nirvapāmi iti
1.2.2	evam agniṣomābhyām iti
1.2.3	indrāgnibhyām ityamāvāsyāyām
1.2.4	nityaṃ pūrvam āgneyam
1.2.5	niruptaṃ pavitrābhyāṃ prokṣati amuṣmai tvā juṣṭam yathādevatam
1.2.6	ulūkhalamusalaṃ śūrpaṃ prakṣālitaṃ carmaṇyādhāya vrīhīn ulūkhala opyāvaghnaṃs trir haviṣkṛtā vācaṃ visṛjati haviṣkṛd ā dravehi iti
1.2.7	avahatya suphalīkṛtān kṛtvā triḥ prakṣālya taṇḍulān agne varur yajñiyas tvādhi arukṣat iti carum adhidadhāti
1.2.8	śuddhāḥ pūtāḥ ityudakam āsiñcati
1.2.9	brahmaṇā śuddhāḥ iti taṇḍulān
1.2.10	pari tvāgne puraṃ vayam iti triḥ paryagni karoti
1.2.11	nekṣaṇena triḥ pradakṣiṇam udāyauti
1.2.12	ata ūrdhvaṃ yathākāmam
1.2.13	uttarato 'gner upasādayatīdhmam
1.2.14	uttaraṃ barhiḥ
1.2.15	agnaye tvā juṣṭaṃ prokṣāmi itīdhmam
1.2.16	pṛthivyai iti barhiḥ
1.2.17	darbhamuṣṭim abhyukṣya paścād agneḥ prāgagraṃ nidadhāti ūrṇamradaṃ prathasva svāsasthaṃ devebhyaḥ iti
1.2.18	darbhāṇām apādāya ṛṣīṇāṃ prastaro 'si iti dakṣiṇato 'gner brahmāsanaṃ nidadhāti
1.2.19	purastād agner āstīrya teṣāṃ mūlānyapareṣāṃ prāntair avacchādayan parisarpati dakṣiṇenāgnim ā paścārdhāt
1.2.20	pari stṛṇīhi iti sampreṣyati
1.2.21	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ prasūtaḥ praśiṣā paristṛṇāmi iti
1.2.22	evam uttarato 'yujo dhātūn kurvan
1.2.23	yatra samāgacchanti tad dakṣiṇottaraṃ kṛṇoti
1.2.24	stīrṇaṃ prokṣati haviṣāṃ tvā juṣṭaṃ prokṣāmi iti
1.2.25	nānabhyukṣitaṃ saṃstīrṇam upayogaṃ labheta
1.2.26	naidho'bhyādānam
1.2.27	nānutpūtaṃ haviḥ
1.2.28	nāprokṣitaṃ yajñāṅgam
1.2.29	tasmin prakṣālitopavātāni nidadhāti
1.2.30	sruvam ājyadhānīṃ ca
