#Text:Khādiragṛhyasūtra
#Edition:Sastri 1913 (DCS version)



1.1.1	athāto gṛhyā karmāṇi
1.1.2	udagayanapūrvapakṣapuṇyāheṣu prāg āvartanād ahnaḥ kālo 'nādeśe
1.1.3	apavarge yathotsāhaṃ brāhmaṇānāśayet
1.1.4	yajñopavītam
1.1.5	sautram
1.1.6	kauśaṃ vā
1.1.7	grīvāyāṃ pratimucya dakṣiṇaṃ bāhumuddhṛtya yajñopavītī bhavati
1.1.8	savyaṃ prācīnāvītī
1.1.9	trirācamyāpo dviḥ parimṛjīta
1.1.10	pādāvabhyukṣya śiro 'bhyukṣet
1.1.11	indriyāṇy adbhiḥ saṃspṛśet
1.1.12	antataḥ pratyupaspṛśya śucirbhavati
1.1.13	āsanasthānasaṃveśanānyudagagreṣu darbheṣu
1.1.14	prāṅmukhasya pratīyāt
1.1.15	paścādagneryatra homaḥ syāt
1.1.16	sahaśirasaṃ snānaśabde
1.1.17	dakṣiṇena pāṇinā kṛtyamanādeśe
1.1.18	mantrāntamavyaktaṃ parasyādigrahaṇena vidyāt
1.1.19	svāhāntā mantrā homeṣu
1.1.20	pākayajña ityākhyā yaḥ kaścaikāgnau
1.1.21	tatrartvigbrahmā sāyamprātarhomavarjam
1.1.22	svayaṃ hautram
1.1.23	dakṣiṇato 'gner udaṅmukhastūṣṇīmāste brahmāhomāt prāgagreṣu
1.1.24	kāmaṃ tvadhiyajñaṃ vyāharet
1.1.25	ayajñiyāṃ vā vyāhṛtya mahāvyāhṛtīr japet vā
1.1.26	idaṃ viṣṇuriti
1.1.27	hautrabrahmatve svayaṃ kurvan brahmāsanam upaviśya chattram uttarāsaṅgaṃ kamaṇḍaluṃ vā tatra kṛtvāthānyatkuryāt
1.1.28	avyāvṛttiṃ yajñāṅgair avyavāyaṃ cecchet
1.2.1	pūrve bhāge veśmano gomayenopalipya tasya madhyadeśe lakṣaṇaṃ kuryāt
1.2.2	dakṣiṇataḥ prācīṃ lekhāmullikhya
1.2.3	tadārambhādudīcīṃ tadavasānātprācīṃ tisro madhye prācīḥ
1.2.4	tadabhyukṣya
1.2.5	agnimupasamādhāya
1.2.6	imaṃ stomamiti parisamūhya tṛcena
1.2.7	paścādagnerbhūmau nyañcau pāṇī kṛtvedaṃ bhūmeriti
1.2.8	vasvantaṃ rātrau
1.2.9	paścāddarbhānāstīrya dakṣiṇataḥ prācīṃ prakarṣeduttarataśca
1.2.10	aprakṛṣya vā
1.2.11	pūrvopakramaṃ pradakṣiṇam agniṃ stṛṇuyānmūlānyagraiśchādayaṃstrivṛtaṃ pañcavṛtaṃ vā
1.2.12	upaviśya darbhāgre prādeśamātre pracchinatti na nakhena pavitre stho vaiṣṇavyāviti
1.2.13	adbhirunmṛjya viṣṇormanasā pūte stha iti
1.2.14	udagagre aṅguṣṭhābhyāmanāmikābhyāṃ ca saṃgṛhya trir ājyam utpunāti devastvā savitotpunātvacchidreṇa pavitreṇa vasoḥ sūryasya raśmibhiriti
1.2.15	abhyukṣyaite agnāvanupraharet
1.2.16	ājyamadhiśrityottarataḥ kuryāt
1.2.17	dakṣiṇajānvakto dakṣiṇenāgnim adite 'numanyasvety udakāñjaliṃ prasiñcet
1.2.18	anumate 'numanyasveti paścāt sarasvatyanumanyasvety uttarataḥ
1.2.19	deva savitaḥ prasuveti pradakṣiṇam agniṃ paryukṣed abhipariharan
1.2.20	sakṛttrirvā havyam
1.2.21	samidhamādhāya
1.2.22	prapadaṃ japitvopatāmya kalyāṇaṃ dhyāyan vairūpākṣam ārabhyocchvaset
1.2.23	pratikāmaṃ kāmyeṣu
1.2.24	sarvatraitaddhomeṣu kuryāt
1.3.1	brahmacārī vedam adhītyopanyāhṛtya gurave 'nujñāto dārān kurvīta
1.3.2	āplavanaṃ ca
1.3.3	tayor āplavanaṃ pūrvam
1.3.4	mantrābhivādāt tu pāṇigrahaṇasya pūrvaṃ vyākhyātam
1.3.5	brāhmaṇaḥ sahodakumbhaḥ prāvṛto vāgyato 'greṇāgniṃ gatvodaṅmukhas tiṣṭhet
1.3.6	snātām ahatenācchādya yā akṛntann ity ānīyamānāyāṃ pāṇigrāho japet somo 'dadad iti
1.3.7	pāṇigrāhasya dakṣiṇata upaveśayet
1.3.8	anvārabdhāyāṃ sruveṇopaghātaṃ mahāvyāhṛtibhir ājyaṃ juhuyāt
1.3.9	samastābhiś caturthīm
1.3.10	evaṃ caulopanayanagodāneṣu
1.3.11	agnir etu prathama iti ṣaḍbhiś ca pāṇigrahaṇe
1.3.12	nājyabhāgau na sviṣṭakṛd ājyāhutiṣv anādeśe
1.3.13	sarvatropariṣṭān mahāvyāhṛtibhiḥ
1.3.14	prājāpatyayā ca
1.3.15	prāyaścittaṃ juhuyāt
1.3.16	hutvopottiṣṭhataḥ
1.3.17	anupṛṣṭhaṃ gatvā dakṣiṇato 'vasthāya vadhvañjaliṃ gṛhṇīyāt
1.3.18	pūrvā mātā śamīpalāśamiśrāṃl lājāñchūrpe kṛtvā
1.3.19	paścād agner dṛṣatputram ākramayed vadhūṃ dakṣiṇena prapadenemam aśmānam iti
1.3.20	sakṛd gṛhītam añjaliṃ lājānāṃ vadhvañjalāv āvaped bhrātā
1.3.21	suhṛd vā kaścit
1.3.22	taṃ sāgnau juhuyād avicchidyāñjaliṃ iyaṃ nārīti
1.3.23	aryamaṇaṃ pūṣaṇam ity uttarayoḥ
1.3.24	hute tenaiva gatvā pradakṣiṇam agniṃ pariṇayet kanyalā pitṛbhya iti
1.3.25	avasthānaprabhṛty evaṃ triḥ
1.3.26	śūrpeṇa śiṣṭān agnāv opya prāgudīcīm utkramayet ekam iṣa iti
1.3.27	īkṣakāvekṣaṇarathārohaṇadurgānumantraṇānyabhirūpābhiḥ
1.3.28	apareṇāgnim audako gatvā pāṇigrāhaṃ mūrdhany avasiñcet
1.3.29	vadhūṃ ca
1.3.30	samañjantv ity avasiktaḥ
1.3.31	dakṣiṇaṃ pāṇiṃ sāṅguṣṭhaṃ gṛhṇīyāt gṛbhṇāmi ta iti ṣaḍbhiḥ
1.4.1	prāgudīcīm udvahet
