#Text:Mānavagṛhyasūtra
#Edition:Knauer (DCS version)



1.1.1	upanayanaprabhṛti vratacārī syāt
1.1.2	mārgavāsāḥ saṃhatakeśo bhaikṣācāryavṛttiḥ saśalkadaṇḍaḥ saptamuñjāṃ mekhalāṃ dhārayed ācāryasyāpratikūlaḥ sarvakārī
1.1.3	yad enam upeyāt tad asmai dadyādbahūnāṃ yena saṃyuktaḥ
1.1.4	nāsya śayyāmāviśet
1.1.5	na saṃvastrayet
1.1.6	na rathamārohet
1.1.7	nānṛtaṃ vadet
1.1.8	na muṣitāṃ striyaṃ prekṣeta
1.1.9	na vihārārtho jalpet
1.1.10	na rucyarthaṃ kiṃcana dhārayīta
1.1.11	sarvāṇi sāṃsparśikāni strībhyo varjayet
1.1.12	na madhumāṃse prāśnīyātkṣāralavaṇe ca
1.1.13	na snāyādudakaṃ vābhyaveyāt
1.1.14	yadi snāyāddaṇḍa ivāpsu plaveta
1.1.15	prāgastamayānniṣkramya samidhāvāhareddhariṇyau brahmavarcasakāma iti śrutiḥ
1.1.16	imaṃ stomam arhata ity agniṃ parisamuhya paryukṣya paristīryaidho 'sy edhiṣīmahīti samidham ādadhāti samid asi samedhiṣīmahīti dvitīyām
1.1.17	apo adyānvacāriṣam ity upatiṣṭhate
1.1.18	yad agne tapasā tapo brahmacaryam upemasi / priyāḥ śrutasya bhūyāsmāyuṣmantaḥ sumedhasaḥ / iti mukhaṃ vimṛṣṭe
1.1.19	bhadraṃ karṇebhiḥ śṛṇuyāma devā iti śrotre abhimṛśati
1.1.20	bhadraṃ paśyemākṣabhir yajatrā iti cakṣuṣī
1.1.21	sthirair aṅgais tuṣṭuvāṃsas tanūbhir vy aśema devahitaṃ yad āyur ity aṅgāni
1.1.22	iha dhṛtiriha svadhṛtiriti hṛdayadeśam ārabhya japati
1.1.23	rucaṃ no dhehīti pṛthivīmārabhate
1.1.24	tryāyuṣaṃ jamadagneḥ kaśyapasya tryāyuṣam agastyasya tryāyuṣam / yad devānāṃ tryāyuṣaṃ tan me astu tryāyuṣam / iti bhasmanāṅgāni saṃspṛśyāpohiṣṭhīyābhir mārjayate
1.2.1	atha saṃdhyām upāste
1.2.2	prāgastamayān niṣkramyottarato grāmasya purastād vā śucau deśe niṣadyopaspṛśyāpām añjaliṃ pūrayitvā pradakṣiṇam āvṛtya / āyāhi viraje devyakṣare brahmasaṃmite / gāyatri chandasāṃ mātar idaṃ brahma juṣasva me / ityāvāhayati
1.2.3	ojo 'sīti japitvā kaste yunaktīti yojayitvā oṃ bhūrbhuvaḥ svas tat savitur ity aṣṭau kṛtvaḥ prayuṅkta ity āmnātāḥ kāmā ā devo yātīti triṣṭubhaṃ rājanyasya yuñjata iti jagatīṃ vaiśyasya
1.2.4	ud u tyaṃ jātavedasamiti dve nigadya kaste vimuñcatīti vimucyodakāñjalim utsṛjati
1.2.5	evaṃ prātas tiṣṭhan
1.2.6	etena dharmeṇa dvādaśa caturviṃśatiṃ ṣaṭtriṃśatam aṣṭācatvāriṃśataṃ vā varṣāṇi yo brāhmaṇo rājanyo vaiśyo vā brahmacaryaṃ carati muṇḍaḥ śikhājaṭaḥ sarvajaṭo vā malajñur abalaḥ kṛśaḥ snātvā sa sarvaṃ vindate yat kiṃcin manasecchatīti
1.2.7	etena dharmeṇa sādhvadhīte
1.2.8	chandasy arthān buddhvā snāsyan gāṃ kārayet
1.2.9	ācāryam arhayecchrotriyaḥ
1.2.10	anyo vedapāṭhī na tasya snānam
1.2.11	āpo hi ṣṭheti tisṛbhir hiraṇyavarṇāḥ śucaya iti dvābhyāṃ snātvāhate vāsasī paridhatte
1.2.12	vasv asi vasumantaṃ mā kuru sauvarcasāya mā tejase brahmavarcasāya paridadhāmīti paridadhāti
1.2.13	yathā dyauśca pṛthivī ca na bibhīto na riṣyataḥ / evaṃ me prāṇa mā bibha evaṃ me prāṇa mā riṣa ity āṅkte
1.2.14	hiraṇyam ābadhnīte
1.2.15	chatraṃ dhārayate daṇḍaṃ mālāṃ gandham
1.2.16	pratiṣṭhe stho daivate dyāvāpṛthivī mā mā saṃtāptam ity upānahau
1.2.17	dvivastro 'ta ūrdhvaṃ bhavati tasmācchobhanaṃ vāso bhartavyam iti śrutiḥ
1.2.18	āmantrya gurūn guruvadhūśca svāngṛhān vrajet
1.2.19	pratiṣiddham aparayā dvārā niṣkramaṇaṃ malavadvāsasā saha saṃvastraṇaṃ rajaḥsuvāsinyā saha śayyā guror duruktavacanam asthāne śayanaṃ smayanaṃ saraṇaṃ sthānaṃ yānaṃ gānaṃ tasya cekṣaṇam
1.2.20	paurṇamāsyām amāvāsyāyāṃ vāgneyena paśunā yajeta
1.2.21	tasya havir bhakṣayitvā yathāsukhamata ūrdhvaṃ madhumāṃse prāśnīyāt kṣāralavaṇe ca
1.3.1	yam evaṃ vidvāṃsam abhyudiyād vābhyastamiyād vā pratibudhya japet / punar mām aitvindriyaṃ punarāyuḥ punarbhagaḥ / punar draviṇam aitu māṃ punar brāhmaṇam aitu mām / atho yatheme dhiṣṇyāso agnayo yathāsthānaṃ kalpayantām ihaivety abhyuditaḥ
1.3.2	punar mātmā punar āyur aitu punaḥ prāṇaḥ punar ākūtir aitu / vaiśvānaro vāvṛdhāno vareṇāntas tiṣṭhato me mano amṛtasya ketuḥ ity abhyastamitaḥ
1.3.3	ubhāv eva vābhyudito japed ubhāveva vābhyastamitaḥ
1.3.4	yady acaraṇīyān vācared anākrośyān vākrośed abhojyasya vānnam aśnīyād akṣi vā spandet karṇo vākrośed agniṃ vā citim ārohet smaśānaṃ vā gacched yūpaṃ vopaspṛśedretaso vā skanded etābhyām eva mantrābhyām āhutīr juhuyāt / api vājyalipte samidhā vādadhyāt / api vā mantrāveva japet
1.3.5	evam adharmam ācaryāsthūlam
1.3.6	sthūle veṣaṇayā vihared avastro lomatvagācchādo 'gnim ārohet saṃgrāme vā ghātayed api vāgnimindhānaṃ tapasātmānam upayojayīta
1.4.1	varṣāsu śravaṇena svādhyāyānupākurute
1.4.2	sa juhoti / apvā nāmāsi tasyās te joṣṭrīṃ gameyam / ahamiddhi pituḥ pari medhām ṛtasya jagrabha ahaṃ sūrya ivājani svāhā / apvo nāmāsi tasya te joṣṭraṃ gameyam / ahamiddhi pituḥ pari medhām ṛtasya jagrabha ahaṃ sūrya ivājani svāhā / sarasvatī nāmāsi sarasvān nāmāsi / yuktir nāmāsi yogo nāmāsi / matir nāmāsi mano nāmāsi / tasyās te joṣṭrīṃ gameyam / tasya te joṣṭraṃ gameyam iti sarvatrānuṣajati
1.4.3	yuje svāhā prayuje svāhodyuje svāhety etair antevāsināṃ yogamicchanniti
1.4.4	prāksviṣṭakṛto 'tha japati / ṛtaṃ vadiṣyāmi satyaṃ vadiṣyāmi tan mām avatu tad vaktāram avatv avatu mām avatu vaktāram / vāṅ me manasi pratiṣṭhitā mano me vāci pratiṣṭhitam āvir āyur mayi dhehi vedasya vāṇīḥ stha / oṃ bhūr bhuvaḥ svas tat savitur iti
1.4.5	darbhapāṇis triḥ sāvitrīm adhīte trīṃś cādito 'nuvākān / ko vo yunaktīti ca / upākurmahe 'dhyāyān upatiṣṭhantu chandāṃsīti ca
1.4.6	tasyānadhyāyāḥ samūhanvāto valīkakṣāraprabhṛti varṣam / na vidyotamāne na stanayatīti śrutiḥ / ākālikaṃ devatumulaṃ vidyuddhanvolkātyakṣarāḥ śabdāḥ / ācāreṇānye
1.4.7	ardhapañcamān māsān adhītyotsṛjati pañcārdhaṣaṣṭhān vā
1.4.8	atha japati / ṛtam avādiṣaṃ satyam avādiṣaṃ tan māvīt tad vaktāram āvīd āvīn mām āvīd vaktāram / vāṅ me manasi pratiṣṭhitā mano me vāci pratiṣṭhitam āvir āyur mayi dhehi / vedasya vāṇīḥ stha / oṃ bhūr bhuvaḥ svas tat savitur iti
1.4.9	darbhapāṇis triḥ sāvitrīm adhīte trīṃś cādito 'nuvākān / ko vo vimuñcatīti vimucyotsṛjāmahe 'dhyāyān pratiśvasantu chandāṃsīti ca
1.4.10	pratipadaṃ pakṣiṇīṃ rātrīṃ nādhīyīta nāta ūrdhvam abhreṣu
1.4.11	ākāliko vidyutstanayitnuvarṣeṣu
1.4.12	gonāmeṣu mantrabrāhmaṇakalpapitṛmedhamahāvratāṣṭāpadīvaiṣuvatāni divādhīyīta vaiṣuvatam ārdrapāṇiḥ
1.4.13	rudrān na naktaṃ na bhuktvā na grāme
1.4.14	śukriyasya pravargyakalpe niyamo vyākhyātas trayoviṃśaṃ tu saṃmīlya
1.4.15	gavāṃ tu na sakāśe gonāmāni garbhiṇīnām asakāśe 'ṣṭāpadīṃ reto mūtramiti ca
1.4.16	śunāsīryasya ca saurye cakṣuṣkāmasya cakṣur no dhehi cakṣuṣa iti sūryo 'po 'vagāhata iti cādityasauryayāmyāni ṣaḍṛcāni divādhīyīta
