#Text:Pāraskaragṛhyasūtra
#Edition:Bakre (DCS version)



1.1.1	athāto gṛhyasthālīpākānāṃ karma
1.1.2	parisamuhyopalipyollikhyoddhṛtyābhyukṣyāgnim upasamādhāya dakṣiṇato brahmāsanamāstīrya praṇīya paristīryārthavad āsādya pavitre kṛtvā prokṣaṇīḥ saṃskṛtyārthavat prokṣya nirupyājyam adhiśritya paryagnikuryāt
1.1.3	sruvaṃ pratapya saṃmṛjyābhyukṣya punaḥ pratapya nidadhyāt
1.1.4	ājyam udvāsyotpūyāvekṣya prokṣaṇīśca pūrvavad upayamanān kuśānādāya samidho 'bhyādhāya paryukṣya juhuyāt
1.1.5	eṣa eva vidhir yatra kvaciddhomaḥ
1.2.1	āvasathyādhānaṃ dārakāle
1.2.2	dāyādyakāla ekeṣām
1.2.3	vaiśyasya bahupaśor gṛhād agnimāhṛtya
1.2.4	cātuṣprāśyapacanavatsarvam
1.2.5	araṇipradānameke
1.2.6	pañca mahāyajñā iti śruteḥ
1.2.7	agnyādheyadevatābhyaḥ sthālīpākaṃ śrapayitvājyabhāgāviṣṭvājyāhutīr juhoti
1.2.8	tvaṃ no 'gne sa tvaṃ no 'gna imaṃ me varuṇa tat tvā yāmi ye te śatam ayāś cāgna ud uttamaṃ bhavataṃ na ityaṣṭau purastāt
1.2.9	evamupariṣṭāt sthālīpākasyāgnyādheyadevatābhyo hutvā juhoti
1.2.10	sviṣṭakṛte ca
1.2.11	ayāsy agner vaṣaṭkṛtaṃ yatkarmaṇātyarīricaṃ devā gātuvida iti
1.2.12	barhir hutvā prāśnāti
1.2.13	tato brāhmaṇabhojanam
1.3.1	ṣaḍ arghyā bhavantyācārya ṛtvig vaivāhyo rājā priyaḥ snātaka iti
1.3.2	pratisaṃvatsarān arhayeyuḥ
1.3.3	yakṣyamāṇāstvṛtvijaḥ
1.3.4	āsanamāhāryāha sādhu bhavān āstām arcayiṣyāmo bhavantamiti
