#Text:Vaikhānasagṛhyasūtra
#Edition:Caland
#Notes:1-3 from DCS (with corrections), 4ff. directly from TITUS; sentence splits according to Caland added by O. Hellwig.



1.1.1	atha niṣekādisaṃskārānvyākhyāsyāmaḥ
1.1.2	ṛtusaṃgamanagarbhādhānapuṃsavanasīmantaviṣṇubalijātakarmotthānanāmakaraṇānnaprāśanapravāsāgamanapiṇḍavardhanacauḍakopanayanapārāyaṇavratabandhavisargopākarmasamāvartanapāṇigrahaṇānīty aṣṭādaśa saṃskārāḥ śārīrāḥ yajñāśca dvāviṃśat brahmayajño devayajñaḥ pitṛyajño bhūtayajño manuṣyayajñaśceti pañcānām aharahar anuṣṭhānam
1.1.3	sthālīpāka āgrayaṇamaṣṭakā piṇḍapitṛyajño māsiśrāddhaṃ caitryāśvayujīti sapta pākayajñāḥ
1.1.4	agnyādheyamagnihotraṃ darśapūrṇamāsāv āgrayaṇeṣṭiś cāturmāsyo nirūḍhapaśubandhaḥ sautrāmaṇīti sapta haviryajñāḥ
1.1.5	agniṣṭomo 'tyagniṣṭoma ukthyaḥ ṣoḍaśī vājapeyo 'tirātro 'ptoryāma iti sapta somayajñā ityete catvāriṃśadbhavanti
1.1.6	niṣekād ā jātakātsaṃskṛtāyāṃ brāhmaṇyāṃ brāhmaṇājjātamātraḥ putramātra upanītaḥ sāvitryadhyayanād brāhmaṇaḥ
1.1.7	vedamadhītya śārīrair ā pāṇigrahaṇātsaṃskṛtaḥ pākayajñairapi yajan śrotriyaḥ
1.1.8	svādhyāyapara āhitāgnirhaviryajñair apyanūcānaḥ
1.1.9	somayajñairapi bhrūṇaḥ
1.1.10	saṃskārairetairupeto niyamayamābhyāmṛṣikalpaḥ
1.1.11	sāṅgacaturvedatapoyogād ṛṣiḥ
1.1.12	nārāyaṇaparāyaṇo nirdvaṃdvo muniḥ
1.1.13	iti saṃskāraviśeṣāt pūrvāt pūrvāt parovarīvān iti vijñāyate
1.2.1	atha cāturāśramiṇāṃ snānavidhiḥ
1.2.2	abhiṣekadivyavāyavyāgneyagurvanujñā iti pañcadhā bhavati
1.2.3	nadītaṭākakūpānāmalābhe pūrvasyottaramupatiṣṭhate
1.2.4	prāṅmukha udaṅmukho vākramya jalasthaleṣvāsīnaḥ pāṇipādāv ā maṇibandhajānuto dakṣiṇādi pratyekaṃ prakṣālyānekāvasrāvam avicchinnam adrutam aśabdam abahirjānuhṛdayaṃgamam udakaṃ gokarṇavatpāṇiṃ kṛtvā brāhmeṇa tīrthena trirācamya dviraṅguṣṭhamūlenāsyaṃ parimārṣṭi
1.2.5	aṅguṣṭhasyāgniḥ pradeśinyā vāyurmadhyamasya prajāpatiranāmikāyāḥ sūryaḥ kaniṣṭhikasyendra ityadhidevatā bhavanti
1.2.6	aṅguṣṭhamadhyamābhyāṃ sarvatīrthairvā mukhaṃ mārṣṭyaṅguṣṭhānāmikābhyāṃ cakṣuṣī aṅguṣṭhapradeśinībhyāṃ nāsikāmaṅguṣṭhakaniṣṭhikābhyāṃ śrotre
1.2.7	bhujau tābhyāmaṅguṣṭhena vā
1.2.8	hṛdayamaṅgulibhirnābhiṃ cāṅguṣṭhena pratyaṅgam apaś ca spṛṣṭvā jaṅghayorvāme pāṇāvapyabhyukṣya sarvābhirmūrdhānaṃ spṛśati
1.2.9	indro 'ham ubhayābhyām iti karāvāpaḥ pādāvasminkula iti pādau ca tathā prakṣālyāpaḥ punantviti punastathācāmati
1.2.10	ṛgvedaḥ prīṇātu yajurvedaḥ prīṇātu sāmavedaḥ prīṇātviti trir apaḥ pītvātharvavedaḥ prīṇātvitihāsavedaḥ prīṇātu candramāḥ prīṇātviti tridhā mukhaṃ mārṣṭi
1.2.11	maheśvaraḥ prīṇātviti mūrdhānamādityaḥ prīṇātu somaḥ prīṇātviti cakṣuṣī diśaḥ prīṇantviti śrotre vāyuḥ prīṇātviti nāsikāmindraḥ prīṇātviti bhujau viṣṇuḥ prīṇātviti hṛdayamagniḥ prīṇātviti nābhim
1.2.12	spṛśatītyeke
1.3.1	athāpo namaskṛtyāvagāhya yāvad amanaḥśaṅkam adbhir mṛdā ca gātraśuddhiṃ kṛtvā vastram ā daśāt sūditam iti nenekti gāyatryā prāgagrikam udagagrikaṃ vāstṛṇāti
1.3.2	śuṣke tayaiva gṛhṇīyādidamāpaḥ pravahatetyabhigamya hiraṇyaśṛṅgamiti jalaṃ praṇamya samṛdodakenāpaḥ punātvityabhyukṣyedamāpaḥ śivā ity apo vigāhya susnāti
