1.1.1	We shall explain the Upanayana.
1.1.2	He prepares the requisite materials beforehand, namely, Palasa wood, Khadira wood, Udumbara wood, or Vaikankata wood.
1.1.3	He makes a ladle of the wood of these trees, with a mouth, a handle, and a base.
1.1.4	He makes the mouth four fingers wide.
1.1.5	It is known as the "ritual of the Sadaya-chara."
1.1.6	A Brahmin boy should be initiated at the age of eight, a Kshatriya boy at eleven and a Vaishya boy at twelve.
1.1.7	Some say that a Brahmin boy should be so initiated at the age nine.
1.1.8	A Brahmin boy should wear a garment made of black antelope skin, a Kshatriyan boy a garment made of the skin of a lion and a Vaishyan boy a garment of the skin of an ox.
1.1.9	If one wears a deer-skin, it increases brahminical splendour. If one wears a garment, it increases the kshatriya.
1.1.10	It is known that both should be worn for the increase of both.
1.1.11	In spring, one should initiate a brahmin, in summer or autumn a kshatriya, in autumn a vaishya, in the rainy season a chariot-maker, or all in winter.
1.1.12	In the auspicious fortnight of the moon, on a particular lunar day, the hair of the boy whose name is to be given is shaved, he is bathed, adorned, and dressed in a new garment. A mound is raised in a place sloping towards the east, or towards the north, or on level ground, and the fire is churned and brought from the world and placed on it.
1.2.1	He strews the fire with Darbha grass, with their tips pointing towards the east or towards the north. They are arranged in rows, one behind the other.
1.2.2	The right wing is above, the left wing below.
1.2.3	Having spread darbha-grass to the right of the fire in the Brahmacarya-house, having meditated on the fire in himself with the two formulas, "I take the fire first" etc., having spread darbha-grasses to the north of the fire in front of the vessels, he should place the articles in their proper places. The articles are: an unhewn stone, a new garment, a deerskin, a girdle of muñja grass, a staff with three joints for a Brāhmaṇa, a staff with joints for a Kṣatriya, a staff with knots for a Vaiśya, a staff of banyan wood for a Brāhman, a staff of fig wood for a Kṣatrya, a staff of oak wood for a Vaiśy.
1.2.4	He lays down the sacrificial grass in twenty-one rows, the size of the oblation.
1.2.5	On it he lays down the enclosing sticks of the Samīdha.
1.2.6	He places the ladle, the spoon, the vessel for melted butter, the vessel for carrying the Prāṇīta water, the Prāṇita water, the sprinkling vessel, the garment, and whatever else is required, either all at once or as they are required.
1.2.7	At this time Brahma, having put on the sacrificial thread, having sipped water, having gone beyond the fire, having spread grass to the south of the Brahma altar, having sipped again, sits facing the fire.
1.2.4	He lays down the sacrificial grass in twenty-one rows, the size of the oblation.
1.2.5	On it he lays down the enclosing sticks of the Samīdha.
1.2.6	He places the ladle, the spoon, the vessel for melted butter, the vessel for carrying the Prāṇīta water, the Prāṇita water, the sprinkling vessel, the garment, and whatever else is required, either all at once or as they are required.
1.2.8	Having sat down facing the east, with the two Darbha-blades not cut at the tip, and of the size of a span, having made them into the Pavitra, and having cut them with another blade, he should wipe them with water.
1.2.7	At this time Brahma, having put on the sacrificial thread, having sipped water, having gone beyond the fire, having spread grass to the south of the Brahma altar, having sipped again, sits facing the fire.
1.3.1	Having brought water into the vessel covered with the Pavitra, having filled the vessel with water, having sprinkled it three times with the Pavitras held above, and having held it evenly with the breath, without spilling, he carries it.
1.3.2	Having placed the Praṇītā vessels north of the fire, he covers them with Darbha grass.
1.2.8	Having sat down facing the east, with the two Darbha-blades not cut at the tip, and of the size of a span, having made them into the Pavitra, and having cut them with another blade, he should wipe them with water.
1.3.1	Having brought water into the vessel covered with the Pavitra, having filled the vessel with water, having sprinkled it three times with the Pavitras held above, and having held it evenly with the breath, without spilling, he carries it.
1.3.2	Having placed the Praṇītā vessels north of the fire, he covers them with Darbha grass.
1.3.3	Having purified the Prokṣaṇī water as prescribed, having placed the sacrificial grass with their tips pointing towards the north, having placed the kindling wood in three layers, he sprinkles all of it with the Prokṣani water.
1.3.4	Having roasted the ladle, having wiped it, having roasted it again, he places it.
1.3.5	Having sprinkled the Sammārgaṇī water, he places it near the fire.
1.3.3	Having purified the Prokṣaṇī water as prescribed, having placed the sacrificial grass with their tips pointing towards the north, having placed the kindling wood in three layers, he sprinkles all of it with the Prokṣani water.
1.3.4	Having roasted the ladle, having wiped it, having roasted it again, he places it.
1.3.5	Having sprinkled the Sammārgaṇī water, he places it near the fire.
1.3.6	Having placed the oblation-spoon containing clarified butter within the Pavitra, having placed the embers to the north of the fire, having placed it on them, having illuminated it, having covered it with two fresh Darbha-blades, having thrice parched it over the embers, having sprinkled it with water, having removed the embers, having again parched it thrice with the Pavitras held with their tips towards the north, having placed the Pavitras in the fire, he encloses it with the Samya-blades.
1.3.7	He places the dice-box with the mouth towards the north, touching the middle one, towards the east, and the other one towards the south.
1.3.8	Having placed the stool with the mouth towards north, beyond the fire, he sits facing east on it.
1.3.9	Having put on the sacrificial thread and sipped water, the boy sits to the right of the teacher and begins.
1.3.6	Having placed the oblation-spoon containing clarified butter within the Pavitra, having placed the embers to the north of the fire, having placed it on them, having illuminated it, having covered it with two fresh Darbha-blades, having thrice parched it over the embers, having sprinkled it with water, having removed the embers, having again parched it thrice with the Pavitras held with their tips towards the north, having placed the Pavitras in the fire, he encloses it with the Samya-blades.
1.3.7	He places the dice-box with the mouth towards the north, touching the middle one, towards the east, and the other one towards the south.
1.3.8	Having placed the stool with the mouth towards north, beyond the fire, he sits facing east on it.
1.3.9	Having put on the sacrificial thread and sipped water, the boy sits to the right of the teacher and begins.
1.4.1	Then he sprinkles (the fire) with the formula, "O Aditi, do thou approve." To the right, with the formula, “O Anumati, do thou approve.” To the west, with the formula “O Sarasvati, do thou approve”. To the north, with the formula "O Dev Savitar, do thou approve". All around, with the formula "O Dev Savitar do thou approve."
1.4.2	Having offered thus, he sprinkles.
1.4.3	He bows down to the mantras as if they were accomplished.
1.4.4	Having rubbed the wood three times, he places it once. This is the wood, the Self of Jātavedas. By it, do thou grow and do thou increase us with progeny, cattle, with Brahmic glory, with food. Svāhā.
1.4.1	Then he sprinkles (the fire) with the formula, "O Aditi, do thou approve." To the right, with the formula, “O Anumati, do thou approve.” To the west, with the formula “O Sarasvati, do thou approve”. To the north, with the formula "O Dev Savitar, do thou approve". All around, with the formula "O Dev Savitar do thou approve."
1.4.2	Having offered thus, he sprinkles.
1.4.3	He bows down to the mantras as if they were accomplished.
1.4.4	Having rubbed the wood three times, he places it once. This is the wood, the Self of Jātavedas. By it, do thou grow and do thou increase us with progeny, cattle, with Brahmic glory, with food. Svāhā.
1.4.7	Having moved along the southern edge of the altar, he offers the Ajyabhāgas, with the formulas, "To Agni, the lord of meditation, svāhā" in the eastern half of the northern half, and "To Soma, the lord of meditaion, svāhā," in the eastern half in the southern half.
1.4.8	In between these two, he offers the other oblations.
1.4.5	Having moved along the southern boundary, sitting facing the south, he offers the continuous and straight libation, meditating on Prajapati in his mind.
1.4.6	He does not offer with the word "svāhā".
1.4.9	This is the procedure for all Darvis and Homa offerings.
1.4.10	At the end of the mantra, always add "svāhā".
1.4.11	For those mantras without a deity, add "svāha to him" as prescribed for the specific deity.
1.4.12	For those without a prescribed deity, add "to Agni svāhā, to Soma svāhā, svāhā to Prajapati, svāhā svāhā to all the gods, svāhā."
1.4.7	Having moved along the southern edge of the altar, he offers the Ajyabhāgas, with the formulas, "To Agni, the lord of meditation, svāhā" in the eastern half of the northern half, and "To Soma, the lord of meditaion, svāhā," in the eastern half in the southern half.
1.4.8	In between these two, he offers the other oblations.
1.4.13	He offers with the Vyāhṛtis, one by one, and also with all of them.
1.4.9	This is the procedure for all Darvis and Homa offerings.
1.4.10	At the end of the mantra, always add "svāhā".
1.4.11	For those mantras without a deity, add "svāha to him" as prescribed for the specific deity.
1.4.12	For those without a prescribed deity, add "to Agni svāhā, to Soma svāhā, svāhā to Prajapati, svāhā svāhā to all the gods, svāhā."
