1.1.1	Now we shall teach the domestic rites.
1.1.2	One should perform the rites with the sacrificial thread, having sipped water after rinsing the mouth.
1.1.3	In the northern direction, in the bright fortnight, on an auspicious day, before the turning of the day, one should know the time.
1.1.4	And according to the region.
1.1.5	All of them are Anvāhāryavanti.
1.1.6	In the case of a funeral rite, one should eat as much as one can, according to one's ability.
1.1.7	Having studied the Veda, a student of the Veda, about to place the last sacrificial grass-twig,
1.1.8	or one who is about to take the hand of his wife,
1.1.9	having removed the water from the unwatched place, having levelled the ground sloping towards the east or north, having sprinkled it in the middle, having drawn a line towards the east and another towards the north, having drawn three lines towards the east in the middle, he should sprinkle.
1.1.10	This is the general rule.
1.1.11	They direct the fire towards the east, saying, "Bhūr Bhuvah Svah."
1.1.12	If the householder is dead, then the Parameshthi rite is performed.
1.1.13	Similarly, when there is a conjunction of a lunar day, constellation, and festival.
1.1.14	One should perform the Agnihotra at the new moon or full moon.
1.1.15	One should bring fire from a Vaishya family or from an Ambarisha and kindle it.
1.1.16	Or, if one is a householder, one may offer to the Brahman, the Kṣatriya, or the Vaiśya.
1.1.17	Or, having churned another, one may offer.
1.1.18	One becomes meritorious and without debt.
1.1.19	One should do as one wishes.
1.1.20	When one offers the last kindling wood, one may offer the hand of one's wife, or one may restrain oneself.
1.1.21	That is his domestic fire.
1.1.22	And his morning oblation is offered in that.
1.1.23	The offering of the evening oblation is prescribed in the domestic fire, after the time of its offering.
1.1.24	One should bring the sacrificial grass, which is to be used for strewing, before the time of spreading it out, in the evening and morning.
1.1.25	Or in the evening.
1.1.21	That is his domestic fire.
1.1.22	And his morning oblation is offered in that.
1.1.23	The offering of the evening oblation is prescribed in the domestic fire, after the time of its offering.
1.1.24	One should bring the sacrificial grass, which is to be used for strewing, before the time of spreading it out, in the evening and morning.
1.1.25	Or in the evening.
1.1.26	Or he may take it from a pot or a gem.
1.1.27	Having kindled the fire before sunset, one should offer the evening oblation at sunset.
1.1.28	Having kindled it before sunrise, one should offer morning oblation at sunrise or before sunrise.
1.1.26	Or he may take it from a pot or a gem.
1.1.27	Having kindled the fire before sunset, one should offer the evening oblation at sunset.
1.1.28	Having kindled it before sunrise, one should offer morning oblation at sunrise or before sunrise.
1.2.1	He makes the sacrificial thread, either a string or a cloth or a grass rope.
1.2.2	Having raised the right arm and bowing the head, he places it on the left shoulder, hanging down from the right armpit. Thus he becomes one who wears the sacrificial thread.
1.2.1	He makes the sacrificial thread, either a string or a cloth or a grass rope.
1.2.2	Having raised the right arm and bowing the head, he places it on the left shoulder, hanging down from the right armpit. Thus he becomes one who wears the sacrificial thread.
1.2.3	Having raised his left hand, he places it on his right shoulder, with his head bent down. The left armpit is supported. Thus he becomes one who faces east.
1.2.4	But at the Pitryajna, he becomes one who turns his back to the east.
1.2.5	Having gone beyond the fire towards the north, having washed his hands and feet, having sat down, he should sip water three times and wipe his lips twice.
1.2.3	Having raised his left hand, he places it on his right shoulder, with his head bent down. The left armpit is supported. Thus he becomes one who faces east.
1.2.4	But at the Pitryajna, he becomes one who turns his back to the east.
1.2.5	Having gone beyond the fire towards the north, having washed his hands and feet, having sat down, he should sip water three times and wipe his lips twice.
1.2.6	Having sprinkled the feet, he should sprinkle the head.
1.2.7	He should touch the senses with water.
1.2.8	The eyes, the nose, and the ears.
1.2.9	Whatever is to be examined, he should touch it with water.
1.2.10	Here they say this:
1.2.11	One should not touch while walking.
1.2.12	Not while standing.
1.2.13	Not while laughing.
1.2.6	Having sprinkled the feet, he should sprinkle the head.
1.2.7	He should touch the senses with water.
1.2.8	The eyes, the nose, and the ears.
1.2.9	Whatever is to be examined, he should touch it with water.
1.2.10	Here they say this:
1.2.11	One should not touch while walking.
1.2.12	Not while standing.
1.2.13	Not while laughing.
1.2.14	not looking around.
1.2.15	not bowing down.
1.2.16	not with fingers.
1.2.17	not with a river.
1.2.18	not with sound.
1.2.19	not with eyes averted.
1.2.20	not with the shoulders outside.
1.2.21	not by making the upper garment of one part of the inner garment.
1.2.22	not with hot ones.
1.2.23	not with foam.
1.2.24	not with stairs.
1.2.25	with a belt.
1.2.26	tied around the neck.
1.2.27	not stretching out the feet.
1.2.14	not looking around.
1.2.15	not bowing down.
1.2.16	not with fingers.
1.2.17	not with a river.
1.2.18	not with sound.
1.2.19	not with eyes averted.
1.2.20	not with the shoulders outside.
1.2.21	not by making the upper garment of one part of the inner garment.
1.2.22	not with hot ones.
1.2.23	not with foam.
1.2.24	not with stairs.
1.2.25	with a belt.
1.2.26	tied around the neck.
1.2.27	not stretching out the feet.
1.2.28	At the least, one becomes pure by touching water.
1.2.29	One should sip water touching the heart.
1.2.30	One becomes impure if one does not do so.
1.2.31	Now, the rules for touching water.
1.2.32	After sleeping, eating, sneezing, bathing, drinking, changing clothes, stepping on a road, and entering a cremation ground, one should sip water again.
1.2.28	At the least, one becomes pure by touching water.
1.2.29	One should sip water touching the heart.
1.2.30	One becomes impure if one does not do so.
1.2.31	Now, the rules for touching water.
1.2.32	After sleeping, eating, sneezing, bathing, drinking, changing clothes, stepping on a road, and entering a cremation ground, one should sip water again.
1.3.1-4	Having kindled the fire, having circumambulated it, having sat down with the right knee touching the ground, facing the fire, one should sprinkle the water with the formula, "O Aditi, may you be pleased." "May you be pleased with the one who is pleased." "O Sarasvati, may you be satisfied." "O god Savitar, may you be propitious." One should sprinkle the fire clockwise, once or thrice.
1.3.1-4	Having kindled the fire, having circumambulated it, having sat down with the right knee touching the ground, facing the fire, one should sprinkle the water with the formula, "O Aditi, may you be pleased." "May you be pleased with the one who is pleased." "O Sarasvati, may you be satisfied." "O god Savitar, may you be propitious." One should sprinkle the fire clockwise, once or thrice.
1.3.5	Having passed beyond the sprinkling, he sprinkles the Homa-offering.
1.3.6	Then one should offer oblations of cooked food into the fire, whether it is prepared or not prepared.
1.3.7	If it is not prepared, one should offer it after washing it, making it wet.
1.3.8	Then if it is curd, milk, barley gruel, or rice in a pot, one should offer with a ladle.
1.3.5	Having passed beyond the sprinkling, he sprinkles the Homa-offering.
1.3.6	Then one should offer oblations of cooked food into the fire, whether it is prepared or not prepared.
1.3.7	If it is not prepared, one should offer it after washing it, making it wet.
1.3.8	Then if it is curd, milk, barley gruel, or rice in a pot, one should offer with a ladle.
1.3.9	To Agni svāhā, thus in the east, silently in the north, and in the middle and in the direction of Aparajita in the evening.
1.3.10	Then in the morning, to Surya svāhā, in the east, and silently in the north and in the middle, and in the direction Aparajita.
1.3.9	To Agni svāhā, thus in the east, silently in the north, and in the middle and in the direction of Aparajita in the evening.
1.3.10	Then in the morning, to Surya svāhā, in the east, and silently in the north and in the middle, and in the direction Aparajita.
1.3.11	Having placed the kindling wood and having sprinkled water, he should sprinkle water-offerings in the same way, with the special mantra "May it be accomplished."
1.3.12	Having circumambulated the fire clockwise, having poured the remaining water, and having filled the vessel, he should establish it as appropriate.
1.3.13	Thus, from now on, one should offer oblations in the domestic fire, or one should cause to be offered, for the sake of prosperity.
1.3.11	Having placed the kindling wood and having sprinkled water, he should sprinkle water-offerings in the same way, with the special mantra "May it be accomplished."
1.3.12	Having circumambulated the fire clockwise, having poured the remaining water, and having filled the vessel, he should establish it as appropriate.
1.3.13	Thus, from now on, one should offer oblations in the domestic fire, or one should cause to be offered, for the sake of prosperity.
1.3.14	Now, they also quote:
1.3.15	"The wife may offer in the domestic fire, at the evening and morning oblations. The house is the wife, the domestic fire is the house."
1.3.16	When the evening and morning offerings are concluded, one should announce, "It is done."
1.3.17	Having become pure, except for the speech of Bhaga.
1.3.14	Now, they also quote:
1.3.15	"The wife may offer in the domestic fire, at the evening and morning oblations. The house is the wife, the domestic fire is the house."
1.3.16	When the evening and morning offerings are concluded, one should announce, "It is done."
1.3.17	Having become pure, except for the speech of Bhaga.
1.4.4	The first oblation is to Prajapati, the second to Savitar.
1.4.5	Then he should take the oblations outside or inside, having prepared a good place.
1.4.6	Having sprinkled water once, he should place the oblation in four parts, and sprinkle it once at the end.
1.4.7	Or he should sprinkle each part separately, and sprinkle it on both sides.
1.4.4	The first oblation is to Prajapati, the second to Savitar.
1.4.5	Then he should take the oblations outside or inside, having prepared a good place.
1.4.6	Having sprinkled water once, he should place the oblation in four parts, and sprinkle it once at the end.
1.4.7	Or he should sprinkle each part separately, and sprinkle it on both sides.
1.4.8	The first oblation that he offers is to the Earth, the second to the Wind, the third to the All-gods, and the fourth to Prajapati.
1.4.9	Then he should offer the other oblations, beginning with the middle door of the house, which belongs to the year. The first oblation is to the plants and trees, the second to space,
1.4.8	The first oblation that he offers is to the Earth, the second to the Wind, the third to the All-gods, and the fourth to Prajapati.
1.4.9	Then he should offer the other oblations, beginning with the middle door of the house, which belongs to the year. The first oblation is to the plants and trees, the second to space,
1.4.10	Then he should offer another oblation, either to the bed or to the overlord, for the sake of desire or for the sake of the mind.
1.4.11	Then the oblation with the stupa is for the Rakshasa people.
1.4.12	Then, having sprinkled the remaining oblation with water, one should lead it to the right with the Avassalavī verse. It becomes for the ancestors.
1.4.13	One should offer oblations while seated.
1.4.14	He should give to the Pitrs while seated, and the others according to his means.
1.4.15	But he himself should take them away as long as he lives.
1.4.16	Or another Brāhmaṇa.
1.4.17	The husband and wife alone.
1.4.18	Thus is the vow of the householder.
1.4.19	A woman in the evening, a man in the morning.
1.4.10	Then he should offer another oblation, either to the bed or to the overlord, for the sake of desire or for the sake of the mind.
1.4.11	Then the oblation with the stupa is for the Rakshasa people.
1.4.12	Then, having sprinkled the remaining oblation with water, one should lead it to the right with the Avassalavī verse. It becomes for the ancestors.
1.4.13	One should offer oblations while seated.
1.4.14	He should give to the Pitrs while seated, and the others according to his means.
1.4.15	But he himself should take them away as long as he lives.
1.4.16	Or another Brāhmaṇa.
1.4.17	The husband and wife alone.
1.4.18	Thus is the vow of the householder.
1.4.19	A woman in the evening, a man in the morning.
1.4.20	But in the case of all food, one should take out the strong portions for the Pitṛs, for the Śrāddha, or for the purpose of a sacrifice.
1.4.21	One should return from the sacrifice.
1.4.22	If at one time both rice and barley are being cooked, one should take the strong portions of one and think that it is done.
1.4.23	If at the same time food is cooked again and again, one should do the strong portions only once.
1.4.24	If this is accomplished first, then having placed it in front of the fire and given it to a brahmin, one should eat.
1.4.25	If this is accomplished last, then one should eat. Thus it is said.
1.4.26	But they also quote:
1.4.27	At the end of this very offering, one may say, "It is accomplished!"
1.4.20	But in the case of all food, one should take out the strong portions for the Pitṛs, for the Śrāddha, or for the purpose of a sacrifice.
1.4.21	One should return from the sacrifice.
1.4.22	If at one time both rice and barley are being cooked, one should take the strong portions of one and think that it is done.
1.4.23	If at the same time food is cooked again and again, one should do the strong portions only once.
1.4.28	He himself should take the oblation of the crops, from the barley to the rice, from the rice to the barley. This is the oblation of crops.
1.4.29	One becomes long-lived.
1.4.30	When the fruits are distributed, one should take the obration of water for rinsing the mouth. This is the Raudra oblation.
1.5.1	Now about the Darsha-Paurnamasa sacrifices.
