1.1.1	We shall explain the Upanayana.
1.1.2	A Brahmin should be initiated at the age of seven.
1.1.3	A Kshatriya at eleven, and a Vaishya at twelve.
1.1.4	A Brahmin in spring, a Kshatriya in summer, and a Vaisher in autumn.
1.1.5	In the waxing fortnight, on an auspicious constellation, especially on a masculine name.
1.1.6	Having fed the Brahmins in pairs, having recited the auspicious benedictory verses, having given gifts,
1.1.7	having shaved the hair of the boy who has eaten, having bathed and adorned him,
1.1.8	having put on a new garment,
1.1.9	having sprinkled water on the ground sloping towards the east, sloping towards the north, sloping towards the east and north, or on level ground,
1.1.10	Having churned out fire and having brought it out, he places it and offers it.
1.1.11	He strews the fire with Darbha grass with their tips towards the east.
1.1.12	Or they may be with their tips towards north, behind and in front.
1.1.13	If they are with their tips towards east and north, he makes them towards south and north, the southern ones below.
1.1.14	Having strewn Darbha grass in the Brahmacarya place towards the south of the fire,
1.1.15	Having taken Agni into himself with the two verses, "Agni takes us," etc.,
1.1.16	having spread darbha-grass to the north of the fire, he arranges the requisite articles.
1.1.17	The Brahmana should wear a garment made of bark, a skin, a girdle of Muñja grass, a bow-string of three strands, a staff of Bilva or Palasa wood.
1.1.18	He should arrange the sacrificial wood in twenty-one pieces, each of the size of an oblation.
1.1.19	In that (fire) he places the enclosing sticks of the sacrificial grass, and the sacrificial grass.
1.1.20	The ladle, the wooden sword, the vessel for clarified butter, the vessel for the offering to be poured out, and whatever else is required.
1.1.21	All at once, or according to the occasion.
1.1.22	At this time Brahma, having put on the sacrificial thread, having sipped water, having gone round the fire on the right side, having thrown away the grass from the seat of Brahma, having touched water, sits facing the fire.
1.1.23	Having made two Darbha-blades, cut at the tip and measuring a span, into the Pavitra, having cut them with another blade, having wiped them with water, having placed the vessel covered with the Pavitra, and having brought water, having filled it up to the brim, having sprinkled it three times with the Pavitra held above, having placed it north of the fire on the Darbha-blades and covered with Darbha-blades.
1.1.24	Having purified the Prokṣaṇī water, having placed the sacrificial grass and the sacrificial twigs in front, having placed the fire-wood in the form of a beehive, he sprinkles it three times with all the verses.
1.1.25	Having heated the ladle, having wiped it, having heated it again, he places it.
1.1.26	Having sprinkled the Sammārgaṇī water, he places the fire.
