1.1.1	Now we shall declare the method.
1.1.2	And that is based on the Veda.
1.1.3	The Veda is again Mantras and Brahmanas.
1.1.4	As the Brahmana is the method, so the Mantras are the signs of the rite.
1.1.5	So also the other meaning.
1.1.6	So also Mantras are the sign of the Brahmana.
1.1.7	In its absence, tradition.
1.1.8	Because of the release of the Brahmanas.
1.1.9-18	We shall explain the sacrifice. For the gods and the ancestors. Facing east, one performs silently. Wearing the sacred thread in front for the gods. Wearing the thread behind for the ancestors. East or north for the gods. For the ancestors. South for the ancestors. For the gods. East or west for the gods. South or west for the ancestors. The gods. One performance for the ancestors.
1.1.19	The gods have three and a half (parts).
1.1.20	Or as prescribed.
1.1.21	The gods have the right-handed (way of offering).
1.1.22	The ancestors have the left-handed (way).
1.1.23	The gods give with the utterance of "svaha" and "vashat".
1.1.24	The ancestors give with the utterance "svaha", "namas" and "svaha".
1.1.25	The sacrificial grass of the ancestors is cut near the roots.
1.1.26	The gods are on the joints.
1.1.27	"Give the Parasu (to the person who is to cut the grass)." He gives the cutting instrument to the person who is going to cut the grass.
1.1.28	"Cut the grass at the joints." Having cut the grass at the junctions, he silently brings it and places it north of the fire.
1.1.29	One should not turn away from the fire.
1.1.30	The sacrificial implements should not be scattered in between.
1.1.31	He offers with the right knee bent.
1.1.32	The full moon that comes first is Anumati, the one that comes later is Raka.
1.1.33	The new moon that comes first, is Sinivali, the one that later is Kuhu.
1.1.34	Today is the Upavasatha day, he eats the food of the Upavastha.
1.1.35	Excluding honey, salt, meat, and beans.
1.1.36	Having placed the kindling wood with the verse, "O Agni, my radiance," he undertakes the vow.
1.1.37	Or with the verse, “O Vrata-pati, with the vow.”
1.1.38	One who is a student, one who is observing a vow.
1.1.39	One should lie down on the ground.
1.1.40	Having washed his hands in the fire that has been offered in the morning, he spreads darbha grass to the right of the fire, and on them he spreads the skin of a black antelope with the head towards the east and the hair towards the north, and makes it pure.
1.1.41	Having washed the ends of the Darbha-blades, he rubs them in the direction of the hair, with the verse, "May you be purified by the mind of Visnu."
1.2.1	You will go beyond the earth by your strength. You sit down on the altar, beautiful at the sacrifice. The sages bear you as the purifier. Purify our sins. Having covered the purifier, he offers the oblation, saying, "I offer what is agreeable to you, impelled by the god Savitr, with the arms of the Ashvins, with the hands of Pusan."
1.2.2	Thus to Agni and Soma.
1.2.3	To Indra and Agni at the new moon.
1.2.4	The Agniya is always performed first.
1.2.5	Having spread the Pavitras, he sprinkles (the Soma) with the formula, "For him thee, agreeable according to the deity."
1.2.6	Having placed the pestle, mortar, and winnowing basket on the cleansed skin, and having poured the rice into the mortar, he strikes it three times, and releases the speech with the formula, "O Havis-maker, do run."
1.2.7	Having carried it away and made it well-pounded, and having washed it three times, he places the rice in the pot with the formula, "O Agni, the sacrificial oblation has stuck to thee."
1.2.6	Having placed the pestle, mortar, and winnowing basket on the cleansed skin, and having poured the rice into the mortar, he strikes it three times, and releases the speech with the formula, "O Havis-maker, do run."
1.2.7	Having carried it away and made it well-pounded, and having washed it three times, he places the rice in the pot with the formula, "O Agni, the sacrificial oblation has stuck to thee."
1.2.8	"Pure, cleansed" he sprinkles water.
1.2.9	"Purified by Brahma" he sprinkles the rice.
1.2.10	"We have surrounded thee, O Agni, with this protection" he performs the Agnihotra three times.
1.2.11	He goes around three times to the right with the ladle.
1.2.12	From here onwards as one pleases.
1.2.13	He places the kindling wood north of the fire.
1.2.14	The sacrificial grass is placed north.
1.2.8	"Pure, cleansed" he sprinkles water.
1.2.9	"Purified by Brahma" he sprinkles the rice.
1.2.10	"We have surrounded thee, O Agni, with this protection" he performs the Agnihotra three times.
1.2.11	He goes around three times to the right with the ladle.
1.2.12	From here onwards as one pleases.
1.2.13	He places the kindling wood north of the fire.
1.2.14	The sacrificial grass is placed north.
1.2.15	"To Agni, I sprinkle thee, thy own portion." Thus he sprinkles the kindling wood.
1.2.16	"To earth," thus the sacrificial grass.
1.2.17	Having sprinkled a handful of Darbha grass, he places it behind the fire, with the tip towards the east, with the formula, "Be soft and smooth, be in accord with the gods."
1.2.18	Having taken up the darbha-grass, he places the seat of the Brahman to the right of the fire, saying, "Thou art the seat of the Rsis."
1.2.19	Having spread them in front of the fire, he covers the roots of the others with the ends, moving around the fire to the right, up to the rear half.
1.2.20	He instructs, "Spread around."
1.2.18	Having taken up the darbha-grass, he places the seat of the Brahman to the right of the fire, saying, "Thou art the seat of the Rsis."
1.2.19	Having spread them in front of the fire, he covers the roots of the others with the ends, moving around the fire to the right, up to the rear half.
1.2.20	He instructs, "Spread around."
1.2.21	"With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I spread the Paristriṇa grass with the permission (of the gods)."
1.2.22	Thus he makes the northern ones to be of odd number.
1.2.23	Where they meet, he makes it to be in the southern and northern directions.
1.2.24	He sprinkles the spread (grass) with the formula, "I sprinkle thee, the agreeable to the oblations."
1.2.25	The unsprinkled and unstrewn (grass) would not be fit for use.
1.2.26	The offering is the taking up.
1.2.27	The oblation is not purified.
1.2.28	The sacrificial implements are not sprinkled.
1.2.29	He puts in it the washed and dried (grass).
