1.1.1	He should observe the vow from the time of his Upanayana onwards.
1.1.2	He should wear a path-robe, have matted hair, and subsist on alms. He should carry a staff with a tassel, and wear a girdle of seven Muñja grass. He should be obedient to the teacher and do everything for him.
1.1.3	Whatever he may receive, he should give it to the teacher, except those things which are connected with many.
1.1.4	He should not lie on the same bed as the teacher.
1.1.5	He should also not wear the same cloth.
1.1.6	He should not mount a chariot.
1.1.7	He should not speak untruth.
1.1.8	He should look at a woman who is not his own.
1.1.9	He should speak for the sake of enjoyment.
1.1.10	He should wear nothing for the sake of beauty.
1.1.11	He should avoid all contact with women.
1.1.12	He should eat no honey, meat, alkali or salt.
1.1.13	He should bathe or drink water.
1.1.14	If he were to bathe, he would float like a stick in the water.
1.1.15	The Veda says, "One desiring brahmic glory should collect the sacrificial wood before sunset."
1.1.16	Having surrounded the fire, having sprinkled it, having spread it, he places the first sacrificial wood with the verse, "This Stoma is worthy of you." The second one with, "You are the sacrificial wood, we desire to kindle."
1.1.17	He stands up with the verse, "Today I have wandered through the waters."
1.1.18	"Whatever penance you perform through austerity, O Agni, we approach you for the practice of celibacy. May we be dear to the heard. May you be long-lived and of good intellect." He touches the mouth when it is cleansed.
1.1.19	"May we hear good things with our ears." He touches the ears.
1.1.20	"May the performers of sacrifice see good things with their eyes." He touches the eyes.
1.1.21	With firm limbs, praising with our bodies, we have attained the life that is the divine boon. Thus are the limbs.
1.1.22	Beginning from the heart region, he recites: "Here is steadfastness, here is self-steadfastness."
1.1.23	"Grant us radiance," beginning from the earth.
1.1.24	"He touches his limbs with ashes, saying, "May I have the life of three years of Jamadagni, of Kasyapa, of Agastya, of the gods, may I have the life for three years." He cleanses himself with the Aposhthiiya verses.
1.2.1	Then he attends to the twilight.
1.2.2	Having gone out before sunset, and having sat down in a clean place in front of the village or to the north of it, having touched water, having filled the hands with water, having turned to the right, he invokes: "Come, O Goddess Viraja, O Aksara, equal to Brahma, O Mother of the Gayatri metre, accept this Brahma of mine."
1.2.3	Having recited "Thou art strength," and having yoked with "Who yokes thee?" and having recited "Om, Bhuh, Bhuvah, Svah, Tat Savitur," eight times, he employs them. Thus it is mentioned. The desires go to the god. The Tristubh is for the king. The Jagati is for the Vaishya.
1.2.4-5	"He who knows this, he alone is the knower of the Veda." Having recited these two verses, he releases the water-filled vessel. In this way, he stands in the morning.
1.2.6	By this rite, a Brāhmaṇa, a Kṣatriya or a Vaiśya who observes celibacy for twelve, twenty-four, thirty-six or forty-eight years, with shaven head, with matted locks, with all matted locks, sitting on the ground, weak, emaciated, having bathed, obtains whatever he desires in his mind.
1.2.7	By this rite, one studies well.
1.2.8	Having understood the meaning of the Vedas, one should make a cow (for the teacher).
1.2.9	A student should honor his teacher.
1.2.10	One who recites the Vedas other than the teacher should not bathe.
1.2.11	Having bathed with three verses beginning with "O waters, be present," and two verses beginning with "Golden-colored, pure," he puts on a new garment.
1.2.12	"You are Vasu. Make me Vasumant. For the sake of prosperity, for the sake of radiance, for the sake or brahmic glory, I am offering." He offers.
1.2.13	"Just as heaven and earth are not afraid and do not perish, so may my breath not be afraid, so may my life not perish." He anoints.
1.2.14	He ties on gold.
1.2.15	He holds an umbrella, a staff, a garland, and perfume.
1.2.16	"O ye gods, ye heaven and earth, do not burn me." Thus he puts on the sandals.
1.2.17	From then onwards one should wear two garments. This is the injunction of the Veda.
1.2.18	Having taken leave of the preceptors and the wives of the preceptors, one should go to one's own house.
1.2.19	The following are prohibited: going out through the wrong door, wearing clothes with dirt, sleeping with a woman in her menses, speaking harsh words to the preceptor, sleeping in an improper place, smiling, running, standing, riding, singing, and looking at it.
1.2.20	One should offer a sacrifice to Agni on the full moon and new moon days.
1.2.21	Having eaten his oblation, he may eat honey and meat, and salt and acid, as he pleases.
1.3.1	He who knows this, if he rises or sets, should recite this on waking: "May my senses return to me, may my life return, may my prosperity return, may my wealth return to me, and may my Brahmanhood return to me. And may the fires of the sacrificial posts be established in their proper places, here alone." This is for one who has risen.
1.3.2	Again, may the Self, again, may the life, again, may breath, again, may inspiration come. May the all-pervading fire, having grown, stand within the best. My mind is the banner of immortality. Thus, when the sun has set.
1.3.3	One should recite both when the sun has risen and when it has set.
1.3.4	If one were to do what is not to be done, or to revile one who is not to be reviled, or to eat the food of one who is not fit to be fed, or to move the eye, or to shout in the ear, or to ascend the funeral pyre, or to go to the cremation ground, or to touch the sacrificial post, or to emit semen, one should offer oblations with these two mantras. One should offer oblations on the fire with these two manttras. One should also offer oblations on clarified butter smeared wood. One should recite these two mantras.
1.3.5	Thus having practised unrighteousness, one should remain in the state of a sthūla.
1.3.6	One should live in the state of sthūla by wearing nothing but skin and hair, or one should ascend the fire, or one should be killed in battle, or one should offer oneself to the fire, or should engage in austerities.
1.4.1	During the rainy season, one should recite and study.
1.4.2	He offers, "Thou art Apvā (the name of a deity). May I go to thy priestess. I have taken the wisdom of my father, the truth. I am born like the sun. Svāhā. Thou art Apvā (name of a deity). I have gone to thy priestess." Everywhere he adds, "I have gone to thy...."
1.4.3	"He yokes, he yokes, he is yoked, he is yoking, he is yokable, he is yokeable, he is yokeless, he is yokless, he is yokel, he is yokell, he is yokeling, he is yokelling, he is yokelled, he is yokelli, he is yokelly, he is yokely, he is yokeles, he is yokelis, he is yokeli, he is yokile, he is yok
1.4.4	Then he recites, "I shall speak the truth, I shall speak the truth. May that protect me, may that protect the speaker. May it protect me, may it protect the speaker. Speech is established in my mind, mind is established in my speech. Place life in me. The words of the Veda are established. Om, earth, atmosphere, heaven, that of Savitar."
1.4.5	He recites the Savitri three times with Darbha in hand, and the three Anuvakas beginning with "Ko vo yunakti" and "We approach the Adhyayas, may the Chhandas be present".
1.4.6	The months beginning with Vālikṣā and ending with Samūha are not to be studied. The Śruti says, “When there is no lightning or thunder.” The occasional loud noise of the gods, lightning, meteors, and harsh sounds are to be known by practice.
1.4.7	Having studied for half five months, one should stop, or for five and a half months.
