1.1.1	Now, the rites of the domestic fire.
1.1.2	Having prepared the fire-place, having sprinkled it, having scraped it, having taken it up, having sprinkled it again, having placed the fire, having spread the seat for Brahma on the right side, having carried it, having spread it, having placed the requisite articles, having made the Pavitra-water, having sprinkled it with the requisite articles, and having placed the clarified butter, one should encircle it with fire.
1.1.3	Having heated the ladle, having wiped it, having sprinkled it, having again heated it, he should place it.
1.1.4	Having removed the clarified butter, having heated it, having looked at it, having sprinkled the Prokṣaṇī-water as before, having taken up the Upamūna-water and the Kuśa-grass, having placed the Samidha-sticks, having sprinkled around, one should offer.
1.1.5	This is the procedure wherever there is Homa.
1.2.1	The rite of setting up the domestic fire is at the time of marriage.
1.2.2	For some, it is at the time when one receives one's share.
1.2.3	Having taken fire from the house of a Vaiśya having many cattle,
1.2.4	all (the rites) are to be performed as in the case of the Caturmāsyapacana.
1.2.5	Some give the kindling wood.
1.2.6	Because of the statement "There are five great sacrifices",
1.2.7	Having cooked the Sthālīpāka for the deities to whom the fire is to be installed, having offered the portions of clarified butter, he offers oblations of clarified butter.
1.2.8	"Thou art our Agni, thou art our Agni. O Varuna, this is mine. I go to thee. Thy hundred are the rays and Agni. Be thou the highest. Thus eight (verses) in front.
1.2.9	Thus also above, having offered to the deities of Agni-installation of the pot-cooked oblation, he offers.
1.2.10	And to Sviṣṭakṛt.
1.2.11	The gods, knowing the path, have performed the rite of Agni, which has been accomplished with the Vasat-utterance.
1.2.12	Having offered on the sacrificial grass, one eats.
1.2.13	Then there is the meal for the Brahmanas.
1.3.1	There are six worthy of honor: the teacher, the officiating priests, the bridegroom, the king, the beloved, and the one who has taken the bath.
1.3.2	They should be honored every year.
1.3.3	The officiating priests, when about to perform a sacrifice,
1.3.4	"The host says, 'Please be seated. We shall honour you.'
1.3.5	They bring a seat, a foot-stool, water for washing the feet, argha, water for rinsing the mouth, madhuparka, curd, honey and ghee covered in a bronze vessel, and a bronze vessel.
1.3.6	The other three say 'seat' three times.
1.3.7	He accepts the seat.
1.3.8	I am the best of my equals, like the sun rising. I stand against this darkness, whoever may attack me. He sits down on it.
1.3.9	He sits down on a mat placed on the feet of another.
1.3.10	Having washed the left foot, he washes the right foot.
1.3.11	If he is a brahmin, he washes the left foot first.
1.3.12	You are the milking of Viraj, you are the milking of viraj. May I obtain the milking of Viraja for the feet. The milking of Viraja is thus.
1.3.13	He receives the offering with the verse, "May we obtain all our desires with you."
