1.1.1	Now we shall explain the sacraments beginning with conception.
1.1.2	The eighteen rites of passage are: conception, impregnation, birth, naming, feeding, going away, returning, growth, tonsure, initiation, study, observance, observance-release, final bath, marriage. The twenty-two sacrifices are: the Brahma-sacrifice, the Deva-sacrifice, the Pitri-sacrifice, the Bhūta-sacrifice, and the Manusa-sacrifice. These five are to be performed daily.
1.1.3	The seven sacrificial rites are: Sthalipaka, Aggrayanam, Astaka, Pindapitryajna, Masishraddha, Chaitryashvayuji.
1.1.4	The seven sacrificial rites are : Agniadhyaya, Agnihotra, Darsha-Paurnamasa, Aggrayanesht, Chaturmasya, Nirudha Pashu Bandha, Sautrumani.
1.1.5	The Agniṣṭoma, the Ati-Agniṣṭoma, Ukthya, Ṣoḍaśī, Vājapeya, Ati-rātra, Aptoryāma—these are the seven Soma sacrifices. These make forty.
1.1.6	A Brāhmaṇa is born of a Brāhmaṇa father and a Brāhmaṇī mother, who have been duly married, and who have been duly consecrated. The boy is initiated as soon as he is born. He studies the Sāvitrī.
1.1.7	Having studied the Vedas, he is sanctified by the rites of the body until marriage, and performs the domestic sacrifices. He is a Brahmin.
1.1.8	He is a student of the Vedas, having established the sacred fires, and performs the sacrificial rites. He is a Brahmachari.
1.1.9	He is an embryo, performing the Soma sacrifices.
1.1.10	He is like a sage, endowed with these rites and the restraints and observances.
1.1.11	He is called a sage due to the study of the four Vedas, austerities, and yoga.
1.1.7	Having studied the Vedas, he is sanctified by the rites of the body until marriage, and performs the domestic sacrifices. He is a Brahmin.
1.1.8	He is a student of the Vedas, having established the sacred fires, and performs the sacrificial rites. He is a Brahmachari.
1.1.9	He is an embryo, performing the Soma sacrifices.
1.1.10	He is like a sage, endowed with these rites and the restraints and observances.
1.1.11	He is called a sage due to the study of the four Vedas, austerities, and yoga.
1.1.12	The sage, devoted to Narayana, is free from duality.
1.1.13	Thus it is known that each subsequent one is superior to the previous one due to the specific purification.
1.2.1	Now, the method of bathing for the four stages of life:
1.2.2	It is of five kinds: abhiseka, divyavaya, agneya, and guru's permission.
1.2.3	If a river, pond, or well is not available, one should proceed to the next one in order.
1.1.12	The sage, devoted to Narayana, is free from duality.
1.1.13	Thus it is known that each subsequent one is superior to the previous one due to the specific purification.
1.2.1	Now, the method of bathing for the four stages of life:
1.2.2	It is of five kinds: abhiseka, divyavaya, agneya, and guru's permission.
1.2.3	If a river, pond, or well is not available, one should proceed to the next one in order.
1.2.5	The thumb represents Agni, the forefinger Vayu, the middle finger Prajapati, the ring finger Surya and the little finger Indra. These are the presiding deities.
1.2.6	With the thumb and the middle finger, one should cleanse the mouth with all the sacred places. With the thumb and the ring finger, the eyes. With the thumb, the forefinger and the middle finger the nose. With the thumb little finger the ears.
1.2.7	The arms are cleansed with these. Or with the thumb.
1.2.8	Touching the heart with the fingers, the navel with the thumb, and touching each limb, and touching the water, he sprinkles the left leg and the left hand. Then he touches the head with all (the fingers).
1.2.9	"I am Indra with both hands." Thus having washed the feet and the hands, he again sips water and says, "May the water purify me."
1.2.5	The thumb represents Agni, the forefinger Vayu, the middle finger Prajapati, the ring finger Surya and the little finger Indra. These are the presiding deities.
1.2.6	With the thumb and the middle finger, one should cleanse the mouth with all the sacred places. With the thumb and the ring finger, the eyes. With the thumb, the forefinger and the middle finger the nose. With the thumb little finger the ears.
1.2.7	The arms are cleansed with these. Or with the thumb.
1.2.10	May the Rig Veda please. May the Yajur Veda please. May Sama Veda please. Having drunk water thrice, may Atharva Veda please. May Itihasa Veda please. May Moon please. He anoints his face thrice.
1.2.8	Touching the heart with the fingers, the navel with the thumb, and touching each limb, and touching the water, he sprinkles the left leg and the left hand. Then he touches the head with all (the fingers).
1.2.9	"I am Indra with both hands." Thus having washed the feet and the hands, he again sips water and says, "May the water purify me."
1.2.11	May Mahesvara be pleased. Thus the head. May the sun be pleased. May Soma be pleased. Thus both the eyes. May the directions be pleased. Thus (both) the ears. May Vayu be pleased. Thus nose. May Indra be pleased. Thus arms. May Vishnu be pleased. Thus heart. May Agni be pleased. Thus navel.
1.2.12	Some say, "May it touch."
1.2.10	May the Rig Veda please. May the Yajur Veda please. May Sama Veda please. Having drunk water thrice, may Atharva Veda please. May Itihasa Veda please. May Moon please. He anoints his face thrice.
1.3.1	Then having saluted the waters, and having bathed as long as he is not afraid of his mind, having cleansed his body with water and clay, he should put on the garment that has been washed ten times. He should spread the grass with the Gāyatrī verse, with the tips towards the east and the roots towards the north.
