1.1.1	Now we shall describe the domestic rites.
1.1.2	The three sacrificial rites are performed in the fire, offered in the fire, and offered in the Brahman at the feeding of Brahmins.
1.1.3	And also the verse is recited: "He who offers the kindling wood, he who offers the oblations, he who knows the Veda."
1.1.4	He who has faith in the Veda, he who knows the Veda, to him salutations. There is indeed delight in the Veda. Seeing this, the sage said: "To the giver of wealth, to the giver of cattle, to the bright one, to the strong one, to the one who is sweet like ghee and honey, I speak." "There is indeed delight in my words, in ghee and honey. Let there be delight." This is what he says. "O Agni, we offer you oblation, prepared with our minds, with our verses. May they be your oxen, bulls, and heifers." "Those who study this lesson become your oxen, bulls and heifers." "He who recites with devotion." Indeed, the gods do not transgress the salutation. The sacrifice is indeed salutation, for this is said in the Brahmana.
1.2.1	Then he should offer the evening and morning oblations of cooked food.
1.2.2	To Agnihotra deities, to Soma, to the lord of plants, to Agni and Soma, to Indra and Agni, to heaven and earth, to Dhanvantari, to Indra, to all the gods, to Brahma.
1.2.3	Svāhā! Then the offering of oblations.
1.2.4	To these deities, to the waters, to the herbs, to the trees, to the household deities, to the deities of the house, to the deities in the house.
1.2.5	To Indra, to the men of Indra, to Yama, to the men Yama, to Varuna, to the men Varuna, to Soma, to the men Soma, in each direction.
1.2.6	To Brahma, to the men Brahma, in the middle.
1.2.7	To all the gods, to all the beings, to those who move by day. This is for the day.
1.2.8	To those who move by night. This is for night.
1.2.9	To the Rakshas. This is for north.
1.2.10	To the Pitrs. This is for east. The remaining should be taken to the south.
1.3.1	Then, wherever one may be, having swept and sprinkled the ground, one should draw a square altar with six lines, extending from east to west and from north to south, with three lines in between. Having sprinkled it, one should establish the fire and kindle it, encircle it, and spread it out in front, on the right, behind, and on the left. The sprinkling is done silently, facing north.
1.3.2	The sprinkling of clarified butter with the Pavitras.
1.3.3	Taking two Kuśa-blades, not cut at the tip, not having any holes, and of the size of a span, holding them between the thumb and the little finger, with the palms facing upwards, he says, "I sprinkle with the purifying rays of the shining Surya, the giver of light." He sprinkles in the east, once with the mantra, twice silently.
1.3.4	The sprinkling of the oblations is done in the case of the oblations of clarified butter.
1.3.5	Similarly, the oblations of ghee are offered in the Pākayajñas.
1.3.6	Brahmā, Dhanvantari, Yajñaśūla, and Gavāṃvarja are excluded.
1.3.7	One should offer with "To him svāhā."
1.3.8	Agni, Indra, Prajāpati, Viśve Devas, and Brahmā are excluded in the case of not being instructed.
1.3.9	The oblations of ghee, the single-stick, and the Svishtakṛt should be offered at the same time.
1.3.10	This is the hymn of the sacrifice: Having attained the end of the Pākayajñas, one should perform the Ekājyā, Ekabarhiṣa, and Ekasviṣṭakṛt sacrifices, even if they are different in deity.
1.4.1	In the ascending lunar month, in the waxing fortnight, on an auspicious constellation, the rites of tonsure, initiation, giving of gifts, and marriage should be performed.
1.4.2	Some perform marriage at all times.
1.4.3	Before them, one should offer four oblations of ghee.
1.3.10	This is the hymn of the sacrifice: Having attained the end of the Pākayajñas, one should perform the Ekājyā, Ekabarhiṣa, and Ekasviṣṭakṛt sacrifices, even if they are different in deity.
1.4.1	In the ascending lunar month, in the waxing fortnight, on an auspicious constellation, the rites of tonsure, initiation, giving of gifts, and marriage should be performed.
1.4.2	Some perform marriage at all times.
1.4.3	Before them, one should offer four oblations of ghee.
1.4.4	"Agni, do thou bestow life upon us." With these three verses, and with "O Prajapati, none other than thou,"
1.4.5	with the Vyahrtis.
1.4.6	Some recite them together.
1.4.7	Others do not.
1.4.8	"Thou art Aryaman, when thou art the youngest." This fourth verse is used at marriages.
1.5.1	"One should first examine the family, as to whether it is of good maternal and paternal descent." As stated before.
1.5.2	One should give a daughter to a wise man.
1.5.3	One should take a girl who is endowed with the qualities of intelligence, character, and health.
1.4.4	"Agni, do thou bestow life upon us." With these three verses, and with "O Prajapati, none other than thou,"
1.4.5	with the Vyahrtis.
1.4.6	Some recite them together.
1.4.7	Others do not.
1.4.8	"Thou art Aryaman, when thou art the youngest." This fourth verse is used at marriages.
1.5.1	"One should first examine the family, as to whether it is of good maternal and paternal descent." As stated before.
1.5.2	One should give a daughter to a wise man.
1.5.3	One should take a girl who is endowed with the qualities of intelligence, character, and health.
1.5.4	The eight characteristics are difficult to know. Having made eight balls, he should recite the following: "The truth was born first, established in truth. Whatever this maiden was born into, may she find it here. Whatever is true, may it be seen." Having recited the balls, he should say to the maiden, "Take one of these."
1.5.4	The eight characteristics are difficult to know. Having made eight balls, he should recite the following: "The truth was born first, established in truth. Whatever this maiden was born into, may she find it here. Whatever is true, may it be seen." Having recited the balls, he should say to the maiden, "Take one of these."
1.5.5	If one takes from a field, the offspring of that field will be without food. If one takes from the house, the offspring will be without food; if one takes from the cattle pen, the offspring will have cattle; if one takes (grain) from the sacrificial grass, the offspring will shine with Brahman; if one takes it from the anthill, the offspring will not be destroyed; if one takes grain from the pond, the offspring will attain all prosperity; if one takes grains from the place of gambling, the offspring will become gamblers; if one takes them from the crossroads, the offspring will go on two pilgrimages; if one takes the grains from the marsh, the offspring will lack wealth; if one takes what is in the cremation ground, the offspring will kill their husbands.
