#Text:Āśvalāyanagṛhyasūtra
#Edition:Stenzler (DCS version)



1.1.1	uktāni vaitānikāni gṛhyāni vakṣyāmaḥ
1.1.2	trayaḥ pākayajñā hutā agnau hūyamānā anagnau prahutā brāhmaṇabhojane brahmaṇi hutāḥ
1.1.3	athāpyṛca udāharanti / yaḥ samidhā ya āhutī yo vedeneti
1.1.4	samidham evāpi śraddadhāna ādadhanmanyeta yaja idam iti namastasmai ya āhutyā yo vedeneti vidyayā evāpyasti prītistadetatpaśyannṛṣiruvāca / agorudhāya gaviṣe dyukṣāya dasmyaṃ vacaḥ / ghṛtāt svādīyo madhunaśca vocateti / vaca eva ma idaṃ ghṛtācca madhunaśca svādīyo 'sti prītiḥ svādīyo 'stvityeva tad āha / ā te agna ṛcā havirhṛdā taṣṭam bharāmasi / te te bhavantūkṣaṇa ṛṣabhāso vaśā uteti / eta eva ma ukṣāṇaśca ṛṣabhāśca vaśāśca bhavanti ya imaṃ svādhyāyam adhīyata iti / yo namasā svadhvara iti namaskāreṇa vai khalvapi na vai devā namaskāramati yajño vai nama iti hi brāhmaṇaṃ bhavati
1.2.1	atha sāyaṃ prātaḥ siddhasya haviṣyasya juhuyāt
1.2.2	agnihotradevatebhyaḥ somāya vanaspataye 'gnīṣomābhyām indrāgnibhyāṃ dyāvāpṛthivībhyāṃ dhanvantaraya indrāya viśvebhyo devebhyo brahmaṇe
1.2.3	svāhetyatha baliharaṇam
1.2.4	etābhyaścaiva devatābhyo 'dbhya oṣadhivanaspatibhyo gṛhāya gṛhadevatābhyo vāstudevatābhyaḥ
1.2.5	indrāyendrapuruṣebhyo yamāya yamapuruṣebhyo varuṇāya varuṇapuruṣebhyaḥ somāya somapuruṣebhya iti pratidiśam
1.2.6	brahmaṇe brahmapuruṣebhya iti madhye
1.2.7	viśvebhyo devebhyaḥ sarvebhyo bhūtebhyo divācāribhya iti divā
1.2.8	naktaṃcāribhya iti naktam
1.2.9	rakṣobhya ityuttarataḥ
1.2.10	svadhā pitṛbhya iti prācīnāvītī śeṣaṃ dakṣiṇā ninayet
1.3.1	atha khalu yatra kva ca hoṣyantsyād iṣumātrāvaraṃ sarvataḥ sthaṇḍilam upalipyollikhya ṣaṭ lekhā udagāyatāṃ paścātprāgāyate nānāntayostisro madhye tadabhyukṣyāgniṃ pratiṣṭhāpyānvādhāya parisamuhya paristīrya purastāddakṣiṇataḥ paścād uttarata ityudaksaṃsthaṃ tūṣṇīṃ paryukṣaṇam
1.3.2	pavitrābhyām ājyasyotpavanam
1.3.3	apracchinnāgrāvanantargarbhau prādeśamātrau kuśau nānāntayor gṛhītvāṅguṣṭhopakaniṣṭhikābhyām uttānābhyāṃ pāṇibhyāṃ savituṣṭvā prasava utpunāmyacchidreṇa pavitreṇa vasoḥ sūryasya raśmibhiriti prāg utpunāti sakṛnmantreṇa dvistūṣṇīm
1.3.4	kṛtākṛtam ājyahomeṣu paristaraṇam
1.3.5	tathājyabhāgau pākayajñeṣu
1.3.6	brahmā ca dhanvantariyajñaśūlagavavarjam
1.3.7	amuṣmai svāhā iti juhuyāt
1.3.8	agnirindraḥ prajāpatir viśve devā brahmā ityanādeśe
1.3.9	ekabarhiridhmājyasviṣṭakṛtaḥ syustulyakālāḥ
1.3.10	tadeṣābhiyajñagāthā gīyate / pākayajñāntsamāsādyaikājyān ekabarhiṣaḥ / ekasviṣṭakṛtaḥ kuryānnānāpi sati daivata iti
1.4.1	udagayana āpūryamāṇapakṣe kalyāṇe nakṣatre caulakarmopanayanagodānavivāhāḥ
1.4.2	sārvakālam eke vivāham
1.4.3	teṣāṃ purastāccatasra ājyāhutīr juhuyāt
1.4.4	agna āyūṃsi pavasa iti tisṛbhiḥ prajāpate na tvadetānyanya iti ca
1.4.5	vyāhṛtibhir vā
1.4.6	samuccayam eke
1.4.7	naike kāṃcana
1.4.8	tvam aryamā bhavasi yat kanīnāmiti vivāhe caturthīm
1.5.1	kulam agre parīkṣeta ye mātṛtaḥ pitṛtaś ca iti yathoktaṃ purastāt
1.5.2	buddhimate kanyāṃ prayacchet
1.5.3	buddhirūpaśīlalakṣaṇasampannām arogām upayacchet
1.5.4	durvijñeyāni lakṣaṇāny aṣṭau piṇḍān kṛtvā ṛtam agre prathamaṃ jajña ṛte satyam pratiṣṭhitam / yad iyaṃ kumāry abhijātā tad iyam iha pratipadyatām / yat satyaṃ tad dṛśyatām iti piṇḍān abhimantrya kumārīṃ brūyād eṣām ekam gṛhāṇeti
1.5.5	kṣetrāc ced ubhayataḥsasyād gṛhṇīyād annavaty asyāḥ prajā bhaviṣyatīti vidyād goṣṭhāt paśumatī vedipurīṣād brahmavarcasviny avidāsino hradāt sarvasampannā devanāt kitavī catuṣpathād dvipravrājinīriṇād adhanyā śmaśānāt patighnī
1.6.1	alaṃkṛtya kanyām udakapūrvāṃ dadyād eṣa brāhmo vivāhas tasyāṃ jāto dvādaśāvarān dvādaśa parān punāty ubhayataḥ
1.6.2	ṛtvije vitate karmaṇi dadyād alaṃkṛtya sa daivo daśāvarān daśa parān punāty ubhayataḥ
1.6.3	saha dharmaṃ carata iti prājāpatyo 'ṣṭāvarān aṣṭa parān punāty ubhayataḥ
1.6.4	gomithunaṃ dattvopayaccheta sa ārṣaḥ saptāvarān sapta parān punāty ubhayataḥ
1.6.5	mithaḥ samayaṃ kṛtvopayaccheta sa gāndharvaḥ
1.6.6	dhanenopatoṣyopayaccheta sa āsuraḥ
1.6.7	suptānāṃ pramattānāṃ vāpaharet sa paiśācaḥ
1.6.8	hatvā bhittvā ca śīrṣāṇi rudatīṃ rudadbhyo haret sa rākṣasaḥ
1.7.1	atha khalūccāvacā janapadadharmā grāmadharmāś ca tān vivāhe pratīyāt
1.7.2	yat tu samānaṃ tad vakṣyāmaḥ
1.7.3	paścād agner dṛṣadam aśmānaṃ pratiṣṭhāpyottarapurastād udakumbhaṃ samanvārabdhāyāṃ hutvā tiṣṭhan pratyaṅmukhaḥ prāṅmukhyā āsīnāyā gṛbhṇāmi te saubhagatvāya hastam ity aṅguṣṭham eva gṛhṇīyād yadi kāmayīta pumāṃsa eva me putrā jāyerann iti
1.7.4	aṅgulīr eva strīkāmaḥ
1.7.5	romānte hastaṃ sāṅguṣṭham ubhayakāmaḥ
1.7.6	pradakṣiṇam agnim udakumbhaṃ ca triḥ pariṇayañ japaty amo 'ham asmi sā tvaṃ sā tvam asy amo 'ham / dyaur ahaṃ pṛthivī tvaṃ sāmāhaṃ ṛk tvam / tāv ehi vivahāvahai prajāṃ prajanayāvahai / sampriyau rociṣṇū sumanasyamānau jīveva śaradaḥ śatam iti
1.7.7	pariṇīya pariṇīyāśmānam ārohayatīmam aśmānam ārohāśmeva tvaṃ sthirā bhava / sahasva pṛtanāyato 'bhitiṣṭha pṛtanyata iti
1.7.8	vadhvañjalā upastīrya bhrātā bhrātṛsthāno vā dvir lājān āvapati
1.7.9	trir jāmadagnyānām
1.7.10	pratyabhighārya haviḥ
1.7.11	avattaṃ ca
1.7.12	eṣo 'vadānadharmaḥ
1.7.13	aryamaṇaṃ nu devaṃ kanyā agnim ayakṣata / sa imāṃ devo 'ryamā preto muñcātu nāmutaḥ svāhā / varuṇaṃ nu devaṃ kanyā agnim ayakṣata / sa imāṃ devo varuṇaḥ preto muñcātu nāmutaḥ svāhā / pūṣaṇaṃ nu devaṃ kanyā agnim ayakṣata / sa imāṃ devaḥ pūṣā preto muñcātu nāmutaḥ svāhety avicchindaty añjaliṃ sruceva juhuyāt
1.7.14	apariṇīya śūrpapuṭenābhyātmaṃ tūṣṇīṃ caturtham
1.7.15	opyopya haike lājān pariṇayanti tathottame āhutī na saṃnipatataḥ
1.7.16	athāsyai śikhe vimuñcati yadi kṛte bhavataḥ / ūrṇāstuke keśapakṣayor baddhe bhavataḥ
1.7.17	pra tvā muñcāmi varuṇasya pāśād iti
1.7.18	uttarām uttarayā
