#Text:Śāṅkhāyanagṛhyasūtra
#Edition:Oldenberg (DCS version)



1.1.1	athātaḥ pākayajñān vyākhyāsyāmaḥ
1.1.2	abhisamāvartsyamāno yatrāntyāṃ samidham abhyādadhyāt tam agnim indhīta
1.1.3	vaivāhyaṃ vā
1.1.4	dāyādyakāla eke
1.1.5	prete vā gṛhapatau svayaṃ jyāyān
1.1.6	vaiśākhyām amāvāsyāyām anyasyāṃ vā
1.1.7	kāmato nakṣatra eke
1.1.8	purupaśuviṭkulāmbarīṣabahuyājinām anyatamasmād agnim indhīta
1.1.9	sāyaṃ prātar eke
1.1.10	sāyamāhutisaṃskāro 'dhvaryupratyaya ity ācāryāḥ
1.1.11	prātaḥ pūrṇāhutiṃ juhuyād vaiṣṇavyarcā tūṣṇīṃ vā
1.1.12	tasya prāduṣkaraṇahavanakālāv agnihotreṇa vyākhyātau
1.1.13	yajñopavītītyādi ca sambhavat sarvaṃ kalpaikatvāt
1.1.14	tad apy āhuḥ
1.1.15	pākasaṃsthā haviḥsaṃsthāḥ somasaṃsthās tathāparāḥ / ekaviṃśatir ity etā yajñasaṃsthāḥ prakīrtitāḥ
1.2.1	karmāpavarge brāhmaṇabhojanam
1.2.2	vāgrūpavayaḥśrutaśīlavṛttāni guṇāḥ
1.2.3	śrutaṃ tu sarvān atyeti
1.2.4	na śrutam atīyāt
1.2.5	adhidaivam athādhyātmam adhiyajñam iti trayam / mantreṣu brāhmaṇe caiva śrutam ity abhidhīyate
1.2.6	kriyāvantam adhīyānaṃ śrutavṛddhaṃ tapasvinam / bhojayet taṃ sakṛd yas tu na taṃ bhūyaḥ kṣud aśnute
1.2.7	yāṃ titarpayiṣet kāṃcid devatāṃ sarvakarmasu / tasyā uddiśya manasā dadyād evaṃvidhāya vai
1.2.8	naivaṃvidhe havir nyastaṃ na gacched devatāṃ kvacit / nidhir eṣa manuṣyāṇāṃ devānāṃ pātram ucyate
1.3.1	atha darśapūrṇamāsā upoṣya
1.3.2	prātar yatraitan mahāvṛkṣāgrāṇi sūrya ātapati sa homakālaḥ svastyayanatamaḥ sarvāsām āvṛtām anyatra nirdeśāt
1.3.3	sumanāḥ śuciḥ śucau varūthyadeśe pūrṇavighanaṃ caruṃ śrapayitvā darśapūrṇamāsadevatābhyo yathāvibhāgaṃ sthālīpākasya juhoti
1.3.4	sthālīpākeṣu ca grahaṇāsādanaprokṣaṇāni mantradevatābhyaḥ
1.3.5	avadānadharmāś ca
1.3.6	pūrvaṃ tu darśapūrṇamāsābhyām anvārambhaṇīyadevatābhyo juhuyāt
1.3.7	ā paurṇamāsād darśasyānatītaḥ kāla ā darśāt paurṇamāsasya
1.3.8	prātarāhutiṃ caike sāyamāhutikāle 'tyayān manyante
1.3.9	niyatas tv eva kālo 'gnihotre prāyaścittadarśanād bhinnakālasya
1.3.10	nityāhutyor vrīhiyavataṇḍulānām anyatamaddhaviḥ kurvīta
1.3.11	abhāve 'nyad apratiṣiddhaṃ
1.3.12	taṇḍulāṃś cet prakṣālyaike
1.3.13	itareṣām asaṃskāraḥ
1.3.14	sāyam agnaye prātaḥ sūryāya
1.3.15	prajāpataye cānūbhayos tūṣṇīm
1.3.16	prāk prāgāhuteḥ samidham eke
1.3.17	yathoktaṃ paryukṣaṇam
1.4.1	utthāya prātar ācamyāharahaḥ svādhyāyam adhīyīta
1.4.2	adyā no deva savitar iti dve apehi manasaspata iti sūktam ṛtaṃ ca satyaṃ ceti sūktam ādityā ava hi khyateti sūktaśeṣa indra śreṣṭhānīty ekā haṃsaḥ śuciṣad ity ekā namo mahadbhya ity ekā yata indra bhayāmaha ity ekādha svapnasyety ekā yo me rājann ity ekā mamāgne varca iti sūktaṃ svasti no mimītām iti ca pañca
1.5.1	catvāraḥ pākayajñā huto 'hutaḥ prahutaḥ prāśita iti
1.5.2	pañcasu bahiḥśālāyāṃ vivāhe cūḍākaraṇa upanayane keśānte sīmantonnayana iti
1.5.3	upalipta uddhatāvokṣite 'gniṃ praṇīya
1.5.4	nirmathyaike vivāhe
1.5.5	udagayana āpūryamāṇapakṣe puṇyāhe kumāryai pāṇiṃ gṛhṇīyāt
1.5.6	yā lakṣaṇasampannā syāt
1.5.7	yasyā abhyātmam aṅgāni syuḥ
1.5.8	samāḥ keśāntāḥ
1.5.9	āvartāvapi yasyai syātāṃ pradakṣiṇau grīvāyām
1.5.10	ṣaḍ vīrān janayiṣyatīti vidyāt
1.6.1	jāyām upagrahīṣyamāṇo 'nṛkṣarā iti varakān gacchato 'numantrayate
1.6.2	abhigamane puṣpaphalayavān ādāyodakumbhaṃ ca
1.6.3	ayam ahaṃ bho 3 iti triḥ procya
1.6.4	udite prāṅmukhā gṛhyāḥ pratyaṅmukhā āvahamānā gotranāmānyanukīrtayantaḥ kanyāṃ varayanti
1.6.5	ubhayato rucite pūrṇapātrīm abhimṛśanti puṣpākṣataphalayavahiraṇyamiśrām anādhṛṣṭam asyānādhṛṣyaṃ devānām ojo 'nabhiśastyabhiśastipā anabhiśastenyam añjasā satyam upageṣaṃ suvite mā dhā iti
1.6.6	ā naḥ prajām iti kanyāyā ācārya utthāya mūrdhani karoti prajāṃ tvayi dadhāmi paśūṃstvayi dadhāmi tejo brahmavarcasaṃ tvayi dadhāmīti
1.7.1	pratiśrute juhoti
1.7.2	caturaśraṃ gomayena sthaṇḍilam upalipya
1.7.3	pūrvayorvidiśor dakṣiṇāṃ prācīṃ pitrye
1.7.4	uttarāṃ daive
1.7.5	prācīm evaike
1.7.6	udaksaṃsthāṃ madhye lekhāṃ likhitvā
1.7.7	tasyai dakṣiṇata upariṣṭād ūrdhvām ekāṃ madhya ekām uttarata ekāṃ
1.7.8	tā abhyukṣya
1.7.9	agniṃ praṇayāmi manasā śivenāyam astu saṃgamano vasūnām / mā no hiṃsīḥ sthaviraṃ mā kumāraṃ śaṃ no bhava dvipade śaṃ catuṣpade / ityagniṃ praṇīya
1.7.10	tūṣṇīṃ vā
1.7.11	pradakṣiṇam agneḥ samantāt pāṇinā sodakena triḥ pramārṣṭi tat samūhanam ity ācakṣate
1.7.12	sakṛd apasavyaṃ pitrye
1.8.1	atha paristaraṇam
1.8.2	prāgagraiḥ kuśaiḥ paristṛṇāti trivṛt pañcavṛd vā
1.8.3	purastāt prathamam atha paścād atha paścāt
1.8.4	mūlānyagraiḥ pracchādayati
1.8.5	sarvāś cāvṛto dakṣiṇataḥpravṛttaya udaksaṃsthā bhavanti
1.8.6	dakṣiṇato brahmāṇaṃ pratiṣṭhāpya bhūr bhuvaḥ svar iti
1.8.7	sumanobhir alaṃkṛtya
1.8.8	uttarataḥ praṇītāḥ praṇīya ko vaḥ praṇayatīti
1.8.9	savyena kuśān ādāya dakṣiṇenāpanauti
1.8.10	dakṣiṇaṃ jānvācya
1.8.11	savyaṃ pitrye
1.8.12	nājyāhutiṣu nityaṃ paristaraṇam
1.8.13	nityāhutiṣu ceti māṇḍūkeyaḥ
1.8.14	kuśataruṇe aviṣame avicchinnāgre anantargarbhe prādeśena māpayitvā kuśena chinatti pavitre stha iti
1.8.15	dve trīṇi vā bhavanti
1.8.16	prāgagre dhārayan vaiṣṇavyāvityabhyukṣya
1.8.17	kuśataruṇābhyāṃ pradakṣiṇam agniṃ triḥ paryukṣya
1.8.18	mahīnāṃ payo 'sītyājyasthālīm ādāya
1.8.19	iṣe tvetyadhiśritya
1.8.20	ūrje tvetyudag udvāsya
1.8.21	udagagre pavitre dhārayann aṅguṣṭhābhyāṃ copakaniṣṭhikābhyāṃ cobhayataḥ pratigṛhyordhvāgre prahve kṛtvājye pratyasyati savituṣṭvā prasava utpunāmyacchidreṇa pavitreṇa vasoḥ sūryasya raśmibhir iti
1.8.22	ājyasaṃskāraḥ sarvatra
1.8.23	nāsaṃskṛtena juhuyāt
1.8.24	sruve cāpaḥ savitur veti
1.8.25	tāḥ praṇītāḥ prokṣaṇīś ca
1.9.1	sruvaḥ pātram
1.9.2	arthalakṣaṇagrahaṇam
1.9.3	savyena kuśān ādāya dakṣiṇena mūle sruvaṃ viṣṇor hasto 'sīti
1.9.4	sruveṇājyāhutīr juhoti
1.9.5	uttarapaścārdhād agner ārabhyāvicchinnaṃ dakṣiṇato juhoti tvam agne pramatir iti
1.9.6	dakṣiṇapaścārdhād agner ārabhyāvicchinnam uttarato juhoti yasyeme himavanta iti
1.9.7	āgneyam uttaram ājyabhāgaṃ saumyaṃ dakṣiṇam
1.9.8	madhye 'nyā āhutayaḥ
1.9.9	agnir janitā sa me 'mūṃ jāyāṃ dadātu svāhā somo janimān sa māmuyā janimantaṃ karotu svāhā pūṣā jñātimān sa māmuṣyai pitrā mātrā bhrātṛbhir jñātimantaṃ karotu svāheti
1.9.10	nājyāhutiṣu nityāv ājyabhāgau sviṣṭakṛc ca
1.9.11	nityāhutiṣu ceti māṇḍūkeyaḥ
1.9.12	mahāvyāhṛtisarvaprāyaścittaprājāpatyāntaram etad āvāpasthānam
1.9.13	ājye haviṣi savye pāṇau ye kuśās tān dakṣiṇenāgre saṃgṛhya mūle savyena teṣām agraṃ sruve samanakti madhyam ājyasthālyāṃ mūlaṃ ca
1.9.14	atha cet sthālīpākeṣu srucy agraṃ madhyaṃ sruve mūlam ājyasthālyām
1.9.15	tān anuprahṛtyāgner vāso 'sīti
1.9.16	tisraḥ samidho 'bhyādhāya
1.9.17	yathoktaṃ paryukṣaṇam
1.9.18	anāmnātamantrāsv ādiṣṭadevatāsv amuṣyai svāhāmuṣyai svāheti juhuyāt svāhākāreṇa śuddhena
1.9.19	vyākhyātaḥ pratiśrute homakalpaḥ
1.10.1	prakṛtir bhūtikarmaṇām
1.10.2	sarvāsāṃ cājyāhutīnām
1.10.3	śākhāpaśūnām
1.10.4	carupākayajñānāṃ ca
1.10.5	ta ete 'prayājā ananuyājā anilā anigadā asāmidhenīkāś ca sarve pākayajñā bhavanti
1.10.6	tad api ślokāḥ
1.10.7	huto 'gnihotrahomenāhuto balikarmaṇā / prahutaḥ pitṛkarmaṇā prāśito brāhmaṇe hutaḥ
1.10.8	anūrdhvajñur vyūḍhajānur juhuyāt sarvadā haviḥ / na hi bāhyahutaṃ devāḥ pratigṛhṇanti karhicit
1.10.9	raudraṃ tu rākṣasaṃ pitryam āsuraṃ cābhicārikam / uktvā mantraṃ spṛśed apa ālabhyātmānam eva ca
1.11.1	athaitāṃ rātrīṃ śvas tṛtīyāṃ vā kanyāṃ vakṣyantīti
1.11.2	tasyāṃ rātryām atīte niśākāle
1.11.3	sarvauṣadhiphalottamaiḥ surabhimiśraiḥ saśiraskāṃ kanyām āplāvya raktam ahataṃ vā vāsaḥ paridhāya
1.11.4	paścād agneḥ kanyām upaveśyānvārabdhāyāṃ mahāvyāhṛtibhir hutvājyāhutīr juhoti / agnaye somāya prajāpataye mitrāya varuṇāyendrāyendrāṇyai / gandharvāya bhagāya pūṣṇe tvaṣṭre bṛhaspataye rājñe pratyānīkāyeti
1.11.5	catasro 'ṣṭau vāvidhavāḥ śākapiṇḍībhiḥ surayānnena ca tarpayitvā catur ānartanaṃ kuryuḥ
1.11.6	etā eva devatāḥ puṃsaḥ
1.11.7	vaiśravaṇam īśānaṃ ca
1.11.8	ato brāhmaṇabhojanam
1.12.1	snātaṃ kṛtamaṅgalaṃ varam avidhavāḥ subhagā yuvatyaḥ kumāryai veśma prapādayanti
1.12.2	tāsām apratikūlaḥ syād anyatrābhakṣyapātakebhyaḥ
1.12.3	tābhir anujñāto 'thāsyai vāsaḥ prayacchati raibhy āsīd iti
1.12.4	cittir ā upabarhaṇam ityāñjanakośam ādatte
1.12.5	samañjantu viśve devā iti samañjanīyā
1.12.6	yatheyaṃ śacīṃ vāvātāṃ suputrāṃ ca yathāditim / avidhavāṃ cāpālām evaṃ tvām iha rakṣatād imaṃ iti / dakṣiṇe pāṇau śalalīṃ trivṛtaṃ dadāti
1.12.7	rūpaṃ rūpam ityādarśaṃ savye
1.12.8	raktakṛṣṇam āvikaṃ kṣaumaṃ vā trimaṇiṃ pratisaraṃ jñātayo 'syā badhnanti nīlalohitam iti
1.12.9	madhumatīr oṣadhīr iti madhūkāni badhnāti
1.12.10	vivāhe gām arhayitvā gṛheṣu gāṃ te mādhuparkikyau
1.12.11	paścād agneḥ kanyām upaveśyānvārabdhāyāṃ mahāvyāhṛtibhis tisro juhoti
1.12.12	samastābhiścaturthīṃ pratīyetaitasyāṃ codanāyām
1.12.13	evam anādeśe sarveṣu bhūtikarmasu purastāccopariṣṭāc caitābhir eva juhuyāt
1.13.1	samrājñī śvaśure bhaveti pitā bhrātā vāsyagreṇa mūrdhani juhoti sruveṇa vā tiṣṭhann āsīnāyāḥ prāṅmukhyāḥ pratyaṅmukhaḥ
1.13.2	gṛbhṇāmi te saubhagatvāya hastam iti dakṣiṇena pāṇinā dakṣiṇaṃ pāṇiṃ gṛhṇāti sāṅguṣṭham uttānenottānaṃ tiṣṭhann āsīnāyāḥ prāṅmukhyāḥ pratyaṅmukhaḥ
1.13.3	pañca cottarā japitvā
1.13.4	amo 'ham asmi sā tvaṃ sā tvam asy amo 'haṃ dyaur ahaṃ pṛthivī tvam ṛk tvam asi sāmāhaṃ sā mām anuvratā bhava tāv eha vivahāvahai prajāṃ prajanayāvahai putrān vindāvahai bahūṃs te santu jaradaṣṭaya iti
1.13.5	udakumbhaṃ navaṃ bhūr bhuvaḥ svar iti pūrayitvā
1.13.6	puṃnāmno vṛkṣasya sakṣīrānt sapalāśānt sakuśān opya
1.13.7	hiraṇyam iti caike
1.13.8	taṃ brahmacāriṇe vāgyatāya pradāya
1.13.9	prāgudīcyāṃ diśi tāḥ stheyāḥ pradakṣiṇā bhavanti
1.13.10	aśmānaṃ cottarata upasthāpya
1.13.11	ehi sūnarīty utthāpya
1.13.12	ehy aśmānam ātiṣṭhāśmeva tvaṃ sthirā bhavābhitiṣṭha pṛtanyataḥ sahasva pṛtanāyata iti dakṣiṇena prapadenāśmānam ākramayya
1.13.13	pradakṣiṇam agniṃ paryāṇīya
1.13.14	tenaiva mantreṇa dvitīyaṃ vasanaṃ pradāya
