#Text:Bhāradvājaśrautasūtra
#Edition:Kashikar
#Data entry:F. Voegeli
#Notes:Sandhis around Mantras restored. 13.13ff. digitized and proofread by O. Hellwig.



1.1.1	darśapūrṇamāsau vyākhyāsyāmaḥ
1.1.2	āmāvāsyena haviṣā yakṣyamāṇa ekasyā dvayor vā pūrvedyur havir ātañcanaṃ dohayati
1.1.3	api vā purastād eva dvyahe tryahe vānuguptaṃ dugdhaṃ dohayitvānuguptena dadhnātanakti
1.1.4	saṃtatam avicchinnam abhiduhanty opavasathāt
1.1.5	yad ahaḥ pūrṇaś candramāḥ syāt tāṃ paurṇamāsīm upavaset
1.1.6	śvaḥ pūriteti vā
1.1.7	yad ahar na dṛśyeta tām amāvāsyām
1.1.8	śvo noditeti vā
1.1.9	tatraiṣo 'tyantapradeśo ye kecana paurṇamāsīm amāvāsyāṃ vā dharmā anārabhyāmnāyanta ubhyatraiva te kriyante
1.1.10	yajñopavīty eva daiveṣu karmasu bhavati
1.1.11	prācīnāvītī pitryeṣu
1.1.12	prāṅ anyāyāny udaṅ anyāyāni vā pradakṣiṇaṃ daivāni karmāṇi kuryāt
1.1.13	viparītaṃ pitryāṇi
1.1.14	na vihārād apaparyāvarteta
1.1.15	na yajñāṅgenātmānam abhiparihared anyaṃ vā
1.1.16	uttarata upacāro vihāraḥ
1.1.17	yatra kva ca juhotīti codayed adhvaryur eva juhvājyenāhavanīye juhuyāt
1.1.18	adhvaryum evānādiṣṭe kartari pratīyād āgnīdhraṃ dvitīyam
1.1.19	yatra kva copatiṣṭhate 'numantrayata iti codayed yajamāna eva tat kuryāt
1.1.20	ekamantrāṇi karmāṇi
1.1.21	ādipradiṣṭā mantrā bhavanti
1.2.1	uttarasyādinā pūrvasyāvasānam
1.2.2	mantrāntaiḥ karmādīn saṃnipātayet
1.2.3	atha yatra hrasvo mantraḥ syād dīrghaṃ karma karmādau mantraṃ japet
1.2.4	atha yatra dvābhyāṃ juhoti pañcabhir juhotīti codayet pratimantraṃ tatrāhutir juhuyāt
1.2.5	atha yatra yajñāṅge karmābhyāvartayen na mantro 'bhyāvarteta
1.2.6	jvalaty eva sarvā āhutīr juhuyāt
1.2.7	vratam upaiṣyati śākhām acchaiti
1.2.8	palāśaśākhāṃ śamīśākhāṃ vā
1.2.9	sā yā prācyudīcī prācī vodīcī vā bahuparṇā bahuśākhāpratiśuṣkāgrāsuṣirā tām āchinattīṣe tveti
1.2.10	urje tveti saṃnamayaty anumārṣṭi vā
1.2.11	athainam āharati imāṃ prācīm udīcīm iṣam ūrjam abhisaṃskṛtām / bahuparṇām aśuṣkāgrāṃ harāmi paśupām aham iti
1.2.12	tayā ṣaḍavarārdhyān vatsān apākaroti vāyava sthopāyava stheti
1.2.13	yavātīnām ekā kumbhī dugdhaṃ saṃbharet tāvatī parārdhyā mātrā syāt
1.2.14	ekaṃ śākhayopaspṛśati
1.2.15	tayaiva gāḥ prasthāpayati devo vaḥ savitā prārpayatu śreṣṭhatamāya karmaṇa ā pyāyadhvam aghniyā indrāya devabhāgam iti
1.2.16	mahendrāyeti vā yadi mahendrayājī bhavati
1.2.17	ekāṃ śākhayopaspṛśati
1.2.18	prasthitā anumantrayate śuddhā apaḥ suprpāṇe pibantīḥ śatam indrāya śarado duhānāḥ / rudrasya hetiḥ pari vo vṛṇaktu // iti
1.2.19	mahendrāyeti vā yadi mahendrayājī bhavati
1.3.1	dhruvā asmin gopatau syāt bahvīr iti yajamānasya gṛhān abhiparyāvartate
1.3.2	agniṣṭhe 'nasy agnyagāre vā purastātpraticīnīṃ śākhām upagūhati yajamānasya paśūn pāhīti
1.3.3	paścāt prācīm ity ekeṣām
1.3.4	yo vā adhvaryor gṛhān veda gṛhavān bhavati / ā caturthāt karmaṇo 'bhisamīkṣetedaṃ kariṣyāmīdaṃ kariṣyāmīti / ete vā adhvaryor gṛhāḥ / ya evaṃ veda gṛhavān bhavatīti vijñāyate
1.3.5	sāvitreṇāśvaparśum anaḍutparśum asidaṃ vādāya gārhapatyam abhimantrayate yajñasya ghoṣad asīti
1.3.6	pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātaya ity āhavanīye dātraṃ pratitapati
1.3.7	preyam agād viṣaṇā barhir accheti prāṅ vodaṅ vābhipravrajya yataḥ kutaś ca darbhamayaṃ barhir āharati
1.3.8	viṣṇo stūpo 'sīti prathamaṃ stambam utsṛjati
1.3.9	dvitīyaṃ pariṣauti devānāṃ pariṣūtam asi varṣavṛddham asīti
1.3.10	tasya dve tisro vā nāḍīr utsṛjaty avaśiṣṭo gavāṃ bhāga iti
1.3.11	stambam ārabhate devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ barhir devasadanam ārabha iti
1.3.12	parvaṇi dāti devabarhir mā tvānvaṅ mā tiryak parva te rādhyāsam āchettā te mā riṣam iti
1.3.13	saṃnakhaṃ muṣṭiṃ lunoti
1.3.14	sa prastaro bhavati
1.3.15	kulmimātra ity ekeṣām
1.3.16	ūrvasthimātra ity ekeṣām
1.3.17	srugdaṇḍamātra ity ekeṣām
1.3.18	aparimita ity ekeṣām
1.3.19	evam evāyujo muṣṭīṃl lunoti
1.3.20	yad anyat pariṣavaṇād utsarjanād iti sarvaṃ tat karoti
1.3.21	prastaro yuktam ity ekeṣām ayuktam ity ekeṣām
1.3.22	ayuñji nidhanāni lunotīty ekeṣām
1.4.1	devabarhiḥ śatavalśaṃ vi rohety ālavān pratyabhimṛśati
1.4.2	sahasravalśā vi vayaṃ ruhemety ātmānam
1.4.3	athainat saṃbharati pṛthivyā saṃpṛcaḥ pāhi susaṃbhṛtā tvā saṃbharāmīti
1.4.4	ata eva barhiṣaḥ śulbaṃ karoti tridhātu pañcadhātu vā
1.4.5	ayupito yonir iti śulbam āveṣṭayati
1.4.6	adityai rāsnāsīti pratidadhāti
1.4.7	tatraiṣo 'tyantapradeśo yāni kāni ca śulbāni na samasyante pradakṣiṇaṃ tāny āveṣṭayet
1.4.8	atha yāni samasyante prasavyaṃ teṣāṃ guṇam āveṣṭya pradakṣiṇam abhisamasyet
1.4.9	udagagraṃ śulbaṃ nidhāya tasmin prāgagraṃ barhir nidadhāti
1.4.10	alubhito yonir ity uttame nidhane prastaram atyādadhāti
1.4.11	athainat saṃnahyatīndrāṇyai saṃnahanam iti
1.4.12	puṣā te granthiṃ grathnātv iti granthiṃ karoti
1.4.13	sa te mā sthād iti paścāt prāñcam upagūhati
1.4.14	purastāt pratyañcam ity ekeṣām
1.4.15	athainad ārabhata āpas tvām aśvinau tvām ṛṣayaḥ sapta māmṛjuḥ / barhiḥ sūryasya raśmibhir uṣasāṃ ketum ārabhe // iti
1.4.16	udyacchata indrasya tvā bāhubhyām accha iti
1.4.17	śīrṣann adhinidhatte bṛhaspater mūrdhnā harāmīti
1.4.18	āharaty urv antarikṣam anvihīti
1.4.19	apareṇāhavanīyaṃ paridhīnāṃ kāle 'ntarvedyanadhaḥ sādayaty adityās tvopasthe sādayāmīti
1.4.20	devaṃgamam asīty āsannam abhimantrayate
1.4.21	uparīva prajñātaṃ nidadhāti
1.5.1	yā jātā oṣadhayo devebhyas triyugaṃ purā / tāsāṃ parva rādhyāsaṃ paristaram āharan // apāṃ medhyaṃ yajñiyaṃ sadevaṃ śivam astu me / acchettā vo mā riṣaṃ jīvāni śaradaḥ śatam // aparimitānāṃ parimitāḥ saṃnahye sukṛtāya kam / eno mā nigāṃ katamaccanāhaṃ punar utthāya bahulā bhavantu // iti paristaraṇānāṃ darbhāṇām adhinidhāny āchedanī saṃnaha
1.5.2	ekaviṃśatidārum idhmaṃ karoti pālāśaṃ khādiraṃ vā
1.5.3	aṣṭādaśadārum idhmaṃ saṃnahyatīty ekeṣāṃ
1.5.4	pañcadaśa sāmidhenīdārūṇi bhavanti
1.5.5	trayaḥ paridhayaḥ
1.5.6	pālāśāḥ kārṣmaryamayā vā śuṣkā vārdrā vā savalkalāḥ
1.5.7	atho khadirā bailvā audumbarā vaikaṅkatā rauhitakā veti vijñāyate
1.5.8	sthaviṣṭho madhyamo 'ṇīyān drāghīyān dakṣiṇārdhyo 'ṇiṣṭho hrasiṣṭha uttarārdhyaḥ
1.5.9	dve āghārasamidhau
1.5.10	anūyājasamid ekaviṃśī
1.5.11	samūlānām amūlānāṃ vā darbhāṇām ayugdhātu tathaiva śulbaṃ karoti
1.5.12	tasminn idhmaṃ saṃbharati
1.5.13	yat kṛṣṇo rūpaṃ kṛtvā prāviśastvaṃ vanaspatīn / tatas tvām ekaviṃśatidhā saṃbharāmi susaṃbhṛtā // trīn paridhīṃs tisraḥ samidho yajñāyur anusaṃcarān / upaveṣaṃ mekṣaṇaṃ dhṛṣṭiṃ saṃbharāmi susaṃbhṛtā // iti saṃnahyati
1.5.14	kṛṣṇo 'sy ākhareṣṭhaḥ // deva puraś cara saghyāsaṃ tveti purastātpratyañcaṃ granthim upagūhati
1.5.15	athainam anadhaḥ sādayitvā prajñātānīdhmapravraścanāni nidadhāti
1.6.1	śvo bhūte idhmābarhiṣī vratopete paurṇamāsyāṃ kuryāt
1.6.2	pūrvedyur evāmāvāsyāyām
1.6.3	yāthākāmī paurṇamāsyām ity aparam
1.6.4	darbhamayaṃ vedaṃ karoti vedo 'si yena tvaṃ deva veda devebhyo vedo 'bhavas tena mahyaṃ vedo bhūyā iti
1.6.5	vatsajñuṃ paśukāmasya mūtakāryam annādyakāmasya trivṛtaṃ brahmavarcasakāmasya / trivṛcchirasaṃ bruvate
1.6.6	nityavat pūrvau kalpāv eke samāmananti
1.6.7	athainaṃ prādeśamātre parivāsayati
1.6.8	śulbāt prādeśamātra ity ekeṣām
1.6.9	prajñātāni vedāgrāṇi nidhāya yayā śākhayā vatsān apākaroti tasyā antarvedi palaśānām ekadeśaṃ praśātayati
1.6.10	mūlataḥ śākhāṃ parivāsya tam upaveṣaṃ karoty upaveṣo 'si yajñāya tvāṃ pariveṣam adhārayan / indrāya haviḥ kṛṇvantaḥ śivaḥ śagmo bhavāsi na iti
1.6.11	athāsyā darbhamayaṃ prādeśamātraṃ pavitraṃ karoti trivṛdavalayaṃ vasūnāṃ pavitram asi śatadhāraṃ vasūnāṃ pavitram asi sahasradhāram iti
1.6.12	mūle mūlam avasajaty agre 'gram / na granthiṃ karoti
1.6.13	kriyamāṇaṃ yajamāno 'numantrayate trivṛṭpalāśe darbha iyān prādeśasaṃmitaḥ / yajñe pavitraṃ potṛtamaṃ payo havyaṃ karotu me // iti
1.6.14	parisamūhanty agnyagārāṇy upalimpanty āyatanāni
1.6.15	yāvac charkaraṃ sāṃnāyyakumbhyau gomayenopalipte bhavataḥ
1.6.16	alaṃkurvāte yajamānaḥ patnī ca
1.7.1	amāvāsyāyām adhivṛkṣasūrye piṇḍapitṛyajñena caranti
1.7.2	dakṣiṇāprāg agrair darbhair anvāhāryapacanaṃ paristīryaikaikaśaḥ piṇḍapitṛyajñapātrāṇi prakṣālya prayunakti sphyaṃ sruvam ājyasthālīṃ mekṣaṇaṃ kṛṣṇājinam ulūkhalaṃ musalaṃ śūrpaṃ yena cārthī bhavati
1.7.3	adhvaryur yajñopavītī dakṣiṇataḥ śakaṭād ekapavitre 'dhi sthālyāṃ nirvapati
1.7.4	pūrayitvā nimārṣṭi
1.7.5	kṛṣṇājina ulūkhalaṃ pratiṣṭhāpya dakṣiṇāprācī patnī tiṣṭhantī parāpāvam avivekam avahanti
1.7.6	sakṛt phalīkaroti
1.7.7	dakṣiṇāgrau jīvataṇḍulam iva śrapayitvotpūtena navanītenābhighārayaty anutpūtena vā sarpiṣā
1.7.8	dakṣiṇapūrveṇānvāharyapacanam uttarāpareṇa vā dakṣiṇāprācīm ekasphyāṃ vedim uddhatyāvokṣya sakṛd ācchinnena barhiṣā stṛṇāti sakṛd ācchinnaṃ barhir ūrṇāmṛdu syonaṃ pitṛbhyas tvā bharāmy aham / asmin sīdantu me pitaraḥ somyāḥ pitāmahāḥ prapitāmahāś cānugaiḥ saha // iti
1.7.9	tasyām etaṃ sthālīpākaṃ pratiṣṭhāpya dakṣiṇataḥ kaśipūpabarhaṇam ājñanam abhyañjanam ity ekaikaśa āsādya
1.8.1	adhvaryur yajñopavītī dakṣiṇaṃ jānv ācya mekṣaṇena sthālīpākasyopahatyābhighārya juhoti / somāya pitṛpītāya svadhā nama iti prathamām
1.8.2	yamāyāṅgirasvate pitṛmate svadhā nama iti dvitīyām
1.8.3	ye mekṣaṇe taṇḍulās tān agnaye kavyavāhanāya sviṣṭakṛte svadhā nama iti tṛtīyām
1.8.4	tūṣṇīṃ mekṣaṇam ādadhāti
1.8.5	dakṣiṇāgner ekolmukaṃ nirūhati ye rūpāṇi prtimuñcamānā asurāḥ santaḥ svadhayā caranti / parāpuro nipuro yeharanty agniṣṭāṃl lokāt praṇudātv asmād iti
1.8.6	yajamānaḥ savyaṃ jānv ācya pracīnāvītī trīn udakañjalīn ekasphyāyām upaninayaty asāv avaneniṅkṣveti pitaram asāv avanenikṣveti pitāmaham asāv avaneniṅkṣveti prapitāmaham
1.8.7	atraiva nāmādeśam avācīnapāṇir dakṣiṇāpavargāṃs trīn piṇḍān nidadhāty etat te tata ye ca tvām anv ity etair mantraiḥ
1.8.8	athat yadi dvipita syāt pratipūruṣaṃ piṇḍān dadyāt
1.8.9	api vaikaikasmin piṇḍe dvaudvāv upalakṣayet
1.8.10	atha yadi jīvapitā syāt pitāmahāya prapitāmahāya ca dadyāt
1.8.11	na jīvantam atidadātīty ekeṣām
1.8.12	homāntam eva kurvīta
1.9.1	atha yadi bandhunāma na viditaṃ svadhā pitṛbhyaḥ pṛthivīṣadbhya iti prathamaṃ piṇḍaṃ dadyāt / svadhā pitṛbhyo 'ntarikṣasdbhya iti dvitīyaṃ svadhā pitṛbhyo diviṣadbhya iti tṛtīyam
1.9.2	tūṣṇīṃ caturthaṃ piṇḍaṃ nidhāyātra pitaro yathābhāgaṃ mandadhvam ity uktvā parāṅ āvartate
1.9.3	oṣmaṇo vyāvṛta upāste
1.9.4	vyāvṛtta ūṣmaṇy abhiparyāvartate 'vyāvṛtte vāmīm adanta pitaraḥ somyā iti
1.9.5	abhiparyāvṛtya yaḥ sthālyāṃ śeṣas tam avajighrati vīraṃ dhatta pitara iti
1.9.6	āmayāvinā prāśyo 'nnādyakāmena prāśyo yo 'lam annādyāya sann annaṃ nādyāt tena prāśya iti vijñāyate
1.9.7	tathaivodakāñjalīn upaninīyāñjanābhyañjane dadāty āṅkṣvāsau // abhyaṅkṣvāsāv iti trir anupiṇḍam
1.9.8	etāni vaḥ pitaro vāsāṃs yato no 'nyat pitaro mā yoṣṭeti loma chitvopanyasyati vāsaso vā daśām
1.9.9	uttara āyuṣi loma chindīta
1.9.10	chitvā namaskarair upatiṣṭhate namo vaḥ pitaro rasāyeti prtipadyāhaṃ teṣāṃ vasiṣṭho bhūyasām ity antena
1.9.11	atha pitṝn utthāpayaty uttiṣṭhata pitaraḥ preta śūrā yamasya panthām anuvetā purāṇam / dhatād asmāsu draviṇaṃ yac ca bhadraṃ pra ṇo brūtād bhāgadhāna devatāsv iti
1.9.12	pitṝn pravāhayati pareta pitaraḥ somyā ity etayā
1.9.13	manasvatībhir upatiṣṭhate mano nv ā huvamaha iti tisṛbhiḥ
1.10.1	ulmukam apisṛjaty abhun no dūto haviṣo jātavedā avāḍḍ havyāni surabhīṇi kṛtvā / prādāḥ pitṛbhyaḥ svādhayā te akṣan prajānann agne punar apyehi devān iti
1.10.2	prājāpatyaya rcā punar eti prajāpata ity etayā
1.10.3	paṅktyā gārhapatyam upatiṣṭhate yad antarikṣaṃ pṛthivim uta dyām iti
1.10.4	agnau sakṛd ācchinnaṃ prahṛtyādbhiḥ prokṣya dvandvaṃ piṇḍapitṛyajñapātrāṇi pratyudāharati
1.10.5	apaḥ piṇḍān abhyavahared brāhmaṇaṃ vā bhojayed agnau vā praharet
