#Text:Drāhyāyaṇaśrautasūtra
#Edition:Reuter, Vira
#Data entry:?



1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
1.1.2	mantravidhiś cādigrahaṇena
1.1.3	uttarādiḥ pūrvāntalakṣaṇaṃ
1.1.4	ekaśrutividhānān mantrān karmāṇi codgātaiva kuryād anādeśe
1.1.5	yāvadyajur anādiṣṭāntān mantrān
1.1.6	ṛcaś cādigrahaṇena
1.1.7	ṛtvig ārṣeyo 'nūcānaḥ sādhucaraṇo vāgmy anyūnāṅgo 'natiriktāṅgo dvayasataś cānatikṛṣṇo 'natiśvetaḥ
1.1.8	yājyaś ca prathamais tribhir guṇair vyākhyātaḥ
1.1.9	somapravākam akariṣyan namaḥ somāya rājña ity uktvā pratyācakṣīta
1.1.10	mahan me voca iti kariṣyan pratimantrayeta
1.1.11	tan na jahyād aprokte 'pi kariṣyāmīti viditvā
1.1.12	āvasathaṃ somapravākāya lavaṇamannaṃ dadhnāhārayet
1.1.13	prahiṇuyāt prastotṛsubrahmaṇyau purastāt karmabhyaḥ
1.1.14	prāgudakpravaṇaṃ devayajanaṃ lomaśaṃ samam
1.1.15	purastāc cāsyāpaḥ syuḥ
1.1.16	tat triśukriyam iti hy āha
1.1.17	tadabhāve mahāvṛkṣa udapāno mahāpatho vā
1.1.18	na cāsya sthalataram adūre syāt
1.1.19	devayajanamātraṃ ca purastāt
1.1.20	viparyasyābhicaraṇīyeṣu
1.1.21	sthalād anyad devayajanamātrāc ca
1.1.22	svayaṃ vrajet kraya upavasathye vā
1.1.23	udaṅṅ eva tu gṛhebhyaḥ prathamaṃ devo devam etv iti
1.1.24	dūraṃ vrajitvā vihāya dauṣkṛtyam
1.1.25	badvānāmāsīti panthānam āpadyottaraṃ vedyantam ākramya dakṣiṇam īkṣamāṇaḥ pitaro bhūr iti
1.1.26	yajurantaraye 'nvāhāraṃ dhānaṃjayyaḥ
1.1.27	upekṣaṇaṃ śāṇḍilyaḥ
1.2.1	arhayiṣyanta āharanti viṣṭarau pādyam arghyam ācamanīyaṃ madhuparkam iti
1.2.2	teṣām ekaikaśas trir vacanam
1.2.3	goś ca
1.2.4	viṣṭarayor ekam adhyāste dhautau pādāv itarasmin
1.2.5	pṛthak sāvitrīpādair madhuparkasya pibet
1.2.6	idam annam ayaṃ rasa imā gāvaḥ saha śriyeti tu purastād ekaikasya
1.2.7	vāg bahu bahu me bhūyād iti prathamasyopariṣṭāt
1.2.8	prāṇo vai vāco bhūyān bahur me bhūyo bhūyād iti dvitīyasya
1.2.9	mano vāva sarvaṃ sarvaṃ me bhūyād iti tṛtīyasya
1.2.10	sarve svāhākārāntāḥ
1.2.11	raso 'si vānaspatyo rasaṃ mayi dhehīti madhumanthasya pibed iti gautamaḥ
1.2.12	vānaspatya iti pravacanam
1.2.13	tathā dadhimanthodamanthayoḥ
1.2.14	payasyo 'payasya iti tu rasādeśaḥ
1.2.15	ete vaiva pravacane kālindaḥ sārasvata iti vā
1.2.16	śeṣaṃ brāhmaṇāya dadyāt
1.2.17	tadabhāve 'dbhiḥ saṃprokṣyābrāhmaṇāya
1.2.18	kuruteti gavi proktāyāṃ brūyāt
1.2.19	utsṛkṣyann oṃ kṛto dharmas tṛṇāny attu pibatūdakam utsṛjateti brūyāt
1.2.20	sarveṣāṃ yajñopavītodakācamane nitye
1.2.21	karmopayatām avyavāyo 'vyāvṛttiś ca yajñāṅgaiḥ
1.2.22	prāṅmukhakaraṇaṃ cānādeśe
1.2.23	krīte rājani subrahmaṇya uttareṇa somavahanaṃ gatvāntareṇeṣe śamīśākhāṃ palāśaśākhāṃ vā sapalāśāṃ pāṇau kṛtvāvatiṣṭheta
