#Text:Hiraṇyakeśiśrautasūtra
#Data entry:M. Fushimi
#Notes:Up to Praśna 10 (inclusive), the text counts by Praśna/Paṭala/Chapter, without giving a Sūtra counter. Starting with Praśna 11, it uses Praśna/Chapter and a Sūtra counter. We systematized the numbering by ignoring the Paṭala counters in 1-10, and adding Sūtra counters in this range. The following chapters are missing in the edition: 2.[7].18, 5.[3].9. Praśnas 19, 20 are missing in the digital text.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
1.1.2	sa tribhir vedair vidhīyate
1.1.3	ṛgvedena yajurvedena sāmavedena sarvair jyotiṣṭomaḥ
1.1.4	ṛgvedayajurvedābhyāṃ darśapūrṇamāsau
1.1.5	yajurvedenāgnihotram
1.1.6	vidhilakṣaṇāni karmāṇi
1.1.7	mantrabrāhmaṇayor vedanāmadheyam
1.1.8	karmavidhānaṃ brāhmaṇāni
1.1.9	taccheṣo 'rthavādaḥ
1.1.10	nindā praśaṃsā
1.1.11	parakṛtiḥ purākalpaś ca
1.1.12	ato 'nye mantrāḥ
1.1.13	laukikāḥ prayujyamānā amantrāḥ
1.1.14	yathā putrasya nāmadheyaṃ dundubhiśabdaś ca
1.1.15	yajñakarmārthā mantrāḥ
1.1.16	rūpavipratiṣedhāl laukikeṣu
1.1.17	yathā gṛhṇāmi te suprajāstvāya hastam imāṃ khanāmy oṣadhīṃ vaha vapāṃ jātavedaḥ pitṛbhya iti
1.1.18	yathopadiṣṭaṃ brāhmaṇavanto yathārūpam itare
1.1.19	śeṣasya vinidhānam
1.1.20	pāriplavārthā dāśatayyaḥ
1.1.21	uttarayoḥ pavamānayoḥ stomābhyāse sāmāni
1.1.22	tūṣṇīkeṣu prākṛteṣu yajuḥ
1.1.23	vedaḥ karmanāmadheyena śrūyamāṇas tadarthaḥ
1.1.24	yathā vājapeyo yājyāpuronuvākyāś ca
1.1.25	upāṃśu yajurvedena kriyate
1.1.26	anyatra pravarasaṃvādāśrāvaṇasaṃpraiṣebhyaḥ
1.1.27	uccair itarābhyām
1.1.28	sarvair upāṃśu
1.2.1	jyotiṣṭome prāg agnīṣomīyāt
1.2.2	yāvadartho 'pavṛjyate sa ekamantraḥ
1.2.3	ādipradiṣṭā mantrā bhavanti
1.2.4	uttarāsyādinā pūrvasyāntaṃ vidyāt
1.2.5	mantrāntena karma saṃnipātayet
1.2.6	kriyamāṇe hautrāṇy ucyante
1.2.7	ekamantrāṇi karmāṇi
1.2.8	samabhyuccīyeran hautrāṇi
1.2.9	anyatra yājyānuvākyābhyaḥ
1.2.10	yatraikasmin dravye viceṣṭāpṛthaktvenārtho niṣpadyate sakṛd eva tatra mantraṃ brūyāt
1.2.11	yathā prokṣe yūpacchedane ca
1.2.12	dravyapṛthaktve 'bhyāvartate
1.2.13	yathājyagrahaṇe lavane staraṇe ca
1.2.14	arthapṛthaktvāt kaṇḍūyanamantro 'bhyāvartate
1.2.15	parārthāny ekena kriyeran
1.2.16	yathā kapālenopavapati yajamānena saṃmitaudumbarī bhavatīti
1.2.17	yajurvedenādhvaryuḥ karoti
1.2.18	ṛgvedena hotā
1.2.19	sāmavedenodgātā
1.2.20	sarvair brahmā
1.2.21	vacanalakṣaṇā itare
1.2.22	asaṃbhavād vā
1.2.23	yathāśvamedhe paśukarmasu
1.2.24	āhavanīya āhutayo juhvā hūyante
1.2.25	uttarataupacāro vihāraḥ
1.3.1	prāṅnyāyāny udaṅnyāyāni vā pradakṣiṇaṃ yajñe karmāṇi karoti
1.3.2	na yajñāṅgenātmānam anyaṃ vābhipariharati
1.3.3	na vihārād upaparyāvartate
1.3.4	antarāṇi yajñāṅgāni bāhyāḥ kartāraḥ
1.3.5	prācīnāvītī pitryāṇi karoti
1.3.6	yajñopavītī darśapūrṇamāsayor agnihotre ca
1.3.7	aniyamo 'nyatra
1.3.8	codanāsaṃyogāt pradhānāny ekakālāni
1.3.9	teṣāṃ vibhavanti tantram aṅgāny avibhavanty āvartante
1.3.10	nānākāleṣu pṛthak
1.3.11	yaḥ pradhānasya kālaḥ so 'ṅgānāṃ sa deśaḥ sa kartā so 'gniḥ
1.3.12	ādhānaprabhṛti yāvajjīvaṃ pātrāṇi dhāryante
1.3.13	teṣāṃ pratitantraṃ saṃskāro 'bhyāvartate
1.3.14	sarvakāmau darśapūrṇamāsau
1.3.15	tau samānavidhānau
1.3.16	nirdeśād vyavatiṣṭhete
1.3.17	tābhyāṃ yāvajjīvaṃ yajate triṃśataṃ vā varṣāṇi
1.3.18	ekasmin prayoge sarvān kāmān kāmayeta prayogapṛthaktve vaikaikam
1.3.19	pūrvā paurṇamāsy uttarāmāvāsyā
1.3.20	paurṇamāsyāṃ paurṇamāsyā yajate 'māvāsyāyām amāvāsyayā
1.3.21	āgneyo 'ṣṭākapāla upāṃśuyājaś cāgnīṣomīyo vaiṣṇavaḥ prājāpatyo vāgnīṣomīyaś caikādaśakapālaḥ paurṇamāsyāṃ pradhānāni
1.3.22	nāsomāyājino brāhmaṇasyāgnīṣomīyaḥ puroḍāśo vidyata ity ekeṣām āgneyo 'ṣṭākapāla aindrāgna ekādaśakapālo dvādaśakapālo vāmāvāsyāyām asaṃnayata āgneyaḥ saṃnāyyaṃ ca saṃnayataḥ
1.3.23	tadaṅgam itare homāḥ
1.3.24	pūrvāṃ paurṇamāsīm upavaset
1.3.25	saṃpūrṇāṃ vā
1.3.26	pūrvām amāvāsyām
1.3.27	yad ahar vā na dṛṣyate
1.4.1	prātar agnihotraṃ hutvānugamayitvāgnihotrikam apoddhṛtya vodita āditye gārhapatyād āhavanīyam uddhṛtya mamāgne varca ity anvādadhāty uttarayā gārhapatyam uttarayā dakṣiṇāgnim
1.4.2	sarvābhir vāhavanīyam
1.4.3	avaśiṣṭā vikalpārthāḥ
1.4.4	vyāhṛtībhir anvādadhātīty ekeṣām
