#Text:Kātyāyanaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto 'dhikāraḥ
1.1.2	phalayuktāni karmāṇi
1.1.3	sarveṣām aviśeṣāt
1.1.4	manuṣyāṇāṃ vārambhasāmarthyāt
1.1.5	aṅgahīnāśrotriyaṣaṇḍhaśūdravarjam
1.1.6	brāhmaṇarājanyavaiśyānāṃ śruteḥ
1.1.7	strī cāviśeṣāt
1.1.8	darśanāc ca
1.1.9	rathakārasyādhāne
1.1.10	niyataṃ ca
1.1.11	nābhāvād iti vātsyaḥ
1.1.12	niṣādasthapatir gāvedhuke 'dhikṛtaḥ
1.1.13	vāvakīrṇino gardabhejyā
1.1.14	laukike
1.1.15	bhūmau paśupuroḍāśaśrapaṇam
1.1.16	apsv avadānahomaḥ
1.1.17	śiśnāt prāśitrāvadānam
1.1.18	vaitānikeṣu sarvaṃ sarvārthatvāt
1.1.19	darśanāc ca
1.1.20	naupāsanaśruteḥ
1.1.21	adhiśrayaṇīye māṃsapratiṣedhaḥ
1.2.1	yajñaṃ vyākhyāsyāmaḥ
1.2.2	dravyaṃ devatā tyāgaḥ
1.2.3	tadaṅgam itarat samabhivyāhāraprakaraṇābhyām
1.2.4	yajatayaś cāphalayuktās tadaṅgam
1.2.5	yajatijuhotīnāṃ ko viśeṣaḥ
1.2.6	tiṣṭhaddhomā vaṣaṭkārapradānā yājyāpuro'nuvākyavanto yajatayaḥ
1.2.7	upaviṣṭahomāḥ svāhākārapradānā juhotayaḥ
1.2.8	brāhmaṇā ṛtvijo bhakṣapratiṣedhād itarayoḥ
1.2.9	darśanāc ca
1.2.10	phalayuktānām ārambhe yāthākāmī phalārthitvāt
1.2.11	na niyamanimittāgnihotradarśapūrṇamāsadākṣāyaṇāgrayaṇapaśuṣu pravṛtteḥ
1.2.12	some caike
1.2.13	cāturmāsyeṣu cartumukhaśruteḥ
1.2.14	niyatasahapāṭhāt
1.2.15	darśanāc ca
1.2.16	notsargayogāt
1.2.17	syāt triṃśadvat
1.2.18	viguṇe phalanirvṛttir aṅgapradhānabhedāt
1.2.19	prāyaścittavidhānāc ca
1.2.20	tathā ca dṛṣṭam
1.2.21	na śrutilakṣaṇatvāt
1.2.22	prāyaścittaṃ tatkālam
1.2.23	dṛṣṭe tatparimāṇam
1.3.1	ṛco yajūṃṣi sāmāni nigadā mantrāḥ
1.3.2	teṣāṃ vākyaṃ nirākāṅkṣam
1.3.3	mithaḥsambaddham
1.3.4	teṣām ārambhe 'rthato vyavasthā tadvacanatvāt
1.3.5	mantrāntaiḥ karmādiḥ sāṃnipātyo 'bhidhānāt
1.3.6	aniyamaṃ vātsyaḥ
1.3.7	ādiṃ tv ācāryāḥ
1.3.8	ta ādyuktāḥ
1.3.9	parādinā pūrvāntaḥ
1.3.10	upāṃśuprayogaḥ śruteḥ
1.3.11	na sampraiṣāḥ
1.3.12	kauśaṃ barhiḥ
1.3.13	arthāt parimāṇam
1.3.14	ayugdhātūni yūnāni
1.3.15	prāgagre yūna udagagraṃ barhir ācinoti
1.3.16	udagagre prāgagram idhmam
1.3.17	pratyaggranthīn avagūhati
1.3.18	aṣṭādaśedhmaṃ paridhivṛkṣāṇām
1.3.19	ekaviṃśatiṃ vā
1.3.20	tataḥ paridhīn eke
1.3.21	aparimitaṃ praṇayanīyaṃ triyūnam
1.3.22	nirupyājyaṃ vedo 'sīti yajamāno vedaṃ karoti
1.3.23	kuśamuṣṭiṃ savyāvṛttaṃ vatsajānuṃ trivṛtaṃ mūtakāryaṃ vā paśubrahmavarcasānnādyakāmā yathāsaṃkhyam
1.3.24	āmuṣmād iti karmasu tac ca
1.3.25	antavacane ca
1.3.26	pratikarmoddharaṇam aprasaṅge
1.3.27	apavṛttakarmā laukiko 'rthasaṃyogāt
1.3.28	aprakaraṇotpattir anārabhyavāda āśrayitvāt sarvaguṇaḥ
1.3.29	prakaraṇe cāviśeṣāt
1.3.30	darśanāc ca
1.3.31	vaikaṅkatāni pātrāṇi
1.3.32	khādiraḥ sruvaḥ
1.3.33	sphyaś ca
1.3.34	pālāśī juhūḥ
1.3.35	āśvatthy upabhṛt
1.3.36	vāraṇāny ahomasaṃyuktāni
1.3.37	bāhumātryaḥ srucaḥ pāṇimātrapuṣkarās tvagbilā haṃsamukhaprasekā mūladaṇḍā bhavanti
1.3.38	aratnimātraḥ sruvo 'ṅguṣṭhaparvavṛttapuṣkaraḥ
1.3.39	sphyo 'syākṛtiḥ
1.3.40	ādarśākṛti prāśitraharaṇam
1.3.41	camasākṛti vā
1.3.42	cātvālotkarāv antareṇa saṃcaraḥ
1.3.43	praṇītotkarāv iṣṭiṣu
1.4.1	coditābhāve 'nārambhas tatsiddhitvāt tasya
1.4.2	niyate sāmānyataḥ pratinidhiḥ syāt
1.4.3	ārambhān niyamaḥ
1.4.4	doṣaś cāsamāptau syāt sāmānyāt
1.4.5	darśanāc ca
1.4.6	anyārthaṃ darśanaṃ na punargrahaṇāt
1.4.7	anyārthaṃ punargrahaṇam
1.4.8	vrate prasaṅgo na niyamaśabdāt
1.4.9	śabde 'vipratipattiḥ
1.4.10	somena jātyabhāvāt
1.4.11	ājye cādarśanāt
1.4.12	paśau mantravarṇāt
1.4.13	śruteś ca
1.4.14	vikalpe pravṛttaṃ karmāntaratvāt
1.4.15	pratinidhau tatkālāt
1.4.16	arthadravyavirodhe 'rthasāmānyaṃ tatparatvāt
1.4.17	guṇadravyayor dravyaṃ pradhānayogāt
1.4.18	na samatvāt
1.4.19	guṇānugrahāt
1.5.1	karmaṇām ānupūrvyaṃ na yugapadbhāvāt
1.5.2	arthanirvṛtteś ca
1.5.3	syād vānupūrvyaniyamaḥ śrutyarthakramebhyaḥ
1.5.4	prākṛtaṃ ca vikṛtau
1.5.5	virodhe 'rthas tatparatvāt
1.5.6	śrutiḥ kramād ānumānikatvāt
1.5.7	mantracodanayor mantrabalaṃ prayogitvāt
1.5.8	na samatvāt
1.5.9	guṇānāṃ tu bhūyastvāt
1.5.10	tulyasamavāye sāmānyapūrvam ānupūrvyayogāt
1.5.11	naikakarmaṇi sambandhāt
1.5.12	grahaṇasādanāvadānapradāneṣu tu vacanāt
1.5.13	na dravyabhede guṇayogād iti vātsyaḥ
1.5.14	pravṛtte niyataṃ doṣaviśeṣāt
1.5.15	ṣoḍaśini tv ānupūrvyabhūyastvāt
1.5.16	aniyamaḥ phalasaṃyukteṣu
1.5.17	kramo vidhyarthaḥ karmaṇy asambhavāt
1.6.1	avattanāśe 'nyadguṇānugrahāt
1.6.2	na pūrvaśeṣāt
1.6.3	acoditatvāc ca
1.6.4	sviṣṭakṛdvad ānupūrvyayogāt
1.6.5	guṇahānau tu śeṣabhāvāt
1.6.6	na devatāgniśabdakriyāḥ parārthatvāt
1.6.7	kāmaṃ devatām
1.6.8	pratiṣiddhaṃ pratyavāyāt
1.6.9	svāmī phalayogāt
1.6.10	guṇeṣu pratinidhiḥ parārthatvāt
1.6.11	sattriṣu tu śruteḥ
1.6.12	sa taddharmā karmayogāt
1.6.13	sattrāṇi brāhmaṇānām ṛtvikśruteḥ
1.6.14	ekakalpānām avaiguṇyāt
1.6.15	na parārthatvāt
1.6.16	vaiśyarājanyayor gārhapate
1.6.17	sahasrasaṃvatsaram amanuṣyāṇām asambhavāt
1.6.18	syād dehānityatvāt
1.6.19	tasya ca kāryatvāt
1.6.20	nāsambhavāt
1.6.21	śāstrasambhavād iti bhāradvājaḥ
1.6.22	nādarśanāt
1.6.23	kulasattram iti kārṣṇājiniḥ
1.6.24	sāmyutthānam iti laugākṣiḥ
1.6.25	ahnāṃ vāśakyatvāt
1.6.26	śrutisāmarthyāt
1.6.27	prakṛtyanugrahāc ca
1.7.1	karmaṇāṃ yugapadbhāvas tantram
1.7.2	śakyapuruṣārthakṛtatvaikārthasamavāyaśrutibhyaḥ
1.7.3	phalakarmadeśakāladravyadevatāguṇasāmānye
1.7.4	tadbhede bhedaḥ
1.7.5	deśakālau virodhe
1.7.6	na kṛtsnopadeśāt
1.7.7	ahargaṇe subrahmaṇyāyāḥ sarvopalakṣaṇaṃ prakṛtivat
1.7.8	tantrakālakarma pratyahamavidhānāt
1.7.9	ekadravye karmāvṛttau sakṛnmantravacanaṃ kṛtatvāt
1.7.10	na grahaṇalavanastaraṇājyagrahaṇeṣu tu
1.7.11	vacanād ājye
1.7.12	muṣṭau cottame
1.7.13	svapnanadītaraṇāvavarṣaṇāmedhyadarśanaprayāṇeṣu tu sakṛt kāladravyaikārthatvāt
1.7.14	na nimittabhedāt
1.7.15	apradhānakālaṃ sakṛd asaṃnipātāt
1.7.16	yūpaḥ
1.7.17	svaruś ca saṃsthāvacanāt
1.7.18	tannirvṛtteś ca
1.7.19	karmaṇi puruṣāṇām
1.7.20	pradhānaṃ svāmī phalayogāt
1.7.21	puruṣayogimantrasaṃskārayos tyāge sāmarthyāt
1.7.22	vacanād anyat
1.7.23	śeṣam itare yathākhyam
1.7.24	upavītinaḥ
1.7.25	prāñcy udag vā
1.7.26	āvṛttisāmanteṣu pradakṣiṇam
1.7.27	viparyasya pitryeṣu tu sakṛd dakṣiṇā ca
1.7.28	pradhānadravyavyāpattau sāṅgāvṛttis tadādeśāt
1.8.1	guṇānām ekārthānāṃ sarvārambhaś coditatvāt
1.8.2	na kṛtatvāt
1.8.3	anārabhyatvāt
1.8.4	darśanāc ca
1.8.5	śrutyānarthakyam iti cet
1.8.6	kālāntare 'rthavattvaṃ syāt
1.8.7	dharmamātreṣu samuccayo 'virodhāt
1.8.8	hautrādhānayoḥ
1.8.9	na yājyānuvākyāsu virodhāt
1.8.10	darśanāc ca
1.8.11	prāyaścitteṣu doṣanāśāt
1.8.12	nāśruteḥ
1.8.13	pratyakṣāc ca
1.8.14	syād vā darśanāt
1.8.15	nānyārthatvāt
1.8.16	mantre svarakriyā yathāmnātam aviśeṣāt
1.8.17	bhāṣikasvaro vopapannamantropadeśāt
1.8.18	tāno vā nityatvāt
1.8.19	ekaśruti dūrāt sambuddhau yajñakarmaṇi subrahmaṇyāsāmajapanyūṅkhayājamānavarjam
1.8.20	saṃkhyāvikalpo dānasaṃyoge kṛtatvāt
1.8.21	ūvadhyavasādhyūdhnīvaniṣṭhuṣu samuccayo dravyasaṃskāratadbhedābhyām
1.8.22	codanāguṇeṣu ca prakl̥ptyupabandhābhyām
1.8.23	gārhapatyāhavanīyau na vyaveyāt
1.8.24	vivṛtyāvṛtya vetarathāvṛttiḥ
1.8.25	atītya niṣkramaṇam
1.8.26	uttarataupacāro yajñaḥ
1.8.27	dakṣiṇato brahmayajamānayor āsane
1.8.28	paścād yajamāno vedispṛk
1.8.29	adhvaryuḥ karmasu vedayogāt
1.8.30	vacanavirodhābhyām anyaḥ
1.8.31	haviṣpātrasvāmy ṛtvijāṃ pūrvaṃ pūrvam antaram
1.8.32	ṛtvijāṃ ca yathāpūrvam
1.8.33	na vācoditatvāt
1.8.34	gārhapatye saṃskārāḥ
1.8.35	śrapaṇaṃ vāhavanīye
1.8.36	ghṛtam ājye
1.8.37	liṅgāt
1.8.38	tasya homo 'nādeśe
1.8.39	cātvālāt purīṣam
1.8.40	āhavanīyayajatayo dhruvāyāḥ
1.8.41	iḍāprāśitrāghārāṃś caike
1.8.42	prāñcāv āghārau
1.8.43	vidiśāv eke
1.8.44	āhavanīye homāḥ śrutisamākhyānābhyām
1.8.45	juhvāvacane
1.8.46	sakṛdgṛhītārthāvāpteḥ
1.8.47	avaṣaṭkārātirekāc ca
1.9.1	vrīhīn yavān vā haviṣi
1.9.2	tasya dvir avadyati
1.9.3	trir jamadagnīnām
1.9.4	paścāt tṛtīyam
1.9.5	sarveṣāṃ vobhayam avidhānāt
1.9.6	madhyāt pūrvārdhāc cāsambhindann aṅguṣṭhaparvamātram avadānam
1.9.7	mātrāvad dadhipayasoḥ
1.9.8	ādyantayor ājyam
1.9.9	ekapratyavāyaṃ sviṣṭakṛtaḥ
1.9.10	dviś cābhighāraṇam
1.9.11	avadāya pratyabhighāraṇaṃ prāk sviṣṭakṛtaḥ
1.9.12	sarvahuta ekakapālaḥ
1.9.13	anuvācanapraiṣo yathādevatam amuṣmā anubrūhīti
1.9.14	āśrāvyapraiṣe ca
1.9.15	amuṃ yajeti
1.9.16	praiṣānuvācane ṣaṣṭhi vapāyai dhānāsomebhya iti parihāpya
1.9.17	asāv ity apanode
1.9.18	savaṣaṭkārāsu tiṣṭhan dakṣiṇata udaṅ prāṅ vaṣaṭkṛte
1.9.19	saha vā
1.9.20	ubhayata ājyaṃ haviṣaḥ
1.9.21	saha vā
1.10.1	vartamānopadeśāc codanāśabdāchrutyarthābhāvāt tavai ceti vacanān nirdeśāt karmacodakaḥ
1.10.2	mantro vā samabhivyāhārāt
1.10.3	arthaprasaṃkhyayā dravyopakalpanam
1.10.4	carmāṇy uttaralomāni prāggrīvāṇi
1.10.5	avaroktam uttaraṃ haviṣi
1.10.6	ekadravye sājye vedenopagrahaṇam
1.10.7	sphyenānyatra
1.10.8	kuśair asatsu
1.10.9	pāṇibhyāṃ juhūṃ parigṛhyopabhṛty ādhānam ādānakāle 'saṃhrādayan
1.10.10	vācy aphaleṣu svargaḥ sāmarthyāt
1.10.11	ekakarmaṇi guṇaviśeṣe phalaviśeṣaḥ
1.10.12	dānavācanānvārambhaṇavaravaraṇavratapramāṇeṣu yajamānaṃ pratīyāt
1.10.13	khātalūnachinnāvahatapiṣṭadugdhadagdheṣu yajuṣkriyāsambhavāt
1.10.14	raudraṃ rākṣasam āsuram ābhicaraṇikaṃ mantram uktvā pitryam ātmānaṃ cālabhyopaspṛśed apaḥ 
2.1.1	pūrvāṃ paurṇamāsīm uttarāṃ vopavaset
2.1.2	agnyanvādhānam adhvaryur yajamāno vā
2.1.3	mamāgne varco vihaveṣv astu vayaṃ tvendhānās tanvaṃ puṣema mahyaṃ namantāṃ pradiśaś catasras tvayādhyakṣeṇa pṛtanā jayemety āhavanīye samidham ādadhāti
2.1.4	tūṣṇīṃ dvitīyām
2.1.5	evam itarayor agnyoḥ
2.1.6	mahāvyāhṛtibhir vā prāksaṃstham
2.1.7	tūṣṇīṃ vā yathāpūrvam
2.1.8	ahani māṃsamaithune varjayet
2.1.9	keśaśmaśru vapate vāśikham
2.1.10	aparāhṇe vratopāyanīyam aśnītaḥ sarpiṣāsuhitau
2.1.11	antareṇāparāgnī gatvāpareṇāhavanīyaṃ prāṅ tiṣṭhann agnim īkṣamāṇo 'pa upaspṛśya vratam upaity agne vratapata idam aham iti vā satyavādyataḥ
2.1.12	karmāṅgamuttare satyavadanam
2.1.13	vṛkṣāraṇyauṣadhīnām aśnīyād vā
2.1.14	āhavanīyagṛhaśāyyadhaḥ
2.1.15	gārhapatyasya vā
2.1.16	sadyo vā
2.1.17	prātaḥ
2.1.18	agnihotraṃ hutvā brahmāṇaṃ vṛṇīte brahmiṣṭhaṃ bhūpate bhuvanapate mahato bhūtasya pate brahmāṇaṃ tvā vṛṇīmaha iti
2.1.19	vṛto japaty ahaṃ bhūpatir ahaṃ bhuvanapatir ahaṃ mahato bhūtasya patir bhūr bhuvaḥ svar deva savitar etaṃ tvā vṛṇate bṛhaspatiṃ brahmāṇaṃ tad ahaṃ manase prabravīmi mano gāyatryai gāyatrī triṣṭubhe triṣṭub jagatyai jagaty anuṣṭubhe 'nuṣṭup prajāpataye prajāpatir viśvebhyo devebhyo bṛhaspatir devānāṃ brahmāhaṃ manuṣyāṇām iti
2.1.20	vācaspate yajñaṃ gopāyety āha
2.1.21	apareṇa vāhavanīyaṃ dakṣiṇātikrāmati
2.1.22	ahe daidhiṣavyod atas tiṣṭhānyasya sadane sīda yo 'smat pākatara iti brahmasadanam īkṣate
2.1.23	brahmasadanāt tṛṇaṃ nirasyati nirastaḥ pāpmā saha tena yaṃ dviṣma iti
2.1.24	idam ahaṃ bṛhaspateḥ sadasi sīdāmi prasūto devena savitrā tad agnaye prabravīmi tad vāyave tat pṛthivyā iti
2.2.1	brahmasadana āhavanīyam abhimukha upaviśati
2.2.2	vāgyata ānuyājaprasavāt
2.2.3	bhāgapariharaṇādi vā
2.2.4	āvṛtāvaṣaṭkārāsu
2.2.5	atra vā vratopāyanam
2.2.6	vyāhṛtya vaiṣṇavaṃ mantraṃ japet
2.2.7	adhvaryuś ca
2.2.8	praṇaya yajñaṃ devatā vardhaya tvaṃ nākasya pṛṣṭhe yajamāno astu saptaṛṣīṇāṃ sukṛtāṃ yatra lokas tatremaṃ yajñaṃ yajamānaṃ ca dhehy o3ṃ praṇayeti praṇītāḥ prasauti
2.2.9	evam āmantrita oṃkāreṇa
2.2.10	prokṣa yajñam iti haviṣi
2.2.11	idhmābarhiṣoś ca
2.2.12	bṛhaspate parigṛhāṇa vediṃ sugā vo devāḥ sadanāni santv asyāṃ barhiḥ prathatāṃ sādhv antar ahiṃsrā pṛthivī devī devy astv iti vediṃ parigṛhṇantam
2.2.13	prajāpate 'nubrūhi yajñam iti sāmidhenīr anuvakṣyantam
2.2.14	devatā vardhaya tvam iti sarvatrānuṣajati
2.2.15	mitrasya tvā cakṣuṣā pratīkṣa iti prāśitraṃ pratīkṣate
2.2.16	devasya tveti pratigṛhṇāti
2.2.17	pṛthivyās tveti sādayaty apohya barhīṃṣi
2.2.18	punar ādāya devasya tvety anāmikāṅguṣṭhābhyām agneṣ ṭveti prāśnāti dantair anupaspṛśann atra cet
2.2.19	nidadhāti vāṃsadeśe
2.2.20	prakṣālya pātraṃ nābhim ālabhate yā apsv antar devatās tā idaṃ śamayantu svāhākṛtaṃ jaṭharam indrasya gacha ghasinā me mā sampṛkthā ūrdhvaṃ me nābheḥ sīdendrasya tvā jaṭhare sādayāmīti
2.2.21	etaṃ ta iti samidāmantritaḥ prasauti
2.2.22	pratiṣṭheti brūyād vā
2.2.23	karmāpavarge samidham ādadhāti juhoty upatiṣṭhate vā namaḥ kṛtāya karmaṇe 'kṛtāya karmaṇe namo 'yāḍ yajñaṃ jātavedā antaraḥ pūrvo asmin niṣadya sa tvaṃ saniṃ suvimucā vimuñca dhehy asmabhyaṃ draviṇaṃ jātavedaḥ svāheti yathetam etya
2.2.24	etad brahmatvam iṣṭipaśvoḥ
2.3.1	gārhapatyam uttareṇodapātraṃ nidhāyālabhate bhūtas tvā bhūta kariṣyāmīti
2.3.2	brahmann apaḥ praṇeṣyāmi yajamāna vācaṃ yachety āha
2.3.3	anujñāta uttareṇāhavanīyaṃ samprati nidadhāti kas tveti
2.3.4	nāntareṇa gacheyuḥ
2.3.5	kāṃsyavānaspatyamārttikair abhicārabrahmavarcasapratiṣṭhākāmā yathāsaṃkhyam
2.3.6	tṛṇair agnīn paristrīya purastāt prathamaṃ dviśaḥ prātrāṇi saṃsādayati
2.3.7	yajamāno vā
2.3.8	śūrpāgnihotrahavaṇi sphyakapālaṃ śamyākṛṣṇājinam ulūkhalamusalaṃ dṛṣadupalam arthavac ca
2.3.9	śrapaṇasya paścād uttarato vā
2.3.10	karmaṇe vām iti śūrpāgnihotravaṇy ādāya vācaṃ yachati
2.3.11	pratapanaṃ pratyuṣṭaṃ niṣṭaptam iti vā
2.3.12	gachaty urv antarikṣam iti śrapaṇasya paścād anas tiṣṭhat samaṅgi
2.3.13	dhūr asīti dhūrabhimarśanam
2.3.14	devānām ity upastambhanasya paścād īṣām
2.3.15	viṣṇus tvety ārohaṇam
2.3.16	prekṣata uru vātāyeti haviṣyān
2.3.17	apahatam iti nirasyaty anyat
2.3.18	avidyamāne 'bhimṛśet
2.3.19	yachantām ity ālabhate
2.3.20	devasya tveti gṛhṇāty āgneyaṃ caturo muṣṭīn
2.3.21	evam agnīṣomīyam
2.3.22	yathādevatam anyat
2.3.23	bhūtāya tveti śeṣābhimarśanam
2.3.24	svar iti prāṅ īkṣate
2.3.25	dṛṃhantām ity avarohati
2.3.26	gachaty urv antarikṣam iti
2.3.27	śrapaṇasya paścāt sādayati pṛthivyās tveti
2.3.28	pātryāṃ vā sphyopahitāyām
2.3.29	dhūrīṣārohaṇāni pātrībile japati
2.3.30	dṛṃhantām ity utthānam
2.3.31	kuśau samāv apraśīrṇāgrāv anantargarbhau kuśaiś chinatti pavitre stha iti
2.3.32	trīn vā
2.3.33	havirgrahaṇyām apaḥ kṛtvā tābhyām utpunāti savitur va iti
2.3.34	tā sthānaṃ tayoḥ
2.3.35	savye kṛtvā dakṣiṇenodiṅgayati devīr āpa iti
2.3.36	prokṣitā stheti tāsāṃ prokṣaṇam
2.3.37	haviś cāgnaye tvāgnīṣomābhyām tveti
2.3.38	yathādevatam anyat
2.3.39	pātrāṇi daivyāyeti
2.3.40	asaṃcare prokṣaṇīr nidhāya
2.4.1	śarmāsīti kṛṣṇājinādānam
2.4.2	apetya pātrebhyo 'vadhūnoty avadhūtam iti
2.4.3	pratyaggrīvam āstṛṇāty adityās tvag iti
2.4.4	savyāśūnye nidadhāty ulūkhalam adrir asi grāvāsīti vā
2.4.5	prati tvety ubhayoḥ
2.4.6	havir āvapaty agnes tanūr iti
2.4.7	vācaṃ visṛjate
2.4.8	yajamānaś ca
2.4.9	haviṣkṛtā vā
2.4.10	nānāvījeṣvantye sāmarthyāt
2.4.11	bṛhadgrāveti musalam ādatte
2.4.12	sa idam ity avadadhāti
2.4.13	haviṣkṛd ehīti trir āhvayati
2.4.14	ataḥ patny avahanty anyo vā
2.4.15	āhvayaty āhanty anyo dṛṣadupale kukkuṭo 'sīti triḥ śamyayā dvir dṛṣadaṃ sakṛd upalām
2.4.16	varṣavṛddham asīti śūrpam ādatte
2.4.17	prati tveti havir udvapati
2.4.18	parāpūtam iti niṣpunāti
2.4.19	apahatam iti tuṣān nirasyati
2.4.20	vāyur va iti vivinakti
2.4.21	devo va iti pātyām opyābhimantrayate
2.4.22	triḥ phalīkaroti
2.4.23	devebhyaḥ śundhadhvaṃ devebhyaḥ śundhadhvam ity eke
2.4.24	phalīkṛtya kaṇān nidadhāti
2.4.25	peṣaṇopadhāne yugapat
