#Text:Mānavaśrautasūtra
#Data entry:M. Fushimi



1.1.1.1	uttarata upacāro vihāraḥ
1.1.1.2	antarāṇi yajñāṅgāni kartuḥ
1.1.1.3	catvāricatvāri karmāṇi prasaṃpaśyan kuryād ā caturthāt karmaṇaḥ
1.1.1.4	mantrāntena karmādiṃ saṃnipātayet
1.1.1.5	ādinottarasya pūrvasyāntaṃ vidyāt
1.1.1.6	yajñopavītī dakṣiṇācāraḥ prāṅnyāyyaṃ karmopāṃśu yajurvedena kuryāt
1.1.1.7	darśapaurṇamāsayor dharmāḥ sādhāraṇāḥ
1.1.1.8	nirdeśād vyavatiṣṭheran
1.1.1.9	catvāra ṛtvijo 'dhvaryur hotā brahmāgnīdhraḥ
1.1.1.10	anādeśe 'dhvaryuḥ kuryāt
1.1.1.11	upavatsv aśane bhukte gārhapatyād āhavanīyaṃ jvalantaṃ praṇayati
1.1.1.12a	devā gātuvido gātuṃ vittvā gātuṃ yajñāya vindata
1.1.1.12c	manasaspatinā devena vātād yajñaḥ prayujyatām
1.1.1.12	iti japitvā vratopetasya śākhām achaiti parṇaśākhāṃ śamīśākhāṃ vā prācīm udīcīṃ vāhatāṃ bahuśākhāṃ bahuparṇām aśuṣkāgrām asuṣirām
1.1.1.13	iṣe tveti chinatti
1.1.1.14	ūrje tvety anumārṣṭi
1.1.1.15	subhūtāyeti saṃnamayati
1.1.1.16	vāvayaḥ stheti śākhayā vatsān apākaroti trīn yajuṣā tūṣṇīṃ trīn
1.1.1.17	apākṛtānām ekaṃ śakhayā tūṣṇīm upaspṛśati
1.1.1.18	darbhapiñjūlaiḥ saha śākhayā devo vaḥ savitā prārpayatv iti gāḥ prārpayati
1.1.1.19	āpyāyadhvam aghnyā devebhyā indrāya bhāgam itīndrayājino // mahendrāyeti mahendrayājinaḥ
1.1.1.20a	śuddhā apaḥ suprapāṇe pibantīḥ śatam indrāya śrado duhānāḥ
1.1.1.20c	rudrasya hetiḥ pari vo vṛṇaktu
1.1.1.20	iti vrajantīr anumantrayate
