#Text:Vaikhānasaśrautasūtra
#Edition:Caland
#Data entry:F. Voegeli; sections 8-9, 11ff by O. Hellwig



1.1.1	athāgnyādheyaṃ vyākhyāsyāmaḥ
1.1.2	brāhmaṇo vasante rājanyo grīṣme vaiśyaḥ śaradi rathakāro varṣāsu
1.1.3	sarve śiśira ity eke
1.1.4	rohiṇīkṛttikāmṛgaśiraḥpunarvasūttarānūrādhāśravaṇahastaviśākhāsv ekasmin nakṣatre 'māvāsyāyāṃ paurṇamāsyāṃ vādadhīta
1.1.5	kṛttikāsv agnim ādadhīteti brāhmaṇoktāni kāmyāni nakṣatrāṇi yathākāmam
1.1.6	yatraitāni trīṇi saṃbhavanty ṛtur nakṣatraṃ parva tad bhadram
1.1.7	vipratiṣedhe tu nakṣatram ṛtuś ca balīyaḥ
1.1.8	somena yakṣyamāṇa ādadhīta nartuṃ na nakṣatraṃ sūrkṣet
1.1.9	yathopapādaṃ śamīgarbham aśvattham
1.1.10	yady aśamīgarbhaṃ śuklāṅkuram aśanivāyvanupahatam agnyadagdhaṃ bahupakṣyanāvāsam aśuṣkam aśīrṇam antyajātyanupahataṃ gatvā vaiśvānarasūktena pradakṣiṇaṃ kṛtvā praṇameta
1.1.11	tenaiva prācīm udīcīṃ vā śākhāṃ prāgādi pradakṣiṇaṃ chedayitvā prāgagram udagagraṃ vā nipātayet
1.1.12	patitottaram adharaṃ mūlam agraṃ ca yathā jñeyaṃ tathāṅkayitvā śākhāpatrāṇi prahāpayati
1.1.13	tāṃ dvidhā chedayitvādhobhāgenādharām araṇiṃ tvakpārśvordhvabhāgāṃ vigatatvacaṃ viśoṣitāṃ caturviṃśatyaṅgulāyatām aṣṭāṅgulivistārāṃ caturaṅgulonnatāṃ tathottarabhāgenottarām araṇiṃ ca gāyatryā karoti
1.1.14	tatra prathamāni yāni catvāry aṅgulāni śiraś cakṣuḥ śrotram āsyaṃ ca
1.1.15	dvitīyāni yāni grīvā vakṣo hṛdayaṃ stanaḥ
1.1.16	tṛtīyāny udaraprabhṛtīni
1.1.17	caturthāni śroṇī
1.1.18	pañcamāny ūrū
1.1.19	ṣaṣṭhāni jaṅghe
1.1.20	pādāv ity eke
1.1.21	evam araṇī sarvair aṅgaiḥ saṃpūrṇe bhavataḥ
1.1.22	yac chīrṣṇi manthati śīrṣaktimān yajamāno bhavati
1.1.23	yad grīvāyāṃ vepano 'yaṃ nirmanthet
1.1.24	yad udare 'nārabdho 'sya yajño bhavati
1.1.25	ūrū rakṣasāṃ yonir jaṅghe pādau piśācānāṃ śroṇī devānāṃ yoniḥ
1.1.26	tasmāc chroṇyām eva prathamaṃ manthet
1.1.27	mūlād aṣṭāṅgulaṃ parityajyāgrāc ca dvādaśāṅgulaṃ pārśvatas trīṇi trīṇy aṅgulāni prathamamanthane
1.1.28	evaṃ prajananaṃ kurvīta
1.1.29	uttarāraṇer aṣṭāṅgulayuktināhaṃ yathāyogapariṇāhaṃ pramanthaṃ chittvā manthamūle saṃdhatte
1.1.30	tena sahitaḥ ṣaḍviṃśatyaṅgulāyato mantho bhavati
1.1.31	tathā chidram iti
1.1.32	uttānā prākśirā araṇis tathā vediḥ
1.2.1	gṛhe saumye paścimapūrvāyatāṃ tathānuvaṃśāṃ pūrvadakṣiṇayor dvārayutām agniśālāṃ kalpayaty asthiromakeśāṅgāratuṣakāṣṭhāśmaloṣṭapipīlikādīn varjayitvā mṛdā śuddhayā
1.2.2	paścime bhūr iti gārhapatyāyatanaṃ rajjvāṣṭādaśāṅgulyā vṛttaṃ bhrāmayitvāṣṭāṅgulonnataṃ sthaṇḍilaṃ kṛtvā paritaś caturaṅgulivistāraṃ hitvā madhye ṣaḍaṅgulaṃ nimnaṃ khanati
1.2.3	śiṣṭaṃ tad ūrdhvamekhalā syāt
1.2.4	tatparigatāṃ caturaṅgulivistāronnatām adhomekhalāṃ karoti
