1.1.1	When one is about to offer a sacrifice with the New-Moon or Full-Moon oblation,
1.1.2	he prepares a covering for the oblation beforehand.
1.1.3	In one day or two days, according to the season.
1.1.4	Now there is a Vedic text:
1.1.5	"One anoints with curds for Indra's sovereignty, and anoints the Agnihotra leftovers for the continuity of the sacrifice."
1.1.6	If he does not know whether the moon is full or not, he lays down the fires in accordance with the moon.
1.1.7	He lays down three pieces of wood on the Garhapatya, three on the Anvāhāryapacaniya, and three on the Āhavanīya.
1.1.8	They collect the wood.
1.1.9	They perform the rites of the Upavasatha.
1.1.10	Then for him who has undertaken the vow, he cuts off a leaf-branch, facing east or north, or wherever he may know.
1.1.11	He cuts it off saying, "For you who are in the east or north, for you who are in many leaves and many branches, for you who have dry tips."
1.1.12	With that he drives away the calves, saying, "Stand in the wind, stand in the wind."
1.1.13	Then the god Savitr sends forth these mothers. May he direct you to the best deed. Nourish yourselves. O ye goddesses, the share of the gods, ye who are full of strength, full of milk, full of offspring, free from disease, free from sickness, may no thief injure you. May no evil-speaking, the curse of Rudra, encompass you.
1.1.14	"May the cows be firmly settled in this cowherd." Thus he looks at the sacrificer.
1.1.15	Then having taken this branch towards the east of the Ahavaniya fire, having led it through the eastern door, having placed it towards the south of the Garhapatya fire, having covered it in the northern half of the Agni-house, he says, "Protect the sacrificer's cattle." If he places it thus.
1.1.16	If he does not place it, it becomes the step of the sacrificial grass.
1.2.1	Then standing behind the Garhapatya, he takes up the wooden sword or the stone, saying, "For the deity Savitr, for the impulse of Savitr, with the arms of the Asvins, with the hands of Pusan, I take thee."
1.2.2	Taking it, he recites, "Thou art the sound of the sacrifice."
1.2.3	He cooks on the Garhapatya, thrice with the formula, "The Rakshas is repelled, the evil spirits are repelled."
1.2.4	Then he goes to the Ahavanīya with the verse, "The mind has gone to the auspicious place, the seat is prepared by Manu, established by Svāhā. The sages carry it forward, the most agreeable to the gods."
1.2.5	He looks towards the altar with the verse, “May the seat be here.”
1.2.6	Then he goes to that direction where he thinks he will find the sacrificial grass.
1.2.7	He takes up a bundle of darbha grass, as much as he thinks is sufficient for the pressing stone, saying, "Thou art the covering of the gods."
1.2.8	Then he sweeps it upwards, saying, "You are the growth of the year."
