1.1.1	We shall explain the Darśa-Pūrṇamāsa sacrifices.
1.1.2	One who is going to perform the New-Moon sacrifice or the Full-Moon sacrifice should have the milk for the oblation milked on the previous day, either from one or two cows.
1.1.3	Or, having had the milk milked in a hidden place for two or three days before, he anoints it with hidden curd.
1.1.4	They are milked continuously without interruption from the day of fasting.
1.1.5	One should observe the full-moon day when the moon is full.
1.1.6	Or, one should observe it on the day after the moon is full."
1.1.7	One should observe the new-moon day when there is no moon.
1.1.8	Or, on the day after there is no moon."
1.1.9	Here is the extreme point: Whatever rites are prescribed for the full-moon or new-moon days, they are performed on both occasions.
1.1.10	One should wear the sacred thread over the right shoulder for divine rites.
1.1.11	One should wear it over the left shoulder for rites to the ancestors.
1.1.12	One should perform divine rites facing east or north, clockwise.
1.1.13	One should do rites to the ancestors facing west or south, counterclockwise.
1.1.14	One should not turn away from one's dwelling.
1.1.15	One should neither cover oneself with a ritual object nor cover another with it.
1.1.16	One should approach from the north.
1.1.17	If the Adhvaryu were to say, "Offer anywhere," he should offer in the Ahavaniya fire with ghee.
1.1.18	If the Adhvarya were to say, "Do it!" without being instructed, the Agnidhra should be the second to do it.
1.1.19	If the Yajamana were to say, "Stand anywhere and recite the mantra," he should do it."
1.1.20	The rites are performed with one mantra.
1.1.21	The mantras prescribed at the beginning are used.
1.2.1	The beginning is in the north and the end is in the east.
1.2.2	One should perform the rites with the end of the mantra.
1.2.3	If the mantra is short, one should recite the mantra at the beginning of the rite.
1.2.4	If there is an injunction like "one offers oblations twice, one offers oblations five times," then one should offer oblations separately for each mantra.
1.2.5	Now, if one were to repeat a rite in the course of a sacrificial act, the mantra should not be repeated.
1.2.6	One should offer all oblations while burning.
1.2.7	One is about to undertake a vow, he goes to a branch.
1.2.8	A Palāśa branch or a Śamī branch.
1.2.9	The one that is east and west, the east or the west, having many leaves, many branches, and fresh tips, he cuts it, saying, "For Tisha (the constellation)."
1.2.10	He bends it down, saying, "for Urja (the constellation)," and then anoints it.
1.2.11	Then he brings it, saying, "I am bringing this east and west, endowed with nourishment and energy, having many leaves and fresh tips, for the protection of cattle.
1.2.12	With that he removes six and a half calves. "O Vāyu, be here! O Vāyu, stay here!"
1.2.13	For barley-fed calves, one should collect milk in a pot, which should be the measure of six and a half parārdhas.
1.2.14	One touches the branches.
1.2.15	The same (cow) is sent forth. "May Savitr, the god, direct you to the best act. Be ye nourished for the sacrifice to Indra, the divine portion."
1.2.16	If one is sacrificing to Mahendra, one says, "To Mahendra."
1.2.17	One touches the branch with one hand.
1.2.18	When setting out, one recites the mantra: "May the pure waters, flowing well, be drunk by you. Indra's hundred autumns of milking, may Rudra's curse surround you."
1.2.19	If one is offering to Mahendra, one says "to Mahendra."
1.3.1	"May the cows be steady in this protector," and then recites, "May there be many," turning towards the sacrificer's house.
1.3.2	He places a branch facing west in the fire-chamber or in front of the fire-chamber, saying, "Protect the animals of the sacrificer."
1.3.3	Some say, "Facing east in the rear."
1.3.4	Or, the one who knows the Adhvaryu's house becomes a householder. One should examine from the fourth rite onwards, thinking, "I will do this, I will do that." These are the Adhvaryus' houses. It is known that one who knows this becomes a householder.
1.3.5	He recites over the ladle for taking up the oblation, "Thou art the sound of sacrifice."
1.3.6	He recites over the kindling wood, "The Rakshas is repelled, the evil spirits are repelled."
1.3.7	He goes to the east or north, and brings the darbha-grass from any direction.
1.3.8	He releases the first stump, saying, "Thou art the mound of Vishnu."
1.3.9	He encloses the second one, saying, "Enclosed by the gods, thou art the one that grows with the rain."
1.3.10	He releases two or three of its (i.e. the animal's) intestines, the remaining part is the share of the cows.
1.3.11	He begins the grass-bed with the formula, "For thee in the impulse of god Savitr, with the arms of Asvins, with the hands of Pusan, I begin the grass-bed, the abode of gods."
1.3.12	He gives it at the joint with the formula, "May the grass-bed of gods not injure thee. May I not injure thee transversely. May I injure thee at the joint. May I not be injured by thee."
1.3.13	He releases the fist with the nails.
1.3.14	It becomes a ladle.
1.3.15	Some say it is the size of a thumb.
1.3.16	Some say the size of a bone.
1.3.17	Some say, the size of a ladle.
1.3.18	Others say, it is unlimited.
1.3.19	In the same way, he releases the fist with nails.
1.3.20	Whatever is left out of the scraping and pouring, he does all that.
1.3.21	Some say that the Prastara is appropriate, others say it is inappropriate.
1.3.22	Some say that the Prastāra is appropriate, others that it is inappropriate. The Prastāra is the appropriate one.
1.4.1	"The divine grass, growing with a hundred shoots, may we grow." He touches the Alavana grass.
1.4.2	"May we grow with a thousand shoots." He touches himself.
1.4.3	Then he collects it with the formula, "Protect me from the earth. I collect thee well-collected."
1.4.4	From the same (grass) he makes the sacrificial grass, either of three or five strands.
1.4.5	He encloses the sacrificial grass with the formula, “Thou art the womb of the Ayus."
1.4.6	He places it with the formula "Thou art the crest of Aditi."
1.4.7	There, this is the extreme point, where the nails do not touch each other, one should encircle them clockwise.
1.4.8	Then, where they touch each other, having encircled the quality of them counterclockwise, one should enjoin them clockwise.
1.4.9	Having placed the nail with the tip facing upwards, one places the sacrificial grass with the tip facing east on it.
1.4.10	The womb is not torn apart. He places the Prāstara on the highest layer of the fire-altar.
1.4.11	Then he binds it with the formula, "For Indra-Indrani, the binding."
1.4.12	He makes a knot with the formula, “May Pusan make a knot for you.”
1.4.13	He covers it from behind with the formula, "May it stand for you."
1.4.14	Some (cover it) from the front with the formula, 'May it stand for us.'
1.4.15	Then he begins it with the verse, "The waters have begun thee, the Asvins have begun thee, seven sages have begun thee. I begin the banner of the dawn with the rays of the sun."
1.4.16	"With the arms of Indra, I have taken thee."
1.4.17	He places it on the head with the verse, “I take thee with the head of Brihaspati.”
1.4.18	He brings it with the verse,"Follow the broad sky.
1.4.19	He places the enclosing sticks on the ground near the Ahavaniya fire, saying, "I place you on the lap of Aditi."
1.4.20	He recites the formula, "You are going to the gods," over the one that is near.
1.4.21	He places it as if it were known.
