1.1.1	We shall explain the sacrifice.
1.1.2	It is prescribed by the three Vedas.
1.1.3	The Jyotistoma sacrifice is prescribed by the Rigveda, Yajurveda, and Samaveda.
1.1.4	The Darsha-Purnnamasa sacrifices are prescribed by the Rig and Yajur Vedas.
1.1.5	The Agnihotra is prescribed by the Yajur Veda.
1.1.6	The rites are characterized by injunctions.
1.1.7	The Rig and Yajur Veda are named after mantras and Brahmanas.
1.1.8	The rules of ritual are the Brāhmaṇas.
1.1.9	The rest is Arthavāda.
1.1.10	Reproach and praise.
1.1.11	Imitation and ancient practice.
1.1.12	Mantras other than these.
1.1.13	Those used in worldly matters are not mantras.
1.1.14	Like the name of a son and the sound of a drum.
1.1.15	Mantras are for the purpose of sacrificial rites.
1.1.16	Because of the exclusion of form in worldly matters.
1.1.17	As I take your hand for good progeny, I dig this plant, O Jatavedas, for the Pitrs.
1.1.18	As instructed by the Brahmanas, the others according to their form.
1.1.19	The remaining ones are to be deposited.
1.1.20	The Dasatryas are for the purpose of wandering.
1.1.21	The Sama hymns are to be repeated in the two Pavamana stotras.
1.1.22	In the case of the ordinary (non-sacrificial) rites, the Yajus is recited silently.
1.1.23	The Veda is heard by means of the names of the rites.
1.1.24	For example, the Yajyas and Puronuvakyas of the Vajapeya.
1.1.25	The rites are performed silently with the Yajur Veda.
1.1.26	Except for the Pravara, Samvada, and Sampresha.
1.1.27	The other two are recited loudly.
1.1.28	All are performed silently.
1.2.1	In the Jyotiṣṭoma, before the Agniṣṭoma.
1.2.2	The rite which is performed for a particular purpose and is excluded from the main rite is called Ekānta.
1.2.3	The mantras prescribed at the beginning are used.
1.2.4	One should know that the eastern direction is at the beginning and the western direction is at the end.
1.2.5	One should conclude the rite with the last mantra.
1.2.6	When the rites are being performed, the following are mentioned.
1.2.7	The rites are performed with one mantra.
1.2.8	The Hōtra-syllables should be recited together.
1.2.9	Except the Yajya and Anuvākyā-syllables.
1.2.10	Where the meaning of the separate actions on a single substance is accomplished, the mantra should be recited only once.
1.2.11	As in the case of sprinkling and cutting the sacrificial post.
1.2.12	When there is a separate substance, it is repeated.
1.2.13	As in taking the clarified butter, salting, and spreading.
1.2.14	Because of the difference in meaning, the scratching mantra is repeated.
1.2.15	One should be done for the sake of others.
1.2.16	As in the case of the skull, one pours out the oblation, and the Udumbara is equal to the sacrificer.
1.2.17	The Adhvaryu performs with the Yajur Veda.
1.2.18	The Hotri with the Rig Veda.
1.2.19	The Udgata with the Sama Veda.
1.2.20	The Brahma with all (Vedas).
1.2.21	The others are characterized by speech.
1.2.22	Or because of impossibility.
1.2.23	As in the horse sacrifice and animal sacrifices.
1.2.24	Offerings are made into the Ahavaniya fire with the Juhu ladle.
1.2.25	The Upacharas are to the north. The ritual is to be performed.
