1.1.1	Now, therefore, the authority.
1.1.2	The rites are connected with fruits.
1.1.3	Because of the absence of any distinction among all.
1.1.4	Because of their capacity to begin among humans.
1.1.5	Excepting those who are deficient in limbs, who are not Brahmins, who are eunuchs, and who are Shudras.
1.1.6	Because of what is heard by Brahmins, Rajanyas, and Vaishyas.
1.1.7	And women, because of the absence of distinction.
1.1.8	And because of what is seen.
1.1.9	In the case of a chariot-maker.
1.1.10	And because it is certain.
1.1.11	Vatsa says that it is not so because of non-existence.
1.1.12	The Niṣāda-stha-pati is authorized in the Gavāmayana.
1.1.13	The Vāvakīrṇin is the sacrifice of the donkey.
1.1.14	In the worldly (rites).
1.1.15	The Pasupuroḍāśa is offered on the ground.
1.1.16	The Avadāna-homa is offered in water.
1.1.17	The Avadanam is taken from the penis.
1.1.18	In the Vedic rites, everything is done because of the purpose of everything.
1.1.19	And because of seeing.
1.1.20	Because of the non-mention of the Upaṣaṇṇa.
1.1.21	The prohibition of meat in the Adhiśraṇīya sacrifice.
1.2.1	We shall explain the sacrifice.
1.2.2	The substance, the deity, and the offering.
1.2.3	The other things are its subsidiaries, as indicated by the context and the mention of them together.
1.2.4	The Yajati-s are also without fruits, and they are subsidiaries.
1.2.5	What is the difference between Yajati and Juhuti?
1.2.6	The Yajatis are those which are performed while standing, and which are accompanied by the Vasat-call, the offering, and the Yajya and Anuvakya mantras.
1.2.7	Those who offer the Upasads, those who offer the Homa, those who offer with the utterance of "Svaha" are the Hotr priests.
1.2.8	The Brahmanas are the Adhvaryus and the Udgathas, because of the prohibition of eating by the other two.
1.2.9	And because of the sight.
1.2.10	For those who are connected with fruits, at the beginning of the rites, there is freedom, because of the desire for fruits.
1.2.11	Because there is no activity in the Agnihotra, Darsha-Paurnamasa, Dakshayana, Agrayan, and Pasu rites, which are caused by rules.
1.2.12	And some say that there is no activity even in the Soma rite.
1.2.13	And because the four months are mentioned at the beginning of the four months.
1.2.14	Because of the invariable co-mention.
1.2.15	And because of the perception.
1.2.16	Not because of the possibility of omission.
1.2.17	It may be thirty.
1.2.18	The fulfilment of the fruit in the defective is due to the distinction between the subordinate and the principal.
1.2.19	And because expiation is prescribed.
1.2.20	And it is seen thus.
1.2.21	Not because it is characterized by the Veda.
1.2.22	Expiation is at that time.
1.2.23	The extent of the Veda is seen.
1.3.1	The Vedas are the Rg, Yajur, Sama and Atharva.
1.3.2	Their sentences are those which are not in need of anything else.
1.3.3	They are mutually connected.
1.3.4	The order of them is determined by their meaning at the beginning, because of the statement of that.
1.3.5	The beginning of the rites etc. is determined by the mantras, because of the simultaneous statement.
1.3.6	Vatsya says that there is no restriction.
1.3.7	The beginning is by the teachers.
1.3.8	They are mentioned first.
1.3.9	The past is mentioned first.
1.3.10	Upamśu-prāyaga is the use of the Veda.
1.3.11	There are no Samprāśas.
1.3.12	Kausam is the sacrificial grass.
1.3.13	The size is implied.
1.3.14	The young ones are without the male.
1.3.15	He puts the young ones with the tips towards the east and the sacrificial grass with the tips towards north.
1.3.16	He puts wood with the tips towards east and the tips towards north,
1.3.17	He covers the knots towards the west.
1.3.18	The eighteen sacrificial posts are of the sacrificial trees.
1.3.19	Or twenty-one.
1.3.20	Then the sacrificial posts, according to some.
1.3.21	The unlimited offering is three crores.
1.3.22	The sacrificer makes the Veda by saying, "You are the Veda."
1.3.23	The bundle of Kusha grass, turning to the left, with knees like a calf, three times, or for the purpose of making a mound, those who desire cattle, brahminical splendour, and food, according to the number.
1.3.24	The word 'amushmat' is used in connection with the rites.
1.3.25	And it is used in the sense of 'end'.
1.3.26	The exclusion of the rites is mentioned in the context of non-application.
1.3.27	One who has performed the rites is worldly because of the connection with worldly objects.
1.3.28	The origination of the subject matter without the context is the statement without beginning because of the dependence on all qualities.
1.3.29	And because there is no distinction in the context.
1.3.30	And because of the vision.
1.3.31	The vessels are of one kind.
1.3.32	The ladle is made of Khadira wood.
