1.1.1.1	The Upacharavidhi is the Upacharavidhana.
1.1.1.2	The intervening rites are the rites of the sacrificer.
1.1.1.3	One should perform the rites, seeing four and four rites, up to the fourth rite.
1.1.1.4	One should conclude the rites with the Mantra.
1.1.1.5	One should know the end of the beginning and the end of the previous.
1.1.1.6	One who is wearing the sacred thread, following the right-hand path, and performing the rites in the eastern direction should perform the rites according to the Yajur Veda.
1.1.1.7	The rites of the new and full moon are common.
1.1.1.8	They should be performed according to the instructions.
1.1.1.9	There are four priests: the Adhvaryu, Hotṛ, Brahman, and Agnīdhra.
1.1.1.10	If there is no instruction, the Adhvaryus should perform.
1.1.1.11	When the food is eaten at the Upasads, he carries the blazing fire from the Garhapatya to the Ahavaniya.
1.1.1.12a	The gods who know the way, having known the way, find the way for the sacrifice.
1.1.1.12c	May the sacrifice be joined with the wind by the god Manaspati.
1.1.1.12	Having recited this, he cuts a branch of the vow-observant tree, either a branch of a leaf or a branch of a śamī tree, facing east or north, with many branches and many leaves, not dry at the tip, not rotten.
1.1.1.13	He cuts it, saying, "For Isha, thee!"
1.1.1.14	He smooths it, saying, "For Urja, thee!"
1.1.1.15	"He bends it, saying, "For Subhūti, thee!"
1.1.1.16	With the formula, "You are the calves," he drives away the calves with the branch, three times with the formula and three times silently.
1.1.1.17	He touches one of the driven away calves with the branch silently.
1.1.1.18	With the formula, "May god Savitr drive you with the darbha-tuft," he drives the cows.
1.1.1.19	"You are the goddesses who nourish, for the gods, for Indra, for his share." Those who sacrifice to Indra say this. "For the great Indra," say those who sacrifice to the great Indra.
1.1.1.20a	Drinking the pure water from the good vessel, a hundred cows yielding milk for Indra,
1.1.1.20c	May Rudra's curse surround you.
1.1.1.20	Thus he recites as they go.
1.1.1.21	"May the many firm ones be in this cowherd." He goes around the house of the sacrificer, reciting while looking at the sacrificer.
1.1.1.22	"Protect the sacrificer's cattle in the Agni-house or in the Agni-room." He pulls down the branch towards the back.
1.1.1.23	"By the impulse of the god Savitr," he takes up the Asīsa grass towards the north of the Garhapatya.
1.1.1.24	"Thou art the Gārhapatya," he says while standing near the Gārha patya.
1.1.1.25	"Thou art the Urvaṇtirikṣa," he says while going to the Vratya.
1.1.1.26	"The Rakṣas has been repelled," he says while burning the kindling woods in the Āhavanīya.
1.1.1.27	"He has gone to a better place," he mutters.
1.1.1.28	Having gone towards the east or north, he spreads the sacrificial grass.
1.1.1.29	"Thou are the covering of the gods," he says while spreading the Darbha grass for the Prastara.
1.1.1.30	"He touches the bunch of darbha grass with the formula, "For the praise of Visnu."
1.1.1.31	He releases it at one place with the formula, "The share of cows is released."
1.1.1.32	The remaining for the stone.
1.1.1.33	He murmurs, "May I prosper below and above."
1.1.1.34	He cuts the bunch of darbh grass with the formula "In the impulse of the divine Savitr,", taking a handful with nails.
1.1.1.35	Having covered the earth with grass, he places the Prastara.
1.1.1.36	He cuts the Darbha grass without black tips, in plenty, without shaking them.
1.1.1.37	He murmurs, "May you not injure me."
1.1.1.38	He touches the Alavas, saying, "From here may you grow as the sacrificial grass with a hundred shoots."
1.1.1.39	"We have risen with a thousand shoots." He touches himself.
1.1.1.40	"He places the reed, saying, "The womb is protected." The reed is protected. He moves it clockwise.
1.1.1.41	" "He strokes the reed three times, saying, "You are the cord of Aditi."
