1.1.1	Now we shall explain the Agnihotra.
1.1.2	A Brahmin should perform it in spring, a king in summer, a Vaishya in autumn, and a chariot-maker in the rainy season.
1.1.3	Some say all in the winter.
1.1.4	One should perform it on the new moon or full moon day in the Rohini, Krittika, Mrigashira, Punarvasu, Uttarashada, Anuradha, Shravana, Hasta, or Vishakha constellation.
1.1.5	The Brāhmaṇa has mentioned the desirable constellations under which one should perform the Agnihotra.
1.1.6	Where these three, season, constellation and festival, are found, that is auspicious.
1.1.7	In case of conflict, the constellation and the season are stronger.
1.1.8	One who is going to perform a Soma sacrifice should perform the Agnihotras under the constellation and season, not under the constellation and festival.
1.1.9	As per availability, the wood of the Ashvattha tree, which has a core of the Sami tree.
1.1.10	If one finds a Sami-core wood, a white sprout, not damaged by lightning or wind, not burnt by fire, not inhabited by many insects, not dry, not fallen, not damaged by the last born, one should go there, recite the Vaisvānara Sūkta, circumambulate it clockwise, and bow down.
1.1.11	Having cut off the eastern or northern branch, he should throw it down with the tip towards the east or north.
1.1.12	Having marked the fallen branch and the root below it as they are known, he should throw away the leaves.
1.1.13	Having cut it into two, he makes the lower one into the lower kindling-wood, having the skin on one side, dried, twenty-four inches long, eight inches wide and four inches high. And with the upper part he makes the upper kindling-wood.
1.1.14	There, the first four are the head, eyes, ears, and mouth.
1.1.15	The second four are the neck, chest, heart, and breasts.
1.1.16	The third four are the belly and so on.
1.1.17	The fourth four are the hips.
1.1.18	The fifth four are the thighs.
1.1.19	The sixth four are the shins.
1.1.20	Some say the feet are the seventh.
1.1.21	Thus, when all the limbs are complete, it becomes the fire-stirring wood.
1.1.22	When one stirs on the head, the sacrificer becomes the head-stirrer.
1.1.23	When one shakes at the neck, it is shaken.
1.1.24	When one does it at the belly, his sacrifice becomes uninitiated.
1.1.25	The thighs are the birthplace of demons, the shanks and feet are the birthplace of ghosts, the hips are the birthplace of the gods.
1.1.26	Therefore, one should first churn in the vagina.
1.1.27	Abandoning eight fingers from the root and twelve fingers from the tip, three fingers on each side, for the first churning.
1.1.28	One should perform this way for procreation.
1.1.29	Having cut the churning-stick of eight fingers in length, he joins it at the root of the churning-stick.
1.1.30	Together with that, the churning-stick becomes twenty-six fingers long.
1.1.31	Similarly, the hole.
1.1.32	The churning-stick is placed with its head towards the east, and the sacrificial altar is also so.
1.2.1	In his own house, he should construct a fire-room, facing west and east, with two doors in the east and south, excluding hair, nails, ashes, chaff, wood, stone, clay, ants, etc., using pure clay.
1.2.2	In the west, having drawn a circle of eighteen inches with a rope, having made a mound eight inches high, and having left four inches on all sides, he digs a hole six inches deep in the middle.
1.2.3	The remaining part should be the upper border.
1.2.4	He makes the lower girdle, which is four fingers wide and high.
