1.1.1.1	In the performance, the benefit of the man and the knowledge of the sacrifice.
1.1.1.2	We shall explain that.
1.1.1.3	First, one should recite the censure of all Dharma.
1.1.1.4	The sacrifices of Brahmins, Kshatriyas, Vaishyas, and Rathkaras.
1.1.1.5	The Iṣṭi and Agni-installation of the Niṣāda and Sthapati.
1.1.1.6	The Adhvaryu performs with the Yajur Veda, the Hotṛ with the Ṛg Veda, the Udgātṛ with the Sāma Veda, and the Brahman with all.
1.1.1.7	The Rgveda and the Samaveda are recited loudly, the Yajurveda is recited softly, and the instructions are given loudly.
1.1.1.8	The rule of sound is that the sound of the Rgveda and Samaveda is loud, the sound of the Yajurveda soft, and the instructions loud.
1.1.1.9	One should perform the rites facing east, looking towards the fourth rite.
1.1.1.10	The rites are performed facing north.
1.1.1.11	One should not perform the rites with one's own body.
1.1.1.12	One should turn away from the rites.
1.1.1.13	The internal ones are the parts of the sacrifice, the external ones are the performers.
1.1.1.14	And the performers, the principal performers are internal, the others are external.
1.1.1.15	One should perform rites with the sacrificial thread, rites for the ancestors with the thread hanging down, and rites for the gods after bathing.
1.1.1.16	One should combine the rites with the mantra at the end.
1.1.1.17	One should know the beginning of the previous one with the beginning of the subsequent mantra.
1.1.1.18	Because of the mention of the limbs in the order of their performance, the order of the limbs is determined by the order of their mention. The order of the sacrifices is determined by the sequence of their injunctions.
1.1.1.19	Ghee is denoted by the word "ajya". The wife is denoted by the words "patni" and "juhu". The Ahavaniya fire is denoted by the term "homa".
1.1.1.20	Gold is denoted by the terms "hiranya" and "jatarupa".
1.1.1.21	The offering of oblations and the pouring of libations are done in the Garhapatya fire.
1.1.1.22	The carrying of the embers from the Dakshina fire is done.
1.1.1.23	Brahmanas, priests, and young men of the Brahmana caste, who are great and have many children.
1.1.1.24	The injunction to offer oblations with a ladle indicates that one should offer oblations.
1.1.1.25	Placing clarified butter on the Garhapatya fire.
1.1.1.26	Encircling with fire, sweeping, rubbing the ladle and spoon, spreading, and sprinkling the Ahavaniya fire.
1.1.1.27	The offering with a ladle is done silently.
1.1.1.28	It is not dependent on the sky.
1.1.1.29	One should offer while seated, with the knees bent, and ending with the utterance of "svāhā".
1.1.1.30	The five-versed hymn of the Jamadagnis and the four-versed hymn of others, having addressed the Jamadagni, the non-Jamadagni should be five-versed.
1.1.1.31	With the two fingers of the flesh-joint and the thumb, he should offer the Puròdasha; with the ladle, the ghee and milk; with the spoon, the meat; with the Svàdhiti, the animal; with the Darbha, the Soma.
1.1.1.32	He offers to the deities as prescribed with the oblations, and the others with ghee.
1.1.1.33	One should perform the rites for the Dhruva with ghee.
1.1.1.34	Having placed the clarified butter, one should take portions of the oblation and pour clarified butter over it.
1.1.1.35	Having taken portions and poured clarified butter over it, one should pour clarified butter over the Dhruva ladle until the Svishtakrit ladle.
1.1.1.36	From the ladle for clarified butter, the Dhruva.
1.1.1.37	The portions should be the size of the knuckle of the thumb.
1.1.1.38	More for the Svishtakrt, more for the Ida.
1.1.1.39	Having taken out the middle portion of the oblation, he should offer the second portion from the first half of the oblation. From the last half of the fourth portion, he should offer a third portion. From the last portion of the fifth portion, he should make an offering.
1.1.1.40	From the first half, he should offer first portion to the eldest son, or to the son of the eldest son, who has lost his wealth.
1.1.1.41	The second portion to the youngest son, or to a son of the youngest son, who is desirous of prosperity.
1.1.1.42	At the Svishtakrit offering, he should offer all the oblations in the northern half, once for each of the four oblations and twice for each of the five oblations.
1.1.1.43	He should pour twice.
1.1.1.44	Where there are invocations, there are unheard and heard, four oblations and five oblations. Here, the oblations are offered once for each of them.
1.1.1.45	One should cross to the right by the right (foot) and to the left by the left (foot).
1.1.1.46	Having taken the Graha, or having taken it, he goes around on the right side, and instructs (the Hotr) to recite the Anuvāka, according to the deity, for the two Ajyās.
1.1.1.47	Having recited the Anuvākas, he becomes silent, from the time of the invocatory call, and when the Agnidhra has been heard, and when the Adhvaryu has been heard, he should say, "Recite, recite."
1.1.1.48	At the end of the Anuvākyā, the Hotṛ places the Praṇava. The Adhvaryu places it with the Praṇava in the Anuvāka.
1.1.1.49	"The Adhvaryu says, "O, listen!" The Agnidhra says, "Let it be heard!" Standing to the north, having taken up the wooden sword and the bundles of grass, he says,"
