1.1.1	Now, we shall explain the Darsha-Pūrnamāsa sacrifices.
1.1.2	Having offered the Agnihotra in the morning, one should take out another fire for the Ahavanīya and then offer the Agnihotra in it.
1.1.3	One who has not received the Agnihotra offerings should not take out another fire.
1.1.4	The gods, knowing the path, have found the path with the lord of mind. The sacrifice has been joined with the wind. Having recited this, he says, "May my radiance be in disputes." He kindles the Ahavaniya with the Uttarā verse, the Garhapatya with the Uttarī verse, and the Anvāhāryapacana with the Uttarīya verse.
1.1.5	With three or three verses.
1.1.6	The best (kind of) oblation should be offered in the Ahavaniya fire.
1.1.7	Some people mention the Anvadhana (kindling) with the Vyahrtis.
1.1.8	He places a Palasha branch or a Sami branch, having many leaves and many branches, with its tip not dried up and not rotten.
1.1.9	If one desires of a person, "May he be without cattle," one should bring him a leafless one, with dry tips. He becomes without cattle. If one desires of him, "May he have cattle," one should fetch him a leaf with many branches. It is known that he makes him have cattle.
1.1.10	She who is east or north or northeast, one cuts her with the formula, "For the pressing, for the pressing."
1.1.11	Or, he cuts (the grass) with the formula, "To the form thee!" and bends it with the formula, “To the strength thee!” He then smoothens it.
1.2.1	He carries it with the formula: "I carry the grass, the eastern, the western, the grass and strength, well-prepared, having many leaves, not dry at the tip, for the protection of cattle."
1.2.2	With the formula, "O Vayu, be thou here! O Vayu, be here!" he removes the calves, six and a half in number.
1.2.3	With darbha grass or darbha-grass-broom.
1.2.4	"He sends the cows to graze, with the formula, "May Savitr, the divine, lead you."
1.2.5	He touches one of the cows going to graze with a branch, with darbha grass or with a darbha-grass broom.
1.2.6	Some recite the formula, "Grow, O harmless ones, for Indra, the divine share." Some recite, "For Mahendra."
1.2.7	One should identify Indra in the Vedas, those who sacrifice to Indra, and Mahendra in those who sacrifice to Mahendra.
1.2.8	"The pure waters are drinking from the good well, giving a hundred autumns to Indra, the curse of Rudra may protect you." One who is setting out recites this.
1.2.9	"May the cows be firm in this protector, may they be many." One who is going around the house of the sacrificer recites this.
1.2.10	"Protect the animals of the sacrificer!" He places a branch facing east in front of the fire or in the fire-chamber, or a branch facing west behind.
1.2.11	One who knows the house of the Adhvaryu becomes a householder. One should examine from the fourth rite onwards: "I shall do this, I shall do that." These are the houses of the Adhvaryu. One who knows this becomes a householder. This is known.
1.3.1	The axe and the wooden mallet are placed north of the Garhapatya.
1.3.2	"With the impulse of the divine Savitr" (he says) while giving the horse-scraper. Silently he gives the bull-scraper.
1.3.3	"You are the sound of the sacrifice" (he says), having recited the Garhapatya, he says, "The Rakshas is repelled, the evil spirits are repelled" while scraping the Garhapaty and the Ahavaniya.
1.3.4	He does not scrape the scraper.
1.3.5	Having said, "He has gone to the beloved," one should proceed towards the eastern or northern direction, and bring darbha grass from wherever it is available.
1.3.6	One should scatter darbha grass, saying, "You are the covering of the gods."
1.3.7	One should release a single stalk of darbha grass for those who are desired, saying, "This is the mound of Vishnu."
1.3.8	Having sprinkled one tree, he gives it all.
1.3.9	Having released the share of cows, he releases one, two or three channels.
1.3.10	Having sprinkled the released ones, he touches them, saying, "This is for the gods." Having released them, he touches them saying, "This for the cattle."
1.3.11	"With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I spread the sacrificial grass, the abode of the gods." Thus one spreads the sacrificial grass on the Visakha grass.
1.3.12	"May the gods protect thee from above, from below." Thus one binds it.
1.3.13	"May I be thy support." Thus one places the grass.
