1.1.1	Now we shall explain the application of the rules of this Veda.
1.1.2	The rites beginning with the installation of fire are prescribed in the Veda.
1.1.3	But we shall first explain the Darsha-Pūrnamāsa sacrifices, because they are mentioned in the Tantras.
1.1.4	At the Darśa-Pūrṇamāsa sacrifices, when the oblations are near, the Hotṛ priest, having been requested, stands facing east, away from the Āhavanīya fire, facing east, with the sacred thread on the right shoulder, performs Ācamana, and proceeds to the Vihāra, turning to the right, with the heap of grass on the east and the Prāṇītā on the west.
1.1.5	The kindling wood is on the west of the Prāṇitā.
1.1.6	The Chaitvāla is like the Chaitvāla.
1.1.7	This is called the Tīrtha.
1.1.8	His actions are always directed towards the east.
1.1.9	And he wears the sacred thread.
1.1.10	And he is pure.
1.1.11	And he does not turn away from his dwelling place, if there is an act there.
1.1.12	If there is a statement of one part, one should understand the right.
1.1.13	If there are no instructions,
1.1.14	In the injunction of an act, the Hotr.
1.1.15	The one who gives is the Yajamana.
1.1.16	In the expiation of Hoti and Japi, the Brahman.
1.1.17	The Rk is to be taken in the case of a foot.
1.1.18	The Sūkta is to be taken at the beginning of the Sūkta, if there is a deficiency in the foot.
1.1.19	If there is an excess, the Trivṛt is to be taken everywhere.
1.1.20	Recitation, invocation, nourishment, and attendance are to be done in a low voice.
1.1.21	Mantras are to be used in performing rites.
1.1.22	By implication, the exception is stronger.
1.1.23	Having placed the heel of the foot which is raised higher, on the upper part of the altar, having placed the foot evenly on the ground, having stepped on the sacrificial grass with the other foot, holding the hands together, looking at the junction of heaven and earth, with fingers pointing upwards, measuring the size of the heart or the size of the elbow.
1.1.24	This is the place of the Hotṛ.
1.1.25	Or, everywhere, one should sit in this way.
1.1.26	Other than what is said.
1.1.27	One who is sent recites.
1.2.1	Obeisance to the speaker, obeisance to the observer, obeisance to him who proclaims. Who will proclaim this? He will proclaim this. May the six seasons, the three worlds, the sky and the earth, the day and the night, the water and the plants, and speech protect me. The sacrifice is established in the right places. I take refuge in the good metres. "He should say, "I am myself, he is himself." His own name should be mentioned. "May he be in the future, may he be born, may he be about to be born." "I carry the unpurified speech." Having drawn back the tips of the fingers, he should say, "May the fire god delight the animals in me." "May the sky and the Earth be my armour, may Agni be my armour, and may the Sun be my armour. May the animals be my armour. This is the first speech of mine today."
1.2.2	Having completed the Sāmidhenī verses, he recites.
1.2.3	He recites "Bhūr Bhuvah Svaḥ Om" after uttering "Him".
1.2.4	This is the Abhihiṃkāra.
1.2.5	Having recited "Bhūr Bhuvaḥ Svaḥ" alone, Kautsah recites "Him".
1.2.6	He does not recite the earlier recitation.
1.2.7	Then the Sāmidhenī verses: "O ye Vājas, come to us, O Agni, come to our sacrifice, O Agni, the singer, worthy of praise, the worshipper, we choose thee as our messenger, Agni, as thou art kindled at the sacrifice, Agni, the kindled, the offered." These two verses are to be recited together.
1.2.8	One should recite them together.
1.2.9	The highest proximity is the similarity of sound of the Udātta, Anudātta and Svarita.
1.2.10	Having made the Oṃkāra ending with the vowels and beginning with the Rg, ending with the M-sound, and having three measures, one should place it in the northern half of the verse, continuously.
1.2.11	This is the end.
1.2.12	The northern recitation is without confusion.
1.2.13	At the end, the end is made with the Pranava.
1.2.14	The end has four measures.
1.2.15	The attainment of its end.
1.2.16	Among the touches, the supreme of one's own class.
1.2.17	The nasal sounds are to be used in the middle of the words.
1.2.18	The anusvara is to be used in conjunction with the Re and Uṣma sounds.
1.2.19	The first and last syllables are to be repeated three times, with the middle syllable being omitted.
1.2.20	After reciting the middle syllable, one should omit it.
1.2.21	The first syllable is to be repeated twice, followed by the last syllable, then the middle syllable.
1.2.22	These are the fifteen repetitions.
1.2.23	With this mantra, the offerings, the recitation of the Veda, the recitation of mantras, the chanting, and the praise are performed.
1.2.24	But not elsewhere, except for half a verse. Recitation is not done before the recitation of the Abhihinnakaras. The practice of Abhihinnakaris is not done in many places by nature.
1.2.25	Not in the beginning of the Avaccheda.
1.2.26	The Abhihinnakarah is only in the weapons of the Hotrkaras.
1.2.27	In the Agni Mahamasah Brāhmaṇabhāratīti Nigada Avāsaya with the last Pranava of the Samidhenis.
1.3.1	He chooses the priests of the sacrificer, as many as there are.
