1.1.1	We shall explain the (Vedic) sacrifice.
1.1.2-3	It appeṛtains to the three orders: the brāhmaṇa, the kṣatriya and the vaiśya.
1.1.4	What is prescribed without specification (in this book), is applicable to all.
1.1.5	When a specification is given, it differs.
1.1.6-7	During acts which refer to the Gods, the performer wears his upper garment over his left shoulder, over his right shoulder during acts which refer to the Fathers.
1.1.8-9	From the sipping of water onwards, he should not free (lit. separate) himself from the rite in which he is engaged; nor go away in between.
1.1.10-11	So is the specification about the mode of turning round (?).
1.1.12	It (viz. the sacrifice and the place of its performance) is approached from the left (or from the north side).
1.1.13-14	Acts peṛtaining to the Gods have the east as the norm, and those peṛtaining to the Fathers have the south as the norm.
1.1.15	The rule is that the Ṛgvedin should be seated. When the hotṛ and his assistants recite from the Ṛgveda, he should be seated.
1.1.16	Only if it is expressly stated, he should stand.
1.1.17	Moreover the hotṛ should perform what is not assigned (in this book) (to any other) assistant of his.
1.1.18	In groups of three or more than three verses, the first and last must be recited thrice; except the muttering.
1.1.19-20	Moreover (in the recitation of such verses), at the place of the last syllable immediately after its first consonant, the lengthened sound o of three moras, either pure (i.e. unmodified, not nasalized), or ending in the sound m (should be inserted).
1.1.21	This is called the prāṇava (the ‘humming’).
1.1.22	At the pause (the prāṇava) ending in m (is inserted) in all groups of verses, including the puronuvakya (invīting-verses).
1.1.23	Connecting by means of this (pure prāṇava) the first half-verse or quarter-verse of the following verse he makes a pause. This (mode of reciting) is called saṃtata (‘connected’).
1.1.24	This is the practice for all groups of verses, which are prescribed in connection with an act.
1.1.25	Even in acts which are far distant from each other he (the hotṛ) awaits, for the sake of connecting, between the first verse and the concluding verse with the half-verse (until the recitation is finished),
1.1.26	and the verses are resolved into (lit. follow the rule of) half-verses,
1.1.27	except when otherwise stated.
1.1.28	The verses of the Ṛgveda are recited in a loud voice.
1.1.29	When it is expressly stated they are whispered.
1.1.30-31	For the words the rule prevails that they have the same pitch and are mono-tonic.
1.1.32-35	The prāṇava is uttered on a higher pitch of the voice than the puronuvakya, the yājya on a higher pitch of voice than the prāṇava, the vaṣaṭ call is uttered either on a higher pitch than the yājya or on the same.
1.1.36	The prāṇava, the formula ye yajāmahe, the vaṣaṭ call, the sampraiṣas, the praiṣas are uttered loudly at the whispered offerings.
1.1.37	The name of the deity is also whispered at the places of their insertion.
1.1.38-39	The words bhūḥ, bhuvaḥ are to be muttered before (the yājya); and the (following) four ye yajāmahe, vausad, ojah sahah saha ojah, svaḥ at the end of all yājyas.
1.1.40	In the anuyājas, on the contrary, the formula ye yajāmahe is not found.
1.1.41	Neither at the second vaṣaṭ call (anuvaṣaṭkāra).
1.1.42-43	The vaṣaṭ call is connected with the yājya verse, of which the last syllable is either lengthened or not lengthened.
1.1.44	This (lengthening) is not applied at a whispered offering.
1.2.1	He should lengthen the syllable ā of the formula used for invīting the deity.
1.2.2	The formula ye yajāmahe is lengthened in the initial (syllable), before the yājyas.
1.2.3	Of four moras is the lengthening at the (Vedic) sacrifice.
1.2.4-5	Of diphthongs the two palatals (e,ai) become (in pluti) i3i, the two labials (o, au) become ā3u.
1.2.6	The other vowels remain unchanged,
1.2.7	and e and o, if they are pragṛhya.
1.2.8	at the end of a yājya verse.
1.2.9	The burring (riphita) visaṛga becomes r.
1.2.10	The non-burring visaṛga is dropped.
1.2.11	The sound m becomes anusvāra.
1.2.12	The other consonants (or syllables?) remain unchanged.
1.2.13-14	The sound au in the vaṣaṭ call and a following ṣ (in the same word) are of four moras;
1.2.15	or both the sounds remain unchanged.
1.2.16	or only the first (remains unchanged).
1.2.17	According to Jātūkarṇya, (only) the sound a remains unchanged:
1.2.18	he should utter the vaṣaṭ call in accordance with bṛhat and rathantara, long in the beginning, short in the end.
1.2.19	After the formula ye yajāmahe the deity should be indicated in (the rite) which is accompanied by a puronuvakya.
1.2.20	But it is not so in a (rite) to which belongs a praisa.
1.2.21	When the term ‘he pours out’ (juhoti) is used, melted and clarified butter (ghee) is to be understood (as the object).
1.2.22-23	The word svaḥa (is to be added) at the end of mantras used for offering (i.e. pouring out ghee) and of those used for putting the fuel sticks in the fire.
