#Text:Āpastambaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto darśapūrṇamāsau vyākhyāsyāmaḥ
1.1.2	prātar agnihotraṃ hutvānyam āhavanīyaṃ praṇīyāgnīn anvādadhāti
1.1.3	na gataśriyo 'nyam agniṃ praṇayati
1.1.4	devā gātuvido gātuṃ yajñāya vindata / manasaspatinā devena vātād yajñaḥ prayujyatām iti japitvā mamāgne varco vihaveṣv astv ity āhavanīyam upasaminddhe / uttarayā gārhapatyam uttarayānvāhāryapacanam
1.1.5	tisṛbhistisṛbhir vā
1.1.6	uttamāṃ tu japed āhavanīye vādadhyāt
1.1.7	vyāhṛtībhir anvādhānam eke samāmananti
1.1.8	saṃnayataḥ palāśaśākhāṃ śamīśākhāṃ vāharati bahuparṇāṃ bahuśākhām apratiśuṣkāgrām asuṣirām
1.1.9	yaṃ kāmayetāpaśuḥ syād ity aparṇāṃ tasmai śuṣkāgrām āhared apaśur eva bhavati / yaṃ kāmayeta paśumān syād iti bahuparṇāṃ tasmai bahuśākhām āharet paśumantam evainaṃ karotīti vijñāyate
1.1.10	sā yā prācy udīcī prāgudīcī vā bhavatīṣe tvorje tveti tām ācchinatti
1.1.11	api veṣe tvety ācchinatty ūrje tveti saṃnamayaty anumārṣṭi vā
1.2.1	imāṃ prācīm udīcīm iṣam ūrjam abhisaṃskṛtāṃ bahuparṇām aśuṣkāgrāṃ harāmi paśupām aham ity āharati
1.2.2	vāyava sthopāyava stheti tayā ṣaḍavarārdhyān vatsān apākaroti
1.2.3	darbhair darbhapuñjīlair vā
1.2.4	devo vaḥ savitā prārpayatv iti śākhayā gocarāya gāḥ prasthāpayati
1.2.5	prasthitānām ekāṃ śākhayopaspṛśati darbhair darbhapuñjīlair vā
1.2.6	āpyāyadhvam aghniyā indrāya devabhāgam ity eke samāmananti / mahendrāyety eke
1.2.7	indraṃ nigameṣūpalakṣayed indrayājino mahendraṃ mahendrayājinaḥ
1.2.8	śuddhā apaḥ suprapāṇe pibantīḥ śatam indrāya śarado duhānāḥ / rudrasya hetiḥ pari vo vṛṇaktv iti prasthitā anumantrayate
1.2.9	dhruvā asmin gopatau syāta bahvīr iti yajamānasya gṛhān abhiparyāvartate
1.2.10	yajamānasya paśūn pāhīty agniṣṭhe 'nasy agnyagāre vā purastātpratīcīṃ śākhām upagūhati paścātprācīṃ vā
1.2.11	yo vā adhvaryor gṛhān veda gṛhavān bhavati / ā caturthāt karmaṇo 'bhisamīkṣetedaṃ kariṣyāmīdaṃ kariṣyāmīty ete vā adhvaryor gṛhāḥ / ya evaṃ veda gṛhavān bhavatīti vijñāyate
1.3.1	uttareṇa gārhapatyam asido 'śvaparśur anaḍutparśur vā nihitā
1.3.2	devasya tvā savituḥ prasava ity asidam aśvaparśuṃ vādatte tūṣṇīm anaḍutparśum
1.3.3	yajñasya ghoṣad asīti gārhapatyam abhimantrya pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātaya ity āhavanīye gārhapatye vāsidaṃ pratitapati
1.3.4	na parśum
