#Text:Śāṅkhāyanaśrautasūtra
#Edition:Hillebrandt 1885–1899 (Reprint 1981)
#Data entry:M. Tokunaga
#Notes:Text of the edition restored by S. Sellmer; only l has been changed to ḍ where appropriate. Translation (Caland) completely aligned. Footnote positions are corrected, but the footnotes themselves are not. Some chapters in Book 14 are only summarized by Caland and thus not included in the translation.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
1.1.2	sa trayāṇāṃ varṇānām
1.1.3	brāhmaṇakṣatriyayor vaiśyasya ca
1.1.4	asaṃyujya vidhīyamānaṃ sādhāraṇam
1.1.5	saṃyogād vyavatiṣṭhate
1.1.6	yajñopavītī devakarmāṇi karoti
1.1.7	prācīnāpavītī pitryāṇi
1.1.8	ācamanaprabhṛti yenādhikaraṇena saṃyujyeta na tena vyāvarteta
1.1.9	na ca vyaveyāt
1.1.10	ity āvṛtāṃ lakṣaṇā
1.1.11	uddeśaḥ
1.1.12	uttarata upācāraḥ
1.1.13	prāṅnyāyāni devakarmāṇi
1.1.14	dakṣiṇānyāyāni pitryāṇi
1.1.15	āsīnanyāyaṃ bāhvṛcyam
1.1.16	vacanāt sthānam
1.1.17	hotā ca kuryād anādiṣṭam
1.1.18	triprabhṛtiṣvṛg ganeṣu prathamottamayos trir vacanam anyatra japebhyaḥ
1.1.19	uttamasya ca cchandomānasyordhvam ādivyañjanāt sthāne oṃkāraḥ plutas trimātraḥ śuddhaḥ
1.1.20	makārānto vā
1.1.21	taṃ praṇava ity ācakṣate
1.1.22	avasāne makārāntaṃ sarveṣv ṛggaṇeṣu sapuronuvākyeṣu
1.1.23	tenārdharcam uttarasyāḥ saṃdhāyāvasyati pādaṃ vā tat saṃtatam ity ācakṣate
1.1.24	sa sarveṣām ṛggaṇānāṃ dharmo ye karmasaṃyogena codyante
1.1.25	vidūreṣv api karmasv antareṇa prathamāṃ paridhānīyāṃ ca saṃtānārtho 'rdharcena kāṅkṣati
1.1.26	ardharcanyāyāś ca rcaḥ
1.1.27	vacanād anyat
1.1.28	uccairnyāyaś cargvedaḥ
1.1.29	vacanād upāṃśutā
1.1.30	saṃsvāranyāyatā ca śabdānām
1.1.31	aikasvaryaṃ ca
1.1.32	uccaistarāṃ praṇavaḥ puronuvākhyāyāḥ
1.1.33	praṇavād yājyoccaistarām
1.1.34	uccaistarāṃ vaṣaṭkāraḥ
1.1.35	samo vā
1.1.36	praṇavo yeyajāmaho vaṣaṭkāraḥ saṃpraiṣāḥ praiṣāś coccair upāṃśu haviḥṣu
1.1.37	devatāṇām adheyaṃ copāṃśu nigamasthāneṣu
1.1.38	bhūr bhuva iti purastāj japaḥ
1.1.39	ye yajāmahe vauṣaḍ ojaḥ sahaḥ saha ojaḥ svar ity upariṣṭād iti catuṣṭayaṃ sarvāsu yājyāsu
1.1.40	anuyājeṣu tu yeyajāmaho nāsti
1.1.41	anuvaṣaṭkāre ca
1.1.42	plutena yājyāntena vaṣaṭkārasya saṃdhānam
1.1.43	aplutena vā
1.1.44	tad upāṃśuyāje nāsti
1.2.1	plāvayed ākāram āvāhanam
1.2.2	yeyajāmahaḥ plutādiḥ purastād yājyānām
1.2.3	catur mātrā yājñikī plutiḥ
1.2.4	saṃdhyakṣarāṇāṃ tālusthāne ā3ikārībhavataḥ
1.2.5	oṣṭhyasthāne ā3ukārībhavataḥ
1.2.6	anyāni prakṛtyākṣarāṇi
1.2.7	ekāra okārau ca pragṛhyau
1.2.8	yājyānte
1.2.9	visarjanīyo riphito repham āpadyate
1.2.10	lupyate 'riphitaḥ
1.2.11	anusvāraṃ makāraḥ
1.2.12	anyāni prakṛtyā vyañjanāni
1.2.13	aukāro vaṣaṭkāre catur mātraḥ
1.2.14	ṣakārāc cottaro 'kāraḥ
1.2.15	prakṛtyā vobhau
1.2.16	pūrvo vā prakṛtyā
1.2.17	prakṛtyākāra iti jātūkarṇyaḥ
1.2.18	bārhatarāthantaraṃ vaṣaṭkuryāt purastād dīrgham upariṣṭād dhrasvam
1.2.19	upariṣṭāc ca yeyajāmahād devatādeśanaṃ sapuronuvākhye
1.2.20	sapraiṣe tu na vidyate
1.2.21	juhotīty ukte sarpiḥ prīyeta
1.2.22	svāhākāro 'nte homamantrāṇām
1.2.23	samidādhānamantrāṇāṃ ca
1.2.24	mantrapṛthaktvāt karmapṛthaktvam
1.2.25	itikaraṇaś ca mantrānte
1.2.26	mantrāntena karaṇeṣu karmaṇaḥ saṃnipātanam
1.2.27	saṃpreṣito 'nvāha
1.2.28	tathā yajati
1.2.29	ity etat sārvayajñikam
1.3.1	upoṣya paurṇamāsena haviṣā yajate
1.3.2	tathāmāvāsyena
1.3.3	dve paurṇamāsau
1.3.4	amāvāsye ca
1.3.5	yāṃ paryastamayaṃ pūrṇa udiyād yāṃ cāstamite te paurṇamāsyau
1.3.6	śvo na draṣṭeti yad ahaś ca na dṛśyeta te 'māvāsye
1.3.7	tatrejyāyāṃ yāthākāmī
1.3.8	iti paurṇamāsyām ity amāvāsyāyām ity upadeśād vyavatiṣṭhante
1.3.9	tatsaṃyuktāś ca śabdāḥ
1.3.10	samānam anyat
1.3.11	ubhayatra āgneyaḥ puroḍāśaḥ
1.3.12	agnīṣomīya upāṃśuyajaḥ
1.3.13	vaiṣṇavo vā
1.3.14	agnīṣomīyaś ca puroḍāśaḥ paurṇamāse haviṣi
1.3.15	aindrāgno 'saṃnayato dvitīyo 'māvāsyāyām
1.3.16	aindraṃ sāṃnāyyaṃ saṃnayataḥ
1.3.17	māhendraṃ vā
1.3.18	vaiṣṇavaṃ tv asaṃnayann upāṃśuyājam
1.4.1	āmantrito hotāntareṇotkaraṃ praṇītāś ca pratipadya dakṣiṇena prapadena barhir ākramaṇam
1.4.2	vedyantasaṃmitā paścāt pārṣṇiḥ
1.4.3	vikramya ca sthānam
1.4.4	agnaye samidhyamānāyeti saṃpreṣitaḥ
1.4.5	kaṃ prapadye taṃ prapadye yat te prajāpate śaraṇaṃ chandas tat prapadye yāvat te viṣṇo veda tāvat te kariṣyāmi devena savitrā prasūta ārtvijyaṃ kariṣyāmi namo agnaya upadraṣṭe namo vāyava upaśrotre nama ādityāyānukyātre juṣṭām adya devebhyo vācaṃ vadiṣyāmi śuśrūṣeṇyāṃ manuṣyebhyaḥ svadhāvatīṃ pitṛbhyaḥ pratiṣṭhāṃ viśvasmai bhūtāya praśāsta ātmanā prajayā paśubhiḥ prajāpatiṃ prapadye 'bhayaṃ no astu prājāpatyam anuvakṣyāmi vāg ārtvijyaṃ kariṣyati vācaṃ prapadye bhūr bhuvaḥ svar iti japitvā
1.4.6	trir hiṃkṛtya
1.4.7	pra vo vājā ity upasaṃdhāya madhyamayā vācā
1.4.8	agna ā yāhi vītaya īḍenya iti tṛcau
1.4.9	agniṃ dūtaṃ vṛṇīmaha ity ekā
1.4.10	samidhyamāno adhvara ity ekā
1.4.11	tisraḥ sāptadaśye
1.4.12	tadanyatra sāyanābhyāṃ darśapūrṇamāsābhyām
1.4.13	samiddho agna āhuta / iti dve
1.4.14	agne mahān asi brāhmaṇa bhārateti praṇavena saṃdhāya
1.4.15	amuto 'rvāñci yajamānasya trīṇy ārṣeyāṇy abhivyāhṛtya
1.4.16	ṣaṭ tu dvigotrasya
1.4.17	purohitapravareṇābrāhmaṇasya
1.4.18	mānaveti vā sarveṣām
1.4.19	deveddho manviddha ṛṣiṣṭuto viprānumaditaḥ kaviśasto brahmasaṃśito ghṛtāhavana ity avasāya
1.4.20	praṇīr yajñānāṃ rathīr adhvarāṇām atūrto hotā tūrṇir havyavāḍ ity avasāya
1.4.21	āspātraṃ juhūr devānāṃ camaso devapāno 'rān iva agne nemir devāṃs tvaṃ paribhūr asīty avasāya
1.4.22	vyavasyann āvāhayati devatāḥ
1.5.1	āvaha devān yajamānāya
1.5.2	agnim agna āvaha somam āvahety ājyabhāgau
1.5.3	agnim āvaha agnīṣomāv āvaha viṣṇuṃ vāgnīṣomāv āvahendrāgnī āvahendram āvaha mahendraṃ vā
1.5.4	devān ājyapān āvaha
1.5.5	agniṃ hotrāyāvaha
1.5.6	svaṃ mahimānam āvaha
1.5.7	ā ca vaha jātavedaḥ suyajā ca yajety āvāhya
1.5.8	upaviśyordhvajānur dakṣiṇena prādeśena bhūmim anvārabhya japati
1.5.9	asyai pratiṣṭhāyai mā cchitsi pṛthivi mātar mā mā hiṃsīr mā modoṣīr madhu maniṣye madhu vaniṣye madhu janiṣye madhumatīm adya devebhyo vācaṃ vadiṣyāmi cāruṃ manuṣyebhya idam ahaṃ pañcadaśena vajreṇa pāpmānaṃ bhrātṛvyam avabādha iti saptadaśena vā
1.6.1	mānuṣa ity uktaḥ
