#Text:Baudhāyanaśulbasūtra
#Edition:Kashikar
#Notes:i.e. BaudhŚS 30



30.1.1	atheme 'gnicayāḥ
30.1.2	teṣāṃ bhūmeḥ parimāṇavihārān vyākhyāsyāmaḥ
30.1.3	athāṅgulapramāṇaṃ caturdaśāṇavaś catustriṃśat tilāḥ pṛthusaṃśliṣṭā ity aparam
30.1.4	daśāṅgulaṃ kṣudrapadam
30.1.5	dvādaśa prādeśaḥ
30.1.6	pṛthottarayuge trayodaśike
30.1.7	padaṃ pañcadaśa
30.1.8	aṣṭāśītiśatam īṣā catuḥśatam akṣaḥ
30.1.9	ṣaḍaśītir yugam
30.1.10	dvātriṃśaj jānuḥ
30.1.11	ṣaṭtriṃśac chamyābāhū
30.1.12	dvipadaḥ prakramaḥ
30.1.13	dvau prādeśāv aratniḥ
30.1.14	athāpy udāharanti pade yuge prakrame 'ratnāv iyati śāmyāyāṃ ca mānārtheṣu yāthākāmīti
30.1.15	pañcāratniḥ puruṣo vyāmaś ca
30.1.16	caturaratnir vyāyāmaḥ
30.1.17	caturaśraṃ cikīrṣan yāvac cikīrṣet tāvatīṃ rajjum ubhayataḥpāśāṃ kṛtvā madhye lakṣaṇaṃ karoti
30.1.18	lekhām ālikhya tasyā madhye śaṅkuṃ nihanyāt
30.1.19	tasmin pāśau pratimucya lakṣaṇena maṇḍalaṃ parilikhet
30.1.20	viṣkambhāntayoḥ śaṅkū nihanyāt
30.1.21	pūrvasmin pāśaṃ pratimucya pāśena maṇḍalaṃ parilikhet
30.1.22	evam aparasmin
30.1.23	te yatra sameyātāṃ tena dvitīyaṃ viṣkambham āyacchet
30.1.24	viṣkambhāntayoḥ śaṅkū nihanyāt
30.1.25	pūrvasmin pāśau pratimucya lakṣaṇena maṇḍalaṃ parilikhet
30.1.26	evaṃ dakṣiṇata evaṃ paścād evam uttarataḥ
30.1.27	teṣāṃ ye 'ntyāḥ saṃsargās tac caturaśraṃ saṃpadyate
30.1.28	athāparam
30.1.29	pramāṇād dviguṇāṃ rajjum ubhayataḥpāśāṃ kṛtvā madhye lakṣaṇaṃ karoti
30.1.30	sa prācyarthaḥ
30.1.31	aparasminn ardhe caturbhāgone lakṣaṇaṃ karoti
30.1.32	tan nyañcanam
30.1.33	ardhe 'ṃsārtham
30.1.34	pṛṣṭhyāntayoḥ pāśau pratimucya nyañcanena dakṣiṇāpāyamyārdhena śroṇyaṃsān nirharet
30.1.35	dīrghacaturaśraṃ cikīrṣan yāvac cikīrṣet tāvatyāṃ bhūmyāṃ dvau śaṅkū nihanyāt
30.1.36	dvaudvāv ekaikam abhitaḥ samau
30.1.37	yāvatī tiryaṅmānī tāvatīṃ rajjum ubhayataḥpāśāṃ kṛtvā madhye lakṣaṇaṃ karoti
30.1.38	pūrveṣām antyayoḥ pāśau pratimucya lakṣaṇena dakṣiṇāpāyamya lakṣaṇe lakṣaṇaṃ karoti
30.1.39	madhyame pāśau pratimucya lakṣaṇasyopariṣṭād dakṣiṇāpāyamya lakṣaṇe śaṅkuṃ nihanyāt
30.1.40	so 'ṃsaḥ
30.1.41	etenottaro 'ṃso vyākhyātaḥ
30.1.42	tathā śroṇī
30.1.43	yatra purastād aṃhīyasīṃ minuyāt tatra tadardhe lakṣaṇaṃ karoti
30.1.44	athāparaṃ pramāṇād adhyardhāṃ rajjum ubhayataḥpāśāṃ kṛtvāparasmiṃs tṛtīye ṣaḍbhāgone lakṣaṇaṃ karoti
30.1.45	tan nyañcatam
30.1.46	iṣṭe 'ṃsārtham
30.1.47	pṛṣṭhyāntayoḥ pāśau pratimucya nyañcanena dakṣiṇāpāyamyeṣṭena śroṇyaṃsān nirharet
30.1.48	samacaturaśrasyākṣṇayārajjur dvis tāvatīṃ bhūmiṃ karoti
30.1.49	pramāṇaṃ tiryac
30.1.50	vikaraṇyāyāmaḥ
30.1.51	tasyākṣṇayārajjus trikaraṇī
30.1.52	tṛtīyakaraṇy etena vyākhyātā
30.1.53	navamas tu bhūmer bhāgo bhavatīti
30.1.54	dīrghacaturaśrasyākṣṇayārajjuḥ pārśvamānī tiryaṅmānī ca yat pṛthagbhūte kurutas tad ubhayaṃ karoti
30.1.55	tāsāṃ trikacatuṣkayor dvādaśikapañcikayoḥ pañcadaśikāṣṭikayoḥ saptikacaturviṃśikayor dvādaśikapañcatriṃśikayoḥ pañcadaśikaṣaṭtriṃśikayor ity etāsūpalabdhiḥ
30.2.1	nānācaturaśre samasyan kanīyasaḥ karaṇyā varṣīyaso vṛdhram ullikhet
30.2.2	vṛdhrasyākṣṇayārajjuḥ samastayoḥ pārśvamānī bhavati
30.2.3	caturaśrāc caturaśraṃ nirjihīrṣan yāvan nirjihīrṣet tasya karaṇyā varṣīyaso vṛdhram ullikhet
30.2.4	vṛdhrasya pārśvamānīm akṣṇayetarat pārśvam upasaṃharet
30.2.5	sā yatra nipatet tad apacchindyāt
30.2.6	chinnayā nirastam
30.2.7	samacaturaśraṃ dīrghacaturaśraṃ cikīrṣaṃs tad akṣṇayāpacchidya bhāgaṃ dvedhā vibhajya prārśvayor upadadhyād yathāyogam
30.2.8	api vaitasmiṃś caturaśraṃ samasya tasya karaṇyāpacchidya yad atiśiṣyate tad itaratropadadhyāt
30.2.9	dīrghacaturaśraṃ samacaturaśraṃ cikīrṣaṃs tiryaṅmānīṃ karaṇīṃ kṛtvā śeṣaṃ dvedhā vibhajya pārśvayor upadadhyāt
30.2.10	khaṇḍam āvāpena tat saṃpūrayet
30.2.11	tasya nirhāra uktaḥ
30.2.12	caturaśram ekato'ṇimac cikīrṣann aṇimataḥ karaṇīṃ tiryaṅmāṇīṃ kṛtvā śeṣam akṣṇayā vibhajya viparyasyetaratropadadhyāt
30.2.13	caturaśraṃ praugaṃ cikīrṣan yāvac cikīrṣed dvis tāvatīṃ bhūmiṃ samacaturaśrāṃ kṛtvā pūrvasyāḥ karaṇyā madhye śaṅkuṃ nihanyāt
30.2.14	tasmin pāśau pratimucya dakṣiṇottarayoḥ śroṇyor nipātayet
30.2.15	bahispandyam apacchindyāt
30.2.16	caturaśram ubhayataḥpraugaṃ cikīrṣan yāvac cikīrṣed dvis tāvatīṃ bhūmiṃ dīrghacaturaśrāṃ kṛtvā pūrvasyāḥ karaṇyā madhye śaṅkuṃ nihanyāt
30.2.17	tasmin pāśau pratimucya dakṣiṇottarayor madhyadeśayor nipātayet
30.2.18	bahispandyam apacchindyād etenāparaṃ praugaṃ vyākhyātam
30.2.19	caturaśraṃ maṇḍalaṃ cikīrṣann akṣṇayārdhaṃ madhyāt prācīm abhyāpātayet
30.2.20	yad atiśiṣyate tasya saha tṛtīyena maṇḍalaṃ parilikhet
30.2.21	maṇḍalaṃ caturaśraṃ cikīrṣan viṣkambham aṣṭau bhāgān kṛtvā bhāgam ekonatriṃśadhā vibhajyāṣṭāviṃśatibhāgān uddhared bhāgasya ca ṣaṣṭham aṣṭam abhāgonam
30.2.22	api vā pañcadaśa bhāgān kṛtvā dvāv uddharet
30.2.23	saiṣānityā caturaśrakaraṇī
30.2.24	pramāṇaṃ tṛtīyena vardhayet tac caturthenātmacatustriṃśonena saviśeṣaḥ
30.3.1	athāgnyādheyike vihāre gārhapatyād āhavanīyasyāyatanam
30.3.2	vijñāyate 'ṣṭāsu prakrameṣu brāhmaṇo 'gnim ādadhītaikādaśasu rājanyo dvādaśasu vaiśya iti
30.3.3	āyāmatṛtīyena trīṇi caturaśrāṇy anūcīnāni kārayet
30.3.4	aparasyottarasyāṃ śroṇyāṃ gārhapatyaḥ
30.3.5	tasyaiva dakṣiṇe 'ṃse 'nvāhāryapacanaḥ pūrvasyottare 'ṃsa āhavanīyaḥ
30.3.6	api vā gārhapatyāhavanīyayor antarālaṃ pañcadhā ṣoḍhā vā saṃbhujya ṣaṣṭhaṃ saptamaṃ vā bhāgam āgantukam upasamasya samaṃ traidhaṃ vibhajya pūrvasmād antād dvayor bhāgayor lakṣaṇaṃ karoti
30.3.7	gārhapatyāhavanīyayor antau niyamya lakṣaṇena dakṣiṇāpāyamya lakṣaṇe śaṅkuṃ nihanti
30.3.8	tad dakṣiṇāgner āyatanaṃ bhavati
30.3.9	api vā pramāṇaṃ pañcamena vardhayet
30.3.10	tat sarvaṃ pañcadhā saṃbhujyāparasmād antād dvayor bhāgayor lakṣaṇaṃ karoti
30.3.11	pṛṣṭhyāntayoḥ pāśau pratimucya lakṣaṇena dakṣiṇāpāyamya lakṣaṇe śaṅkuṃ nihanti
30.3.12	tad dakṣiṇāgner āyatanaṃ bhavati
30.3.13	viparyastaitenotkaro vyākhyātaḥ
30.3.14	apareṇāhavanīyaṃ yajamānamātrī bhavatīti dārśapaurṇamāsikāyā veder vijñāyate
30.3.15	tasyās tribhāgonaṃ paścāttiraścī
30.3.16	tasyā evārdhaṃ purastāttiraścī
30.3.17	evaṃ dīrghacaturaśram ekato'ṇimad vihṛtya sraktiṣu śaṅkūn nihanyāt
30.3.18	yāvatī pārśvamānī dvirabhyastā tāvatīṃ rajjum ubhayataḥpāśāṃ kṛtvā madhye lakṣaṇaṃ karoti
30.3.19	dakṣiṇayoḥ pārśvayoḥ pāśau pratimucya lakṣaṇena dakṣiṇāpāyamya lakṣaṇe śaṅkuṃ nihanyāt
