#Text:Maitryupaniṣad
#Edition:Cowell
#Data entry:Oliver Hellwig
#Notes:External Sandhis resolved where possible. Subnumbering of lines (1.1.2, 1.1.3 etc.) derived from dandas in Cowell's edition. Metrical lines retain their inner dandas.



1.1.1	brahmayajñā vā eṣa yat pūrveṣāṃ cayanam
1.1.2	tasmād yajamānaś citvaitān agnīn ātmānam abhidhyāyet
1.1.3	sa pūrṇaḥ khalu vā addhāvikalaḥ sampadyate yajñaḥ
1.1.4	kaḥ so 'bhidhyeyo 'yaṃ yaḥ prāṇākhyaḥ
1.1.5	tasyopākhyānam
1.2.1	bṛhadratho vai nāma rājā virājye putraṃ nidhāpayitvedam aśāśvataṃ manyamānaḥ śarīraṃ vairāgyam upeto 'raṇyaṃ nirjagāma
1.2.2	sa tatra paramaṃ tapa āsthāyādityam udīkṣamāṇa ūrdhvabāhus tiṣṭhati
1.2.3	ante sahasrāhasyāntikam ājagāmāgnir ivādhūmakas tejasā nirdahann ivātmavidbhagavāñchākāyanyaḥ
1.2.4	uttiṣṭhottiṣṭha varaṃ vṛṇīṣveti rājānam abravīt
1.2.5	sa tasmai namaskṛtvovāca
1.2.6	bhagavan nāham ātmavit tvaṃ tattvavit śuśrumo vayaṃ sa tvaṃ nā brūhīti
1.2.7	etad vṛttaṃ purastād duḥśakyam etatpraśnam aikṣvākān yān kāmān vṛṇīṣveti śākāyanyaḥ
1.2.8	śirasāsya caraṇāv abhimṛśamāno rājemāṃ gāthāṃ jagāda
1.3.1	bhagavann asthicarmasnāyumajjamāṃsaśukraśoṇitaśleṣmāśrudūṣikāviṇmūtrapittakaphasaṅghāte durgandhe niḥsāre 'smiñcharīre kiṃ kāmopabhogaiḥ
1.3.2	kāmakrodhalobhamohabhayaviṣāderṣyeṣṭaviyogāniṣṭasamprayogakṣutpipāsājarāmṛtyurāgaśokādyair abhihate 'smiñcharīre kiṃ kāmopabhogaiḥ
1.4.1	sarvaṃ cedaṃ kṣayiṣṇu paśyāmo yatheme daṃśamaśakādayas tṛṇavanaspatayodbhūtapradhvaṃsinaḥ
1.4.2	atha kim etair vā pare 'nye mahādhanurdharāś cakravartinaḥ kecit sudyumnabhūridyumnendradyumnakuvalayāśvayauvanāśvavadhryaśvāśvapatiḥ śaśabindur hariścandro 'mbarīṣananaktusaryātir yayātyanaraṇyokṣasenādayaḥ
1.4.3	atha maruttabharataprabhṛtayo rājānaḥ
1.4.4	miṣato bandhuvargasya mahatīṃ śriyaṃ tyaktvāsmāl lokād amuṃ lokaṃ prayātā iti
1.4.5	atha kim etair vā pare 'nye gandharvāsurayakṣarākṣasabhūtagaṇapiśācoragagrahādīnāṃ nirodhaṃ paśyāmaḥ
1.4.6	atha kim etair vānyānāṃ śoṣaṇaṃ mahārṇavāṇāṃ śikhariṇāṃ prapatanaṃ dhruvasya pracalanaṃ vraścanaṃ vātarajjūnāṃ nimajjanaṃ pṛthivyāḥ sthānād apasaraṇaṃ surāṇām ity etadvidhe 'smint saṃsāre kiṃ kāmopabhogaiḥ
1.4.7	yair evāśitasyāsakṛd ihāvartanaṃ dṛśyatā ity uddhartum arhasi
1.4.8	andhodapānastho bheka ivāham asmint saṃsāre bhagavaṃs tvaṃ no gatis tvaṃ no gatiḥ
2.1.1	atha bhagavāñchākāyanyaḥ suprītas tv abravīd rājānaṃ
2.1.2	mahārāja bṛhadrathekṣvākuvaṃśadhvaja śīghram ātmajñaḥ kṛtakṛtyas tvaṃ marunnāmneti viśruto 'sīti
2.1.3	ayaṃ vāva khalv ātmā te
2.1.4	yaḥ katamo bhagavā iti
2.1.5	taṃ hovāceti
2.2.1	atha ya eṣocchvāsāviṣṭambhanenordhvam utkrānto vyayamāno 'vyayamānas tamaḥ praṇudaty eṣa ātmā
2.2.2	ity āha bhagavān maitriḥ
2.2.3	ity evaṃ hy āha
2.2.4	atha ya eṣa samprasādo 'smāccharīrāt samutthāya paraṃ jyotir upasampadya svena rūpeṇābhiniṣpadyatā ity eṣa ātmeti hovācaitad amṛtam abhayam etad brahmeti
2.3.1	atha khalv iyaṃ brahmavidyā sarvopaniṣadvidyā vā rājann asmākaṃ bhagavatā maitriṇākhyātāhaṃ te kathayiṣyāmīti
2.3.2	athāpahatapāpmānas tigmatejasā ūrdhvaretasā vālikhilyā iti śrūyante
2.3.3	atha kratuṃ prajāpatim abruvan
2.3.4	bhagavan śakaṭam ivācetanam idaṃ śarīraṃ kasyaiṣa khalv īdṛśo mahimātīndriyabhūtasya yenaitadvidham etac cetanavat pratiṣṭhāpitaṃ pracodayitā vā asya yad bhagavan vetsi tad asmākaṃ brūhīti tān hovāceti
2.4.1	yo ha khalu vāvoparisthaḥ śrūyate guṇeṣv ivārdharetasaḥ sa vā eṣa śuddhaḥ pūtaḥ śūnyaḥ śānto 'prāṇo nirātmānanto 'kṣayyaḥ sthiraḥ śāśvato 'jaḥ svatantraḥ sve mahimni tiṣṭhaty anenedaṃ śarīraṃ cetanavat pratiṣṭhāpitaṃ pracodayitā vaiṣo 'pyasyeti
2.4.2	te hocur bhagavan katham anenedṛśyenāniṣṭhenaitadvidham idaṃ cetanavat pratiṣṭhāpitaṃ pracodayitā vaiṣo 'sya katham iti tān hovāca
2.5.1	sa vā eṣa sūkṣmāgrāhyo 'dṛśyaḥ puruṣasaṃjño 'buddhipūrvam ihaivāvartate 'ṃśeneti suptasyevābuddhipūrvaṃ vibodhā evam iti
2.5.2	atha yo ha khalu vāvaitasya so 'ṃśo 'yaṃ yaś cetāmātraḥ pratipuruṣaḥ kṣetrajñaḥ saṅkalpādhyavasāyābhimānaliṅgaḥ prajāpatir viśvākhyaś cetanenedaṃ śarīraṃ cetanavat pratiṣṭhāpitaṃ pracodayitā vaiṣo 'py asyeti
2.5.3	te hocur bhagavan yady anenedṛśenāniṣṭhenaitadvidham idaṃ cetanavat pratiṣṭhāpitaṃ pracodayitā vaiṣo 'sya katham iti tān hovāceti
2.6.1	prajāpatir vā eko 'gre 'tiṣṭhat sa nāramataikaḥ sotmānam abhidhyātvā bahvoḥ prajā asṛjata
2.6.2	tā aśmevāprabuddhā aprāṇāḥ sthāṇur iva tiṣṭhamānā apaśyat
2.6.3	sa nāramata so 'manyataitāsāṃ pratibodhanāyābhyantaraṃ viviśāmi
2.6.4	sa vāyur ivātmānaṃ kṛtvābhyantaraṃ prāviśat
2.6.5	sa eko nāśakat sa pañcadhātmānaṃ vibhajyocyate
2.6.6	yaḥ prāṇo 'pānaḥ samāna udāno vyāna iti
2.6.7	athāyaṃ ya ūrdhvam utkrāmaty eṣa vāva sa prāṇo 'tha yo 'yam avāṅ saṃkrāmaty eṣa vāva so 'pāno 'tha yena vā etā anugṛhītā ity eṣa vāva sa vyāno 'tha yo 'yaṃ sthaviṣṭho dhātur annasyāpāne prāpayaty aṇiṣṭho vāṅge 'ṅge samānayaty eṣa vāva sa samānasaṃjñā uttaraṃ vyānasya rūpaṃ caiteṣām antarā prasūtir evodānasyātha yo 'yaṃ pītāśitam udgirati nigiratīti vaiṣa vāva sa udānaḥ
2.6.8	athopāṃśur antaryāmam abhibhavaty antaryāma upāṃśuṃ caitayor antarā devauṣṇyaṃ prāsuvat yadauṣṇyaṃ sa puruṣo 'tha yaḥ puruṣaḥ so 'gnir vaiśvānaraḥ
2.6.9	anyatrāpyuktam ayam agnir vaiśvānaro yo 'yamantaḥ puruṣe yenedam annaṃ pacyate yad idam adyate tasyaiṣa ghoṣo bhavati yam etat karṇāv apidhāya śṛṇoti sa yadotkramiṣyan bhavati nainaṃ ghoṣaṃ śṛṇoti
2.6.10	sa vā eṣa pañcadhātmānaṃ vibhajya nihito guhāyāṃ
2.6.11	manomayaḥ prāṇaśarīro bhārūpaḥ satyasaṅkalpa ākāśātmeti
2.6.12	sa vā eṣo 'smāddhṛdantarād akṛtārtho 'manyatārthān aśnānīti
2.6.13	ataḥ khānīmāni bhittvoditaḥ pañcabhī raśmibhir viṣayān atti
2.6.14	iti buddhīndriyāṇi yānīmāny etāny asya raśmayaḥ karmendriyāṇy asya hayā rathaḥ śarīraṃ mano niyantā prakṛtimayo 'sya pratodo 'nena khalv īritaḥ paribhramatīdaṃ śarīraṃ cakram iva mṛtyavenedaṃ śarīraṃ cetanavat pratiṣṭhāpitaṃ pracodayitā vaiṣo 'pyasyeti
2.6.15	sa vā eṣa ātmehośanti kavayaḥ sitāsitaiḥ karmaphalair anabhibhūta iva prati śarīreṣu caraty avyaktatvāt saukṣmyād adṛśyatvād agrāhyatvān nirmamatvāc cānavastho 'sati kartākartaivāvasthaḥ sa vā eṣa śuddhaḥ sthiro 'calaś cālepyo 'vyagro nispṛhaḥ prekṣakavad avasthitaḥ svasthaś ca
2.6.16	ṛtabhuk guṇamayena paṭenātmānam antardhāyāvasthitā ity avasthitā iti
3.1.1	te hocur bhagavan yady evam asyātmano mahimānaṃ sūcayasīty anyo vā paraḥ ko 'yam ātmākhyo yo 'yaṃ sitāsitaiḥ karmaphalair abhibhūyamānaḥ sadasadyonim āpadyatā ity avāñcyordhvā vā gatir dvandvair abhibhūyamānaḥ paribhramati
