book	sukta	stanza	metre	topic	trca	pragatha	translation.jb
1	1	1	gāyatrī	Agni			Agni do I invoke—the one placed to the fore, god and priest of the sacrifice, the Hotar, most richly conferring treasure.
1	1	2	gāyatrī	Agni			Agni, to be invoked by ancient sages and by the present ones—he will carry the gods here to this place.
1	1	3	gāyatrī	Agni			By Agni one will obtain wealth and prosperity every day, glorious and richest in heroes.
1	1	4	gāyatrī	Agni			O Agni, the sacrifice and rite that you surround on every side—it alone goes among the gods.
1	1	5	gāyatrī	Agni			Agni, the Hotar with a poet’s purpose, the real one possessing the brightest fame, will come as a god with the gods.
1	1	6	gāyatrī	Agni			When truly you will do good for the pious man, o Agni, just that of yours is real, o Aṅgiras.
1	1	7	gāyatrī	Agni			We approach you, o Agni, illuminator in the evening, every day with our insight, bringing homage—
1	1	8	gāyatrī	Agni			(You), ruling over the rites, the shining herdsman of the truth, growing strong in your own home.
1	1	9	gāyatrī	Agni			Like a father for a son, be of easy approach for us, o Agni. Accompany us for our well-being.
1	2	1	gāyatrī	Vāyu	1		O Vāyu, lovely to see, drive here! Here are the properly prepared soma juices. Drink of them! Hear our summons!
1	2	2	gāyatrī	Vāyu	1		O Vāyu, with their hymns the singers sing you here—they who have pressed soma, who understand the (ritual) days.
1	2	3	gāyatrī	Vāyu	1		O Vāyu, your nourishing stream infusing (the soma) is going along for the pious man—the broadly spreading (stream) for soma-drinking.
1	2	4	gāyatrī	Indra, Vāyu	2		O Indra and Vāyu, here are the soma-pressings: come near with delight, for the soma drops are eager for you.
1	2	5	gāyatrī	Indra, Vāyu	2		O Vāyu and Indra, you take note of the pressings, you two rich in prizewinning mares. Drive right here at speed.
1	2	6	gāyatrī	Indra, Vāyu	2		O Vāyu and Indra, drive right here to the appointed place of the soma-presser, swiftly and according to our insight right to the point, you superior men.
1	2	7	gāyatrī	Mitra, Varuṇa	3		I call upon Mitra of refined skill and Varuṇa, who cares for the stranger, the two who send our ghee-covered insight to its goal.
1	2	8	gāyatrī	Mitra, Varuṇa	3		By truth—o Mitra and Varuṇa, strong through truth, touching truth—you have attained your lofty purpose.
